1 init
2 using solver MiniLearningHeapRsatExpSimpBiere
163 addClause -124 70 -110 
164 addClause 51 -51 26 
165 addClause 144 98 70 
166 addClause 114 -22 28 
167 addClause 13 -62 78 
168 addClause -79 149 -64 
169 addClause 34 -114 -140 
170 addClause -86 -95 -137 
171 addClause 42 103 -108 
172 addClause 45 85 -48 
173 addClause -62 120 -134 
174 addClause 82 162 -87 
175 addClause 102 43 93 
176 addClause 47 66 158 
177 addClause 65 60 133 
178 addClause -131 -97 18 
179 addClause -29 2 -114 
180 addClause -120 -37 -30 
181 addClause 81 75 -89 
182 addClause 30 51 -117 
183 addClause -100 -137 -141 
184 addClause 131 153 -66 
185 addClause 146 92 133 
186 addClause -98 -7 -97 
187 addClause 73 63 -8 
188 addClause 117 140 143 
189 addClause -7 21 157 
190 addClause -2 -117 64 
191 addClause 75 62 139 
192 addClause -123 -151 -115 
193 addClause 132 44 101 
194 addClause 65 -57 137 
195 addClause 119 -41 -114 
196 addClause 8 -81 152 
197 addClause 122 31 47 
198 addClause 129 92 -156 
199 addClause -120 109 -8 
200 addClause 147 -96 -39 
201 addClause -90 -20 -72 
202 addClause -60 50 -64 
203 addClause 116 112 36 
204 addClause -106 20 -135 
205 addClause 10 -66 88 
206 addClause -87 73 -104 
207 addClause -136 150 -86 
208 addClause -158 112 25 
209 addClause 120 69 59 
210 addClause -60 -128 -45 
211 addClause -89 -33 106 
212 addClause 39 6 46 
213 addClause -124 -150 -117 
214 addClause 142 131 133 
215 addClause 139 32 -51 
216 addClause -82 120 -73 
217 addClause -38 -117 51 
218 addClause -74 84 -143 
219 addClause -125 65 -28 
220 addClause 42 151 133 
221 addClause 102 -162 -29 
222 addClause -132 -92 73 
223 addClause 138 141 26 
224 addClause 111 161 -17 
225 addClause 9 -157 -164 
226 addClause -43 -54 -145 
227 addClause -33 53 -136 
228 addClause 102 -29 139 
229 addClause 146 117 115 
230 addClause 27 -100 72 
231 addClause 153 44 -150 
232 addClause 154 -118 -121 
233 addClause -47 -116 -53 
234 addClause 39 25 142 
235 addClause 95 2 -54 
236 addClause 163 -98 -75 
237 addClause 41 -58 -61 
238 addClause 47 -136 19 
239 addClause 50 -36 -160 
240 addClause 73 52 -55 
241 addClause -13 -93 40 
242 addClause 151 74 133 
243 addClause -80 -152 32 
244 addClause 52 5 143 
245 addClause -159 70 -16 
246 addClause -148 155 105 
247 addClause 55 69 -49 
248 addClause -112 -144 120 
249 addClause -148 -121 -20 
250 addClause 140 -79 111 
251 addClause 115 160 52 
252 addClause 13 24 -29 
253 addClause 131 -11 56 
254 addClause -21 -138 21 
255 addClause -163 73 -145 
256 addClause 108 97 129 
257 addClause -96 153 -78 
258 addClause 119 50 73 
259 addClause 85 -111 158 
260 addClause 6 -127 17 
261 addClause 29 83 75 
262 addClause 10 -101 155 
263 addClause -68 -80 54 
264 addClause 79 -126 15 
265 addClause -110 -51 89 
266 addClause 151 139 150 
267 addClause -28 -155 134 
268 addClause 106 16 -57 
269 addClause -7 115 137 
270 addClause 75 11 -78 
271 addClause -131 52 102 
272 addClause -127 -57 155 
273 addClause -159 46 159 
274 addClause 46 10 49 
275 addClause 140 -89 -159 
276 addClause -157 115 -116 
277 addClause -33 155 81 
278 addClause -90 61 150 
279 addClause 60 24 -127 
280 addClause 113 160 -114 
281 addClause -36 110 -122 
282 addClause -97 39 -95 
283 addClause -121 -23 59 
284 addClause 150 -42 -32 
285 addClause 79 -111 59 
286 addClause 34 -52 -158 
287 addClause 139 162 -155 
288 addClause 107 -131 159 
289 addClause -54 15 -72 
290 addClause -120 44 80 
291 addClause 105 -133 85 
292 addClause -73 78 82 
293 addClause -57 -80 65 
294 addClause -148 -26 -98 
295 addClause 82 -40 132 
296 addClause -117 156 -8 
297 addClause -74 -162 -139 
298 addClause -48 139 27 
299 addClause -77 153 130 
300 addClause -122 -94 85 
301 addClause -52 -102 87 
302 addClause -107 67 -12 
303 addClause -5 -18 22 
304 addClause 29 -97 -70 
305 addClause 66 -132 41 
306 addClause -94 -34 -55 
307 addClause -7 -95 -13 
308 addClause 6 -134 84 
309 addClause 102 -103 -88 
310 addClause -114 -148 148 
311 addClause -30 24 -111 
312 addClause -147 100 53 
313 addClause 132 136 141 
314 addClause 36 -118 -85 
315 addClause 79 -153 -26 
316 addClause -118 -112 -56 
317 addClause -14 89 44 
318 addClause -134 -91 80 
319 addClause -99 -139 -151 
320 addClause 160 40 -4 
321 addClause 143 -84 29 
322 addClause -151 10 -37 
323 addClause 147 129 -140 
324 addClause -31 -67 -87 
325 addClause 81 -139 61 
326 addClause 39 -42 6 
327 addClause 124 -162 29 
328 addClause 118 -45 -87 
329 addClause 137 -144 41 
330 addClause -56 8 -146 
331 addClause 73 64 -143 
332 addClause 123 -106 -139 
333 addClause 19 88 -98 
334 addClause -45 -96 162 
335 addClause -39 58 101 
336 addClause -96 37 -128 
337 addClause 159 34 152 
338 addClause -160 -117 -163 
339 addClause -88 -70 83 
340 addClause -46 96 22 
341 addClause -1 -147 -122 
342 addClause 61 -50 66 
343 addClause 95 -30 105 
344 addClause 83 -72 115 
345 addClause -17 -131 -134 
346 addClause 131 79 139 
347 addClause -140 -101 -36 
348 addClause -72 -125 -121 
349 addClause -63 -103 124 
350 addClause -157 -53 -116 
351 addClause -39 -40 6 
352 addClause 41 42 -73 
353 addClause -145 20 -149 
354 addClause 145 -119 84 
355 addClause 148 -159 -76 
356 addClause 11 -154 14 
357 addClause -145 58 -80 
358 addClause 128 -106 -95 
359 addClause -95 -98 -161 
360 addClause 104 8 -46 
361 addClause -82 -132 152 
362 addClause -6 56 57 
363 addClause -161 -140 -164 
364 addClause 81 -2 85 
365 addClause 85 -90 -126 
366 addClause -138 21 162 
367 addClause -7 131 124 
368 addClause -48 -24 65 
369 addClause -2 -154 81 
370 addClause 84 2 -150 
371 addClause 146 66 94 
372 addClause 6 -32 -33 
373 addClause 72 -23 -133 
374 addClause 14 -104 -60 
375 addClause -134 97 17 
376 addClause 61 -32 22 
377 addClause 22 107 -10 
378 addClause 102 73 -57 
379 addClause 56 -54 118 
380 addClause 4 148 -68 
381 addClause 47 -45 108 
382 addClause -161 49 141 
383 addClause 101 -20 27 
384 addClause -115 64 3 
385 addClause -162 -63 -26 
386 addClause -142 128 -27 
387 addClause 48 61 91 
388 addClause -164 -4 98 
389 addClause 98 -51 -149 
390 addClause -129 92 -106 
391 addClause -112 35 -63 
392 addClause -153 99 -42 
393 addClause -87 -67 11 
394 addClause -67 -132 73 
395 addClause 43 -18 44 
396 addClause 133 147 156 
397 addClause 158 -102 -33 
398 addClause -17 136 -103 
399 addClause 116 -44 -164 
400 addClause -44 159 -27 
401 addClause 3 144 -24 
402 addClause 156 -67 -78 
403 addClause 43 145 -60 
404 addClause 51 -129 -3 
405 addClause 104 65 -33 
406 addClause 35 -163 107 
407 addClause -137 2 9 
408 addClause 48 96 25 
409 addClause -55 13 -100 
410 addClause -160 -85 1 
411 addClause 110 70 118 
412 addClause 143 -24 149 
413 addClause 158 48 32 
414 addClause 62 60 162 
415 addClause -108 41 146 
416 addClause 136 -102 54 
417 addClause -124 -33 68 
418 addClause -151 -94 123 
419 addClause 105 6 -102 
420 addClause -132 -105 -55 
421 addClause 90 -160 12 
422 addClause 144 -149 -162 
423 addClause -164 -49 -159 
424 addClause -140 37 32 
425 addClause 55 -162 110 
426 addClause 149 -73 124 
427 addClause 6 -29 -65 
428 addClause -106 73 -91 
429 addClause 39 -121 156 
430 addClause -14 39 27 
431 addClause -158 -60 14 
432 addClause 37 23 126 
433 addClause -163 26 137 
434 addClause 137 25 132 
435 addClause -145 -37 136 
436 addClause -44 -134 92 
437 addClause 3 -113 64 
438 addClause 134 113 -101 
439 addClause 31 -87 -116 
440 addClause -73 -58 145 
441 addClause -124 -3 87 
442 addClause 141 -86 -100 
443 addClause 145 -140 -64 
444 addClause 158 -158 133 
445 addClause 51 34 -6 
446 addClause 155 2 -129 
447 addClause 27 75 25 
448 addClause 7 -12 12 
449 addClause 134 91 44 
450 addClause -110 -132 41 
451 addClause 59 95 -90 
452 addClause 70 -28 -97 
453 addClause 147 -71 159 
454 addClause 22 -81 -42 
455 addClause 132 16 51 
456 addClause -36 -118 -28 
457 addClause -45 -156 -19 
458 addClause -2 -123 134 
459 addClause 53 136 -15 
460 addClause 89 107 156 
461 addClause 44 63 151 
462 addClause 16 -129 -37 
463 addClause 76 47 148 
464 addClause 136 -91 88 
465 addClause -120 -105 -30 
466 addClause -163 -20 -132 
467 addClause -46 -117 158 
468 addClause -90 -148 -72 
469 addClause 76 -127 113 
470 addClause 6 -8 90 
471 addClause -144 18 -1 
472 addClause -106 -115 17 
473 addClause -84 -89 140 
474 addClause 9 -30 4 
475 addClause -9 55 -58 
476 addClause -140 143 -30 
477 addClause 106 15 64 
478 addClause 42 -114 -127 
479 addClause 5 -98 82 
480 addClause -156 -30 146 
481 addClause 126 17 -160 
482 addClause -23 -102 -62 
483 addClause -30 77 -151 
484 addClause 63 -145 -136 
485 addClause 64 59 -63 
486 addClause -67 29 -14 
487 addClause -134 -32 67 
488 addClause -110 -82 -41 
489 addClause 33 34 -37 
490 addClause -44 -22 -133 
491 addClause 140 96 135 
492 addClause 82 38 -67 
493 addClause 136 55 -46 
494 addClause -152 -21 -154 
495 addClause 161 -31 -69 
496 addClause -1 -154 144 
497 solve
498 addClause 180 -44 94 
499 addClause -72 247 -24 
500 addClause -19 -110 141 
501 addClause 170 -3 208 
502 addClause -206 229 -180 
503 addClause -193 98 -42 
504 addClause -223 6 193 
505 addClause -31 14 -60 
506 addClause 177 -146 31 
507 addClause 14 -58 75 
508 addClause -149 -178 79 
509 addClause 99 158 223 
510 addClause 219 84 -8 
511 addClause -251 -156 -138 
512 addClause 86 -166 205 
513 addClause -16 83 226 
514 addClause -116 -252 -102 
515 addClause 72 12 -110 
516 addClause 155 -31 -69 
517 addClause 11 -56 -178 
518 addClause -46 -148 -62 
519 addClause -96 246 194 
520 addClause 157 124 193 
521 addClause 100 84 246 
522 addClause -18 -28 -93 
523 addClause -183 8 240 
524 addClause -185 76 29 
525 addClause 229 -148 249 
526 addClause 236 -117 -77 
527 addClause 159 -224 243 
528 addClause 109 167 -176 
529 addClause -180 -119 179 
530 addClause 221 174 182 
531 addClause 178 7 174 
532 addClause 238 105 -116 
533 addClause -113 127 19 
534 addClause -242 58 86 
535 addClause 201 104 -108 
536 addClause 98 -51 -171 
537 addClause -242 -205 16 
538 addClause 125 2 -145 
539 addClause 148 -7 157 
540 addClause 195 33 233 
541 addClause -50 174 104 
542 addClause -60 192 -214 
543 addClause 196 -28 -9 
544 addClause 4 -171 234 
545 addClause -165 213 185 
546 addClause -227 -15 -175 
547 addClause 26 -80 45 
548 addClause 130 245 60 
549 addClause -78 -55 -230 
550 addClause 189 96 212 
551 addClause -211 185 169 
552 addClause -77 -193 -230 
553 addClause -192 -11 -71 
554 addClause -147 -42 -193 
555 addClause -249 -213 -126 
556 addClause -236 245 205 
557 addClause -123 -31 -135 
558 addClause 156 7 111 
559 addClause -188 134 -127 
560 addClause 219 -122 237 
561 addClause 144 -22 -35 
562 addClause -159 -22 -74 
563 addClause -94 238 185 
564 addClause -210 216 32 
565 addClause -15 89 -175 
566 addClause 11 56 251 
567 addClause 143 87 137 
568 addClause 32 84 208 
569 addClause 132 -27 -233 
570 addClause 107 -34 142 
571 addClause -100 -43 160 
572 addClause 82 -218 38 
573 addClause -186 -158 19 
574 addClause 162 -177 161 
575 addClause 60 -16 -84 
576 addClause -10 96 36 
577 addClause -161 52 4 
578 addClause -81 -214 218 
579 addClause -143 -74 -144 
580 addClause 118 -158 -208 
581 addClause 236 53 56 
582 addClause 24 204 -90 
583 addClause 179 -85 -23 
584 addClause 116 -201 -221 
585 addClause -170 178 -222 
586 addClause 218 51 -208 
587 addClause -26 -29 -163 
588 addClause -116 191 -215 
589 addClause -173 36 130 
590 addClause -37 -65 232 
591 addClause -193 -81 24 
592 addClause 21 -11 -165 
593 addClause -104 211 -23 
594 addClause -124 -42 144 
595 addClause -45 -27 -101 
596 addClause 125 229 65 
597 addClause 41 -234 -96 
598 addClause -53 220 -201 
599 addClause -92 -30 185 
600 addClause 58 28 163 
601 addClause -194 -202 -204 
602 addClause 14 -235 -47 
603 addClause -223 -101 104 
604 addClause 229 19 37 
605 addClause 18 241 161 
606 addClause 100 -192 -170 
607 addClause -215 201 243 
608 addClause 162 -134 74 
609 addClause 218 10 168 
610 addClause -203 -72 -185 
611 addClause 3 -135 -217 
612 addClause -69 165 152 
613 addClause -56 -243 -90 
614 addClause -15 81 -183 
615 addClause -242 -181 249 
616 addClause 11 222 -101 
617 addClause 131 -31 187 
618 addClause -130 132 56 
619 addClause 64 -54 -102 
620 addClause -97 -138 -2 
621 addClause -60 -56 187 
622 addClause -53 -32 -227 
623 addClause 189 -22 61 
624 addClause -121 249 -92 
625 addClause 62 -207 -187 
626 addClause 224 -2 11 
627 addClause 230 31 14 
628 addClause -142 -66 108 
629 addClause 169 221 -163 
630 addClause -176 -231 -125 
631 addClause -157 10 40 
632 addClause 224 -176 -165 
633 addClause 36 -145 -160 
634 addClause -162 -177 -128 
635 addClause -145 206 -166 
636 addClause -158 108 -53 
637 addClause 86 -44 -27 
638 addClause -108 -25 -2 
639 addClause -161 160 -10 
640 addClause 61 -105 -24 
641 addClause 137 219 234 
642 addClause 196 -183 116 
643 addClause -34 -82 -217 
644 addClause -212 3 -61 
645 addClause -37 -129 -198 
646 addClause 61 107 185 
647 addClause 72 69 53 
648 addClause 76 94 214 
649 addClause 138 -169 -231 
650 addClause -243 -218 -29 
651 addClause 241 181 -72 
652 addClause 185 -40 -128 
653 addClause -46 -49 -184 
654 addClause -177 -179 162 
655 addClause -159 98 -27 
656 addClause 86 87 19 
657 addClause -20 -80 -148 
658 addClause -36 -250 -92 
659 addClause 111 185 -199 
660 addClause 130 120 -224 
661 addClause 22 -237 166 
662 addClause 45 48 154 
663 addClause -40 -110 -152 
664 addClause -26 -12 -60 
665 addClause -149 -252 71 
666 addClause -80 145 49 
667 addClause 138 180 -126 
668 addClause -227 181 -221 
669 addClause -146 -6 74 
670 addClause 224 -215 220 
671 addClause 17 52 218 
672 addClause 11 244 218 
673 addClause -89 -61 -82 
674 addClause -241 -129 173 
675 addClause -83 -201 107 
676 addClause 78 -48 74 
677 addClause -102 -59 -34 
678 addClause -194 -105 242 
679 addClause 230 14 33 
680 addClause -142 -27 -72 
681 addClause 191 -41 -249 
682 addClause 221 -210 -52 
683 addClause -179 -215 144 
684 addClause -58 -169 202 
685 addClause -221 94 -82 
686 addClause 229 155 -84 
687 addClause -184 75 -228 
688 addClause 125 -231 179 
689 addClause 177 -115 -213 
690 addClause -230 90 -217 
691 addClause 130 133 -234 
692 addClause 80 -193 15 
693 addClause -251 60 182 
694 addClause 94 95 -23 
695 addClause 126 -1 -217 
696 addClause 192 44 226 
697 addClause 214 -14 -36 
698 addClause 80 -35 -2 
699 addClause 158 -40 -93 
700 addClause -48 57 146 
701 addClause 134 -106 -34 
702 addClause 163 170 108 
703 addClause -156 -81 -61 
704 addClause 103 179 -52 
705 addClause -119 38 39 
706 addClause 170 -233 29 
707 addClause -189 -31 -48 
708 addClause 4 55 -188 
709 addClause 15 -28 88 
710 addClause 217 -168 81 
711 addClause 83 -246 73 
712 addClause -22 174 -171 
713 addClause -1 -67 82 
714 addClause 23 230 -96 
715 addClause 176 168 8 
716 addClause -245 -249 -88 
717 addClause 17 145 -240 
718 addClause -40 197 -218 
719 addClause -90 234 71 
720 addClause 250 -43 -70 
721 addClause -161 106 118 
722 addClause 54 -234 40 
723 addClause 76 129 105 
724 addClause 89 -162 -3 
725 addClause 48 -108 -151 
726 addClause 6 2 179 
727 addClause 249 116 127 
728 addClause 145 -139 249 
729 addClause 217 68 -204 
730 addClause 105 152 -44 
731 addClause 247 158 -175 
732 addClause -151 -155 -229 
733 addClause -222 83 181 
734 addClause -111 -148 18 
735 addClause 251 29 93 
736 addClause 118 146 -211 
737 addClause -55 26 -205 
738 addClause 30 -159 -10 
739 addClause -175 3 230 
740 addClause -222 239 111 
741 addClause 60 83 -149 
742 addClause 105 156 -244 
743 addClause -120 -24 173 
744 addClause 41 101 -162 
745 addClause -114 -6 3 
746 addClause -109 239 -160 
747 addClause 36 235 221 
748 addClause 87 217 -140 
749 addClause -207 -141 183 
750 addClause 164 -250 171 
751 addClause -114 -242 -197 
752 addClause -198 -147 -208 
753 addClause -19 38 -46 
754 addClause 71 207 31 
755 addClause -41 34 208 
756 addClause 92 55 -245 
757 addClause 251 -4 36 
758 addClause 31 22 165 
759 addClause -89 -23 -187 
760 addClause 249 -106 43 
761 addClause -209 -26 -65 
762 solve
763 addClause -274 -60 -257 
764 addClause -64 -161 -127 
765 addClause -54 -275 9 
766 addClause -23 -225 199 
767 addClause -265 64 -215 
768 addClause -16 -139 -70 
769 addClause 251 23 -121 
770 addClause 130 -279 -202 
771 addClause -115 -202 176 
772 addClause 186 -81 130 
773 addClause -192 -32 -78 
774 addClause 87 -246 -215 
775 addClause -163 104 84 
776 addClause -182 149 113 
777 addClause -247 -190 -77 
778 addClause -43 -195 -168 
779 addClause 232 -190 14 
780 addClause 225 -249 115 
781 addClause 231 -245 -240 
782 addClause 146 -50 9 
783 addClause 13 -232 -179 
784 addClause 76 -59 258 
785 addClause -82 218 -209 
786 addClause -47 -33 -147 
787 addClause 48 159 228 
788 addClause -101 -123 89 
789 addClause 28 -211 -100 
790 addClause 29 188 -18 
791 addClause -3 -191 -200 
792 addClause 226 -218 -275 
793 addClause -224 -208 -253 
794 addClause 71 -105 -210 
795 addClause 77 -7 190 
796 addClause 103 217 81 
797 addClause -209 124 -47 
798 addClause -251 6 276 
799 addClause 256 224 41 
800 addClause -143 -41 30 
801 addClause -23 81 269 
802 addClause -160 49 237 
803 addClause 67 76 -54 
804 addClause 50 -124 -28 
805 addClause 193 105 -84 
806 addClause 33 224 5 
807 addClause -272 -68 -183 
808 addClause 121 -37 200 
809 addClause -254 243 169 
810 addClause -64 -119 -247 
811 addClause -229 25 -215 
812 addClause -146 27 -45 
813 addClause 197 17 154 
814 addClause -255 -95 -205 
815 addClause 261 34 128 
816 addClause -253 -170 -148 
817 addClause -105 -185 119 
818 addClause 101 -95 41 
819 addClause 193 -227 156 
820 addClause 60 -222 139 
821 addClause 112 -215 -195 
822 addClause 66 96 -134 
823 addClause 188 223 105 
824 addClause 243 224 -206 
825 addClause -265 232 265 
826 addClause 151 279 -146 
827 addClause -79 176 151 
828 addClause 274 258 96 
829 addClause -262 -64 -232 
830 addClause 103 39 -46 
831 addClause -111 -171 1 
832 addClause -11 -207 -35 
833 addClause 130 217 -190 
834 addClause -136 -192 69 
835 addClause -55 -174 -47 
836 addClause 228 -124 101 
837 addClause -165 240 -273 
838 addClause 64 228 233 
839 addClause -250 211 -200 
840 addClause -238 -252 186 
841 addClause -263 249 -23 
842 addClause -173 113 145 
843 addClause 59 -82 51 
844 addClause 254 180 97 
845 addClause 143 204 73 
846 addClause 85 -220 -5 
847 solve
848 addClause -285 304 74 
849 addClause 190 -72 -119 
850 addClause -78 216 -247 
851 addClause -31 -152 -69 
852 addClause 223 202 -183 
853 addClause -198 256 -298 
854 addClause 292 -287 291 
855 addClause 168 270 76 
856 addClause -196 -268 100 
857 addClause -150 -308 -25 
858 addClause 161 81 -270 
859 addClause 77 -71 -46 
860 addClause -3 -230 -192 
861 addClause -308 -5 69 
862 addClause 144 -227 32 
863 addClause 266 175 73 
864 addClause -94 -191 114 
865 addClause 10 -74 -159 
866 addClause -35 174 180 
867 addClause 164 43 -14 
868 addClause 161 309 48 
869 addClause -242 -217 -141 
870 addClause 5 -73 253 
871 addClause -34 -120 -35 
872 addClause -69 -90 -141 
873 addClause 31 239 70 
874 addClause -149 173 -64 
875 addClause 153 -301 294 
876 addClause -35 101 178 
877 addClause -8 -306 -77 
878 addClause -110 -266 -102 
879 addClause 303 248 40 
880 addClause -215 -280 -55 
881 addClause -295 -123 -33 
882 addClause -207 -18 -1 
883 addClause -256 -14 -240 
884 addClause -248 -313 -38 
885 addClause -274 -220 -135 
886 addClause 232 202 -40 
887 addClause 94 -56 64 
888 addClause -209 76 -125 
889 addClause -296 -126 133 
890 addClause -230 96 -85 
891 addClause -307 122 -250 
892 addClause -83 -246 -230 
893 addClause -134 81 265 
894 addClause -42 -101 88 
895 addClause 302 -191 -56 
896 addClause -222 228 -145 
897 addClause 192 68 95 
898 addClause -75 90 -13 
899 addClause 115 -6 68 
900 addClause -261 277 -320 
901 addClause -168 66 281 
902 addClause 279 -118 270 
903 addClause -3 178 290 
904 addClause 63 154 70 
905 addClause -161 240 219 
906 addClause -239 91 -17 
907 addClause 285 -149 -287 
908 addClause -171 -238 -294 
909 addClause 109 -129 172 
910 addClause -223 -24 -131 
911 addClause -213 -302 -231 
912 addClause 46 212 -54 
913 addClause 217 -189 -147 
914 addClause -295 -119 -186 
915 addClause -301 32 200 
916 addClause -184 -280 152 
917 addClause -168 20 -99 
918 addClause -205 -117 -51 
919 addClause -281 267 -61 
920 addClause -283 -201 -284 
921 addClause 51 -254 164 
922 addClause -260 51 -110 
923 addClause 237 20 -280 
924 addClause -302 211 -313 
925 addClause -201 -115 300 
926 addClause -220 82 -160 
927 addClause 163 -308 214 
928 addClause 154 44 -159 
929 addClause -176 170 -44 
930 addClause -56 152 -40 
931 addClause -277 -314 -24 
932 addClause 75 -245 -174 
933 addClause -315 -218 -94 
934 addClause -83 258 -216 
935 addClause 158 93 134 
936 addClause -246 66 -101 
937 addClause -175 -142 299 
938 addClause -172 217 208 
939 addClause -105 -167 -266 
940 addClause 173 144 -252 
941 addClause 167 -117 300 
942 addClause 273 -171 -203 
943 addClause 37 -28 -112 
944 addClause -130 -106 61 
945 addClause -281 -259 207 
946 addClause -133 -127 -190 
947 addClause -165 -196 -80 
948 addClause 46 122 13 
949 addClause -58 119 -296 
950 addClause -62 -225 188 
951 addClause -151 -22 -209 
952 addClause -81 18 -130 
953 addClause -310 -234 -261 
954 addClause 257 96 -303 
955 addClause 136 -77 60 
956 addClause -286 -121 170 
957 addClause 278 -255 -289 
958 addClause -317 45 16 
959 addClause -175 133 84 
960 addClause -77 -115 -318 
961 addClause -162 124 -234 
962 addClause -98 203 -15 
963 addClause -81 -198 -313 
964 addClause -275 -260 68 
965 addClause -88 248 297 
966 addClause -2 246 -77 
967 addClause 243 -235 147 
968 addClause -252 280 -102 
969 addClause 90 147 65 
970 addClause -315 221 35 
971 addClause 37 317 94 
972 addClause -260 84 315 
973 addClause 52 -102 73 
974 addClause 28 90 3 
975 addClause 100 -86 111 
976 addClause -110 -199 94 
977 solve
978 addClause -72 -308 -249 
979 addClause -221 -148 139 
980 addClause -229 -109 -24 
981 addClause -366 -177 -141 
982 addClause -256 -179 -196 
983 addClause -26 337 81 
984 addClause 44 -261 -188 
985 addClause -341 32 73 
986 addClause 111 89 342 
987 addClause 119 -365 -350 
988 addClause -330 359 -328 
989 addClause -291 -146 -222 
990 addClause 72 218 -70 
991 addClause 130 -226 -351 
992 addClause 201 -319 303 
993 addClause -280 179 354 
994 addClause -84 -245 -163 
995 addClause -30 -252 -129 
996 addClause -209 -259 218 
997 addClause 116 106 66 
