1 init
443 addClause 131 
444 addClause -1 
445 addClause -25 
446 addClause 133 
447 addClause -8 
448 addClause 109 
449 addClause -60 
450 addClause 27 
451 addClause 133 
452 addClause -104 
453 addClause 117 
454 addClause -43 
455 addClause 117 
456 addClause 116 
457 addClause -159 
458 addClause 162 
459 addClause -70 
460 addClause 169 
461 addClause -151 
462 addClause 127 
463 addClause -137 
464 addClause 42 
465 addClause 139 
466 addClause 12 
467 addClause -78 
468 addClause -174 
469 addClause -48 
470 addClause 133 
471 addClause 28 
472 addClause 38 
473 addClause -29 
474 addClause -125 
475 addClause 49 
476 addClause -50 
477 addClause 106 
478 addClause 167 
479 addClause 117 
480 addClause -80 
481 addClause 53 
482 addClause -72 
483 addClause -63 
484 addClause 114 
485 addClause -130 
486 addClause 154 
487 addClause -108 
488 addClause 123 
489 addClause 135 
490 addClause 147 
491 addClause 164 
492 addClause 13 
493 addClause -144 
494 addClause 136 
495 addClause 26 
496 addClause -152 
497 addClause 169 
498 addClause 92 
499 addClause 42 
500 addClause -99 
501 addClause -101 
502 addClause 148 
503 addClause 106 
504 addClause 47 
505 addClause 131 
506 addClause 64 
507 addClause -66 
508 addClause 87 
509 addClause -161 
510 addClause -78 
511 addClause 61 
512 addClause -43 
513 addClause 123 
514 addClause -43 
515 addClause 132 
516 addClause 128 
517 addClause 38 
518 addClause -173 
519 addClause -160 
520 addClause 86 
521 addClause 30 
522 addClause 27 
523 addClause -168 
524 addClause 90 
525 addClause -83 
526 addClause -40 
527 addClause 147 
528 addClause -103 
529 addClause -36 
530 addClause 121 
531 addClause 163 
532 addClause -66 
533 addClause 106 
534 addClause 17 
535 addClause 62 
536 addClause -146 
537 addClause -39 
538 addClause 147 
539 addClause -99 
540 addClause 52 
541 addClause -113 
542 addClause -70 
543 addClause 53 
544 addClause 94 
545 addClause -29 
546 addClause 2 
547 addClause 147 
548 addClause -101 
549 addClause 156 
550 addClause 13 
551 addClause -100 
552 addClause -130 
553 addClause -19 
554 addClause -174 
555 addClause -24 
556 addClause -108 
557 addClause 73 
558 assuming -149 
