1 init
2 using solver ORDERS
79 addClause 114 -168 -20 
80 addClause -95 -17 173 
81 addClause -168 63 -22 
82 addClause 125 -70 -17 
83 addClause -32 -171 37 
84 addClause -86 82 -54 
85 addClause 122 64 -119 
86 addClause -170 -138 -71 
87 addClause 168 -120 -164 
88 addClause 144 172 183 
89 addClause 51 148 -151 
90 addClause 162 183 95 
91 addClause -76 78 -3 
92 addClause -102 -127 61 
93 addClause 68 -180 44 
94 addClause 83 78 -58 
95 addClause -176 -120 173 
96 addClause -175 -184 39 
97 addClause -8 20 31 
98 addClause -96 -16 13 
99 addClause -154 23 127 
100 addClause -139 -168 -14 
101 addClause -80 -134 -97 
102 addClause 54 61 -56 
103 addClause -21 142 -168 
104 addClause 128 -110 -132 
105 addClause -173 -174 -9 
106 addClause 17 39 27 
107 addClause -152 -78 -55 
108 addClause 173 -125 -152 
109 addClause 97 39 144 
110 addClause -59 162 -124 
111 addClause -162 -144 -76 
112 addClause 65 -129 99 
113 addClause 75 -84 -142 
114 addClause -72 -31 46 
115 addClause -36 -134 -89 
116 addClause -91 163 -26 
117 addClause 26 -80 20 
118 addClause 86 9 39 
119 addClause -5 175 -181 
120 addClause 74 101 15 
121 addClause -53 -109 98 
122 addClause 118 -185 -28 
123 addClause 29 -148 27 
124 addClause 175 -115 -16 
125 addClause -94 136 45 
126 addClause 49 19 -123 
127 addClause -64 122 150 
128 addClause 102 168 -167 
129 addClause -102 -112 -74 
130 addClause 145 168 144 
131 addClause -145 -180 -70 
132 addClause 9 -11 64 
133 addClause -135 -34 116 
134 addClause -10 168 -33 
135 addClause -8 25 152 
136 addClause -157 -47 165 
137 addClause 89 -94 -46 
138 addClause 120 116 -131 
139 addClause -137 127 34 
140 addClause 3 -78 10 
141 addClause 159 40 -126 
142 addClause 109 161 -170 
143 addClause -29 -26 3 
144 addClause -93 149 -128 
145 addClause 184 -87 -185 
146 addClause 183 -58 57 
147 addClause 128 -97 35 
148 addClause 8 58 52 
149 addClause -69 -135 -17 
150 addClause -181 -54 -9 
151 addClause -59 -18 5 
152 addClause -94 101 153 
153 addClause 93 9 141 
154 addClause -164 20 3 
155 addClause -173 -37 162 
156 addClause 4 -93 -34 
157 addClause 112 -12 129 
158 addClause 83 -121 74 
159 addClause -109 97 75 
160 addClause 131 130 169 
161 addClause -54 173 106 
162 addClause 80 121 -1 
163 addClause -167 -43 54 
164 addClause -133 -90 123 
165 addClause -119 -5 -100 
166 addClause 170 -43 -181 
167 addClause 150 154 86 
168 addClause 35 -151 -172 
169 addClause 138 -19 -136 
170 addClause -151 69 118 
171 addClause -144 54 -142 
172 addClause 153 41 -134 
173 addClause -5 46 50 
174 addClause -88 160 80 
175 addClause 49 109 -143 
176 addClause -98 42 -42 
177 addClause 79 -15 150 
178 addClause -85 -106 -29 
179 addClause -17 -122 -36 
180 addClause 69 -9 3 
181 addClause -36 -142 -141 
182 addClause 154 142 67 
183 addClause 111 67 -40 
184 addClause 23 -49 -161 
185 addClause 67 80 140 
186 addClause 3 25 5 
187 addClause 13 -186 30 
188 addClause 99 14 -179 
189 addClause -167 -53 -16 
190 addClause -141 -11 -163 
191 addClause 175 -29 -135 
192 addClause 123 88 -140 
193 addClause -114 102 38 
194 addClause -169 43 -1 
195 addClause -143 126 59 
196 addClause -26 -157 -98 
197 addClause -40 134 86 
198 addClause 7 -161 129 
199 addClause -62 108 125 
200 addClause 167 -60 184 
201 addClause -51 -13 -131 
202 addClause 97 147 14 
203 addClause 82 -155 -43 
204 addClause 95 4 118 
205 addClause 33 -120 -20 
206 addClause -169 16 176 
207 addClause -132 -72 -178 
208 addClause 91 -51 117 
209 addClause 170 118 2 
210 addClause 180 101 -137 
211 addClause 130 163 -92 
212 addClause 77 -53 173 
213 addClause 55 -126 -89 
214 addClause 120 -111 22 
215 addClause 32 144 -27 
216 addClause 104 179 49 
217 addClause 74 -56 88 
218 addClause 175 -8 -81 
219 addClause 22 183 -149 
220 addClause -144 67 25 
221 addClause -34 -52 -165 
222 addClause -16 -39 72 
223 addClause 3 127 -4 
224 addClause 128 -172 30 
225 addClause -92 163 -182 
226 addClause -46 -153 179 
227 addClause 51 142 -72 
228 addClause 159 -76 -19 
229 addClause -143 -9 132 
230 addClause 173 -18 5 
231 addClause 55 -57 -133 
232 addClause -59 -29 -170 
233 addClause 30 -60 -53 
234 addClause -177 -18 70 
235 addClause -19 -106 -124 
236 addClause -38 18 122 
237 addClause -144 -161 167 
238 addClause -22 -107 -25 
239 addClause 172 149 -142 
240 addClause -124 136 67 
241 addClause -162 -4 110 
242 addClause -135 -122 146 
243 addClause 106 -23 -24 
244 addClause 169 85 74 
245 addClause 10 -87 117 
246 addClause -1 74 -124 
247 addClause 169 -117 -74 
248 addClause 136 79 120 
249 addClause 17 169 162 
250 addClause 5 -136 41 
251 addClause -180 -18 -13 
252 addClause 49 -62 2 
253 addClause 48 -89 64 
254 addClause 184 98 -136 
255 addClause 49 -41 15 
256 addClause -171 -126 -38 
257 addClause 128 -159 43 
258 addClause 129 99 46 
259 addClause -74 110 -8 
260 addClause -110 69 -39 
261 addClause 49 -43 -124 
262 addClause 103 -89 -70 
263 addClause 95 161 -79 
264 addClause -178 -18 -147 
265 addClause 56 68 11 
266 addClause 173 150 156 
267 addClause 178 -170 80 
268 addClause 159 -56 -7 
269 addClause -1 9 153 
270 addClause 80 -90 -174 
271 addClause 119 -121 -42 
272 addClause -11 121 21 
273 addClause 40 -5 -174 
274 addClause 4 115 -175 
275 addClause -113 -131 -81 
276 addClause 18 -129 21 
277 addClause 114 71 8 
278 addClause -99 26 -180 
279 addClause -132 -21 36 
280 addClause -52 -80 31 
281 addClause 155 -134 -158 
282 addClause -170 6 172 
283 addClause 134 -126 -88 
284 addClause 44 -95 23 
285 addClause -142 -150 -59 
286 addClause -152 174 -104 
287 addClause -91 115 179 
288 addClause -90 137 144 
289 addClause 97 183 104 
290 addClause -184 -136 84 
291 addClause -162 111 142 
292 addClause -4 -47 -21 
293 addClause -143 48 72 
294 addClause -100 63 170 
295 addClause -11 62 -132 
296 addClause 165 -184 -90 
297 addClause 59 56 -75 
298 addClause 142 37 125 
299 addClause 69 42 -49 
300 addClause -132 -50 -37 
301 addClause 182 -20 -108 
302 addClause 168 116 -146 
303 addClause 131 112 27 
304 addClause 58 86 1 
305 addClause 107 44 -85 
306 addClause -130 19 48 
307 addClause -87 15 144 
308 addClause 133 3 110 
309 addClause -104 -157 27 
310 addClause 69 154 107 
311 addClause 179 -111 -165 
312 addClause 170 -55 142 
313 addClause 145 175 30 
314 addClause 5 121 -135 
315 addClause 161 -61 183 
316 addClause 93 29 -69 
317 addClause 182 65 -112 
318 addClause 111 -182 -169 
319 addClause 172 -173 13 
320 addClause 156 171 -140 
321 addClause 38 -159 -168 
322 addClause 117 -66 -105 
323 addClause -114 125 49 
324 addClause 107 -95 164 
325 addClause 110 66 -148 
326 addClause -73 -102 -25 
327 addClause 92 31 114 
328 addClause -60 144 70 
329 addClause 125 162 -170 
330 addClause 158 83 138 
331 addClause -162 58 53 
332 addClause -20 -109 -84 
333 addClause 123 46 118 
334 addClause -36 32 -66 
335 addClause -164 -88 122 
336 addClause -71 108 -7 
337 addClause -103 -118 185 
338 addClause -24 -58 -173 
339 addClause 69 63 20 
340 addClause -146 178 103 
341 addClause -161 183 -52 
342 addClause -67 1 -146 
343 addClause -186 64 18 
344 addClause 181 34 25 
345 addClause 45 61 30 
346 addClause -86 94 -186 
347 addClause 172 -91 -184 
348 addClause -116 178 90 
349 addClause 54 120 181 
350 addClause -16 37 -176 
351 addClause -111 -52 -108 
352 addClause 132 60 -45 
353 addClause 128 -174 19 
354 addClause -32 24 -27 
355 addClause -15 -5 -154 
356 addClause -2 121 180 
357 addClause 153 -16 -95 
358 addClause 131 -38 58 
359 addClause 101 132 98 
360 addClause -133 65 63 
361 addClause 86 -146 101 
362 addClause -148 62 -120 
363 addClause -109 174 -64 
364 addClause -4 20 -175 
365 addClause 84 -35 -68 
366 addClause -39 9 -61 
367 addClause 92 -70 -33 
368 addClause 19 -22 -30 
369 addClause 140 153 8 
370 addClause -130 179 -155 
371 addClause -133 146 52 
372 addClause 174 -113 -156 
373 addClause -23 152 128 
374 addClause 176 53 -108 
375 addClause 79 154 -150 
376 addClause -134 -85 120 
377 addClause -85 107 175 
378 addClause -18 104 13 
379 addClause 60 -72 -37 
380 addClause 16 -23 -71 
381 addClause 51 142 183 
382 addClause -33 -114 71 
383 addClause 108 118 161 
384 addClause 16 -116 62 
385 addClause -39 170 10 
386 addClause -168 139 60 
387 addClause 9 -72 -125 
388 addClause -106 -182 127 
389 addClause 121 -68 -121 
390 addClause 128 20 139 
391 addClause -6 4 133 
392 addClause -6 92 -17 
393 addClause -86 -75 126 
394 addClause 126 -13 -57 
395 addClause 170 52 62 
396 addClause -77 -165 57 
397 addClause 25 -90 -154 
398 addClause 182 -170 184 
399 addClause 53 150 169 
400 addClause -135 -46 -35 
401 addClause 94 -26 -19 
402 addClause -32 138 112 
403 addClause -69 -174 70 
404 addClause -100 159 -9 
405 addClause 18 -70 79 
406 addClause -54 -179 89 
407 addClause 176 -40 87 
408 addClause 26 63 -96 
409 addClause 161 45 -88 
410 addClause 101 -124 -97 
411 addClause -175 173 76 
412 addClause -87 53 -168 
413 addClause -80 -167 -33 
414 addClause 96 83 17 
415 addClause -175 17 -73 
416 addClause -159 -74 -144 
417 addClause -142 50 48 
418 addClause 158 -50 9 
419 addClause 132 -154 182 
420 addClause 161 -9 -48 
421 addClause -185 147 -159 
422 addClause -62 141 96 
423 addClause 5 -16 146 
424 addClause 117 -87 133 
425 addClause 109 -154 86 
426 addClause -124 41 175 
427 addClause -108 45 113 
428 addClause 141 142 -166 
429 addClause 152 6 -12 
430 addClause -106 -147 77 
431 addClause 30 162 -123 
432 addClause 21 86 185 
433 addClause 130 100 -25 
434 addClause -75 172 51 
435 addClause -87 33 35 
436 addClause 149 92 10 
437 addClause 160 -135 36 
438 addClause 159 105 150 
439 addClause -4 77 159 
440 addClause -65 -92 103 
441 addClause 140 120 -55 
442 addClause 147 54 84 
443 addClause 51 46 39 
444 addClause 111 110 51 
445 addClause 30 132 -43 
446 addClause -44 19 -127 
447 addClause -167 -100 -64 
448 addClause 87 95 185 
449 addClause 111 -10 -111 
450 addClause -182 134 120 
451 addClause -117 101 -155 
452 addClause -66 -112 84 
453 addClause -30 5 -59 
454 addClause -147 55 -9 
455 addClause 137 -96 -35 
456 addClause -5 36 137 
457 addClause 47 -90 124 
458 addClause 52 69 56 
459 addClause -83 -138 -45 
460 addClause 95 -20 85 
461 addClause -14 -17 65 
462 addClause -113 -143 19 
463 addClause 27 -140 90 
464 addClause 167 103 126 
465 addClause -120 -169 174 
466 addClause -154 -164 -59 
467 addClause -8 -126 172 
468 assuming -79 -140 -31 -152 -173 25 -97 91 -93 -75 162 -60 -61 -16 67 -57 -129 -175 
469 addClause 101 -92 213 
470 addClause 196 -125 134 
471 addClause -89 -87 -220 
472 addClause -114 -213 -190 
473 addClause 198 -29 7 
474 addClause -211 216 214 
475 addClause 53 -51 50 
476 addClause -218 207 228 
477 addClause -42 46 -78 
478 addClause -150 -105 213 
479 addClause 74 117 -210 
480 addClause -117 245 -41 
481 addClause -216 51 29 
482 addClause -107 -181 -114 
483 addClause -209 -165 183 
484 addClause 139 43 -79 
485 addClause -239 -37 -133 
486 addClause -175 173 -22 
487 addClause 194 167 4 
488 addClause 247 35 72 
489 addClause 232 -249 159 
490 addClause -216 -36 99 
491 addClause -24 -3 -6 
492 addClause 218 74 -193 
493 addClause -82 46 188 
494 addClause -168 -56 42 
495 addClause -103 -159 145 
496 addClause 238 180 87 
497 addClause 187 -177 42 
498 addClause -86 110 -92 
499 addClause 112 184 -51 
500 addClause 49 -210 62 
501 addClause -18 88 -244 
502 addClause -204 29 203 
503 addClause 215 152 -118 
504 addClause -116 -190 95 
505 addClause 18 -23 39 
506 addClause 209 -203 157 
507 addClause 113 -161 44 
508 addClause -199 10 -209 
509 addClause -13 -73 -196 
510 addClause 67 -33 -248 
511 addClause 84 133 125 
512 addClause -200 57 -145 
513 addClause 201 -234 -195 
514 addClause 77 174 135 
515 addClause -227 -187 135 
516 addClause -46 -130 -246 
517 addClause -189 -236 -21 
518 addClause 158 134 -39 
519 addClause -182 -118 137 
520 addClause -109 5 -203 
521 addClause -2 -243 -206 
522 addClause 141 -124 96 
523 addClause -216 150 238 
524 addClause -56 -64 -225 
525 addClause 131 -235 169 
526 addClause 244 34 -57 
527 addClause 175 127 244 
528 addClause 3 -108 122 
529 addClause 55 -171 -44 
530 addClause 75 -162 -249 
531 addClause -204 -20 85 
532 addClause 76 -26 191 
533 addClause 214 123 5 
534 addClause 21 -24 123 
535 addClause 227 132 61 
536 addClause 230 -35 -242 
537 addClause -127 -170 -99 
538 addClause 111 198 137 
539 addClause -214 95 45 
540 addClause 159 -171 -12 
541 addClause -239 -81 168 
542 addClause -176 11 -178 
543 addClause -156 -55 -13 
544 addClause 203 102 70 
545 addClause 171 4 -211 
546 addClause 235 84 81 
547 addClause -148 146 -72 
548 addClause -53 -208 160 
549 addClause -40 -166 -122 
550 addClause -6 -114 -236 
551 addClause 28 54 107 
552 addClause -168 8 -120 
553 addClause 246 -109 169 
554 addClause -47 118 111 
555 addClause 70 -71 -201 
556 addClause -234 -160 -143 
557 addClause -25 158 88 
558 addClause 40 -221 93 
559 addClause -242 131 -201 
560 addClause 102 52 -105 
561 addClause -206 -16 -169 
562 addClause -173 -193 -82 
563 addClause -47 -118 -54 
564 addClause 225 248 58 
565 addClause -111 127 216 
566 addClause 191 190 10 
567 addClause 82 -66 209 
568 addClause 38 -239 204 
569 addClause 134 138 46 
570 addClause -213 -6 -161 
571 addClause -163 210 -107 
572 addClause 224 103 107 
573 addClause 103 -198 -158 
574 addClause -148 -137 198 
575 addClause -192 133 -85 
576 addClause -37 146 -211 
577 addClause 190 215 -172 
578 addClause 88 -169 60 
579 addClause -127 169 119 
580 addClause 247 -227 -144 
581 addClause 174 -147 -91 
582 addClause -31 -95 -14 
583 addClause 83 -205 -238 
584 addClause 248 33 21 
585 addClause 19 -37 7 
586 addClause 39 -176 215 
587 addClause 78 210 -29 
588 addClause 203 -235 -234 
589 addClause 78 -131 49 
590 addClause 167 -108 -91 
591 addClause 199 -17 -32 
592 addClause 221 -150 219 
593 addClause -166 -190 237 
594 addClause 72 203 -176 
595 addClause -12 -49 40 
596 addClause 107 161 -153 
597 addClause 239 -130 69 
598 addClause -76 93 -181 
599 addClause -74 168 140 
600 addClause -206 -128 154 
601 addClause -219 27 124 
602 addClause -165 123 170 
603 addClause -167 -36 -209 
604 addClause -15 -7 -59 
605 addClause 113 -207 -109 
606 addClause 48 114 21 
607 addClause -191 -43 226 
608 addClause -10 93 -43 
609 addClause 207 179 27 
610 addClause -88 -53 43 
611 addClause -168 219 -56 
612 addClause 20 165 -198 
613 addClause -127 184 -5 
614 addClause 78 -90 -97 
615 addClause -18 -190 -118 
616 addClause 197 8 -205 
617 addClause 4 248 -190 
618 addClause -35 -159 -125 
619 addClause -100 -157 -237 
620 addClause -109 -140 -136 
621 addClause -52 113 -231 
622 addClause 234 137 58 
623 addClause -247 -129 -53 
624 addClause 196 -92 -188 
625 addClause -26 101 41 
626 assuming -58 139 -68 -165 105 -102 162 -97 231 -185 -167 -120 -77 196 64 26 -88 -159 -32 -112 168 213 129 217 
627 addClause 55 254 -68 
628 addClause 5 -307 357 
629 addClause 147 -163 314 
630 addClause -332 -252 315 
631 addClause -276 403 2 
632 addClause -379 -328 141 
633 addClause -410 -317 87 
634 addClause -359 249 140 
635 addClause 49 144 -258 
636 addClause 275 -167 362 
637 addClause 237 -389 321 
638 addClause -225 -97 167 
639 addClause -60 350 323 
640 addClause -380 -324 -267 
641 addClause -41 260 139 
642 addClause -154 -245 384 
643 addClause 159 -293 15 
644 addClause -103 -161 -386 
645 addClause -212 -341 -302 
646 addClause 31 -16 262 
647 addClause 103 -30 -221 
648 addClause 50 94 12 
649 addClause -337 406 -403 
650 addClause -38 -308 37 
651 addClause 223 -74 329 
652 addClause -426 352 -105 
653 addClause -65 -425 163 
654 addClause 332 -257 -251 
655 addClause 396 29 196 
656 addClause -165 -335 -265 
657 addClause -341 -140 19 
658 addClause 25 311 110 
659 addClause 83 -193 -151 
660 addClause 77 -209 67 
661 addClause -132 -183 163 
662 addClause 178 -10 326 
663 addClause 348 -198 131 
664 addClause -170 -87 -194 
665 addClause 20 101 -310 
666 addClause -12 101 216 
667 addClause -14 -404 419 
668 addClause 50 41 365 
669 addClause 340 -339 370 
670 addClause 21 -287 -182 
671 addClause -396 -1 -187 
672 addClause 219 70 107 
673 addClause 391 -26 -189 
674 addClause 235 345 75 
675 addClause 141 -199 -381 
676 addClause -289 398 274 
677 addClause 358 -142 339 
678 addClause 237 -100 -58 
679 addClause -280 -177 234 
680 addClause 16 353 -324 
681 addClause -418 312 307 
682 addClause -400 -221 -373 
683 addClause 309 -21 -361 
684 addClause 368 -418 -118 
685 addClause -67 -201 116 
686 addClause 338 -293 -372 
687 addClause -266 -32 -150 
688 addClause -45 -305 -300 
689 addClause 141 -314 -80 
690 addClause 108 201 338 
691 addClause 272 117 -248 
692 addClause 32 42 -60 
693 addClause -39 -425 -189 
694 addClause -262 -209 78 
695 addClause 111 -354 -268 
696 addClause 263 271 228 
697 addClause -53 -25 -343 
698 addClause 395 111 -101 
699 addClause 397 -348 186 
700 addClause -420 -97 -169 
701 addClause 70 -157 413 
702 addClause -312 146 63 
703 addClause 30 358 -222 
704 addClause 75 -211 396 
705 addClause -218 5 -62 
706 addClause 353 12 -367 
707 addClause 43 402 148 
708 addClause 412 -220 415 
709 addClause 241 -116 -40 
710 addClause -110 103 317 
711 addClause -422 -285 77 
712 addClause -146 -347 257 
713 addClause 353 378 -76 
714 addClause -316 -326 171 
715 addClause 230 134 206 
716 addClause 273 -102 112 
717 addClause 360 -353 275 
718 addClause -192 -91 -370 
719 addClause -47 135 12 
720 addClause 163 -52 -167 
721 addClause -136 -148 157 
722 addClause -226 419 393 
723 addClause 266 381 -232 
724 addClause -227 -402 -424 
725 addClause 205 3 99 
726 addClause -165 299 -419 
727 addClause 269 46 -172 
728 addClause 191 -364 -182 
729 addClause 360 290 -275 
730 addClause -304 372 413 
731 addClause 134 117 -144 
732 addClause -98 324 186 
733 addClause -182 390 -157 
734 addClause -1 -148 -13 
735 addClause 113 159 -81 
736 addClause 167 -161 -273 
737 addClause -261 133 -123 
738 addClause -103 -124 3 
739 addClause 185 317 -142 
740 addClause 411 180 14 
741 addClause -123 -308 113 
742 addClause 34 -253 318 
743 addClause -397 -156 -112 
744 addClause 419 425 60 
745 addClause 193 -152 217 
746 addClause -307 205 -37 
747 addClause -241 -49 -288 
748 addClause 182 359 -237 
749 addClause 197 9 367 
750 addClause 100 343 -18 
751 addClause -70 109 124 
752 addClause -186 -262 -3 
753 addClause 239 417 125 
754 addClause 111 256 -157 
755 addClause 131 166 -62 
756 addClause -87 -327 -282 
757 addClause -351 -85 -139 
758 addClause 254 126 -332 
759 addClause -9 321 -271 
760 addClause 268 80 83 
761 addClause 426 15 154 
762 addClause -183 124 198 
763 addClause -28 249 238 
764 addClause -5 -256 393 
765 addClause -290 -367 -166 
766 addClause 299 -20 18 
767 addClause 71 94 281 
768 addClause -373 336 144 
769 addClause -173 -214 370 
770 addClause 351 238 80 
771 addClause -69 -81 -176 
772 addClause 192 -214 29 
773 addClause -272 -305 -405 
774 addClause 370 76 174 
775 addClause 391 356 95 
776 addClause -29 212 198 
777 addClause 139 70 158 
778 addClause 96 -328 -409 
779 addClause -207 425 153 
780 addClause -299 10 -104 
781 addClause -281 -88 -327 
782 addClause 395 340 272 
783 addClause 13 30 238 
784 addClause 175 212 -195 
785 addClause -121 25 77 
786 addClause -179 -131 -92 
787 addClause -156 -108 162 
788 addClause 242 -351 -407 
789 addClause -398 -181 206 
790 addClause -42 292 -112 
791 addClause 387 -382 40 
792 addClause -318 392 -37 
793 addClause -5 -415 6 
794 addClause 64 -310 176 
795 addClause 306 125 145 
796 addClause 398 7 216 
797 addClause -298 -168 71 
798 addClause 96 -394 257 
799 addClause 310 -123 -309 
800 addClause -141 43 -246 
801 addClause -286 239 27 
802 addClause -41 -99 73 
803 addClause -300 339 417 
804 addClause 63 -149 143 
805 addClause 102 -208 -102 
806 addClause 30 230 -119 
807 addClause -118 224 244 
808 addClause 227 -176 -162 
809 addClause -141 240 191 
810 addClause 295 24 -84 
811 addClause 179 -135 141 
812 addClause -112 173 -204 
813 addClause 138 385 -144 
814 addClause -120 306 -65 
815 addClause -346 -106 351 
816 addClause -150 -33 284 
817 addClause 259 -81 -24 
818 addClause -150 277 -368 
819 addClause -124 34 -364 
820 addClause -374 -78 -275 
821 addClause 267 336 354 
822 addClause 87 -303 -195 
823 addClause 309 356 -244 
824 addClause -34 -232 309 
825 addClause 225 405 -404 
826 addClause 331 282 114 
827 addClause 94 396 -236 
828 addClause -212 -114 -150 
829 addClause -308 -155 -194 
830 addClause 329 198 20 
831 addClause -15 -215 -230 
832 addClause 260 -19 265 
833 addClause 107 -174 310 
834 addClause 237 -75 -132 
835 addClause 137 -354 -365 
836 addClause -108 -55 -104 
837 addClause -142 -372 322 
838 addClause -311 -67 -117 
839 addClause 216 -292 325 
840 addClause 93 18 -147 
841 addClause 157 -327 -215 
842 addClause 328 416 276 
843 addClause -369 218 -329 
844 addClause -12 326 -255 
845 addClause 387 335 406 
846 addClause 288 -61 -47 
847 addClause 25 -358 227 
848 addClause -413 159 351 
849 addClause -23 -311 -422 
850 addClause 36 229 116 
851 addClause -235 357 228 
852 addClause -74 -138 -42 
853 addClause -223 -411 164 
854 addClause 39 417 -74 
855 addClause -9 -99 -239 
856 addClause 91 211 -227 
857 addClause 270 287 400 
858 addClause 164 233 -67 
859 addClause -134 -222 -283 
860 addClause 401 215 -219 
861 addClause 70 -298 -142 
862 addClause 138 16 31 
863 addClause 124 -50 -271 
864 addClause -143 193 -262 
865 addClause 132 389 -210 
866 addClause -411 107 -156 
867 addClause -243 131 48 
868 addClause -22 178 -356 
869 addClause -24 -403 -314 
870 addClause -281 -107 391 
871 addClause -27 -427 366 
872 addClause 415 -322 -6 
873 addClause -43 151 -210 
874 addClause -355 276 214 
875 addClause 106 -287 -211 
876 addClause -28 351 -59 
877 addClause -235 422 -321 
878 addClause -2 141 80 
879 addClause -37 92 405 
880 addClause -385 -270 -412 
881 addClause -215 95 406 
882 addClause 112 -365 -276 
883 addClause 16 -106 354 
884 addClause -22 -393 367 
885 addClause -18 193 160 
886 addClause 304 -88 -210 
887 addClause 152 -412 397 
888 addClause -290 88 -16 
889 addClause 346 63 -343 
890 addClause 314 343 354 
891 addClause 61 -9 -416 
892 addClause 136 -180 -232 
893 addClause -418 -320 200 
894 addClause -336 309 -69 
895 addClause 224 -43 -298 
896 addClause 20 41 -40 
897 addClause 365 -425 83 
898 addClause 18 -123 -379 
899 addClause -265 13 -289 
900 addClause -23 -65 237 
901 addClause 97 379 -323 
902 addClause 129 -173 14 
903 addClause 5 -262 -403 
904 addClause 175 423 -362 
905 addClause -76 76 -396 
906 addClause 233 163 -217 
907 addClause 98 -134 190 
908 addClause 422 -390 -235 
909 addClause -142 -223 -161 
910 addClause 194 -40 -57 
911 addClause -343 -135 153 
912 addClause -260 -313 111 
913 addClause -333 19 -405 
914 addClause 226 74 236 
915 addClause 216 174 330 
916 addClause 179 334 225 
917 addClause -216 -203 -266 
918 addClause 25 256 -321 
919 addClause 249 -88 320 
920 addClause 317 -190 345 
921 addClause 132 195 140 
922 addClause 154 -53 -149 
923 addClause -346 -187 -169 
924 addClause 44 332 245 
925 addClause -302 196 -193 
926 addClause 162 227 -102 
927 addClause 316 128 240 
928 addClause 402 -119 -70 
929 addClause 102 -306 203 
930 addClause -241 -85 357 
931 addClause -106 -194 -299 
932 addClause 314 -52 -364 
933 addClause 307 -140 271 
934 addClause 71 -351 -251 
935 addClause -287 109 -399 
936 addClause -22 232 -66 
937 addClause -268 390 384 
938 addClause 251 -423 43 
939 addClause 328 -367 -156 
940 addClause 102 -298 310 
941 addClause 392 54 6 
942 addClause -193 -129 425 
943 addClause 237 -349 -51 
944 addClause 226 397 128 
945 addClause -203 -174 -95 
946 addClause 160 371 -366 
947 addClause 120 -193 81 
948 addClause 387 -258 100 
949 addClause 405 427 -402 
950 addClause 66 391 -259 
951 addClause -108 73 -95 
952 addClause -381 -242 254 
953 addClause 103 2 259 
954 addClause -268 317 -127 
955 addClause 36 293 160 
956 addClause 423 295 225 
957 addClause 309 401 -70 
958 addClause -183 -243 213 
959 addClause -412 -287 194 
960 addClause 223 -25 288 
961 addClause -157 237 -182 
962 addClause -363 123 32 
963 addClause -221 -408 352 
964 addClause 26 121 9 
965 addClause -96 -2 88 
966 addClause -231 -75 -8 
967 addClause -2 76 -47 
968 addClause -286 426 -168 
969 addClause -99 -400 -372 
970 addClause -140 331 338 
971 addClause 391 -168 -261 
972 addClause 75 107 -3 
973 addClause 282 -334 -200 
974 addClause 256 -9 -195 
975 addClause 245 224 24 
976 addClause -212 -19 -167 
977 addClause 105 -191 -349 
978 addClause -219 28 394 
979 addClause 229 223 100 
980 addClause -344 -133 219 
981 addClause -21 264 43 
982 addClause 229 100 252 
983 addClause -211 -204 -61 
984 addClause -363 -247 -21 
985 addClause -128 -282 49 
986 addClause 76 26 288 
987 addClause 320 -207 -184 
988 addClause -362 170 145 
989 addClause 291 -132 -419 
990 addClause 27 359 33 
991 addClause 197 385 112 
992 addClause -82 54 -300 
