1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : PureOrder/period=20
4 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
5 Restart Strategy : MiniSATRestarts
146 addClause -44 -123 -143 
147 addClause 107 -76 158 
148 addClause -113 48 -22 
149 addClause 30 -100 -73 
150 addClause -40 64 6 
151 addClause 154 109 50 
152 addClause 126 55 -143 
153 addClause -111 148 -23 
154 addClause -20 -36 119 
155 addClause 82 162 71 
156 addClause -114 167 -151 
157 addClause -65 -60 152 
158 addClause -133 4 -162 
159 addClause -101 38 -104 
160 addClause -40 20 161 
161 addClause 67 -114 114 
162 addClause 90 -122 -88 
163 addClause 26 40 -37 
164 addClause -25 -23 89 
165 addClause 117 149 30 
166 addClause 162 35 -19 
167 addClause 63 110 154 
168 addClause -125 55 -86 
169 addClause 55 97 117 
170 addClause 69 160 -78 
171 addClause 1 147 89 
172 addClause 106 137 142 
173 addClause 131 81 -102 
174 addClause 121 78 -69 
175 addClause 139 -110 -113 
176 addClause 21 -62 20 
177 addClause 109 -51 -22 
178 addClause 54 6 62 
179 addClause -132 84 142 
180 addClause -89 -102 -152 
181 addClause 23 103 27 
182 addClause -12 -148 152 
183 addClause 80 -162 119 
184 addClause -43 5 120 
185 addClause 19 41 -13 
186 addClause -148 -85 53 
187 addClause 147 -127 1 
188 addClause 93 45 -68 
189 addClause 75 79 -50 
190 addClause 101 -40 -31 
191 addClause 40 -124 -95 
192 addClause 135 -93 -119 
193 addClause -6 94 -63 
194 addClause 118 -121 -168 
195 addClause 160 105 -68 
196 addClause -44 -168 153 
197 addClause 12 105 -12 
198 addClause -52 -61 143 
199 addClause -99 -46 -97 
200 addClause -54 -30 -110 
201 addClause 25 -141 132 
202 addClause 160 50 165 
203 addClause -50 -137 -168 
204 addClause -31 -62 8 
205 addClause -88 -1 -50 
206 addClause -1 -19 146 
207 addClause -67 143 -74 
208 addClause 150 9 154 
209 addClause 38 -40 -82 
210 addClause 62 -91 -62 
211 addClause -165 -113 -124 
212 addClause -63 34 45 
213 addClause -146 101 15 
214 addClause 82 -55 -107 
215 addClause 165 26 92 
216 addClause -19 -61 -65 
217 addClause -133 -27 149 
218 addClause -144 61 -129 
219 addClause 39 126 -65 
220 addClause -52 -28 -13 
221 addClause 49 -37 93 
222 addClause 79 94 -161 
223 addClause -90 160 41 
224 addClause 60 42 157 
225 addClause -46 142 -66 
226 addClause 159 -40 -42 
227 addClause 147 77 73 
228 addClause -126 133 66 
229 addClause -155 -88 -127 
230 addClause -147 1 159 
231 addClause -125 -75 55 
232 addClause -6 109 -105 
233 addClause -134 -143 -77 
234 addClause -18 -9 -131 
235 addClause -125 93 87 
236 addClause -112 -45 27 
237 addClause -95 -65 35 
238 addClause -132 92 -50 
239 addClause -79 -8 -14 
240 addClause 134 -149 139 
241 addClause 128 85 -2 
242 addClause 88 91 -142 
243 addClause 45 91 -132 
244 addClause 59 -98 153 
245 addClause 124 77 -113 
246 addClause 118 -69 -17 
247 addClause -58 163 -71 
248 addClause 124 -106 49 
249 addClause -121 -5 44 
250 addClause 103 -104 108 
251 addClause -7 27 34 
252 addClause 18 -133 97 
253 addClause -143 -89 35 
254 addClause -162 -22 16 
255 addClause -117 119 28 
256 addClause 15 -63 91 
257 addClause -94 111 44 
258 addClause -103 165 -49 
259 addClause -32 -161 31 
260 addClause -82 -148 -143 
261 addClause -165 95 144 
262 addClause -110 120 89 
263 addClause -101 18 60 
264 addClause 110 -109 -27 
265 addClause 165 -106 142 
266 addClause -133 -37 135 
267 addClause -99 113 17 
268 addClause -157 57 -45 
269 addClause 122 15 37 
270 addClause 92 88 -53 
271 addClause -157 -68 -161 
272 addClause 2 163 -140 
273 addClause 105 32 101 
274 addClause -159 114 123 
275 addClause -65 35 -156 
276 addClause -17 -53 105 
277 addClause -163 -38 -104 
278 addClause 27 -36 161 
279 addClause 81 132 -6 
280 addClause 13 58 141 
281 addClause 102 26 -136 
282 addClause 154 -10 5 
283 addClause 6 -151 44 
284 addClause -15 102 128 
285 addClause 109 -35 120 
286 addClause 65 69 102 
287 addClause 70 -133 37 
288 addClause -97 54 -53 
289 addClause 103 128 -53 
290 addClause -49 -30 29 
291 addClause -133 115 -39 
292 addClause -47 75 154 
293 addClause 77 8 150 
294 addClause -134 51 86 
295 addClause 141 -140 -159 
296 addClause -137 -104 -66 
297 addClause 33 -60 -102 
298 addClause 143 136 -18 
299 addClause 67 23 160 
300 addClause 91 -64 24 
301 addClause -111 42 93 
302 addClause 5 31 -124 
303 addClause 138 -42 -99 
304 addClause 49 91 21 
305 addClause 31 -124 89 
306 addClause -104 -147 -11 
307 addClause -122 91 115 
308 addClause 105 142 153 
309 addClause 149 31 -104 
310 addClause 151 -64 -103 
311 addClause -132 109 102 
312 addClause -17 146 126 
313 addClause -121 -134 51 
314 addClause 73 134 -39 
315 addClause -97 116 -160 
316 addClause -161 162 135 
317 addClause 106 118 156 
318 addClause 31 167 -12 
319 addClause -147 145 52 
320 addClause 137 144 -149 
321 addClause -130 5 161 
322 addClause 102 161 -154 
323 addClause -132 56 -129 
324 addClause 127 -140 -75 
325 addClause -39 149 -68 
326 addClause -26 12 3 
327 addClause 69 -62 59 
328 addClause -51 -75 -72 
329 addClause 36 97 -96 
330 addClause -65 114 -135 
331 addClause 6 21 -145 
332 addClause 141 -23 -125 
333 addClause 4 -138 57 
334 addClause -111 -66 62 
335 addClause -83 -42 126 
336 addClause 114 16 -72 
337 addClause -50 41 38 
338 addClause 50 -101 46 
339 addClause 42 52 -125 
340 addClause -23 -106 -61 
341 addClause -68 -163 -83 
342 addClause -127 -17 -38 
343 addClause -24 -25 -145 
344 addClause 130 -21 15 
345 addClause -102 -39 -61 
346 addClause 95 -117 -43 
347 addClause 127 111 -39 
348 addClause 85 72 -20 
349 addClause 47 110 58 
350 addClause -23 -47 17 
351 addClause -126 56 -56 
352 addClause -151 116 -78 
353 addClause 15 146 -105 
354 addClause -87 -81 -41 
355 addClause 37 -106 -43 
356 addClause 106 68 -30 
357 addClause -14 -67 47 
358 addClause 81 -84 -160 
359 addClause 83 -101 81 
360 addClause 135 -17 152 
361 addClause -149 -73 -113 
362 addClause -9 -81 -50 
363 addClause 130 -20 80 
364 addClause -52 -26 -60 
365 addClause 96 -63 86 
366 addClause -90 -41 -60 
367 addClause -102 23 12 
368 addClause 78 -4 154 
369 addClause 48 -143 75 
370 addClause 146 -134 -168 
371 addClause -8 -42 -131 
372 addClause -164 14 112 
373 addClause -91 -161 140 
374 addClause 96 41 105 
375 addClause 21 122 13 
376 addClause 71 -114 33 
377 addClause 56 -13 -112 
378 addClause -121 85 -22 
379 addClause -24 6 79 
380 addClause -104 -151 158 
381 addClause -28 -14 37 
382 addClause -23 -61 3 
383 addClause -43 111 -78 
384 addClause 30 37 117 
385 addClause -98 -46 15 
386 addClause -95 143 11 
387 addClause -14 25 -137 
388 addClause -123 -1 57 
389 addClause 152 28 -17 
390 addClause -78 31 -113 
391 addClause -92 -160 65 
392 addClause 35 -37 84 
393 addClause 160 83 27 
394 addClause 96 137 84 
395 addClause 109 98 142 
396 addClause 119 55 -137 
397 addClause 139 104 -41 
398 addClause 97 -105 52 
399 addClause -56 147 9 
400 addClause 151 -92 -87 
401 addClause 164 83 39 
402 addClause 148 -111 -148 
403 addClause -117 -109 -120 
404 addClause 49 -155 -147 
405 addClause -22 -59 60 
406 addClause 123 -147 -37 
407 addClause -79 -77 53 
408 addClause 80 -49 31 
409 addClause -84 -14 64 
410 addClause -53 158 -17 
411 addClause -166 13 163 
412 addClause -40 -11 128 
413 addClause 73 -12 153 
414 addClause 24 -98 -63 
415 addClause -120 10 55 
416 addClause -27 -107 148 
417 addClause -144 83 160 
418 addClause 103 65 -120 
419 addClause 48 117 136 
420 addClause -43 -85 117 
421 addClause -103 88 -27 
422 addClause 148 -113 35 
423 addClause 146 -11 -19 
424 addClause -146 -70 9 
425 addClause 134 119 88 
426 addClause 74 149 56 
427 addClause 30 -111 58 
428 addClause 17 -167 -25 
429 addClause 98 164 141 
430 addClause -55 130 120 
431 addClause -156 111 -11 
432 addClause 57 -48 12 
433 addClause 39 20 154 
434 addClause 1 77 128 
435 addClause -103 -91 120 
436 addClause 121 65 -152 
437 addClause -31 -53 -26 
438 addClause -96 -21 -16 
439 addClause -40 -18 88 
440 addClause -38 -19 59 
441 addClause 40 -87 -131 
442 addClause -140 -37 -102 
443 addClause 151 111 -8 
444 addClause -147 144 89 
445 addClause 166 65 11 
446 addClause -114 -137 14 
447 addClause 116 68 149 
448 addClause 142 103 69 
449 addClause 4 -136 -66 
450 addClause 167 8 11 
451 addClause 119 -87 111 
452 addClause 164 -77 -116 
453 addClause -130 -132 -21 
454 addClause -84 -150 97 
455 addClause -66 73 29 
456 addClause -112 101 -138 
457 addClause -151 -5 -153 
458 addClause 93 56 -20 
459 addClause 24 -99 -47 
460 addClause -90 -164 82 
461 addClause -9 -12 -166 
462 addClause 80 27 34 
463 addClause 155 -101 34 
464 addClause 4 -30 37 
465 addClause -62 166 -11 
466 addClause 69 -58 32 
467 addClause 42 19 -122 
468 addClause -163 39 -146 
469 addClause -86 -51 13 
470 addClause 149 142 55 
471 addClause -45 -86 122 
472 addClause -39 -14 16 
473 addClause 86 121 -123 
474 addClause 139 -123 -66 
475 addClause 112 -109 -114 
476 addClause 44 64 148 
477 addClause -8 -163 129 
478 addClause -94 49 -165 
479 addClause 22 154 91 
480 addClause -118 105 -76 
481 addClause 35 34 -161 
482 addClause 53 -64 122 
483 addClause 150 -4 10 
484 addClause 156 -78 -59 
485 addClause -111 -63 157 
486 addClause -27 144 -20 
487 addClause -39 -140 108 
488 addClause 18 -128 -44 
489 addClause 142 113 19 
490 addClause -13 19 146 
491 addClause -134 33 -56 
492 addClause -149 -166 -32 
493 addClause -99 81 66 
494 addClause 36 137 106 
495 addClause 113 89 11 
496 addClause 161 -7 -156 
497 addClause -105 82 -136 
498 addClause 98 117 101 
499 addClause 153 -36 146 
500 addClause 39 70 156 
501 addClause 145 -156 -137 
502 addClause -118 -46 -158 
503 addClause -20 -145 -115 
504 addClause -26 -14 -54 
505 addClause 60 25 134 
506 addClause -64 -46 37 
507 addClause 36 30 -69 
508 addClause 138 -6 59 
509 addClause 1 46 -2 
510 addClause 57 -24 -80 
511 addClause 152 -134 167 
512 addClause -115 157 -18 
513 addClause -125 28 -102 
514 solve
