1 init
2 Data Structure Factory : CardinalityDataStructureYanMin
3 Order : PureOrder/period=31
4 Phase Selection Strategy : RandomLiteralSelectionStrategy
5 Learning Strategy : NoLearningButHeuristics
178 addClause -8 -99 -66 
179 addClause -18 68 121 
180 addClause -74 120 94 
181 addClause -43 5 93 
182 addClause -33 -91 -84 
183 addClause 11 82 -129 
184 addClause 117 78 20 
185 addClause 109 124 4 
186 addClause 87 -83 -100 
187 addClause -4 82 62 
188 addClause 110 130 4 
189 addClause 17 -101 -87 
190 addClause -41 -30 -69 
191 addClause -2 -126 -55 
192 addClause 111 -132 -57 
193 addClause -7 -32 74 
194 addClause 115 -131 -46 
195 addClause 125 43 98 
196 addClause -61 91 -116 
197 addClause 45 30 53 
198 addClause 3 -111 -84 
199 addClause 128 -85 -91 
200 addClause -22 17 -60 
201 addClause 40 -107 42 
202 addClause -119 -38 18 
203 addClause 126 98 112 
204 addClause -78 116 -88 
205 addClause 43 -126 -45 
206 addClause -121 62 -79 
207 addClause 67 -11 -126 
208 addClause 3 51 -127 
209 addClause -127 -13 -59 
210 addClause -121 11 -107 
211 addClause -22 -112 15 
212 addClause 105 11 -59 
213 addClause -78 99 -3 
214 addClause 84 21 87 
215 addClause 112 -20 -90 
216 addClause 73 116 67 
217 addClause -10 -29 -87 
218 addClause 103 -6 49 
219 addClause 26 -56 88 
220 addClause 70 -44 124 
221 addClause 72 -63 9 
222 addClause 69 -68 121 
223 addClause 35 85 -10 
224 addClause 77 -33 81 
225 addClause 13 65 112 
226 addClause -84 98 51 
227 addClause 13 106 109 
228 addClause -60 -128 53 
229 addClause 120 -62 -92 
230 addClause -124 100 -103 
231 addClause -78 -41 -96 
232 addClause -79 -128 64 
233 addClause 123 99 -73 
234 addClause 3 58 30 
235 addClause -105 -34 -126 
236 addClause 78 -103 -101 
237 addClause 12 -4 56 
238 addClause -30 80 32 
239 addClause -3 19 -73 
240 addClause 58 38 2 
241 addClause -31 73 107 
242 addClause -69 -49 91 
243 addClause 125 -51 55 
244 addClause 123 42 115 
245 addClause -102 -96 73 
246 addClause -51 11 114 
247 addClause 30 93 6 
248 addClause 31 83 -74 
249 addClause -46 -108 12 
250 addClause 71 28 55 
251 addClause -51 -84 -30 
252 addClause -127 42 61 
253 addClause -15 -111 91 
254 addClause -56 4 -101 
255 addClause -39 82 65 
256 addClause 120 -79 -61 
257 addClause 57 -17 5 
258 addClause -80 52 81 
259 addClause 41 -31 -57 
260 addClause 106 -95 90 
261 addClause -37 52 -108 
262 addClause 15 -61 -107 
263 addClause 68 25 58 
264 addClause -40 109 -43 
265 addClause -18 73 56 
266 addClause 12 109 -86 
267 addClause 28 101 -126 
268 addClause 131 119 86 
269 addClause 36 -98 -42 
270 addClause 81 -92 80 
271 addClause -57 -5 -31 
272 addClause 60 -81 104 
273 addClause 129 -63 53 
274 addClause 98 102 4 
275 addClause 114 9 -110 
276 addClause 32 -125 76 
277 addClause -39 -15 -92 
278 addClause -75 -6 -31 
279 addClause 115 51 -127 
280 addClause -94 -34 17 
281 addClause 12 50 10 
282 addClause 12 32 -68 
283 addClause -70 -103 -89 
284 addClause -30 72 -35 
285 addClause 128 -58 -82 
286 addClause -92 -51 -59 
287 addClause -74 104 -85 
288 addClause -81 -31 -100 
289 addClause 117 131 28 
290 addClause -106 -128 110 
291 addClause 61 -124 -14 
292 addClause 24 -127 5 
293 addClause 111 -111 80 
294 addClause -6 -109 114 
295 addClause -131 38 -54 
296 addClause -43 -15 -130 
297 addClause -78 -14 -48 
298 addClause -41 34 -120 
299 addClause -93 -4 92 
300 addClause 36 68 -63 
301 addClause -107 24 129 
302 addClause -9 -122 11 
303 addClause -33 -85 -29 
304 addClause -87 55 -43 
305 addClause 121 23 -50 
306 addClause 50 -36 -59 
307 addClause 79 55 117 
308 addClause 72 91 131 
309 addClause -101 107 73 
310 addClause 71 1 17 
311 addClause 64 -68 53 
312 addClause -22 8 49 
313 addClause -71 -16 25 
314 addClause -40 -70 124 
315 addClause -116 -36 6 
316 addClause -22 -43 34 
317 addClause -61 -106 -62 
318 addClause -80 114 -39 
319 addClause 37 -98 90 
320 addClause 52 -59 -64 
321 addClause 16 47 131 
322 addClause -123 -20 63 
323 addClause 32 -105 96 
324 addClause 106 52 79 
325 addClause 89 104 -47 
326 addClause 108 96 -32 
327 addClause 118 -128 -30 
328 addClause 100 -104 -49 
329 addClause 115 -46 2 
330 addClause 117 34 -17 
331 addClause 53 131 86 
332 addClause 114 50 110 
333 addClause 30 43 -44 
334 addClause -12 -59 -82 
335 addClause -124 -117 4 
336 addClause 96 -36 112 
337 addClause -22 -3 116 
338 addClause -55 -41 131 
339 addClause -13 -128 -82 
340 addClause -18 -67 -20 
341 addClause 80 17 -109 
342 addClause 53 118 -34 
343 addClause 89 -20 -34 
344 addClause -94 120 93 
345 addClause -18 -128 108 
346 addClause -110 -65 104 
347 addClause 7 5 49 
348 addClause 68 108 -15 
349 addClause -108 -65 32 
350 addClause -10 -74 -54 
351 addClause -125 103 -23 
352 addClause 20 -91 97 
353 addClause -100 94 -109 
354 addClause 123 1 80 
355 addClause 112 61 23 
356 addClause 51 -56 -2 
357 addClause -66 52 -104 
358 addClause -10 -17 122 
359 addClause 113 -12 38 
360 addClause -44 -84 -131 
361 addClause -128 98 95 
362 addClause 66 -50 -114 
363 addClause -66 116 -76 
364 addClause -18 -132 -41 
365 addClause -77 130 8 
366 addClause 64 -126 -68 
367 addClause -19 -68 104 
368 addClause -78 31 -70 
369 addClause 82 104 110 
370 addClause 129 -73 2 
371 addClause 81 110 33 
372 addClause -10 113 -2 
373 addClause -30 105 97 
374 addClause -5 -100 130 
375 addClause 116 56 10 
376 addClause 4 -85 109 
377 addClause -65 -73 -111 
378 addClause -130 -23 8 
379 addClause -67 -130 -103 
380 addClause 69 -69 -31 
381 addClause 43 29 -32 
382 addClause 14 -20 72 
383 addClause -21 36 -68 
384 addClause -59 44 34 
385 addClause 62 -51 -13 
386 addClause 54 40 57 
387 addClause 131 7 41 
388 addClause 71 -128 58 
389 addClause -104 -117 117 
390 addClause 51 107 -34 
391 addClause -31 115 123 
392 addClause 123 84 -113 
393 addClause 12 -54 19 
394 addClause 24 -62 -5 
395 addClause 43 124 14 
396 addClause -80 -38 -31 
397 addClause -79 -121 80 
398 addClause 65 -72 75 
399 addClause -115 -57 -51 
400 addClause -98 -91 4 
401 addClause -34 -59 110 
402 addClause 29 -50 40 
403 addClause -126 85 58 
404 addClause 84 -120 -21 
405 addClause 38 103 -28 
406 solve
407 newVar 22
408 addClause -56 22 137 
409 addClause -7 -41 118 
410 addClause 19 -13 145 
411 addClause 31 89 -22 
412 addClause -111 115 -13 
413 addClause 101 149 76 
414 addClause -22 -125 54 
415 addClause 24 88 9 
416 addClause -131 -95 40 
417 addClause -55 72 -28 
418 addClause 146 46 39 
419 addClause -54 49 -150 
420 addClause -29 147 27 
421 addClause 72 65 -154 
422 addClause -30 -97 -92 
423 addClause -154 -41 -145 
424 addClause -69 -75 125 
425 addClause -153 -10 84 
426 addClause 49 -97 100 
427 addClause -77 -15 100 
428 addClause -33 -151 40 
429 addClause 122 10 31 
430 addClause -153 87 -113 
431 addClause -82 -42 91 
432 addClause -79 48 -77 
433 addClause 96 115 -66 
434 addClause 44 139 -29 
435 addClause 48 -152 20 
436 addClause 64 -35 -45 
437 addClause 24 -150 141 
438 addClause 55 17 -19 
439 addClause 153 140 4 
440 addClause -36 62 -151 
441 addClause 62 115 -78 
442 addClause -67 -68 106 
443 addClause -12 131 34 
444 addClause 104 23 -147 
445 addClause -6 -123 -106 
446 addClause -135 -21 43 
447 addClause -81 91 -147 
448 addClause 91 87 -33 
449 addClause -40 26 -77 
450 addClause -133 138 -38 
451 addClause -79 57 5 
452 addClause 92 16 79 
453 addClause 6 151 -11 
454 addClause -12 51 -82 
455 addClause 139 106 -20 
456 addClause -60 -104 6 
457 addClause 3 133 63 
458 addClause 152 -91 -10 
459 addClause 65 69 13 
460 addClause 46 55 -84 
461 addClause 56 -81 -91 
462 addClause -12 -141 -20 
463 addClause -21 116 50 
464 addClause -7 93 100 
465 addClause 41 133 4 
466 addClause 20 17 101 
467 addClause 24 -153 -48 
468 addClause -147 105 42 
469 addClause 106 52 63 
470 addClause 81 -127 101 
471 addClause 18 27 84 
472 addClause 152 6 141 
473 addClause 8 -124 -72 
474 solve
