1 init
2 Data Structure Factory : MixedDataStructureSingleWL
3 Order : VarOrderHeap/varDecay=0.7771965372843195
4 Phase Selection Strategy : PhaseInLastLearnedClauseSelectionStrategy
5 Learning Strategy : FixedLengthLearning/maxlength=11
574 addClause 247 273 160 
575 addClause -63 -229 269 
576 addClause -100 -62 -40 
577 addClause -17 -115 -91 
578 addClause -204 -72 -15 
579 addClause 218 225 -42 
580 addClause 189 68 198 
581 addClause -208 -116 -269 
582 addClause 65 131 -129 
583 addClause 205 -149 49 
584 addClause 21 150 -89 
585 addClause -277 -26 249 
586 addClause -160 -82 -69 
587 addClause 195 115 231 
588 addClause -183 -39 -204 
589 addClause 253 180 232 
590 addClause 268 77 4 
591 addClause 225 177 -208 
592 addClause -251 112 -86 
593 addClause -179 -240 256 
594 addClause -267 65 -262 
595 addClause -104 -96 -168 
596 addClause 71 130 8 
597 addClause 250 239 41 
598 addClause -247 187 7 
599 addClause 22 -190 -242 
600 addClause -248 11 -120 
601 addClause -48 93 -33 
602 addClause -49 265 42 
603 addClause 191 9 144 
604 addClause -56 143 -24 
605 addClause 271 -119 -239 
606 addClause 43 -105 57 
607 addClause 234 185 -139 
608 addClause -217 178 -39 
609 addClause 163 94 247 
610 addClause 10 82 -233 
611 addClause -157 31 204 
612 addClause -46 -13 128 
613 addClause -33 -51 196 
614 addClause 9 -220 112 
615 addClause 75 63 119 
616 addClause -250 -123 -28 
617 addClause -268 -56 -10 
618 addClause -210 203 18 
619 addClause -216 -122 -211 
620 addClause 19 144 196 
621 addClause 174 -229 180 
622 addClause 107 -248 216 
623 addClause 36 -153 -86 
624 addClause 156 235 134 
625 addClause -266 147 -113 
626 addClause 113 -55 133 
627 addClause -135 -72 -45 
628 addClause -136 54 181 
629 addClause 144 83 125 
630 addClause 133 -53 182 
631 addClause 34 -192 178 
632 addClause -2 -66 120 
633 addClause -272 -234 -121 
634 addClause -98 113 -191 
635 addClause -140 -247 -39 
636 addClause 67 180 223 
637 addClause 232 274 187 
638 addClause 130 81 -264 
639 addClause -119 16 223 
640 addClause -220 43 68 
641 addClause 148 -201 -203 
642 addClause 78 94 -98 
643 addClause -278 17 -200 
644 addClause -62 275 -229 
645 addClause -62 111 155 
646 addClause 77 -131 -83 
647 addClause -263 166 -171 
648 addClause -223 28 -41 
649 addClause 273 -43 223 
650 addClause 25 -183 32 
651 addClause -240 -98 96 
652 addClause -43 -92 -243 
653 addClause -98 222 82 
654 addClause -30 -251 -12 
655 addClause -95 -121 71 
656 addClause -74 -20 -33 
657 addClause -62 -24 -36 
658 addClause -180 136 55 
659 addClause -140 58 -104 
660 addClause -250 194 -258 
661 addClause -58 92 82 
662 addClause 8 -114 164 
663 addClause 11 -171 262 
664 addClause 191 4 -234 
665 addClause 146 -55 -10 
666 addClause -235 263 87 
667 addClause -54 1 178 
668 addClause -147 -42 -63 
669 addClause -41 -17 -217 
670 addClause 277 -99 11 
671 addClause -260 -78 154 
672 addClause -80 113 135 
673 addClause -210 -264 -70 
674 addClause -148 -189 69 
675 addClause -182 -124 58 
676 addClause -78 -135 119 
677 addClause 196 132 -102 
678 addClause 277 52 209 
679 addClause 244 259 -99 
680 addClause -142 -221 -184 
681 addClause 172 -28 -253 
682 addClause -187 184 -75 
683 addClause -266 -239 1 
684 addClause -243 -248 -277 
685 addClause -9 141 201 
686 addClause -231 180 -60 
687 addClause -242 -117 -185 
688 addClause 19 -68 10 
689 addClause -103 -125 -206 
690 addClause 76 -87 259 
691 addClause 77 -39 -185 
692 addClause 89 -189 98 
693 addClause -276 235 166 
694 addClause 234 58 -174 
695 addClause 35 -110 216 
696 addClause -167 -172 -217 
697 addClause 26 -256 229 
698 addClause 251 187 61 
699 addClause -41 -207 62 
700 addClause 272 -21 182 
701 addClause 103 -249 46 
702 addClause -144 -193 -135 
703 addClause 160 -126 84 
704 addClause 117 63 245 
705 addClause -8 -148 164 
706 addClause 193 22 -85 
707 addClause -123 -274 -118 
708 addClause -272 -232 -248 
709 addClause -68 -157 -195 
710 addClause 183 -56 -223 
711 addClause -63 -109 99 
712 addClause 93 -22 4 
713 addClause 37 -146 89 
714 addClause 55 -106 -240 
715 addClause 147 13 -2 
716 addClause 31 -154 78 
717 addClause -127 47 -228 
718 addClause -220 85 214 
719 addClause 270 -194 125 
720 addClause -83 98 208 
721 addClause 154 15 -13 
722 addClause 150 -131 67 
723 addClause -170 -87 -204 
724 addClause -168 -257 146 
725 addClause -240 -90 -22 
726 addClause 43 -67 5 
727 addClause 28 -261 -232 
728 addClause -229 -150 -178 
729 addClause 117 3 156 
730 addClause -263 -192 -151 
731 addClause -64 -268 143 
732 addClause 188 -158 91 
733 addClause -242 154 -7 
734 addClause 104 255 -12 
735 addClause -125 -101 -50 
736 addClause -208 77 82 
737 addClause 188 -77 -38 
738 addClause 64 89 -273 
739 addClause 89 222 63 
740 addClause 186 -16 46 
741 addClause -218 -62 -100 
742 addClause -136 -94 261 
743 addClause -172 10 7 
744 addClause -63 -119 -190 
745 addClause 246 240 178 
746 addClause 80 48 -243 
747 addClause -149 -217 204 
748 addClause 68 -148 -134 
749 addClause 174 40 -263 
750 addClause 108 -261 -231 
751 addClause -144 -61 -47 
752 addClause -192 -71 31 
753 addClause 35 -117 258 
754 addClause 55 90 157 
755 addClause 260 14 28 
756 addClause -110 60 -5 
757 addClause -202 -183 188 
758 addClause -202 64 -201 
759 addClause -247 199 181 
760 addClause -130 200 -106 
761 addClause 168 -258 45 
762 addClause 122 86 271 
763 addClause -260 -42 219 
764 addClause -40 -21 238 
765 addClause 105 16 -219 
766 addClause 130 105 56 
767 addClause -95 -190 184 
768 addClause -211 16 114 
769 addClause -47 268 270 
770 addClause -3 -252 8 
771 addClause -184 -143 -117 
772 addClause -214 66 150 
773 addClause -106 201 191 
774 addClause 77 -46 181 
775 addClause -50 183 207 
776 addClause 190 -19 147 
777 addClause 166 -225 -35 
778 addClause 164 70 252 
779 addClause -196 108 -161 
780 addClause -186 -85 79 
781 addClause -211 126 148 
782 addClause -132 -213 -203 
783 addClause -87 251 -225 
784 addClause -109 -20 -129 
785 addClause -205 -158 -146 
786 addClause 103 -121 -150 
787 addClause 35 96 186 
788 addClause 163 -225 177 
789 addClause 88 -69 -41 
790 addClause -232 -163 -1 
791 addClause 4 113 -34 
792 addClause 8 -99 209 
793 addClause -107 -189 68 
794 addClause 117 183 -197 
795 addClause 142 257 -197 
796 addClause 131 144 -152 
797 addClause 231 164 -5 
798 addClause 146 -205 208 
799 addClause 248 -26 26 
800 addClause 209 53 197 
801 addClause 231 -139 -96 
802 addClause 267 -171 243 
803 addClause 1 177 -24 
804 addClause -60 -204 -216 
805 addClause 60 -3 -29 
806 addClause 202 -240 268 
807 addClause -80 237 -43 
808 addClause -123 -63 74 
809 addClause -220 -55 -264 
810 addClause -270 175 -72 
811 addClause -82 65 -148 
812 addClause -111 -83 47 
813 addClause -178 204 249 
814 addClause 160 65 -23 
815 addClause -176 -53 -230 
816 addClause 244 -26 188 
817 addClause 266 18 -133 
818 addClause 56 -170 -254 
819 addClause -255 255 72 
820 addClause -114 59 -60 
821 addClause -35 -58 -272 
822 addClause 24 -264 -159 
823 addClause 115 -260 261 
824 addClause 47 143 15 
825 addClause 83 266 19 
826 addClause 240 193 -106 
827 addClause 109 -127 -90 
828 addClause 136 186 -151 
829 addClause -136 -4 169 
830 addClause 56 53 -268 
831 addClause 124 220 179 
832 addClause 42 -4 128 
833 addClause -25 63 -197 
834 addClause 29 -55 215 
835 addClause 37 -163 26 
836 addClause 89 148 -29 
837 addClause -94 -40 94 
838 addClause 242 60 -144 
839 addClause 81 214 -39 
840 addClause -246 110 265 
841 addClause 78 -98 -161 
842 addClause 87 7 91 
843 addClause 274 -80 225 
844 addClause 66 -264 175 
845 addClause 219 -191 169 
846 addClause 152 -26 -81 
847 assuming -190 184 198 -175 -55 34 28 -195 -102 88 -37 -244 162 -188 -50 -174 -75 -220 110 207 200 -146 -163 -131 153 -139 -268 
