1 init
2 using solver MiniLearningHeap
173 addClause -152 -85 126 
174 addClause 68 -172 -160 
175 addClause 10 -25 7 
176 addClause 56 -38 93 
177 addClause 55 -157 -8 
178 addClause 159 -73 -16 
179 addClause -178 -72 -62 
180 addClause 40 -30 -99 
181 addClause -110 164 -34 
182 addClause -162 123 -26 
183 addClause 133 138 77 
184 addClause 29 49 108 
185 addClause 169 171 11 
186 addClause 41 160 -97 
187 addClause -114 -165 -3 
188 addClause 18 71 -90 
189 addClause -57 112 101 
190 addClause -119 54 -92 
191 addClause 114 2 -62 
192 addClause 69 165 71 
193 addClause -71 -58 -96 
194 addClause 46 -4 64 
195 addClause -90 182 117 
196 addClause -60 159 -28 
197 addClause 105 -6 -118 
198 addClause 161 -150 69 
199 addClause -171 -101 -150 
200 addClause -2 -142 82 
201 addClause 182 -159 -63 
202 addClause -46 -158 9 
203 addClause -43 -82 -160 
204 addClause 54 -149 69 
205 addClause -72 26 93 
206 addClause 139 84 38 
207 addClause 46 57 -138 
208 addClause 24 -151 -17 
209 addClause -134 102 10 
210 addClause -166 130 137 
211 addClause -106 -72 45 
212 addClause -52 -169 -114 
213 addClause 184 72 -112 
214 addClause 72 -43 35 
215 addClause 160 137 -10 
216 addClause -173 159 -23 
217 addClause -160 32 1 
218 addClause -176 136 93 
219 addClause -60 113 80 
220 addClause 91 -92 -103 
221 addClause -88 67 53 
222 addClause 122 -132 79 
223 addClause 105 -148 35 
224 addClause -178 -53 11 
225 addClause 84 -30 -94 
226 addClause 84 -118 79 
227 addClause -68 -62 -173 
228 addClause -175 79 145 
229 addClause 123 -1 19 
230 addClause -139 23 -133 
231 addClause 63 -47 161 
232 addClause -58 -174 92 
233 addClause -76 79 -79 
234 addClause 12 -114 -31 
235 addClause -83 -22 180 
236 addClause -113 28 -23 
237 addClause -81 130 178 
238 addClause -48 -126 -57 
239 addClause -23 48 84 
240 addClause -1 -174 -84 
241 addClause 183 149 -48 
242 addClause -40 -9 -164 
243 addClause -167 -109 53 
244 addClause 61 -6 -88 
245 addClause -1 180 74 
246 addClause 14 54 -37 
247 addClause -57 -129 57 
248 addClause -26 -104 -115 
249 addClause 93 83 66 
250 addClause -13 -1 55 
251 addClause -72 -122 -98 
252 addClause -183 2 93 
253 addClause 184 -62 85 
254 addClause -80 -159 -81 
255 addClause -174 61 -132 
256 addClause -13 -137 -157 
257 addClause -170 9 -77 
258 addClause -8 110 42 
259 addClause -174 12 -57 
260 addClause 162 31 -155 
261 addClause 134 -167 59 
262 addClause 14 -125 94 
263 addClause -180 -177 94 
264 addClause -101 -182 -68 
265 addClause 142 68 -46 
266 addClause 167 32 88 
267 addClause 76 140 178 
268 addClause -55 9 -11 
269 addClause 35 -97 -43 
270 addClause 81 131 91 
271 addClause -101 -132 -152 
272 addClause 138 -62 -171 
273 addClause 177 -103 109 
274 addClause 102 171 -160 
275 addClause -182 -140 68 
276 addClause 57 98 18 
277 addClause 27 -132 57 
278 addClause -116 33 -30 
279 addClause 160 -177 -21 
280 addClause -39 89 79 
281 addClause 15 -54 155 
282 addClause 172 13 78 
283 addClause 184 77 -51 
284 addClause -11 -49 -106 
285 addClause -8 167 -137 
286 addClause -15 -109 139 
287 addClause 165 120 -145 
288 addClause -91 145 -80 
289 addClause 52 43 97 
290 addClause -112 -38 171 
291 addClause 8 163 -157 
292 addClause -31 177 -29 
293 addClause -140 61 33 
294 addClause -159 -57 168 
295 addClause 55 98 -105 
296 addClause -22 83 -84 
297 addClause -28 -20 -44 
298 addClause 147 127 100 
299 addClause -118 5 -182 
300 addClause 159 63 11 
301 addClause 16 6 162 
302 addClause -132 172 16 
303 addClause -73 131 140 
304 addClause 37 136 166 
305 addClause 181 -51 -105 
306 addClause -27 78 125 
307 addClause 77 167 60 
308 addClause -78 5 -140 
309 addClause -37 91 6 
310 addClause -183 150 -133 
311 addClause 124 -36 -133 
312 addClause 111 25 -149 
313 addClause -49 -76 -162 
314 addClause 77 35 150 
315 addClause -33 -110 -35 
316 addClause -42 -65 -130 
317 addClause -156 88 57 
318 addClause -31 166 102 
319 addClause -14 130 -6 
320 addClause -80 132 127 
321 addClause 126 -13 132 
322 addClause -142 -40 61 
323 addClause 140 -100 155 
324 addClause -90 -73 -5 
325 addClause -94 181 121 
326 addClause -107 -172 104 
327 addClause -113 -42 58 
328 addClause 149 41 67 
329 addClause -118 57 -171 
330 addClause -165 -127 -71 
331 addClause -25 -79 -41 
332 addClause 73 27 59 
333 addClause 183 -139 -182 
334 addClause -180 45 -19 
335 addClause 64 66 -167 
336 addClause 103 -107 -9 
337 addClause 79 -76 -108 
338 addClause 36 180 -147 
339 addClause 61 159 -18 
340 addClause -60 -112 -149 
341 addClause 162 -16 -22 
342 addClause -92 -56 -181 
343 addClause -73 135 14 
344 addClause -141 176 108 
345 addClause -133 103 145 
346 addClause -181 -110 182 
347 addClause 118 -100 -16 
348 addClause 12 -180 -128 
349 addClause 62 -95 160 
350 addClause 130 -58 -178 
351 addClause 139 -25 -58 
352 addClause -143 164 -166 
353 addClause 73 35 -157 
354 addClause 132 102 184 
355 addClause 67 74 124 
356 addClause 11 -2 66 
357 addClause -120 -2 86 
358 addClause -104 -18 -145 
359 addClause 14 -65 110 
360 addClause 10 -184 179 
361 addClause -170 -119 156 
362 addClause -73 -182 -121 
363 addClause 37 -42 180 
364 addClause 7 -165 153 
365 addClause 142 -98 6 
366 addClause -94 49 -27 
367 addClause 17 140 -161 
368 addClause 136 -124 149 
369 addClause -153 79 -5 
370 addClause -156 -42 -79 
371 addClause -38 80 183 
372 addClause -127 52 -108 
373 addClause -78 -82 -156 
374 addClause -96 41 -139 
375 addClause 129 -43 143 
376 addClause 6 -153 -182 
377 addClause -45 -119 110 
378 addClause 22 23 1 
379 addClause 87 89 -23 
380 addClause 31 118 -122 
381 addClause 78 -63 17 
382 addClause -142 -24 127 
383 addClause 13 89 -93 
384 addClause -101 -76 -160 
385 addClause 107 45 184 
386 addClause -131 -40 137 
387 addClause -104 -95 -150 
388 addClause -168 29 -108 
389 addClause 45 -88 -147 
390 addClause 168 -94 -86 
391 addClause 31 23 170 
392 addClause -2 151 -155 
393 addClause 95 169 -2 
394 addClause 74 88 7 
395 addClause -33 -96 139 
396 addClause -92 -3 -179 
397 addClause 146 89 8 
398 addClause 81 -108 42 
399 addClause 54 -12 96 
400 addClause -82 15 -123 
401 addClause -58 175 -45 
402 addClause -68 -123 -14 
403 addClause -48 169 66 
404 addClause 30 -106 79 
405 addClause -50 28 112 
406 addClause 85 -69 -78 
407 addClause 165 5 -60 
408 addClause 33 -178 -71 
409 addClause -103 136 -140 
410 addClause -30 171 -9 
411 addClause -159 169 57 
412 addClause -78 146 99 
413 addClause 34 -79 -88 
414 addClause 136 90 21 
415 addClause -89 -84 -174 
416 addClause 172 19 68 
417 addClause -128 144 118 
418 addClause 157 115 -59 
419 addClause -49 143 -167 
420 addClause -129 53 44 
421 addClause -94 63 125 
422 addClause 163 -92 -144 
423 addClause -39 34 74 
424 addClause 119 51 73 
425 addClause -88 117 -75 
426 addClause 36 84 17 
427 addClause -35 112 -164 
428 addClause -50 -88 -105 
429 addClause 49 103 -183 
430 addClause -44 -107 -109 
431 addClause -68 -64 24 
432 addClause -116 169 28 
433 addClause -171 48 -58 
434 addClause -32 184 142 
435 addClause 138 -37 -11 
436 addClause -76 -105 60 
437 addClause 173 5 -121 
438 addClause 6 139 -127 
439 addClause 102 -175 43 
440 addClause -47 -73 -5 
441 addClause -127 143 142 
442 addClause -170 -157 -77 
443 addClause 163 -90 -72 
444 addClause -154 106 153 
445 addClause -111 -42 162 
446 addClause -16 97 53 
447 addClause -16 14 107 
448 addClause 117 178 29 
449 addClause -100 44 61 
450 addClause -113 76 -76 
451 addClause -93 25 -167 
452 addClause -15 159 -35 
453 addClause -111 158 91 
454 addClause -137 107 111 
455 addClause 65 2 -104 
456 addClause -32 144 87 
457 addClause -139 82 12 
458 addClause 155 152 23 
459 addClause -124 138 -21 
460 addClause 39 24 134 
461 addClause -57 107 183 
462 addClause -131 179 -155 
463 addClause -123 13 72 
464 addClause -116 -184 -64 
465 addClause -168 147 -34 
466 addClause -11 102 32 
467 addClause -139 -104 26 
468 addClause -181 81 -44 
469 addClause -22 -126 -162 
470 addClause 113 166 152 
471 addClause -45 183 24 
472 addClause -47 129 165 
473 addClause -51 -104 -49 
474 addClause -21 84 147 
475 addClause -16 -182 140 
476 addClause -158 -103 107 
477 addClause -72 -26 74 
478 addClause -66 174 105 
479 addClause -118 45 80 
480 addClause -84 -72 105 
481 addClause 60 -51 155 
482 addClause -26 -59 148 
483 addClause 134 144 103 
484 addClause -178 -9 -164 
485 addClause 40 147 -172 
486 addClause -131 -106 -54 
487 addClause 110 -139 -68 
488 addClause -142 44 -73 
489 addClause -164 158 -68 
490 addClause -146 37 -37 
491 addClause -130 142 -69 
492 addClause 17 177 110 
493 addClause -161 -9 -12 
494 addClause 116 49 119 
495 addClause 137 91 -111 
496 addClause 177 -84 175 
497 addClause 69 72 -173 
498 addClause 74 -128 -183 
499 addClause -130 144 113 
500 addClause 52 123 -14 
501 addClause 5 -43 -133 
502 addClause -24 41 145 
503 addClause -103 160 63 
504 addClause 109 -38 75 
505 addClause -12 153 119 
506 addClause -157 69 -64 
507 addClause -157 -184 58 
508 addClause -36 -78 129 
509 addClause 153 -111 -13 
510 addClause -81 -5 -152 
511 addClause 71 -115 96 
512 addClause 36 -22 -173 
513 addClause 116 134 -139 
514 addClause 89 -26 -100 
515 addClause 134 -53 38 
516 addClause 71 -149 80 
517 addClause -155 -93 -172 
518 addClause 88 -44 129 
519 addClause 132 -10 -172 
520 addClause -162 -24 56 
521 addClause 12 62 -6 
522 addClause -151 79 42 
523 addClause 25 -78 34 
524 addClause -158 -105 -94 
525 addClause -132 -109 -119 
526 addClause -180 29 -172 
527 addClause -155 -175 160 
528 addClause 80 153 122 
529 addClause 62 119 -24 
530 addClause -18 45 -175 
531 addClause -164 -173 -146 
532 addClause 112 -154 82 
533 addClause -183 109 4 
534 addClause -55 120 156 
535 addClause -112 64 -31 
536 addClause -161 -152 -148 
537 addClause 111 -91 -67 
538 addClause -159 44 184 
539 addClause 31 -58 -112 
540 addClause 2 -174 -48 
541 addClause -177 -39 134 
542 addClause -91 -122 -167 
543 addClause 142 77 -126 
544 addClause 27 40 -135 
545 addClause -139 139 -108 
546 addClause 130 -174 102 
547 addClause -48 161 125 
548 addClause -94 75 -19 
549 addClause -19 90 -156 
550 addClause -124 -53 -105 
551 addClause 169 165 17 
552 addClause -93 -31 129 
553 addClause 75 -173 -71 
554 addClause -40 -101 96 
555 addClause -76 94 -4 
556 addClause 81 -76 -152 
557 addClause 178 -38 23 
558 addClause 138 104 158 
559 addClause 170 80 38 
560 addClause 124 127 -82 
561 solve
562 newVar 70
563 addClause 98 -89 -138 
564 addClause -253 -151 124 
565 addClause 87 39 -16 
566 addClause 251 196 -165 
567 addClause -2 -165 114 
568 addClause 234 -124 82 
569 addClause -147 46 -132 
570 addClause -189 -37 54 
571 addClause -10 -206 -11 
572 addClause 46 -233 231 
573 addClause -178 22 187 
574 addClause 233 239 -119 
575 addClause 175 195 -139 
576 addClause 122 72 87 
577 addClause -66 162 -169 
578 addClause -189 -106 33 
579 addClause 110 -27 -124 
580 addClause 2 -186 -121 
581 addClause -220 -72 -12 
582 addClause -150 -40 -253 
583 addClause 10 179 158 
584 addClause 97 82 -193 
585 addClause 253 204 71 
586 addClause 185 157 -227 
587 addClause 82 206 19 
588 addClause 70 133 -73 
589 addClause -64 -69 -185 
590 addClause 19 -196 -120 
591 addClause -221 -90 252 
592 addClause -38 -29 240 
593 addClause -146 171 -128 
594 addClause -150 -49 17 
595 addClause -100 22 -44 
596 addClause 193 -154 -44 
597 addClause 253 -150 134 
598 addClause -244 -147 78 
599 addClause -208 -59 159 
600 addClause -183 74 -198 
601 addClause -210 -139 3 
602 addClause -15 47 -100 
603 addClause 88 -233 -216 
604 addClause -19 -37 21 
605 addClause 63 140 69 
606 addClause 208 8 -210 
607 addClause -200 17 -244 
608 addClause 45 -58 -76 
609 addClause -225 -203 -168 
610 addClause -2 171 -207 
611 addClause -88 82 148 
612 addClause 193 178 -211 
613 addClause -133 -55 84 
614 addClause 191 35 -44 
615 addClause 93 109 -166 
616 addClause 20 39 61 
617 addClause 125 -129 96 
618 addClause 60 -114 245 
619 addClause 101 -214 -95 
620 addClause 143 -46 -24 
621 addClause 164 -223 -159 
622 addClause -125 177 241 
623 addClause 177 -244 -98 
624 addClause 12 193 119 
625 addClause -56 81 -36 
626 addClause -36 52 8 
627 addClause -1 191 149 
628 addClause -127 -130 -46 
629 addClause -19 -1 -151 
630 addClause -150 49 -224 
631 addClause 126 -84 -220 
632 addClause 42 180 -155 
633 addClause -90 52 37 
634 addClause 140 -74 69 
635 addClause 181 -194 183 
636 addClause 206 -167 216 
637 addClause -41 240 195 
638 addClause -172 1 149 
639 addClause 81 -172 -7 
640 addClause 253 -102 -154 
641 addClause 93 -1 146 
642 addClause 59 -148 -44 
643 addClause -206 -170 -246 
644 addClause 212 164 218 
645 addClause -189 212 -205 
646 addClause 108 -63 -115 
647 addClause 194 -18 -134 
648 addClause 154 202 -78 
649 addClause 233 -170 -124 
650 addClause 191 -14 131 
651 addClause -187 -245 -209 
652 addClause 57 39 -210 
653 addClause 91 197 180 
654 addClause 130 -16 16 
655 addClause 157 105 -127 
656 addClause -82 165 -136 
657 addClause -105 253 -85 
658 addClause -130 -149 245 
659 addClause -2 -169 174 
660 addClause 178 -1 244 
661 addClause 139 194 -174 
662 addClause 183 -68 5 
663 addClause 92 -106 163 
664 addClause -9 -86 -137 
665 addClause 48 160 -229 
666 addClause 42 -23 89 
667 addClause 121 45 144 
668 addClause 243 25 52 
669 addClause 230 -110 -26 
670 addClause 37 -13 -127 
671 addClause -157 -68 184 
672 addClause 109 13 103 
673 addClause 232 97 -198 
674 addClause -238 136 122 
675 addClause 176 103 149 
676 addClause 195 150 1 
677 addClause -239 -63 84 
678 addClause 205 -77 64 
679 addClause -43 73 -97 
680 addClause -47 -183 240 
681 addClause -50 -252 -229 
682 addClause 56 229 242 
683 addClause -189 69 -246 
684 addClause 95 163 -177 
685 addClause -128 -72 -252 
686 addClause -180 -19 187 
687 addClause -191 25 -21 
688 addClause -20 -68 183 
689 addClause 38 -174 -37 
690 addClause 170 60 -238 
691 addClause 35 72 -38 
692 addClause 2 -247 75 
693 addClause -122 -132 -223 
694 addClause 194 148 76 
695 addClause 199 218 -207 
696 addClause -246 -56 119 
697 addClause -209 119 -231 
698 addClause 126 143 235 
699 addClause 102 -49 136 
700 addClause -97 172 -106 
701 addClause 87 62 115 
702 addClause 252 182 68 
703 addClause -7 -43 216 
704 addClause -154 -230 85 
705 addClause 232 -234 -154 
706 addClause -218 -65 70 
707 addClause -162 124 -71 
708 addClause 60 -1 58 
709 addClause -69 243 -147 
710 addClause -2 -6 -78 
711 addClause -155 -129 50 
712 addClause 14 -171 -240 
713 addClause -26 -82 247 
714 addClause 92 -7 -254 
715 addClause 148 -238 103 
716 addClause 41 -99 114 
717 addClause -248 -10 -46 
718 addClause 48 -234 198 
719 addClause -130 -83 -150 
720 addClause -152 121 204 
721 addClause 35 59 105 
722 addClause 229 28 41 
723 addClause 110 196 93 
724 addClause 68 -216 -238 
725 addClause 10 196 167 
726 addClause 125 102 -21 
727 addClause 66 164 227 
728 addClause 13 37 -26 
729 addClause 8 -107 110 
730 addClause -23 -147 58 
731 addClause -20 169 13 
732 addClause -211 -32 135 
733 addClause -213 30 150 
734 addClause 159 -115 2 
735 addClause 38 42 -30 
736 addClause 172 64 -28 
737 addClause -214 -185 -231 
738 addClause -63 204 75 
739 addClause -182 -114 -97 
740 addClause -180 -81 -11 
741 addClause 129 5 59 
742 addClause 223 -169 209 
743 addClause 78 -76 93 
744 addClause -9 102 -196 
745 addClause -187 -255 5 
746 addClause -102 -64 180 
747 addClause -152 -81 -39 
748 addClause -193 250 120 
749 addClause 35 203 30 
750 addClause 104 -190 -202 
751 addClause 13 58 240 
752 addClause -54 -148 -35 
753 addClause -32 134 238 
754 addClause 40 185 233 
755 addClause 6 243 118 
756 addClause -183 -255 -56 
757 addClause -96 -250 -202 
758 addClause 48 -74 -181 
759 addClause -230 -165 111 
760 addClause 87 -42 171 
761 addClause 230 -16 154 
762 addClause -212 104 -235 
763 addClause 72 -2 227 
764 addClause -73 164 45 
765 addClause -7 225 -247 
766 addClause -98 36 11 
767 addClause -76 -72 -18 
768 addClause -113 163 -248 
769 addClause -24 30 -127 
770 addClause 245 -48 56 
771 addClause 152 -162 -228 
772 addClause 187 151 233 
773 solve
774 newVar 118
