1 init
2 Order : PureOrder/period=22
129 addClause 88 110 -30 
130 addClause -106 24 -155 
131 addClause 14 -143 -42 
132 addClause 78 45 -83 
133 addClause 108 37 30 
134 addClause 30 124 117 
135 addClause -4 -26 3 
136 addClause -89 -80 -17 
137 addClause -90 14 70 
138 addClause -4 135 -57 
139 addClause 110 69 12 
140 addClause -1 66 -55 
141 addClause -132 -92 -113 
142 addClause -114 143 -147 
143 addClause 98 -124 89 
144 addClause -10 -128 111 
145 addClause -86 155 2 
146 addClause -117 125 29 
147 addClause -45 130 155 
148 addClause -77 -9 -7 
149 addClause 155 56 -119 
150 addClause 17 81 42 
151 addClause -127 105 144 
152 addClause -77 -95 -128 
153 addClause -139 -16 -61 
154 addClause 104 114 -1 
155 addClause -7 22 -77 
156 addClause 133 128 -26 
157 addClause -112 -35 -7 
158 addClause 116 111 101 
159 addClause 29 149 38 
160 addClause -29 -147 -140 
161 addClause 130 20 140 
162 addClause 152 47 -115 
163 addClause -143 18 53 
164 addClause -85 76 -43 
165 addClause -85 -140 -116 
166 addClause -130 -94 104 
167 addClause -13 83 -7 
168 addClause -110 -41 -32 
169 addClause 136 65 6 
170 addClause 36 -37 -100 
171 addClause -35 -22 141 
172 addClause -62 -99 -52 
173 addClause -98 -66 -61 
174 addClause -151 155 -7 
175 addClause 146 23 89 
176 addClause -150 -138 -108 
177 addClause 133 8 65 
178 addClause 75 -39 -119 
179 addClause -85 97 115 
180 addClause -43 -118 14 
181 addClause 143 -2 -8 
182 addClause 45 -35 -22 
183 addClause -49 112 75 
184 addClause 74 -135 -61 
185 addClause -129 39 130 
186 addClause 87 -76 131 
187 addClause -5 127 -135 
188 addClause -151 67 -94 
189 addClause -108 -5 -40 
190 addClause -67 -26 -74 
191 addClause 19 -76 152 
192 addClause -20 -102 -91 
193 addClause 132 30 111 
194 addClause -14 142 19 
195 addClause 101 -135 25 
196 addClause 17 -78 33 
197 addClause 38 47 152 
198 addClause -141 -105 60 
199 addClause -58 91 65 
200 addClause -80 52 -63 
201 addClause -72 62 68 
202 addClause -96 108 18 
203 addClause 43 -133 -47 
204 addClause 76 118 151 
205 addClause 133 145 -6 
206 addClause -47 -101 -125 
207 addClause 43 100 -124 
208 addClause -115 -114 55 
209 addClause -11 68 83 
210 addClause -15 123 -115 
211 addClause -126 114 -53 
212 addClause 31 103 135 
213 addClause 118 -59 15 
214 addClause 105 -38 -69 
215 addClause 82 147 -12 
216 addClause -55 -101 118 
217 addClause 104 -151 18 
218 addClause -125 35 153 
219 addClause 82 -147 104 
220 addClause -130 62 144 
221 addClause 87 -91 23 
222 addClause 10 100 31 
223 addClause -55 148 -53 
224 addClause 64 -28 -100 
225 addClause -87 -84 -35 
226 addClause 123 141 95 
227 addClause -140 22 86 
228 addClause -49 65 27 
229 addClause -74 -79 -80 
230 addClause -22 92 -132 
231 addClause -93 -27 -64 
232 addClause 117 15 150 
233 addClause 39 -24 -66 
234 addClause 3 -18 -47 
235 addClause 139 80 -86 
236 addClause -60 69 -70 
237 addClause -10 -17 -94 
238 addClause -5 -9 -23 
239 addClause -155 -81 153 
240 addClause 63 -29 -38 
241 addClause 109 155 150 
242 addClause -132 -126 33 
243 addClause 132 154 -33 
244 addClause 152 -118 -47 
245 addClause 91 121 -86 
246 addClause 65 -61 112 
247 addClause 69 45 98 
248 addClause -68 -39 -21 
249 addClause 80 -108 18 
250 addClause -52 -23 -33 
251 addClause 71 -47 -74 
252 addClause -64 132 79 
253 addClause 49 -35 117 
254 addClause -150 -103 106 
255 addClause -118 58 -10 
256 addClause -9 77 -141 
257 addClause -106 -125 -16 
258 addClause 111 -146 -45 
259 addClause -20 8 -124 
260 addClause 3 149 29 
261 addClause -79 23 -135 
262 addClause -117 -116 54 
263 addClause 103 61 -15 
264 addClause -44 -132 -135 
265 addClause 97 -29 -72 
266 addClause 32 -133 13 
267 addClause 23 -54 -72 
268 addClause 137 -76 4 
269 addClause -155 -81 -112 
270 addClause -73 -127 -47 
271 addClause 32 -74 -139 
272 addClause -55 133 84 
273 addClause -109 -103 28 
274 addClause -25 79 75 
275 addClause 93 -123 3 
276 addClause -139 -103 -118 
277 addClause -64 45 98 
278 addClause -27 -10 -4 
279 addClause 97 -77 149 
280 addClause 48 -99 -15 
281 addClause 132 -31 84 
282 addClause 34 -47 -10 
283 addClause 88 55 -147 
284 addClause -25 67 103 
285 addClause -27 94 -55 
286 addClause 75 -34 -46 
287 addClause -47 109 -61 
288 addClause 83 -137 17 
289 addClause 38 -68 -103 
290 addClause -92 137 -151 
291 addClause 52 -103 135 
292 addClause 18 146 -110 
293 addClause -155 -56 10 
294 addClause -28 -26 149 
295 addClause 125 -5 -137 
296 addClause 72 112 -36 
297 addClause 64 61 -149 
298 addClause 130 4 99 
299 addClause 44 -73 117 
300 addClause 143 73 -140 
301 addClause -34 143 64 
302 addClause 141 -81 -144 
303 addClause 37 -141 103 
304 addClause 16 88 53 
305 addClause 97 -64 -121 
306 addClause -39 117 -143 
307 addClause -41 -45 89 
308 addClause 128 -125 -93 
309 addClause 4 7 133 
310 addClause -32 -149 4 
311 addClause -40 121 92 
312 addClause -73 128 46 
313 addClause -112 72 -79 
314 addClause 27 -70 -52 
315 addClause 55 48 -131 
316 addClause -88 -52 -30 
317 addClause -115 107 116 
318 addClause 132 5 -2 
319 addClause -67 130 125 
320 addClause -147 9 -109 
321 addClause 134 -101 -122 
322 addClause 151 68 -144 
323 addClause 146 -108 -81 
324 addClause -122 46 153 
325 addClause -92 -130 -143 
326 addClause 121 -39 48 
327 addClause -61 135 126 
328 addClause 115 -67 -110 
329 addClause -33 -108 104 
330 addClause 147 19 -125 
331 addClause -90 43 -148 
332 addClause -118 -119 -6 
333 addClause 11 -9 134 
334 addClause -6 -49 8 
335 addClause 60 -38 58 
336 addClause 142 -81 54 
337 addClause 96 66 140 
338 addClause -76 21 -61 
339 addClause -87 -111 -94 
340 addClause -86 99 138 
341 addClause -68 -51 138 
342 addClause 47 -127 -88 
343 addClause -43 -127 -89 
344 addClause -94 -43 29 
345 addClause 51 -14 -95 
346 addClause 96 59 98 
347 addClause 14 82 -87 
348 addClause 108 -152 79 
349 addClause -28 90 26 
350 addClause -96 20 2 
351 addClause -146 -103 -86 
352 addClause 77 -47 -13 
353 addClause -134 41 22 
354 addClause 41 78 76 
355 addClause 125 -99 105 
356 addClause -83 -141 -113 
357 addClause 58 -145 55 
358 addClause 76 -43 -3 
359 addClause 119 -78 94 
360 addClause 90 -56 -144 
361 addClause -2 -125 145 
362 addClause 25 120 -117 
363 addClause 74 153 98 
364 addClause 126 106 43 
365 addClause 114 41 -111 
366 addClause 31 -26 -43 
367 addClause -58 1 72 
368 addClause -45 46 102 
369 addClause 148 89 -102 
370 addClause 88 -120 -22 
371 addClause 107 -16 15 
372 addClause -116 -19 122 
373 addClause -103 83 21 
374 addClause -132 -45 -5 
375 addClause 96 -127 126 
376 addClause 98 123 31 
377 addClause -36 -152 -44 
378 addClause -62 8 -54 
379 addClause 45 132 120 
380 addClause 40 -49 -92 
381 addClause -146 -40 -105 
382 addClause 140 65 -150 
383 addClause 79 18 -129 
384 addClause -64 15 -155 
385 addClause -75 -139 -117 
386 addClause 111 65 128 
387 addClause -146 -10 128 
388 addClause -3 -68 142 
389 addClause -156 -88 -107 
390 addClause 143 109 -14 
391 addClause 86 -23 76 
392 addClause -32 -102 150 
393 addClause -85 -133 13 
394 addClause 107 70 -123 
395 addClause 150 -73 -93 
396 addClause -83 127 -127 
397 addClause 142 13 24 
398 addClause 70 152 -132 
399 addClause -89 49 -68 
400 addClause 2 -111 133 
401 addClause 90 -44 58 
402 addClause -138 -78 39 
403 addClause -147 -58 14 
404 addClause -127 64 99 
405 addClause 140 99 40 
406 addClause -75 47 -14 
407 addClause 84 -82 1 
408 addClause -75 144 90 
409 addClause -129 73 25 
410 addClause -67 145 128 
411 addClause 31 -116 -124 
412 addClause -119 60 11 
413 addClause 14 -152 -40 
414 addClause -66 126 86 
415 addClause 39 139 -107 
416 addClause -141 23 61 
417 addClause 141 -48 -151 
418 addClause 3 44 65 
419 addClause 107 7 100 
420 addClause -89 96 59 
421 addClause -149 -4 -139 
422 addClause -139 -38 -80 
423 addClause -39 11 133 
424 addClause 16 -112 -111 
425 addClause -82 142 -28 
426 addClause 40 -82 -53 
427 addClause 57 136 16 
428 addClause 17 -38 6 
429 addClause 35 38 -27 
430 addClause -87 125 -126 
431 addClause 32 -66 -17 
432 addClause 9 79 140 
433 addClause 137 -124 -52 
434 addClause -54 10 -110 
435 addClause -23 -132 123 
436 addClause 36 124 -108 
437 addClause -47 -25 7 
438 addClause 133 126 42 
439 addClause 116 90 -37 
440 addClause -18 74 -35 
441 addClause -68 61 -58 
442 addClause -116 -120 12 
443 addClause 32 38 83 
444 addClause -126 -127 36 
445 addClause -102 35 -114 
446 addClause -38 -110 -154 
447 addClause -92 116 -27 
448 addClause -55 112 -67 
449 addClause -22 -18 -111 
450 addClause 35 -128 -49 
451 addClause -67 -73 150 
452 addClause -26 92 -128 
453 addClause 98 -25 21 
454 addClause -97 -19 22 
455 addClause 116 149 96 
456 addClause 85 36 -136 
457 addClause 37 22 78 
458 addClause -44 155 -49 
459 addClause -50 47 -25 
460 addClause 139 -89 21 
461 addClause -100 -139 43 
462 addClause 26 -136 71 
463 addClause -72 -58 74 
464 addClause -16 -22 -142 
465 addClause -101 -132 81 
466 addClause -143 40 86 
467 addClause 127 73 -79 
468 addClause -111 -72 -135 
469 addClause 97 -148 126 
470 addClause -20 19 -93 
471 addClause 8 36 93 
472 addClause 58 -145 -142 
473 solve
474 addClause -160 -138 -177 
475 addClause -211 -51 211 
476 addClause -110 -48 107 
477 addClause -149 52 -216 
478 addClause -88 -189 -97 
479 addClause 77 56 -56 
480 addClause 188 34 217 
481 addClause -119 140 47 
482 addClause 36 -93 -57 
483 addClause -188 -11 -1 
484 addClause 56 27 -60 
485 addClause -158 124 59 
486 addClause -79 -167 49 
487 addClause 40 82 195 
488 addClause 120 -105 4 
489 addClause 119 -3 -175 
490 addClause 198 204 48 
491 addClause -163 -55 196 
492 addClause 205 -174 -40 
493 addClause 7 -66 148 
494 addClause 137 85 93 
495 addClause -105 -146 -164 
496 addClause -140 9 -152 
497 addClause -17 145 127 
498 addClause 160 -28 -146 
499 addClause -154 -53 -54 
500 addClause 127 -52 -195 
501 addClause 60 3 69 
502 addClause 20 39 56 
503 addClause -137 178 110 
504 addClause -56 210 117 
505 addClause -9 158 6 
506 addClause 6 -10 148 
507 addClause 137 134 -22 
508 addClause 214 -91 91 
509 addClause -58 100 218 
510 addClause -133 19 117 
511 addClause -53 -201 -108 
512 addClause -75 -211 -84 
513 addClause 72 6 -110 
514 addClause -61 -80 147 
515 addClause -101 -56 -208 
516 addClause 49 -128 171 
517 addClause -221 -28 -154 
518 addClause -205 -209 -86 
519 addClause -30 151 4 
520 addClause -29 191 -118 
521 addClause 103 -132 218 
522 addClause 122 40 120 
523 addClause 114 214 34 
524 addClause 135 41 82 
525 addClause 123 -63 -106 
526 addClause 91 108 -141 
527 addClause 96 181 34 
528 addClause -200 -10 170 
529 addClause -83 -14 -200 
530 addClause 84 -104 -45 
531 addClause -194 150 -207 
532 addClause -24 117 32 
533 addClause -153 -94 -77 
534 addClause 10 -64 218 
535 addClause -202 213 105 
536 addClause 90 -149 204 
537 addClause -147 -29 -120 
538 addClause -133 54 114 
539 addClause 98 -180 -65 
540 addClause 117 13 58 
541 addClause 197 132 -183 
542 addClause 77 -169 -18 
543 addClause 136 -212 -59 
544 addClause 71 -139 22 
545 addClause 161 -59 -27 
546 addClause -20 -220 24 
547 addClause -21 -38 -184 
548 addClause 173 166 196 
549 addClause -177 108 -9 
550 addClause -115 -73 -181 
551 addClause -42 141 -183 
552 addClause 8 -71 76 
553 addClause 60 50 203 
554 addClause 10 -182 -157 
555 addClause -16 4 22 
556 addClause -85 -8 49 
557 addClause 81 118 156 
558 addClause 219 -139 -191 
559 addClause 207 -42 -153 
560 addClause -78 -74 169 
561 addClause 49 -18 -126 
562 addClause 62 -182 63 
563 addClause -177 182 -59 
564 addClause -57 -29 24 
565 addClause 6 -138 155 
566 addClause 206 -99 -82 
567 addClause 172 -193 83 
568 addClause 96 182 9 
569 addClause -40 -72 -106 
570 addClause -215 -137 125 
571 addClause -22 -199 -78 
572 addClause -59 193 122 
573 addClause -58 -218 143 
574 addClause 179 36 -80 
575 addClause -195 68 -98 
576 addClause -133 179 -150 
577 addClause 100 -61 211 
578 addClause 43 -98 169 
579 addClause -67 -2 201 
580 addClause 192 -177 -153 
581 addClause 73 -191 165 
582 addClause -146 189 132 
583 addClause 54 128 109 
584 addClause 179 54 -159 
585 addClause 12 2 81 
586 addClause -188 20 -147 
587 addClause -194 -193 -8 
588 addClause 65 -109 215 
589 addClause 51 129 99 
590 addClause 146 154 -45 
591 addClause -187 157 137 
592 addClause -111 -48 -146 
593 addClause 117 177 -220 
594 addClause -97 -120 -79 
595 addClause -31 114 217 
596 addClause -66 -56 -214 
597 addClause 180 160 -189 
598 addClause 218 -125 126 
599 addClause 126 57 -47 
600 addClause -125 65 39 
601 addClause -26 32 -75 
602 addClause -210 89 -202 
603 addClause 60 45 65 
604 addClause 201 -106 -20 
605 addClause 49 -35 -54 
606 addClause 86 83 -23 
607 addClause 169 -23 215 
608 addClause -66 -110 -113 
609 addClause 48 -162 130 
610 addClause 27 161 -155 
611 addClause 122 -38 57 
612 addClause 123 201 -214 
613 addClause -101 -96 -201 
614 addClause 187 -106 -182 
615 addClause -71 -87 195 
616 addClause -191 105 -2 
617 addClause 32 -172 -45 
618 addClause -39 41 -220 
619 addClause 7 -128 139 
620 addClause 4 1 -93 
621 addClause -2 176 122 
622 addClause 107 -201 196 
623 addClause 195 137 134 
624 addClause 186 83 -48 
625 addClause 57 70 11 
626 addClause -175 48 -97 
627 addClause 58 -222 -214 
628 addClause 128 -138 26 
629 addClause 184 -173 29 
630 addClause -195 -93 76 
631 addClause -156 -85 -145 
632 addClause -69 -138 132 
633 addClause -202 -222 -203 
634 addClause 209 8 -207 
635 addClause 130 198 -130 
636 addClause 195 54 -58 
637 addClause -97 154 45 
638 addClause 167 -124 -201 
639 addClause -223 -96 -85 
640 addClause 145 -222 205 
641 addClause 27 -20 87 
642 addClause -121 124 -149 
643 addClause 138 -13 185 
644 addClause 108 -217 39 
645 addClause 22 -37 -189 
646 addClause -148 167 -135 
647 addClause 60 30 98 
648 addClause 119 -73 -63 
649 addClause 197 -32 -70 
650 addClause -4 132 -101 
651 addClause 107 23 -214 
652 addClause -30 200 -13 
653 addClause -73 -34 -70 
654 addClause -18 142 90 
655 addClause 29 -163 -4 
656 addClause 193 169 59 
657 addClause 92 154 -44 
658 addClause 187 71 201 
659 addClause -205 82 64 
660 addClause 135 -223 175 
661 addClause -207 -85 7 
662 addClause -146 179 124 
663 addClause -56 206 -33 
664 addClause -59 -91 102 
665 addClause -102 110 209 
666 addClause 167 -21 144 
667 addClause -221 176 10 
668 addClause -62 -44 42 
669 addClause 105 217 8 
670 addClause -11 198 -190 
671 addClause -162 116 56 
672 addClause 170 34 -145 
673 addClause 142 123 55 
674 addClause 94 91 -215 
675 solve
676 addClause -48 80 39 
677 addClause -220 248 -112 
678 addClause 149 -117 135 
679 addClause -208 -2 12 
680 addClause 161 199 -243 
681 addClause -134 -215 -76 
682 addClause 164 174 15 
683 addClause 163 184 25 
684 addClause -128 -29 -227 
685 addClause -153 200 84 
686 addClause -42 160 -121 
687 addClause -51 19 -183 
688 addClause 21 212 95 
689 addClause -121 -189 -57 
690 addClause 140 -245 -224 
691 addClause 79 -98 1 
692 addClause 100 -115 -55 
693 addClause 51 -60 -35 
694 addClause 215 218 -61 
695 addClause -162 202 -28 
696 addClause 146 -213 42 
697 addClause 161 -108 -172 
698 addClause -68 223 40 
699 addClause 189 -240 -26 
700 addClause -229 200 -155 
701 addClause 142 129 -49 
702 addClause -45 156 40 
703 addClause -95 204 20 
704 addClause -166 22 239 
705 addClause 120 61 238 
706 addClause 83 110 56 
707 addClause 123 133 -193 
708 addClause -196 7 118 
709 addClause 236 -132 215 
710 addClause 165 19 3 
711 addClause -169 -236 -64 
712 addClause -63 240 72 
713 addClause -217 233 220 
714 addClause 210 -43 34 
715 addClause -158 14 -210 
716 addClause -40 -163 -219 
717 addClause -72 158 -137 
718 addClause 91 -185 -181 
719 addClause 107 -66 218 
720 addClause 70 -1 57 
721 addClause 67 -42 40 
722 addClause 189 76 67 
723 addClause 136 67 117 
724 addClause -181 -70 112 
725 addClause 18 31 -211 
726 addClause 80 -95 176 
727 addClause -238 -160 -143 
728 addClause 163 -49 100 
729 addClause -220 -21 103 
730 addClause -57 193 -152 
731 addClause -223 -190 146 
732 addClause -194 -36 -96 
733 addClause 83 81 -26 
734 addClause 82 10 198 
735 addClause 1 95 -155 
736 addClause 101 -46 -85 
737 addClause -60 11 120 
738 addClause -23 -228 -172 
739 addClause -90 163 -67 
740 addClause -67 85 118 
741 addClause -151 -146 185 
742 addClause 251 98 -170 
743 addClause -43 127 62 
744 addClause -238 -203 -244 
745 addClause -55 118 -39 
746 addClause -248 -184 164 
747 addClause 201 -21 -163 
748 addClause 81 -246 15 
749 addClause 68 -204 -93 
750 addClause 80 -95 59 
751 addClause 124 130 187 
752 addClause -2 -252 -142 
753 addClause 121 84 -60 
754 addClause 53 24 60 
755 addClause 6 -68 -202 
756 addClause 28 -228 113 
757 addClause -82 -139 -98 
758 addClause -221 56 -248 
759 addClause 212 -35 -252 
760 addClause 89 99 -178 
761 addClause 211 2 -184 
762 addClause -71 -134 19 
763 solve
