1 init
2 using solver MiniLearningHeapEZSimpNoRestarts
177 addClause -49 163 92 
178 addClause 28 -128 -159 
179 addClause 8 -55 -136 
180 addClause -70 -137 160 
181 addClause -120 -58 117 
182 addClause -77 27 -64 
183 addClause -93 165 109 
184 addClause 32 75 -174 
185 addClause -61 67 -66 
186 addClause -141 170 -39 
187 addClause 95 3 -154 
188 addClause 20 -163 117 
189 addClause -76 -14 80 
190 addClause 98 -77 -139 
191 addClause -102 -51 -63 
192 addClause -130 75 175 
193 addClause 37 101 -98 
194 addClause 48 146 -57 
195 addClause -45 -13 -102 
196 addClause 92 163 -90 
197 addClause -5 -127 163 
198 addClause 109 -43 128 
199 addClause 46 -66 173 
200 addClause -149 -148 64 
201 addClause 163 166 2 
202 addClause -51 -151 5 
203 addClause 171 102 107 
204 addClause -173 -35 37 
205 addClause 110 -165 84 
206 addClause -145 -116 169 
207 addClause 142 22 26 
208 addClause -28 -37 -122 
209 addClause 33 -18 95 
210 addClause 98 -26 -159 
211 addClause 66 37 98 
212 addClause -59 28 60 
213 addClause -47 -167 -119 
214 addClause -26 22 -6 
215 addClause -178 53 32 
216 addClause -22 47 -183 
217 addClause -184 131 -87 
218 addClause -104 -182 -181 
219 addClause 180 -115 58 
220 addClause 32 37 -19 
221 addClause -130 -167 27 
222 addClause -67 105 -87 
223 addClause -50 -142 181 
224 addClause 77 116 -155 
225 addClause 17 -122 49 
226 addClause -181 -108 69 
227 addClause -52 10 125 
228 addClause 90 -38 84 
229 addClause 74 -179 -31 
230 addClause 137 165 -154 
231 addClause -49 -46 154 
232 addClause -2 -15 173 
233 addClause 173 -110 34 
234 addClause 65 -155 50 
235 addClause 169 -32 22 
236 addClause -26 85 -157 
237 addClause 61 -33 -13 
238 addClause 136 118 -54 
239 addClause -38 -168 -43 
240 addClause -50 -146 -148 
241 addClause -13 -87 -135 
242 addClause -124 67 158 
243 addClause -152 183 -172 
244 addClause -171 181 21 
245 addClause -133 -146 165 
246 addClause 179 130 -27 
247 addClause 141 36 -42 
248 addClause -102 -56 46 
249 addClause 147 173 45 
250 addClause -139 80 87 
251 addClause -181 -68 -83 
252 addClause 26 -70 -23 
253 addClause -14 -90 -87 
254 addClause -141 37 -104 
255 addClause -131 4 -7 
256 addClause 107 158 122 
257 addClause -11 -43 -176 
258 addClause -119 -50 183 
259 addClause 90 -32 31 
260 addClause 147 176 123 
261 addClause -158 -73 -154 
262 addClause -77 14 125 
263 addClause -65 83 76 
264 addClause 123 158 -173 
265 addClause 104 -116 -28 
266 addClause -27 95 117 
267 addClause -171 32 35 
268 addClause -55 -144 -32 
269 addClause 176 65 153 
270 addClause 3 -168 -35 
271 addClause 157 -158 77 
272 addClause -156 26 -124 
273 addClause -156 58 -119 
274 addClause 100 79 -26 
275 addClause -34 -8 -25 
276 addClause -113 -35 -129 
277 addClause 124 13 -109 
278 addClause -153 31 -6 
279 addClause -161 -138 30 
280 addClause -180 106 -30 
281 addClause -159 -14 -63 
282 addClause 14 -28 70 
283 addClause 166 48 -67 
284 addClause 47 -162 104 
285 addClause -20 172 128 
286 addClause 181 -12 -63 
287 addClause 125 -110 -84 
288 addClause 121 -95 -121 
289 addClause -121 -59 -163 
290 addClause 158 84 58 
291 addClause -75 -90 4 
292 addClause 150 -105 28 
293 addClause -84 -4 64 
294 addClause 161 -125 9 
295 addClause 83 -95 34 
296 addClause -178 -116 -85 
297 addClause -122 23 62 
298 addClause -67 -16 -61 
299 addClause -94 143 -14 
300 addClause -129 -161 23 
301 addClause -160 -150 63 
302 addClause 48 -32 -111 
303 addClause -163 103 154 
304 addClause -83 -126 181 
305 addClause 51 149 -62 
306 addClause 90 171 -154 
307 addClause 70 -63 159 
308 addClause -131 104 -182 
309 addClause 69 -5 -76 
310 addClause -178 -140 20 
311 addClause -112 -131 -57 
312 addClause -163 16 -174 
313 addClause 62 -106 -4 
314 addClause -126 -35 89 
315 addClause 149 2 47 
316 addClause 28 -84 -166 
317 addClause 24 169 27 
318 addClause 74 -177 -87 
319 addClause 178 123 -22 
320 addClause 23 94 -92 
321 addClause -164 34 84 
322 addClause 169 -25 164 
323 addClause -171 -165 -57 
324 addClause 59 181 -52 
325 addClause 110 -92 -31 
326 addClause -22 9 4 
327 addClause 151 -53 -124 
328 addClause 88 -152 -91 
329 addClause 13 -158 137 
330 addClause 134 -71 -117 
331 addClause -176 75 22 
332 addClause -20 -84 -23 
333 addClause 106 64 -51 
334 addClause -97 -156 -54 
335 addClause 26 -32 129 
336 addClause -95 178 19 
337 addClause 76 -158 130 
338 addClause -19 -44 116 
339 addClause 25 -46 143 
340 addClause -139 10 -53 
341 addClause -145 114 -159 
342 addClause -160 126 39 
343 addClause -138 41 29 
344 addClause -13 140 -37 
345 addClause -43 -118 -116 
346 addClause 39 66 64 
347 addClause -74 -126 -21 
348 addClause -12 -95 -173 
349 addClause -10 28 2 
350 addClause -59 119 154 
351 addClause 178 -1 -31 
352 addClause -158 -141 -24 
353 addClause 37 101 -23 
354 addClause 183 116 -106 
355 addClause -146 -7 76 
356 addClause -134 18 -153 
357 addClause 35 89 -137 
358 addClause -19 -79 -100 
359 addClause 9 43 16 
360 addClause -151 -169 4 
361 addClause 138 102 -166 
362 addClause -162 65 -113 
363 addClause 145 -105 22 
364 addClause -153 5 84 
365 addClause 107 55 -61 
366 addClause 87 -18 99 
367 addClause 165 37 127 
368 addClause 21 1 -177 
369 addClause -72 80 -29 
370 addClause -166 176 10 
371 addClause 125 20 180 
372 addClause -110 -5 102 
373 addClause 7 98 -171 
374 addClause -115 -42 164 
375 addClause -31 80 55 
376 addClause 166 74 -136 
377 addClause 170 -24 -105 
378 addClause 163 1 -152 
379 addClause 41 93 -68 
380 addClause -131 -62 -79 
381 addClause 178 96 -184 
382 addClause 140 39 -116 
383 addClause -63 -81 -171 
384 addClause 184 100 -27 
385 addClause -149 177 26 
386 addClause -139 -150 -72 
387 addClause -57 96 25 
388 addClause 33 -153 -45 
389 addClause 162 -139 -8 
390 addClause -44 112 167 
391 addClause 118 76 -92 
392 addClause -24 -110 49 
393 addClause -43 26 157 
394 addClause -130 -63 -172 
395 addClause 81 63 -34 
396 addClause -106 -133 3 
397 addClause 15 -158 -138 
398 addClause -105 -32 -35 
399 addClause 50 -157 118 
400 addClause 108 -22 83 
401 addClause 90 -31 183 
402 addClause 6 116 -99 
403 addClause 38 61 167 
404 addClause 148 103 45 
405 addClause -66 -27 -173 
406 addClause 9 122 -56 
407 addClause 116 -35 55 
408 addClause -145 22 -27 
409 addClause 168 -37 -154 
410 addClause -49 180 -26 
411 addClause 128 -104 -37 
412 addClause 79 162 -111 
413 addClause -76 56 102 
414 addClause -56 -32 41 
415 addClause 139 100 104 
416 addClause 177 36 -31 
417 addClause 137 21 -90 
418 addClause -32 45 112 
419 addClause 177 146 -72 
420 addClause -46 -26 178 
421 addClause -61 -31 73 
422 addClause -86 -117 81 
423 addClause -117 152 27 
424 addClause -179 125 30 
425 addClause -28 6 3 
426 addClause 93 11 138 
427 addClause -60 150 -130 
428 addClause -63 170 -42 
429 addClause -106 147 -118 
430 addClause 51 -178 -79 
431 addClause 67 -26 124 
432 addClause 124 134 102 
433 addClause -148 -129 -56 
434 addClause 65 156 -95 
435 addClause -33 -98 104 
436 addClause 13 11 -179 
437 addClause -103 -70 -15 
438 addClause -125 31 158 
439 addClause -152 -116 -12 
440 addClause -168 -50 -44 
441 addClause 27 44 -173 
442 addClause 57 -128 -78 
443 addClause 59 172 132 
444 addClause -115 126 39 
445 addClause -47 143 35 
446 addClause 155 -49 127 
447 addClause 35 -166 22 
448 addClause -6 170 128 
449 addClause 94 -95 -169 
450 addClause 30 -44 -113 
451 addClause -97 -72 -178 
452 addClause -38 -170 -73 
453 addClause 55 -180 -156 
454 addClause 84 -60 179 
455 addClause -178 178 -150 
456 addClause -81 -26 112 
457 addClause -175 -51 -46 
458 addClause -61 59 30 
459 addClause 81 -108 -7 
460 addClause -90 -149 -123 
461 addClause -109 -114 74 
462 addClause 18 -23 181 
463 addClause -170 183 -90 
464 addClause -46 -32 -138 
465 addClause 7 140 103 
466 addClause -54 -184 59 
467 addClause 71 -67 49 
468 addClause -35 162 -82 
469 addClause 144 154 33 
470 addClause 34 49 62 
471 addClause -70 27 144 
472 addClause 184 94 58 
473 addClause 182 -49 73 
474 addClause -141 -138 -18 
475 addClause -165 65 10 
476 addClause -36 45 135 
477 addClause -84 56 154 
478 addClause 33 -14 -91 
479 addClause -159 -162 149 
480 addClause -46 -95 157 
481 addClause 90 -42 56 
482 addClause -75 -8 13 
483 addClause -159 129 -21 
484 addClause 179 -6 -26 
485 addClause -2 -123 -68 
486 addClause 55 181 -165 
487 addClause 180 -122 -40 
488 addClause -61 -76 -96 
489 addClause -40 -118 91 
490 addClause -116 1 130 
491 addClause -121 72 -169 
492 addClause -131 -153 169 
493 addClause -28 -40 -1 
494 addClause -102 -58 23 
495 addClause 60 1 5 
496 addClause 70 -156 -139 
497 addClause -145 36 107 
498 addClause -65 -21 -64 
499 addClause 7 -147 129 
500 addClause 123 172 130 
501 addClause -141 -77 124 
502 addClause -73 -22 -76 
503 addClause -32 59 -19 
504 addClause -14 52 -164 
505 addClause -41 136 121 
506 addClause -78 22 -97 
507 addClause -49 -123 -93 
508 addClause -182 24 -73 
509 addClause -125 175 -127 
510 addClause -179 -70 -56 
511 addClause 47 -102 -42 
512 addClause -168 -79 29 
513 addClause 71 -140 27 
514 addClause -68 5 25 
515 addClause 49 89 36 
516 addClause -132 -29 -183 
517 addClause -103 149 -90 
518 addClause 2 -110 177 
519 addClause -183 -166 19 
520 addClause -16 -114 45 
521 addClause -168 27 166 
522 addClause -28 -141 173 
523 addClause -161 -84 101 
524 addClause 159 132 64 
525 addClause 117 -1 -155 
526 addClause 10 -156 143 
527 addClause -95 156 -71 
528 addClause 179 -74 99 
529 addClause -107 -161 -101 
530 addClause -126 -40 21 
531 addClause -25 118 -111 
532 addClause -30 -98 122 
533 addClause 170 7 40 
534 addClause -73 87 102 
535 addClause 74 70 -86 
536 addClause 119 -169 111 
537 addClause -57 -176 -14 
538 addClause 163 69 3 
539 addClause 168 -49 8 
540 addClause 71 34 -11 
541 addClause -14 108 -55 
542 addClause -45 -62 -174 
543 addClause -63 66 134 
544 addClause -110 -122 -7 
545 addClause 19 -35 61 
546 addClause 108 147 -16 
547 addClause -57 173 46 
548 addClause 94 68 -105 
549 addClause 90 125 -182 
550 addClause 165 -124 168 
551 addClause -144 -57 -94 
552 addClause -118 -57 105 
553 addClause -135 -86 123 
554 addClause -136 113 -70 
555 addClause 182 149 -98 
556 addClause 20 -16 100 
557 addClause -181 -76 108 
558 addClause -8 80 -73 
559 addClause 153 17 -55 
560 solve
561 addClause -84 166 -45 
562 addClause 29 -58 -62 
563 addClause 101 12 -207 
564 addClause 141 -100 152 
565 addClause -101 -87 -119 
566 addClause 145 -54 -173 
567 addClause 48 40 -81 
568 addClause -168 52 110 
569 addClause 15 135 -184 
570 addClause 89 -103 -87 
571 addClause 32 51 -158 
572 addClause 85 167 -97 
573 addClause -28 130 192 
574 addClause -152 38 -50 
575 addClause 30 85 -65 
576 addClause -120 -141 -193 
577 addClause -70 -44 -12 
578 addClause 194 22 -108 
579 addClause -17 97 144 
580 addClause -130 120 197 
581 addClause 200 164 62 
582 addClause -14 43 139 
583 addClause 21 -135 196 
584 addClause 157 94 -208 
585 addClause -139 115 85 
586 addClause 127 -7 97 
587 addClause -94 -72 50 
588 addClause 119 204 38 
589 addClause 108 -119 158 
590 addClause -181 -86 -31 
591 addClause -124 115 -80 
592 addClause 191 87 -48 
593 addClause -151 123 -21 
594 addClause 183 87 191 
595 addClause -25 69 80 
596 addClause 181 15 -16 
597 addClause 125 -193 -118 
598 addClause 204 186 -73 
599 addClause 91 -90 -80 
600 addClause -27 -47 -24 
601 addClause 14 33 -42 
602 addClause -22 -69 -66 
603 addClause -77 -132 80 
604 addClause -23 64 164 
605 addClause -73 32 164 
606 addClause -128 -138 -156 
607 addClause -128 -119 159 
608 addClause 4 -64 87 
609 addClause 186 43 -60 
610 addClause -153 117 37 
611 addClause 174 23 168 
612 addClause -104 56 -206 
613 addClause -92 112 12 
614 addClause 16 -67 98 
615 addClause -115 -42 6 
616 addClause -196 170 172 
617 addClause 140 -186 80 
618 addClause 50 196 -169 
619 addClause -17 185 42 
620 addClause 142 133 -153 
621 addClause 190 37 -125 
622 addClause -107 129 118 
623 addClause 142 -197 57 
624 addClause 17 -16 -138 
625 addClause 47 16 -178 
626 addClause -149 152 140 
627 addClause 32 -131 -58 
628 addClause 86 -89 98 
629 addClause -19 -24 -2 
630 addClause -87 -2 79 
631 addClause 60 91 -76 
632 addClause 19 171 -114 
633 addClause -178 -202 -28 
634 addClause -160 105 -43 
635 addClause 24 37 29 
636 addClause -188 13 207 
637 addClause -46 -22 91 
638 addClause -141 53 170 
639 addClause -201 -51 -94 
640 addClause -84 -210 173 
641 addClause 156 -67 10 
642 addClause 15 -80 178 
643 addClause 182 -187 31 
644 addClause 165 -17 -13 
645 solve
646 addClause -2 75 -131 
647 addClause -131 129 -186 
648 addClause 78 -363 -112 
649 addClause -321 322 -193 
650 addClause 342 -338 284 
651 addClause -130 -46 301 
652 addClause -267 79 228 
653 addClause 367 -336 305 
654 addClause 231 -6 -149 
655 addClause 210 -168 130 
656 addClause 114 -173 -236 
657 addClause 99 -338 87 
658 addClause 96 -5 27 
659 addClause 173 -190 -189 
660 addClause 343 -137 -307 
661 addClause 200 150 151 
662 addClause 122 -55 146 
663 addClause -331 -79 175 
664 addClause 159 -273 -185 
665 addClause -156 125 222 
666 addClause -191 -367 -186 
667 addClause -256 -361 121 
668 addClause -216 360 276 
669 addClause -149 -115 62 
670 addClause -38 -120 181 
671 addClause -300 162 -270 
672 addClause 261 262 65 
673 addClause 108 -103 109 
674 addClause 102 276 -267 
675 addClause -352 319 121 
676 addClause -359 -217 -164 
677 addClause 91 18 -258 
678 addClause -309 286 13 
679 addClause -189 -126 -342 
680 addClause -345 284 80 
681 addClause 257 72 26 
682 addClause -1 143 128 
683 addClause 139 265 -306 
684 addClause 105 -154 -206 
685 addClause -235 -327 84 
686 addClause -274 357 355 
687 addClause -341 -270 250 
688 addClause 225 84 200 
689 addClause 4 253 110 
690 addClause 108 239 -356 
691 addClause 204 -249 -99 
692 addClause 103 121 -123 
693 addClause 278 183 92 
694 addClause 181 22 157 
695 addClause 214 348 293 
696 addClause -52 72 343 
697 addClause 291 -28 -14 
698 addClause 43 226 -261 
699 addClause -74 -278 -114 
700 addClause 169 -165 293 
701 addClause 71 -304 -242 
702 addClause 360 303 326 
703 addClause -62 55 287 
704 addClause -95 248 -157 
705 addClause -300 190 -294 
706 addClause 72 -185 -274 
707 addClause 193 134 -134 
708 addClause -34 278 90 
709 addClause 45 257 -235 
710 addClause 57 -335 -36 
711 addClause -50 105 -300 
712 addClause 366 166 91 
713 addClause -5 249 -134 
714 addClause -216 -146 49 
715 addClause 323 -57 172 
716 addClause 320 309 169 
717 addClause -193 -140 33 
718 addClause 209 -85 -58 
719 addClause 251 -205 -352 
720 addClause -344 22 -56 
721 addClause 48 298 -310 
722 addClause -181 -134 328 
723 addClause -328 -365 -317 
724 addClause -332 100 -82 
725 addClause -186 251 321 
726 addClause -138 -93 -297 
727 addClause 11 -46 307 
728 addClause 113 206 332 
729 addClause -132 -336 68 
730 addClause -246 127 -222 
731 addClause -325 -148 79 
732 addClause -314 -204 -95 
733 addClause 316 276 -56 
734 addClause 133 365 362 
735 addClause 69 91 45 
736 addClause 20 118 -93 
737 addClause -196 -202 353 
738 addClause -7 -346 -135 
739 addClause -246 202 -304 
740 addClause -176 -171 -205 
741 addClause 238 -347 -343 
742 addClause 311 -366 293 
743 addClause 239 -99 32 
744 addClause -59 58 196 
745 addClause 124 336 -320 
746 addClause -188 5 -178 
747 addClause -153 3 -197 
748 addClause 82 251 208 
749 addClause -261 -288 347 
750 addClause -161 75 185 
751 addClause -301 -318 -367 
752 addClause 68 164 256 
753 addClause 30 -133 64 
754 addClause 20 -216 207 
755 addClause -238 -219 181 
756 addClause -7 314 -195 
757 addClause 275 191 54 
758 addClause 137 -188 -321 
759 addClause 284 236 279 
760 addClause 346 3 77 
761 addClause -128 322 298 
762 addClause -181 84 304 
763 addClause 57 -266 -37 
764 addClause 363 26 280 
765 addClause -89 -300 347 
766 addClause -37 -102 87 
767 addClause 154 122 313 
768 addClause -88 233 -260 
769 addClause 176 169 -95 
770 addClause -131 156 -56 
771 addClause 256 264 120 
772 addClause -187 -159 161 
773 addClause 39 306 -106 
774 addClause 190 -326 19 
775 addClause -92 -298 -353 
776 addClause -316 -102 -174 
777 addClause 103 -230 -305 
778 addClause -160 114 -95 
779 addClause -200 326 90 
780 addClause 165 -189 83 
781 addClause 152 45 -332 
782 addClause 17 -362 161 
783 addClause -359 -41 50 
784 addClause 76 11 219 
785 addClause -116 -68 260 
786 addClause 325 173 -122 
787 addClause -9 -194 -172 
788 addClause 39 80 327 
789 addClause -35 294 -343 
790 addClause 166 176 -11 
791 addClause 262 -357 260 
792 addClause 117 -49 -15 
793 addClause 46 -7 -313 
794 addClause 209 -246 -189 
795 addClause 269 -304 -348 
796 addClause 331 -210 -152 
797 addClause 4 -258 -123 
798 addClause -348 212 -189 
799 addClause -335 -268 -81 
800 addClause 249 -143 -223 
801 addClause -89 348 222 
802 addClause -70 179 -26 
803 addClause -347 205 -269 
804 addClause -238 224 -206 
805 addClause 98 60 -16 
806 addClause 289 -105 292 
807 addClause -8 356 248 
808 addClause 17 217 199 
809 addClause 252 -334 326 
810 addClause 299 250 -289 
811 addClause 195 -262 -13 
812 addClause -97 -321 -76 
813 addClause 25 -349 235 
814 addClause -24 -325 47 
815 addClause 214 -97 -242 
816 addClause 57 -154 147 
817 addClause -71 298 117 
818 addClause -195 29 -95 
819 addClause 294 -341 351 
820 addClause -201 258 -241 
821 addClause -268 189 -236 
822 addClause -139 -56 -31 
823 addClause 189 -307 170 
824 addClause 176 -332 -250 
825 addClause -9 -363 30 
826 addClause -132 -286 -193 
827 addClause -283 -120 125 
828 addClause 289 -231 -362 
829 addClause 39 -173 -256 
830 addClause -332 18 -362 
831 addClause 315 -314 -17 
832 addClause 117 214 -330 
833 addClause -103 327 43 
834 addClause -248 -262 144 
835 addClause -267 44 -34 
836 addClause -313 -308 -179 
837 addClause 306 -301 -31 
838 addClause -122 -200 46 
839 addClause -201 308 363 
840 addClause 108 28 295 
841 addClause 233 116 -221 
842 addClause -270 1 301 
843 addClause 161 218 -140 
844 addClause -161 -117 286 
845 addClause 361 33 157 
846 addClause -158 -86 -12 
847 addClause -74 275 311 
848 addClause -179 337 318 
849 addClause 181 -283 124 
850 addClause 155 78 -307 
851 addClause -89 23 -267 
852 addClause -241 216 221 
853 addClause 199 259 -4 
854 addClause 65 -211 203 
855 addClause 216 105 -354 
856 addClause 12 -3 24 
857 addClause 130 329 -198 
858 addClause -233 -367 -131 
859 addClause -21 -30 25 
860 addClause 181 111 77 
861 addClause -354 40 -264 
862 addClause 305 -196 -332 
863 addClause 92 87 265 
864 addClause 214 360 192 
865 addClause -74 -348 211 
866 addClause -274 -333 299 
867 addClause -16 83 -142 
868 addClause -351 -98 -204 
869 addClause 259 358 -102 
870 addClause -39 -97 156 
871 addClause -12 244 1 
872 addClause 288 -289 299 
873 addClause -18 196 -63 
874 addClause -124 -11 -342 
875 addClause 330 364 114 
876 addClause -225 2 291 
877 addClause 268 337 91 
878 addClause -24 126 206 
879 addClause 70 221 -301 
880 addClause 123 225 183 
881 addClause 138 -50 366 
882 addClause -252 345 233 
883 addClause -65 344 174 
884 addClause 180 44 -266 
885 addClause -367 -11 -57 
886 addClause 216 -283 270 
887 addClause 135 -68 365 
888 addClause 51 1 267 
889 addClause -53 6 -42 
890 addClause -58 -349 -335 
891 addClause 133 207 -65 
892 addClause 127 96 -47 
893 addClause 140 -232 -228 
894 addClause -307 -159 280 
895 addClause 2 -93 95 
896 addClause -86 354 185 
897 addClause 276 326 136 
898 addClause 75 90 36 
899 addClause 134 271 -323 
900 addClause -101 241 3 
901 addClause -103 -37 264 
902 addClause -138 -63 163 
903 addClause -209 367 -324 
904 addClause -32 58 -98 
905 addClause -182 355 -92 
906 addClause 30 69 62 
907 addClause 32 355 -29 
908 addClause 219 198 5 
909 addClause -105 -296 -145 
910 addClause 233 -329 -253 
911 addClause -260 -55 -232 
912 addClause 333 -368 -225 
913 addClause 181 -178 -225 
914 addClause -365 -337 -330 
915 addClause -226 62 142 
916 addClause -117 25 315 
917 addClause -282 132 -253 
918 addClause 169 149 33 
919 addClause 72 287 -216 
920 addClause -220 -97 13 
921 addClause -3 208 187 
922 addClause 234 -284 124 
923 addClause -351 287 -290 
924 addClause 148 179 272 
925 addClause -249 173 -85 
926 addClause 98 -271 355 
927 addClause -349 142 325 
928 addClause 113 -175 -224 
929 addClause -306 -117 -111 
930 addClause 268 -79 219 
931 addClause 26 -114 -364 
932 addClause 151 -206 348 
933 addClause -192 60 29 
934 addClause 10 65 169 
935 addClause -79 -38 266 
936 addClause -326 229 30 
937 addClause -139 -98 8 
938 addClause 75 -56 -168 
939 addClause -51 60 148 
940 addClause 175 36 -96 
941 addClause -298 146 -316 
942 addClause -223 192 108 
943 addClause -187 114 274 
944 addClause 191 -214 116 
945 addClause 194 -224 -325 
946 addClause 197 123 -209 
947 addClause 48 37 -31 
948 addClause -302 266 -346 
949 addClause 146 301 60 
950 addClause 304 168 105 
951 addClause 271 -132 -164 
952 addClause -62 -198 -92 
953 addClause -93 -41 32 
954 addClause 93 -69 -181 
955 addClause 208 260 143 
956 addClause 310 -59 285 
957 addClause 163 -367 -276 
958 addClause -137 -79 205 
959 addClause -204 -89 -283 
960 addClause 97 17 144 
961 addClause -239 -37 77 
962 addClause 357 -242 -297 
963 addClause 44 133 -16 
964 addClause 109 250 -219 
965 addClause 292 101 -205 
966 addClause -277 -184 37 
967 addClause -114 342 263 
968 addClause 267 359 123 
969 addClause -208 -329 104 
970 addClause -149 -301 160 
971 addClause -109 -144 -361 
972 addClause 262 -114 -330 
973 addClause -294 7 12 
974 addClause 102 294 11 
975 addClause 148 -307 173 
976 addClause -102 80 -228 
977 addClause -351 206 -139 
978 addClause -23 -143 -93 
979 addClause 169 -142 36 
980 addClause 362 -330 -158 
981 addClause -181 -99 -151 
982 addClause 43 -281 -51 
983 addClause 231 -13 87 
984 addClause -265 -147 44 
985 addClause 187 21 67 
986 addClause 123 106 -112 
987 addClause 220 -133 -244 
988 addClause 83 -276 -230 
989 addClause -43 91 263 
990 addClause -32 287 -213 
991 addClause 210 -81 -94 
992 addClause -323 -184 -314 
993 addClause 243 338 171 
994 addClause -139 -215 357 
995 addClause 122 -287 -274 
996 addClause -135 -366 -209 
997 addClause 42 -309 171 
998 addClause -290 -231 41 
