1 init
2 using solver RandomSolver
141 addClause -46 -3 23 
142 addClause -18 26 -57 
143 addClause 22 4 -56 
144 addClause -49 -53 -51 
145 addClause 52 45 50 
146 addClause 1 -43 -55 
147 addClause 38 6 18 
148 addClause -6 -25 -40 
149 addClause 19 42 43 
150 addClause 66 -39 8 
151 addClause -32 -39 -68 
152 addClause 2 37 -69 
153 addClause -39 -57 13 
154 addClause -13 -55 26 
155 addClause 3 67 42 
156 addClause -36 25 -33 
157 addClause 40 -41 -1 
158 addClause -39 -9 37 
159 addClause 32 -66 67 
160 addClause -40 11 16 
161 addClause 1 -53 -69 
162 addClause -31 -45 21 
163 addClause 14 65 -67 
164 addClause -51 21 -23 
165 addClause -33 44 1 
166 addClause 50 -60 -18 
167 addClause -64 -40 35 
168 addClause -8 -59 35 
169 addClause 66 30 37 
170 addClause 65 -55 -34 
171 addClause 44 -67 -37 
172 addClause -60 56 21 
173 addClause 12 54 -32 
174 addClause -1 46 -69 
175 addClause -31 -9 -66 
176 addClause -35 -46 12 
177 addClause 18 52 -21 
178 addClause -35 -67 47 
179 addClause 48 13 33 
180 addClause -32 23 44 
181 addClause 27 -1 59 
182 addClause 26 18 35 
183 addClause -47 -29 42 
184 addClause -17 52 25 
185 addClause 44 27 -27 
186 addClause -53 6 -14 
187 addClause -5 18 -63 
188 addClause -10 34 -32 
189 addClause 8 31 -25 
190 addClause 4 28 -54 
191 addClause -21 19 -4 
192 addClause 60 53 -8 
193 addClause 6 -19 -69 
194 addClause 44 -24 -53 
195 addClause -5 -17 -16 
196 addClause -31 58 34 
197 addClause -51 67 51 
198 addClause 45 35 -13 
199 addClause 54 -24 -1 
200 addClause -59 58 24 
201 addClause -59 -23 -17 
202 addClause 22 -34 -50 
203 addClause -20 28 68 
204 addClause -45 6 19 
205 addClause 13 44 -51 
206 addClause 6 -42 -2 
207 addClause -7 1 59 
208 addClause -26 -38 67 
209 addClause 15 21 -58 
210 solve
211 addClause -147 14 154 
212 addClause -57 113 99 
213 addClause 129 -125 109 
214 addClause -88 -154 83 
215 addClause -172 -10 -136 
216 addClause -84 5 -160 
217 addClause -166 145 64 
218 addClause 66 107 -76 
219 addClause 134 -10 -144 
220 addClause 29 -148 5 
221 addClause -95 99 -165 
222 addClause 154 77 87 
223 addClause -88 -174 170 
224 addClause 128 -117 -144 
225 addClause -35 128 126 
226 addClause 109 98 -74 
227 addClause -76 -148 -135 
228 addClause -67 -77 172 
229 addClause -19 -14 175 
230 addClause 22 2 -13 
231 addClause -155 22 -102 
232 addClause 162 145 -153 
233 addClause 164 -24 -148 
234 addClause -89 -29 55 
235 addClause 69 170 -106 
236 addClause 104 90 42 
237 addClause 105 67 -76 
238 addClause -69 -73 125 
239 addClause -35 157 -135 
240 addClause 156 -161 -149 
241 addClause 48 -106 -166 
242 addClause -112 -53 55 
243 addClause -159 -71 85 
244 addClause 128 145 -27 
245 addClause 31 -147 -17 
246 addClause -135 -59 175 
247 addClause 125 145 -32 
248 addClause -168 -135 -79 
249 addClause 168 118 -77 
250 addClause -103 35 -74 
251 addClause 136 119 110 
252 addClause 42 -161 -138 
253 addClause -154 -91 -128 
254 addClause 52 -108 -126 
255 addClause 44 -111 -13 
256 addClause -27 -3 3 
257 addClause 95 57 -102 
258 addClause 103 28 -135 
259 addClause 119 145 160 
260 addClause -54 -153 -27 
261 addClause -130 101 -1 
262 addClause 31 80 -173 
263 addClause -87 -52 96 
264 addClause -80 129 123 
265 addClause -173 -142 -176 
266 addClause 110 114 -157 
267 addClause -62 -54 55 
268 addClause -22 -154 174 
269 addClause 48 -87 66 
270 addClause 129 147 127 
271 addClause -48 -28 95 
272 addClause 76 56 6 
273 addClause -22 -171 -85 
274 addClause -138 172 158 
275 addClause 58 -173 -57 
276 addClause -12 49 160 
277 addClause -110 13 20 
278 addClause -109 -32 6 
279 addClause -44 -20 -142 
280 addClause 12 13 -29 
281 addClause 150 -137 159 
282 addClause -6 -103 -144 
283 addClause 136 18 112 
284 addClause 52 -70 89 
285 addClause -161 -112 -34 
286 addClause 64 133 -148 
287 addClause -124 75 115 
288 addClause -58 98 112 
289 addClause -175 -72 69 
290 addClause 52 -25 174 
291 addClause 60 155 87 
292 addClause -21 -85 33 
293 addClause -139 96 -123 
294 addClause 87 148 137 
295 addClause -136 13 -19 
296 addClause 32 6 -129 
297 addClause -66 93 -44 
298 addClause 159 47 -53 
299 addClause 122 91 -81 
300 addClause -25 123 -118 
301 addClause 30 -137 143 
302 addClause -168 132 -27 
303 addClause 28 -21 126 
304 addClause -105 -28 -14 
305 addClause 57 173 -105 
306 addClause 137 -74 -138 
307 addClause 136 11 110 
308 addClause -50 62 -11 
309 addClause 79 -104 33 
310 addClause -109 -91 -172 
311 addClause -140 105 52 
312 addClause -66 -126 -96 
313 addClause 92 48 139 
314 addClause 112 -32 146 
315 addClause 149 135 57 
316 addClause -38 8 114 
317 addClause -142 12 124 
318 addClause 64 -114 13 
319 addClause -101 11 129 
320 addClause 121 -19 117 
321 addClause 84 115 -155 
322 addClause 45 149 55 
323 addClause -89 -143 -8 
324 addClause 76 52 -18 
325 addClause 143 -11 148 
326 addClause 130 129 -154 
327 addClause -66 99 106 
328 addClause -108 167 -104 
329 addClause -82 -27 -156 
330 addClause 133 59 71 
331 addClause -66 100 122 
332 addClause 28 18 46 
333 addClause 81 -77 -63 
334 addClause -38 -135 -110 
335 addClause 59 -164 -73 
336 addClause -81 163 -113 
337 addClause -6 -2 95 
338 addClause 173 -16 -27 
339 addClause 62 -70 68 
340 addClause -85 70 129 
341 addClause 24 175 -103 
342 addClause 22 155 20 
343 addClause 67 -5 -121 
344 addClause -6 3 158 
345 addClause 121 40 51 
346 addClause 127 14 133 
347 addClause -74 48 -9 
348 addClause 135 94 21 
349 addClause 25 98 150 
350 addClause 138 3 2 
351 addClause 146 68 141 
352 addClause -44 -110 112 
353 addClause 105 126 -19 
354 addClause -105 -87 47 
355 addClause -161 -61 -51 
356 addClause 81 -143 -101 
357 addClause 38 -165 -126 
358 addClause 74 -84 -125 
359 addClause -113 94 -103 
360 addClause -175 -28 -83 
361 addClause 128 -146 -161 
362 addClause -79 -115 27 
363 addClause -3 -12 59 
364 addClause -162 -93 135 
365 addClause -148 -104 -117 
366 addClause -52 -120 -78 
367 addClause -23 -13 21 
368 addClause -171 -103 33 
369 addClause 78 -104 40 
370 addClause -115 100 148 
371 addClause -69 -91 -50 
372 addClause 116 95 -19 
373 addClause 142 -120 78 
374 addClause -89 2 -167 
375 addClause -102 78 4 
376 addClause -137 -102 -68 
377 addClause 158 -115 111 
378 addClause 12 173 22 
379 addClause 49 90 -143 
380 addClause 105 -5 102 
381 addClause -82 48 79 
382 addClause -73 98 -41 
383 addClause -25 -36 3 
384 addClause -129 -39 78 
385 addClause -44 50 -154 
386 addClause -175 -60 -15 
387 addClause -96 -103 4 
388 addClause -56 22 41 
389 addClause 3 -61 29 
390 addClause -41 72 -165 
391 addClause 124 172 -54 
392 addClause 73 -76 135 
393 addClause -145 -101 -118 
394 addClause -159 -65 -156 
395 addClause -77 -117 165 
396 addClause -51 123 -45 
397 addClause -30 -151 -175 
398 addClause -122 109 7 
399 addClause -45 79 139 
400 addClause -32 -47 -2 
401 addClause -57 81 -128 
402 addClause 99 -146 162 
403 addClause -2 122 41 
404 addClause 68 -131 129 
405 addClause 88 -102 15 
406 addClause 35 -152 -146 
407 addClause -116 -103 113 
408 addClause 101 -30 103 
409 addClause -50 44 -135 
410 addClause -158 -135 -143 
411 addClause 97 49 -158 
412 addClause 15 -101 113 
413 addClause 76 1 -62 
414 addClause -142 165 119 
415 addClause -44 -161 96 
416 addClause 134 -160 -101 
417 addClause 145 -6 142 
418 addClause 6 -156 -153 
419 addClause 133 160 -6 
420 addClause 61 -3 -28 
421 addClause -31 -70 -158 
422 addClause 53 110 89 
423 addClause 1 -137 90 
424 addClause -152 -174 84 
425 addClause 150 -137 66 
426 addClause -161 -51 12 
427 addClause -100 -11 -43 
428 addClause -44 -12 -161 
429 addClause -112 -76 -144 
430 addClause -172 -91 125 
431 addClause 147 -164 151 
432 addClause -130 -57 -81 
433 addClause 31 -45 165 
434 addClause -133 74 -36 
435 addClause 100 5 -111 
436 addClause 168 157 71 
437 addClause -79 -48 119 
438 addClause -169 -121 -32 
439 addClause 115 72 138 
440 addClause -112 -74 169 
441 addClause 4 145 -114 
442 addClause -116 -146 162 
443 addClause 99 -30 167 
444 addClause 130 28 -127 
445 addClause -15 -160 -149 
446 addClause -121 41 -81 
447 addClause 150 -168 1 
448 addClause -43 -93 99 
449 addClause 123 163 -129 
450 addClause -124 -60 -2 
451 addClause 107 98 -86 
452 addClause -165 67 -168 
453 addClause 92 -118 12 
454 addClause 17 -131 9 
455 addClause -38 -84 68 
456 addClause 122 -133 64 
457 addClause 51 15 4 
458 addClause 56 -143 33 
459 addClause -171 63 6 
460 addClause -97 139 151 
461 addClause -77 -60 131 
462 addClause 131 -148 -31 
463 addClause -154 165 -141 
464 addClause 26 -171 -62 
465 addClause -78 77 50 
466 addClause 97 21 12 
467 addClause 104 -14 97 
468 addClause -116 57 -21 
469 addClause -11 -10 -94 
470 addClause 78 28 -166 
471 addClause 12 6 43 
472 addClause 164 -78 -48 
473 addClause -35 -121 -86 
474 addClause 87 9 117 
475 addClause 50 -73 -68 
476 addClause -143 -39 67 
477 addClause -7 -69 -121 
478 addClause 3 -118 74 
479 addClause 9 149 161 
480 addClause 121 93 -173 
481 addClause -145 -8 -170 
482 addClause 53 -128 -125 
483 addClause -19 -51 -175 
484 addClause 47 -28 -79 
485 addClause -16 128 -40 
486 addClause 54 -113 -167 
487 addClause -125 -105 -124 
488 addClause 107 42 117 
489 addClause 95 14 -54 
490 addClause -72 -56 77 
491 addClause 122 -140 53 
492 addClause -101 -67 39 
493 addClause 166 132 70 
494 addClause 30 -67 127 
495 addClause -120 24 -3 
496 addClause -97 89 34 
497 addClause -66 105 -125 
498 addClause 33 169 -32 
499 addClause -153 110 86 
500 addClause -101 46 -19 
501 addClause 56 77 -172 
502 addClause -30 73 -108 
503 addClause 129 145 45 
504 addClause -109 167 -43 
505 addClause 90 -151 47 
506 addClause 132 86 43 
507 addClause 62 -35 -27 
508 addClause 78 -29 -66 
509 addClause 125 -79 -176 
510 addClause -125 85 73 
511 addClause -32 -4 60 
512 addClause -150 -106 73 
513 addClause -58 47 70 
514 addClause -172 90 141 
515 addClause 171 37 -132 
516 addClause 26 57 73 
517 addClause 1 -112 -107 
518 addClause -169 -60 -74 
519 addClause 167 28 -63 
520 addClause -71 161 113 
521 addClause -149 15 -2 
522 addClause 102 -128 -130 
523 addClause -44 100 58 
524 addClause 37 34 118 
525 addClause 146 149 2 
526 addClause -107 63 48 
527 addClause -165 47 -5 
528 addClause -68 51 19 
529 addClause -90 -124 -62 
530 addClause 60 36 -20 
531 addClause -126 -104 -95 
532 solve
533 addClause -158 115 117 
534 addClause 118 217 -27 
535 addClause 227 86 215 
536 addClause -172 -101 7 
537 addClause 215 199 -65 
538 addClause -131 17 -151 
539 addClause 227 37 77 
540 addClause -138 -179 62 
541 addClause 50 -123 -4 
542 addClause 17 60 178 
543 addClause -26 -146 107 
544 addClause 135 89 164 
545 addClause 216 -90 226 
546 addClause 189 -221 -266 
547 addClause -180 20 -185 
548 addClause 7 257 -76 
549 addClause 239 67 44 
550 addClause -18 258 52 
551 addClause -130 54 122 
552 addClause -84 -17 -69 
553 addClause 243 -140 -227 
554 addClause -63 30 21 
555 addClause 16 189 181 
556 addClause -131 94 268 
557 addClause 105 142 -215 
558 addClause -176 -105 -23 
559 addClause 134 -24 -7 
560 addClause -238 -262 -117 
561 addClause 24 -96 -67 
562 addClause 161 64 -61 
563 addClause -128 -66 -148 
564 addClause -142 138 -4 
565 addClause -64 -111 -2 
566 addClause -236 53 28 
567 addClause -71 120 -210 
568 addClause -14 151 -272 
569 addClause -54 -256 -267 
570 addClause -145 19 -88 
571 addClause 81 177 -141 
572 addClause -81 109 -45 
573 addClause 102 -256 -109 
574 addClause 207 266 32 
575 addClause 50 -77 -270 
576 addClause -209 199 -163 
577 addClause -69 -73 -233 
578 addClause 21 54 117 
579 addClause 152 -25 164 
580 addClause -255 207 155 
581 addClause 32 -197 -236 
582 addClause 83 -75 212 
583 addClause -173 64 -112 
584 addClause 150 171 -95 
585 addClause 17 209 25 
586 addClause -102 -5 -61 
587 addClause 111 -147 171 
588 addClause -157 -99 -169 
589 addClause -123 235 -143 
590 addClause 105 265 -193 
591 addClause -197 -223 229 
592 addClause -194 41 -187 
593 addClause -188 -156 -110 
594 addClause 156 164 -231 
595 addClause 270 41 261 
596 addClause -70 -158 133 
597 addClause 254 -190 218 
598 addClause -265 -151 -236 
599 addClause -146 -78 30 
600 addClause -24 -57 171 
601 addClause 30 112 -165 
602 addClause -10 -26 261 
603 addClause -109 -100 163 
604 addClause 83 78 251 
605 addClause -28 -2 223 
606 addClause -134 -181 143 
607 addClause -174 71 -194 
608 addClause 191 236 -48 
609 addClause 186 158 47 
610 addClause 218 -121 -160 
611 addClause -132 -159 -90 
612 addClause 230 -141 -212 
613 addClause -122 -220 215 
614 addClause 12 182 52 
615 addClause -19 -239 -170 
616 addClause 87 66 41 
617 addClause -122 -157 -52 
618 addClause 54 -160 77 
619 addClause 41 75 33 
620 addClause 20 -188 -61 
621 addClause -190 8 86 
622 addClause -195 -187 181 
623 addClause 104 152 -53 
624 addClause -272 -169 71 
625 addClause 226 124 144 
626 addClause -79 -4 -263 
627 addClause -5 -23 -229 
628 addClause -21 85 228 
629 addClause -120 -190 245 
630 addClause -228 -254 -21 
631 addClause -144 96 20 
632 addClause 146 23 245 
633 addClause -33 -206 -226 
634 addClause 174 -201 91 
635 addClause 56 -189 138 
636 addClause -161 62 81 
637 addClause 26 -71 238 
638 addClause 206 -180 186 
639 addClause 240 -185 217 
640 addClause 178 -76 152 
641 addClause -94 151 215 
642 addClause 7 96 116 
643 addClause -187 -163 217 
644 addClause -271 88 -254 
645 addClause 143 219 126 
646 addClause 180 242 145 
647 addClause 248 -221 214 
648 addClause 138 -193 45 
649 addClause -193 261 2 
650 addClause -175 -136 207 
651 addClause 106 -14 260 
652 addClause 107 30 -22 
653 addClause -244 65 162 
654 addClause 104 -138 -58 
655 addClause 122 -152 -41 
656 addClause 227 269 45 
657 addClause 159 -27 229 
658 addClause 253 18 -224 
659 addClause 178 185 -105 
660 addClause 32 -114 119 
661 addClause -214 -82 155 
662 addClause -257 -212 188 
663 addClause 201 -66 122 
664 addClause -147 52 106 
665 addClause -197 -28 73 
666 addClause 211 242 167 
667 addClause 233 2 -140 
668 addClause 79 -25 81 
669 addClause 243 79 -181 
670 addClause -90 217 31 
671 addClause -231 -82 208 
672 addClause -156 139 -78 
673 addClause 30 -99 123 
674 addClause -232 15 -147 
675 addClause -131 -264 -182 
676 addClause 64 201 -263 
677 addClause 37 -37 54 
678 addClause -120 245 101 
679 addClause 34 180 -99 
680 addClause 172 -178 105 
681 addClause 103 -107 -26 
682 addClause -152 145 196 
683 addClause -33 159 -69 
684 addClause 153 10 239 
685 addClause 83 99 -187 
686 addClause 41 -115 125 
687 addClause 12 -44 -76 
688 addClause -71 146 198 
689 addClause 89 123 26 
690 addClause 52 73 64 
691 addClause 22 -249 -233 
692 addClause -102 -134 80 
693 addClause 34 -103 -5 
694 addClause -110 2 6 
695 addClause 265 61 -107 
696 addClause 201 -218 -101 
697 addClause -128 -86 -190 
698 addClause -189 68 -172 
699 addClause 245 12 95 
700 addClause -203 -265 -5 
701 addClause -164 -29 -192 
702 addClause -163 184 -103 
703 addClause 23 -16 82 
704 addClause 254 249 -69 
705 addClause -210 -58 201 
706 addClause 222 -187 -14 
707 addClause 142 133 141 
708 addClause 147 13 182 
709 addClause 97 -180 -221 
710 addClause -23 77 -235 
711 addClause -65 151 -104 
712 addClause -132 -229 -117 
713 addClause -115 134 -171 
714 addClause 182 232 -13 
715 addClause 174 127 26 
716 addClause 191 -162 -169 
717 addClause -263 -60 -111 
718 addClause 105 -120 93 
719 addClause -222 -176 -194 
720 addClause 198 19 260 
721 addClause 117 127 -122 
722 addClause 108 241 -17 
723 addClause -261 -169 170 
724 addClause 37 -249 38 
725 addClause -136 -166 77 
726 addClause 225 155 178 
727 addClause -261 201 100 
728 addClause -190 260 -243 
729 addClause -124 -149 -171 
730 addClause -233 -81 -28 
731 addClause -233 -2 139 
732 addClause -234 -64 126 
733 addClause 155 -96 -11 
734 addClause 260 35 -101 
735 addClause 192 -189 -233 
736 addClause -72 -246 -187 
737 addClause -188 38 118 
738 addClause 91 -5 240 
739 addClause -134 -11 -75 
740 addClause 66 -70 13 
741 addClause 232 -212 195 
742 addClause 125 -123 159 
743 addClause 161 -175 10 
744 addClause -76 -3 -265 
745 addClause -149 236 246 
746 addClause -45 -8 -46 
747 addClause -262 175 42 
748 addClause -67 -126 240 
749 addClause 144 113 232 
750 addClause 163 -207 229 
751 addClause 5 22 -131 
752 addClause 192 -213 -28 
753 addClause 21 29 60 
754 addClause -184 -141 -147 
755 addClause 134 51 22 
756 addClause -261 -165 248 
757 addClause -50 42 -175 
758 addClause 68 -223 -37 
759 addClause 114 -149 56 
760 addClause -245 225 61 
761 addClause -22 -231 234 
762 addClause 216 -158 -219 
763 addClause -252 183 -17 
764 addClause -12 -249 104 
765 addClause 200 80 196 
766 addClause -68 -70 269 
767 addClause -155 -105 143 
768 addClause 6 257 -89 
769 addClause -227 5 188 
770 addClause -175 168 225 
771 addClause 217 166 181 
772 addClause 98 -195 -107 
773 addClause -180 192 -222 
774 addClause 123 264 137 
775 addClause 244 53 -65 
776 addClause 2 -85 246 
777 addClause -151 -219 70 
778 addClause -12 -49 40 
779 addClause 128 28 -239 
780 addClause -34 210 -26 
781 addClause -205 -265 -59 
782 addClause 131 101 67 
783 addClause 242 3 52 
784 addClause 120 19 -236 
785 addClause 224 -72 147 
786 addClause 171 69 -80 
787 addClause 133 152 -24 
788 addClause -109 18 224 
789 addClause 22 130 -153 
790 addClause 50 -245 -119 
791 addClause -147 45 -79 
792 addClause -72 -202 -113 
793 addClause -96 -132 -109 
794 addClause 124 4 250 
795 addClause -157 7 -100 
796 addClause 39 -91 -64 
797 addClause 223 231 -82 
798 addClause -134 -231 160 
799 addClause -10 87 83 
800 addClause -166 205 -77 
801 addClause -16 53 -180 
802 addClause -214 -237 7 
803 addClause -59 103 94 
804 addClause -175 -164 138 
805 addClause 182 220 -49 
806 addClause 20 -254 149 
807 addClause -239 -78 50 
808 addClause 195 84 -60 
809 addClause 253 257 36 
810 addClause -215 258 252 
811 addClause -207 9 -112 
812 addClause 138 133 30 
813 addClause 97 -187 180 
814 addClause -128 -255 -61 
815 addClause -208 236 44 
816 addClause 115 28 -176 
817 addClause -75 86 25 
818 addClause 117 100 56 
819 addClause -36 -214 23 
820 addClause -182 -192 -151 
821 solve
822 addClause -369 -94 54 
823 addClause -311 -30 -265 
824 addClause -268 -67 32 
825 addClause 343 -195 86 
826 addClause -159 387 -228 
827 addClause -310 -283 -429 
828 addClause 137 -252 -368 
829 addClause -381 -168 -427 
830 addClause -123 -373 -267 
831 addClause -354 -376 20 
832 addClause 217 -336 -58 
833 addClause -298 -343 145 
834 addClause 325 -115 266 
835 addClause -105 -39 340 
836 addClause 410 393 -125 
837 addClause -421 -9 -109 
838 addClause 129 80 -386 
839 addClause 131 67 -271 
840 addClause -202 43 285 
841 addClause -288 -174 5 
842 addClause 77 -253 -11 
843 addClause 245 -345 -343 
844 addClause 349 -301 49 
845 addClause 247 20 85 
846 addClause -275 32 -212 
847 addClause 45 168 130 
848 addClause -186 320 -279 
849 addClause -354 -26 -225 
850 addClause 429 -25 137 
851 addClause 326 6 396 
852 addClause -109 83 342 
853 addClause -140 -97 289 
854 addClause 95 110 90 
855 addClause -171 121 -1 
856 addClause 173 155 405 
857 addClause -208 432 -234 
858 addClause 230 86 224 
859 addClause -353 133 144 
860 addClause -412 272 381 
861 addClause 190 181 244 
862 addClause -387 -124 -65 
863 addClause -341 82 -125 
864 addClause 112 -168 -314 
865 addClause -190 -337 -37 
866 addClause 183 -226 233 
867 addClause 209 -252 338 
868 addClause -262 -169 -99 
869 addClause 365 -105 -333 
870 addClause -53 -142 -311 
871 addClause 359 -95 74 
872 addClause 230 -312 49 
873 addClause 138 -185 -182 
874 addClause -254 -216 42 
875 addClause 254 -342 184 
876 addClause 381 332 -195 
877 addClause 248 208 336 
878 addClause -205 388 -183 
879 addClause 13 15 69 
880 addClause 379 -172 -68 
881 addClause 180 -227 -117 
882 addClause -397 183 388 
883 addClause -414 343 -215 
884 addClause -337 88 359 
885 addClause 87 115 -258 
886 addClause -106 -364 -72 
887 addClause -359 173 245 
888 addClause -293 346 -400 
889 addClause 269 22 363 
890 addClause -277 -113 162 
891 addClause 122 70 3 
892 addClause -280 225 -415 
893 addClause 133 -332 -75 
894 addClause 266 162 -158 
895 addClause -232 -133 307 
896 addClause -2 98 -113 
897 addClause 166 63 341 
898 addClause -107 204 -152 
899 addClause -64 -242 50 
900 addClause 145 -434 -143 
901 addClause 6 341 17 
902 addClause 288 198 197 
903 addClause -387 189 -97 
904 addClause 420 -177 -82 
905 addClause 191 -239 -238 
906 addClause 187 109 -257 
907 addClause -91 -157 -357 
908 addClause 315 25 366 
909 addClause -46 365 346 
910 addClause -190 -266 225 
911 addClause -247 -92 45 
912 addClause -375 128 -105 
913 addClause -311 -203 -366 
914 addClause 428 -334 -406 
915 addClause 291 372 154 
916 addClause -317 -92 387 
917 addClause 201 -378 335 
918 addClause -66 -115 -400 
919 addClause -32 60 -305 
920 addClause -51 -67 -325 
921 addClause 41 175 213 
922 addClause -250 419 69 
923 addClause 369 306 -136 
924 addClause 7 -283 -14 
925 addClause 118 -383 -63 
926 addClause 364 -154 -338 
927 addClause -141 123 -253 
928 addClause 247 -124 -302 
929 addClause 399 -75 251 
930 addClause 67 -405 -396 
931 addClause -81 -414 -369 
932 addClause -78 174 177 
933 addClause 117 389 -45 
934 addClause -27 -268 -20 
935 addClause -251 243 -422 
936 addClause 57 297 112 
937 addClause -432 -277 -191 
938 addClause -341 -338 -349 
939 addClause -400 -59 110 
940 addClause -233 294 323 
941 addClause 17 130 157 
942 addClause 145 257 -184 
943 addClause -417 -58 -209 
944 addClause -379 -30 389 
945 addClause -160 -24 -201 
946 addClause -237 -136 -226 
947 addClause 210 -98 299 
948 addClause 237 -18 -306 
949 addClause -189 181 363 
950 addClause 7 368 -54 
951 addClause 280 -276 -77 
952 addClause -428 292 23 
953 addClause -302 -214 -140 
954 addClause -131 -36 29 
955 addClause 422 410 -27 
956 addClause 282 158 69 
957 addClause -198 253 -174 
958 addClause 142 -249 -398 
959 addClause -39 394 330 
960 addClause 244 -351 135 
961 addClause 336 -375 217 
962 addClause 354 -201 412 
963 addClause -386 273 -414 
964 addClause -337 26 -30 
965 addClause -226 -27 -164 
966 addClause 334 413 -325 
967 addClause 202 243 -319 
968 addClause 336 136 -349 
969 addClause 172 375 279 
970 addClause 221 355 -266 
971 addClause 386 -351 -282 
972 addClause -403 -150 -12 
973 addClause 181 -164 141 
974 addClause 238 113 -27 
975 addClause -235 189 -45 
976 addClause -66 -222 395 
977 addClause 14 191 205 
978 addClause 76 305 -47 
979 addClause 24 -223 343 
980 addClause 148 355 -387 
981 addClause -14 303 -178 
982 addClause 226 -57 -415 
983 addClause 139 432 -101 
984 addClause -314 151 -389 
985 addClause 96 -15 -412 
986 addClause 202 284 -217 
987 addClause 177 -107 -424 
988 addClause -238 -211 299 
989 addClause -47 -433 102 
990 addClause 221 171 384 
991 addClause 430 128 90 
992 addClause 217 366 194 
993 addClause 113 -189 -57 
994 addClause 220 344 -60 
995 addClause 62 -81 418 
996 addClause -289 119 257 
997 addClause 373 88 -411 
998 addClause 259 -143 239 
999 addClause 194 86 259 
1000 addClause 402 158 266 
