1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Order : VarOrderHeap/varDecay=0.8895767659650441
4 Phase Selection Strategy : UserFixedPhaseSelectionStrategy
5 Learning Strategy : MiniSATLearning
351 addClause 67 125 -61 
352 addClause -131 132 -10 
353 addClause -167 -163 105 
354 addClause 4 -132 -26 
355 addClause 47 135 -161 
356 addClause 149 65 -142 
357 addClause -121 34 -153 
358 addClause -66 -146 133 
359 addClause 75 -86 -44 
360 addClause 99 -20 -131 
361 addClause -48 52 155 
362 addClause -166 53 161 
363 addClause -13 -17 79 
364 addClause -129 102 -86 
365 addClause -67 -61 82 
366 addClause 167 -40 -15 
367 addClause -158 -38 17 
368 addClause -107 -48 6 
369 addClause -86 141 -23 
370 addClause -135 -70 81 
371 addClause -87 -124 -124 
372 addClause -128 -42 122 
373 addClause -95 40 136 
374 addClause 36 -71 -126 
375 addClause -43 142 -159 
376 addClause -153 107 -46 
377 addClause -97 -125 71 
378 addClause -49 73 -107 
379 addClause 162 53 123 
380 addClause 31 91 -160 
381 addClause 135 -15 -80 
382 addClause 79 118 -116 
383 addClause 38 160 -35 
384 addClause -122 -40 73 
385 addClause 43 -167 -21 
386 addClause -59 -130 23 
387 addClause 39 -154 15 
388 addClause -141 67 -111 
389 addClause 37 -79 -17 
390 addClause 133 65 -122 
391 addClause 5 -51 70 
392 addClause 164 65 -38 
393 addClause 45 96 80 
394 addClause 59 45 -26 
395 addClause -28 120 105 
396 addClause 44 -76 -73 
397 addClause 71 -12 84 
398 addClause -63 73 91 
399 addClause 124 -1 41 
400 addClause 159 -9 142 
401 addClause 117 158 -102 
402 addClause 145 5 -135 
403 addClause -97 22 101 
404 addClause -73 -66 -95 
405 addClause 163 -58 -121 
406 addClause 52 -121 124 
407 addClause 158 -128 154 
408 addClause 108 67 149 
409 addClause -124 52 -83 
410 addClause -123 -106 -110 
411 addClause -46 87 48 
412 addClause 167 133 40 
413 addClause 97 36 109 
414 addClause -37 89 33 
415 addClause 14 -47 92 
416 addClause -99 55 -76 
417 addClause -11 127 -137 
418 addClause 45 116 90 
419 addClause -84 -43 -74 
420 addClause 144 25 -7 
421 addClause 15 93 -44 
422 addClause 134 -105 -44 
423 addClause 41 52 -82 
424 addClause -24 -130 -128 
425 addClause -163 96 -91 
426 addClause -15 91 -147 
427 addClause -41 -117 -24 
428 addClause 120 67 146 
429 addClause -70 164 131 
430 addClause -106 -143 -157 
431 addClause 87 -3 -71 
432 addClause 101 -112 -97 
433 addClause -148 43 -133 
434 addClause -37 129 -55 
435 addClause 103 -74 -123 
436 addClause 137 -123 163 
437 addClause 100 12 140 
438 addClause -50 36 -4 
439 addClause 86 -45 -33 
440 addClause 46 107 140 
441 addClause 11 147 136 
442 addClause -41 103 45 
443 addClause -117 166 -76 
444 addClause -98 13 -33 
445 addClause 45 -37 -100 
446 addClause 164 -155 144 
447 addClause 100 -35 108 
448 addClause 46 42 -15 
449 addClause 109 -17 101 
450 addClause 100 151 -54 
451 addClause 153 58 70 
452 addClause 34 1 -118 
453 addClause -83 105 104 
454 addClause -147 115 113 
455 addClause 165 38 -57 
456 addClause 83 48 -68 
457 addClause 128 -7 5 
458 addClause 34 150 101 
459 addClause -92 -73 39 
460 addClause 5 -93 121 
461 addClause -41 110 17 
462 addClause -139 -153 -11 
463 addClause -73 153 128 
464 addClause -163 45 91 
465 addClause -100 -6 -91 
466 addClause -110 -110 -124 
467 addClause -104 98 -164 
468 addClause -105 60 21 
469 addClause 86 -57 -33 
470 addClause 5 38 -95 
471 addClause 67 -58 -110 
472 addClause -163 -74 32 
473 addClause -62 96 -116 
474 addClause 42 131 77 
475 addClause -101 34 101 
476 addClause -5 67 137 
477 addClause 146 2 -40 
478 addClause -53 -100 -145 
479 addClause -67 108 81 
480 addClause 167 -113 14 
481 addClause -115 89 -133 
482 addClause -17 45 -5 
483 addClause -163 143 -5 
484 addClause 86 -26 16 
485 addClause 43 -2 -71 
486 addClause 134 81 -135 
487 addClause -110 158 124 
488 addClause -110 67 122 
489 addClause 115 -11 -163 
490 addClause -150 59 90 
491 addClause 103 7 -46 
492 addClause 15 -130 -24 
493 addClause 107 77 -70 
494 addClause 120 150 -147 
495 addClause 152 47 155 
496 addClause 3 153 -52 
497 addClause 163 8 6 
498 addClause 52 -141 150 
499 addClause -66 4 -10 
500 addClause 77 -34 35 
501 addClause -74 35 -100 
502 addClause -109 -57 -153 
503 addClause -95 -90 -16 
504 addClause -106 64 -52 
505 addClause 87 39 86 
506 addClause -21 119 65 
507 addClause 160 104 -79 
508 addClause -4 4 -79 
509 addClause 140 -27 13 
510 addClause -19 -102 139 
511 addClause 54 -149 -119 
512 addClause -74 50 39 
513 addClause 66 167 -90 
514 addClause -165 -15 154 
515 addClause 20 162 -62 
516 solve
517 addClause 104 206 85 
518 addClause 31 98 -38 
519 addClause -62 -86 15 
520 addClause 115 -167 -49 
521 addClause 6 -69 -12 
522 addClause 83 33 -106 
523 addClause 24 150 -225 
524 addClause -77 104 -42 
525 addClause -33 49 17 
526 addClause -143 67 16 
527 addClause 45 -31 -72 
528 addClause -164 123 -153 
529 addClause -185 -26 19 
530 addClause 201 -43 -194 
531 addClause 207 198 92 
532 addClause 58 145 8 
533 addClause -65 -132 -105 
534 addClause 188 62 -78 
535 addClause -98 174 -91 
536 addClause -148 94 120 
537 addClause -108 -117 148 
538 addClause -15 -183 -11 
539 addClause -86 -140 179 
540 addClause -98 209 -149 
541 addClause -229 80 52 
542 addClause -182 -16 78 
543 addClause -34 157 49 
544 addClause 91 -67 -170 
545 addClause -104 36 -11 
546 addClause -32 -146 84 
547 addClause 51 222 17 
548 addClause -114 94 144 
549 addClause -63 -207 -214 
550 addClause 218 -123 126 
551 addClause -20 -44 -197 
552 addClause -227 68 -229 
553 addClause -61 205 -207 
554 addClause 149 -214 83 
555 addClause 38 -196 -138 
556 addClause -6 -35 52 
557 addClause 22 19 -74 
558 addClause -183 -173 -205 
559 addClause -120 -83 -78 
560 addClause 92 -221 -105 
561 addClause -199 145 100 
562 addClause -69 149 202 
563 addClause -66 -207 -18 
564 addClause 62 -94 152 
565 addClause -140 76 56 
566 addClause -70 -131 83 
567 addClause 52 68 -99 
568 addClause 182 224 -78 
569 addClause -213 179 -81 
570 addClause -64 -88 140 
571 addClause -136 92 30 
572 addClause -186 -185 -42 
573 addClause 131 -125 -225 
574 addClause 83 -28 -108 
575 addClause 68 -122 -133 
576 addClause -184 43 -85 
577 addClause 87 -138 -150 
578 addClause 90 -158 -190 
579 addClause 31 -120 -197 
580 addClause 193 89 113 
581 addClause -137 -189 -223 
582 addClause 141 171 -156 
583 addClause -121 -97 14 
584 addClause 100 -193 -202 
585 addClause 151 -228 159 
586 addClause 160 40 -117 
587 addClause -136 -48 91 
588 addClause 95 -159 -83 
589 addClause -199 -105 -98 
590 addClause -153 219 188 
591 addClause 167 -95 -150 
592 addClause 141 201 55 
593 addClause 139 80 141 
594 addClause 51 161 49 
595 addClause 129 -212 111 
596 addClause 125 75 140 
597 addClause -97 -27 217 
598 addClause -79 222 -151 
599 addClause 84 -7 -116 
600 addClause 207 -54 49 
601 addClause 42 198 -195 
602 addClause -125 -168 -164 
603 addClause -21 215 214 
604 addClause -127 -153 162 
605 addClause -187 -56 -111 
606 addClause -82 46 200 
607 addClause 182 66 108 
608 addClause 191 133 -197 
609 addClause 60 196 85 
610 addClause 126 32 86 
611 addClause -157 -207 -25 
612 addClause -114 -181 1 
613 addClause -87 155 -125 
614 addClause 113 -13 64 
615 addClause -148 47 -49 
616 addClause 109 -193 27 
617 addClause -65 72 200 
618 addClause 201 -179 -71 
619 addClause -48 -41 132 
620 addClause 55 -30 47 
621 addClause -1 -130 -90 
622 addClause -188 9 110 
623 addClause 111 213 -1 
624 addClause 122 92 -34 
625 addClause -65 -62 -133 
626 addClause -10 135 -134 
627 addClause -57 97 12 
628 addClause 152 -222 218 
629 addClause -225 -220 66 
630 addClause 87 -141 -110 
631 addClause -126 159 -79 
632 addClause -203 105 110 
633 addClause -224 -60 154 
634 addClause -78 -115 -30 
635 addClause -182 36 146 
636 addClause -140 101 79 
637 addClause -79 151 163 
638 addClause 107 -161 -159 
639 addClause 219 181 -52 
640 addClause 134 -129 95 
641 addClause 68 -74 -164 
642 addClause 186 -206 171 
643 addClause 51 6 3 
644 addClause 169 -68 -52 
645 addClause -174 -223 -205 
646 addClause -185 27 -83 
647 addClause -108 123 163 
648 addClause 122 -112 223 
649 addClause 5 156 -193 
650 addClause 214 -32 -113 
651 addClause 39 -182 -186 
652 addClause 120 225 -28 
653 addClause 55 174 13 
654 addClause -219 -183 227 
655 addClause -65 16 205 
656 addClause 89 81 -45 
657 addClause 170 -42 105 
658 addClause 204 -105 164 
659 addClause -127 223 90 
660 addClause 107 -156 -218 
661 addClause -16 180 125 
662 addClause -61 103 -169 
663 addClause -53 82 122 
664 addClause 226 -29 -18 
665 addClause 206 115 -162 
666 addClause 176 189 -114 
667 addClause 116 -220 -203 
668 addClause 97 47 -177 
669 addClause -200 154 -103 
670 addClause 134 133 -216 
671 addClause -152 168 -127 
672 addClause 47 126 -31 
673 addClause 118 -117 96 
674 addClause 75 164 228 
675 addClause -103 -155 -153 
676 addClause 96 -170 -49 
677 addClause 9 173 -186 
678 addClause 51 -191 113 
679 addClause -81 105 50 
680 addClause -219 15 -27 
681 addClause 184 -62 140 
682 addClause -126 109 93 
683 addClause -40 -163 46 
684 addClause 102 -150 -115 
685 addClause -210 -116 217 
686 addClause 91 -97 25 
687 addClause 19 34 -204 
688 addClause -176 -29 -185 
689 addClause -118 178 32 
690 addClause 140 11 42 
691 addClause 169 6 19 
692 addClause 12 196 -99 
693 addClause 223 22 -5 
694 addClause -120 72 213 
695 addClause 37 -116 -1 
696 addClause 176 -105 -5 
697 addClause -43 36 129 
698 addClause -179 7 194 
699 addClause 187 132 63 
700 solve
701 addClause -170 -40 -218 
702 addClause -116 52 236 
703 addClause -25 -245 214 
704 addClause 139 91 -132 
705 addClause -24 -75 113 
706 addClause 30 -115 -172 
707 addClause -35 29 129 
708 addClause -97 190 -233 
709 addClause 235 6 -96 
710 addClause -162 28 45 
711 addClause -132 -187 -8 
712 addClause -91 -217 165 
713 addClause -149 -44 -268 
714 addClause -185 -71 250 
715 addClause -245 192 -68 
716 addClause -23 138 138 
717 addClause -269 183 203 
718 addClause -250 -111 -61 
719 addClause 216 -108 15 
720 addClause -97 85 243 
721 addClause 215 -125 204 
722 addClause -144 152 44 
723 addClause 167 16 -108 
724 addClause -50 -17 -256 
725 addClause -92 -263 -33 
726 addClause -40 -61 -100 
727 addClause -198 94 -6 
728 addClause 156 -89 -5 
729 addClause -251 160 -133 
730 addClause -102 -131 -206 
731 addClause 218 -130 -70 
732 addClause 249 -205 10 
733 addClause -107 -110 -240 
734 addClause -20 -40 -213 
735 addClause 158 -199 -42 
736 addClause -140 -21 -258 
737 addClause 73 -156 -194 
738 addClause 126 249 241 
739 addClause -94 196 -238 
740 addClause -226 132 22 
741 addClause 124 139 -57 
742 addClause 20 231 33 
743 addClause 246 121 114 
744 addClause 115 260 234 
745 addClause -137 207 -45 
746 addClause 168 -241 -119 
747 addClause 258 -69 164 
748 addClause -240 -28 117 
749 addClause -204 17 143 
750 addClause -181 -205 -47 
751 addClause -223 175 -110 
752 addClause -60 75 97 
753 addClause 153 121 -250 
754 addClause -206 256 -61 
755 addClause 251 -51 -51 
756 addClause 26 -156 88 
757 addClause 164 -143 225 
758 addClause -12 -18 -59 
759 addClause 199 -247 -134 
760 addClause -99 -39 188 
761 addClause 61 12 -103 
762 addClause -202 -154 -239 
763 addClause -103 -234 -206 
764 addClause -20 -97 -197 
765 addClause 81 -54 -231 
766 addClause 158 -186 95 
767 addClause -63 59 -194 
768 addClause -39 -115 218 
769 addClause -234 179 -41 
770 addClause -221 -163 157 
771 addClause 187 -21 -31 
772 addClause 30 120 -142 
773 addClause -188 -248 196 
774 addClause -52 -13 -83 
775 addClause -193 48 -93 
776 addClause 84 -203 100 
777 addClause 232 -167 -42 
778 addClause 265 -11 115 
779 addClause 240 -262 214 
780 addClause -85 -12 192 
781 addClause 66 89 -269 
782 addClause 252 92 131 
783 addClause 66 189 -154 
784 addClause 75 191 37 
785 addClause 167 -259 -102 
786 addClause -124 -181 161 
787 addClause 150 34 -47 
788 addClause 241 -147 249 
789 addClause 249 -253 94 
790 addClause 220 -233 43 
791 addClause -180 182 17 
792 addClause -157 -39 143 
793 addClause 181 -130 64 
794 addClause -251 105 17 
795 addClause -110 -214 -35 
796 addClause 81 218 -33 
797 addClause -41 51 13 
798 addClause 36 -57 -14 
799 addClause 133 250 117 
800 addClause 239 -117 155 
801 addClause -66 226 63 
802 addClause 267 -220 241 
803 addClause -220 -260 50 
804 addClause -245 58 5 
805 addClause -27 -259 76 
806 addClause -121 89 108 
807 addClause 187 38 197 
808 addClause -201 -93 -168 
809 addClause -94 -263 -36 
810 addClause 240 181 -218 
811 addClause 75 -138 -114 
812 addClause -140 115 256 
813 addClause -114 -17 -22 
814 addClause 220 266 250 
815 addClause 265 95 -50 
816 addClause 171 -200 223 
817 addClause 184 224 -97 
818 addClause -41 -170 156 
819 addClause -241 148 -108 
820 addClause 207 -113 181 
821 solve
