1 init
219 addClause 98 
220 addClause -62 
221 addClause -103 
222 addClause -76 
223 addClause -117 
224 addClause 115 
225 addClause -57 
226 addClause -51 
227 addClause -84 
228 addClause 97 
229 addClause 19 
230 addClause -46 
231 addClause -108 
232 addClause 4 
233 addClause -114 
234 addClause 109 
235 addClause 107 
236 addClause 72 
237 addClause 64 
238 addClause -39 
239 addClause 89 
240 addClause 86 
241 addClause -71 
242 addClause -46 
243 addClause 52 
244 addClause 86 
245 addClause -127 
246 addClause 96 
247 addClause 64 
248 addClause -105 
249 addClause 18 
250 addClause 24 
251 addClause 60 
252 addClause 63 
253 addClause 4 
254 addClause 50 
255 addClause 32 
256 addClause -129 
257 addClause -100 
258 addClause 120 
259 addClause -39 
260 addClause 86 
261 addClause 26 
262 addClause 31 
263 addClause 34 
264 addClause -105 
265 addClause 126 
266 addClause 126 
267 addClause -29 
268 addClause 101 
269 addClause -78 
270 addClause 75 
271 addClause 61 
272 addClause -128 
273 addClause 126 
274 addClause 115 
275 addClause 110 
276 addClause 30 
277 addClause 94 
278 addClause -111 
279 addClause 121 
280 addClause 35 
281 addClause -106 
282 addClause 35 
283 addClause -55 
284 addClause -25 
285 addClause 49 
286 addClause 23 
287 addClause 65 
288 addClause 97 
289 addClause 123 
290 addClause 65 
291 addClause -10 
292 addClause -100 
293 addClause 43 
294 addClause -79 
295 addClause 58 
296 addClause -117 
297 addClause 119 
298 addClause 61 
299 addClause 97 
300 addClause 31 
301 addClause -104 
302 addClause 38 
303 addClause 116 
304 addClause 12 
305 addClause -74 
306 addClause 68 
307 addClause -70 
308 addClause 120 
309 addClause 91 
310 addClause -78 
311 addClause -111 
312 addClause 96 
313 addClause -8 
314 addClause -7 
315 addClause 12 
316 addClause -17 
317 addClause -39 
318 addClause 4 
319 addClause -67 
320 addClause -17 
321 addClause 32 
322 addClause 42 
323 addClause -93 
324 addClause -130 
325 addClause 9 
326 addClause -17 
327 addClause -10 
328 addClause -22 
329 addClause 64 
330 addClause 16 
331 addClause 52 
332 addClause 92 
333 addClause -70 
334 addClause -10 
335 addClause 14 
336 addClause -117 
337 addClause -13 
338 addClause 53 
339 addClause 124 
340 addClause -83 
341 addClause -82 
342 addClause -73 
343 addClause 59 
344 addClause -67 
345 addClause 61 
346 addClause 75 
347 addClause 102 
348 addClause 86 
349 addClause 64 
350 addClause 124 
351 addClause 58 
352 addClause 50 
353 addClause -57 
354 addClause -25 
355 addClause -93 
356 addClause 38 
357 addClause 12 
358 addClause 15 
359 addClause 122 
360 addClause 53 
361 addClause -1 
362 addClause 68 
363 addClause -95 
364 addClause 121 
365 addClause -84 
366 addClause -118 
367 addClause 26 
368 addClause -7 
369 addClause -129 
370 addClause 34 
371 addClause 53 
372 addClause -93 
373 addClause -125 
374 addClause 89 
375 addClause 26 
376 addClause -20 
377 addClause -82 
378 addClause 126 
379 addClause 61 
380 addClause -112 
381 addClause -1 
382 addClause -2 
383 addClause 63 
384 addClause 126 
385 addClause 56 
386 addClause -118 
387 addClause 81 
388 addClause 30 
389 addClause 72 
390 addClause -105 
391 addClause -69 
392 addClause 12 
393 addClause 21 
394 addClause -93 
395 addClause 5 
396 addClause -111 
397 addClause 58 
398 addClause 124 
399 addClause -125 
400 addClause -57 
401 assuming 94 
