1 init
2 using solver DefaultAutoErasePhaseSaving
108 addClause -50 -21 9 
109 addClause 23 -41 -6 
110 addClause 3 12 20 
111 addClause -24 52 -35 
112 addClause 51 16 20 
113 addClause 57 -9 -30 
114 addClause 56 -1 -2 
115 addClause 14 -48 46 
116 addClause 46 24 39 
117 addClause 4 -46 -35 
118 addClause -53 44 30 
119 addClause -27 -8 4 
120 addClause 19 -47 12 
121 addClause 34 -11 -17 
122 addClause -7 49 -32 
123 addClause -43 23 25 
124 addClause -50 30 21 
125 addClause 1 14 -3 
126 addClause 31 2 6 
127 addClause 24 11 29 
128 addClause -17 40 12 
129 addClause -36 35 -32 
130 addClause -11 41 -56 
131 addClause -12 23 -36 
132 addClause -8 37 -11 
133 addClause -16 22 -26 
134 addClause -3 18 -45 
135 addClause -35 -53 -17 
136 addClause 34 28 -17 
137 addClause 32 -39 44 
138 addClause -48 11 48 
139 addClause 5 -8 -57 
140 addClause -27 -28 44 
141 addClause -48 -57 -58 
142 addClause 52 -54 41 
143 addClause -48 -16 -46 
144 addClause -53 40 -26 
145 addClause -23 -6 52 
146 addClause -19 24 33 
147 addClause -42 -9 -17 
148 addClause 48 -40 -18 
149 addClause 41 -34 -15 
150 addClause -35 31 54 
151 addClause -43 53 51 
152 addClause -48 4 32 
153 addClause 3 18 43 
154 addClause -38 14 23 
155 addClause -57 48 -55 
156 addClause 13 -54 40 
157 addClause -1 25 -36 
158 addClause -18 -43 -20 
159 addClause -33 56 7 
160 addClause -6 -29 13 
161 addClause -16 26 17 
162 addClause 5 22 10 
163 addClause 24 -14 -48 
164 addClause -32 7 43 
165 addClause -24 44 -14 
166 addClause 34 -36 -20 
167 addClause -52 -6 41 
168 addClause -20 -42 6 
169 addClause -26 -2 29 
170 addClause -47 -57 -18 
171 addClause -33 40 50 
172 addClause -27 -53 -10 
173 addClause 55 -40 50 
174 addClause -39 -44 13 
175 addClause 50 19 40 
176 addClause 4 22 -38 
177 addClause 18 -12 -27 
178 addClause -28 47 5 
179 assuming 15 29 5 -39 -4 45 21 42 -57 3 
180 addClause -166 -238 81 
181 addClause 112 168 -36 
182 addClause 204 144 -6 
183 addClause -75 -131 120 
184 addClause -45 17 176 
185 addClause -135 -204 230 
186 addClause -237 174 205 
187 addClause -70 112 128 
188 addClause -65 30 40 
189 addClause -98 228 200 
190 addClause -41 -27 -181 
191 addClause 75 -144 6 
192 addClause -75 -68 17 
193 addClause 112 13 179 
194 addClause 183 121 -175 
195 addClause -208 -182 8 
196 addClause -11 -72 -208 
197 addClause -27 122 161 
198 addClause 169 72 -109 
199 addClause 77 19 -183 
200 addClause 195 167 -189 
201 addClause -166 -87 -130 
202 addClause 16 -4 37 
203 addClause -69 47 86 
204 addClause -132 111 -207 
205 addClause -161 170 135 
206 addClause -54 -165 196 
207 addClause 154 62 -122 
208 addClause 18 200 -191 
209 addClause 6 223 -140 
210 addClause -29 87 -108 
211 addClause -162 -81 33 
212 addClause -182 -224 -85 
213 addClause 44 -177 135 
214 addClause 186 -191 -195 
215 addClause 179 209 -207 
216 addClause 183 5 43 
217 addClause 175 145 220 
218 addClause 223 131 -89 
219 addClause 63 28 114 
220 addClause 57 -108 205 
221 addClause -102 -90 15 
222 addClause -189 -62 -193 
223 addClause 31 128 -160 
224 addClause -139 -167 -41 
225 addClause -70 65 -163 
226 addClause 115 104 -218 
227 addClause -87 -229 164 
228 addClause -151 -207 -146 
229 addClause 220 234 193 
230 addClause -125 -53 101 
231 addClause -172 235 226 
232 addClause -222 -177 161 
233 addClause 115 -193 -46 
234 addClause -197 188 170 
235 addClause -8 141 -139 
236 addClause 8 -123 20 
237 addClause 46 114 40 
238 addClause -224 -134 162 
239 addClause -43 -50 -22 
240 addClause 137 -114 -41 
241 addClause 175 -12 103 
242 addClause 15 -35 -160 
243 addClause -27 222 146 
244 addClause 29 -96 -107 
245 addClause 175 234 -231 
246 addClause 232 -131 -22 
247 addClause 111 151 58 
248 addClause 132 -38 -9 
249 addClause -113 120 -154 
250 addClause -144 -62 152 
251 addClause 182 -194 -143 
252 addClause 77 -80 -78 
253 addClause 126 -121 187 
254 addClause -137 -86 56 
255 addClause 60 -68 -119 
256 addClause -216 -122 104 
257 addClause 175 -217 -143 
258 addClause -118 25 -180 
259 addClause 172 -137 -52 
260 addClause 22 159 -189 
261 addClause 143 13 -112 
262 addClause 100 -212 -21 
263 addClause -76 185 116 
264 addClause 101 -130 16 
265 addClause 44 -234 116 
266 addClause -25 205 18 
267 addClause 186 -211 64 
268 addClause -129 -217 200 
269 addClause -25 57 -230 
270 addClause -222 16 41 
271 addClause 70 38 -8 
272 addClause -119 -133 189 
273 addClause 228 58 25 
274 addClause -149 148 -86 
275 addClause 177 -28 -88 
276 addClause 130 171 72 
277 addClause -45 -63 145 
278 addClause -157 -12 83 
279 addClause 97 -151 -235 
280 addClause 40 77 -122 
281 addClause 88 -149 -38 
282 addClause 6 109 191 
283 addClause -200 -187 -23 
284 addClause -1 -207 -19 
285 addClause -124 64 -103 
286 addClause -131 -138 212 
287 addClause 4 -81 -108 
288 addClause -152 180 -66 
289 addClause 199 -219 227 
290 addClause -2 174 -231 
291 addClause -175 72 220 
292 addClause -6 -146 145 
293 addClause -210 221 54 
294 addClause 196 -213 -4 
295 addClause 231 137 86 
296 addClause 149 -19 102 
297 addClause 221 152 -219 
298 addClause -124 -17 120 
299 addClause -5 -211 -51 
300 addClause -213 117 74 
301 addClause 122 75 -123 
302 addClause -124 -120 96 
303 addClause -176 78 -133 
304 addClause 180 142 41 
305 addClause 21 -205 118 
306 addClause -69 -27 -59 
307 addClause -21 -226 110 
308 addClause 130 -111 136 
309 addClause -108 -163 -23 
310 addClause 62 -151 224 
311 addClause -225 158 117 
312 addClause 15 -138 214 
313 addClause 128 -149 -209 
314 addClause -10 105 -45 
315 addClause -168 174 152 
316 addClause -69 -152 -82 
317 addClause -126 -54 -217 
318 addClause 63 -195 -82 
319 addClause 143 94 20 
320 addClause 234 -109 188 
321 addClause -88 -32 -131 
322 addClause 89 232 20 
323 addClause -189 -14 -229 
324 addClause -34 -197 207 
325 addClause -73 160 -9 
326 addClause -102 120 -188 
327 addClause -88 118 196 
328 addClause 210 106 -165 
329 addClause -218 125 -3 
330 addClause 227 173 40 
331 addClause -124 -30 218 
332 addClause -209 -137 115 
333 addClause -66 -92 117 
334 addClause -172 -86 -135 
335 addClause -220 -75 138 
336 addClause -28 63 168 
337 addClause 197 75 -91 
338 addClause 236 -65 45 
339 addClause -28 -205 -199 
340 addClause 162 -226 172 
341 addClause -229 237 -98 
342 addClause 46 2 74 
343 addClause 233 -65 9 
344 addClause -129 -164 9 
345 addClause 69 81 -157 
346 addClause 28 -178 -127 
347 addClause 41 6 -130 
348 addClause 173 -189 75 
349 addClause 29 -184 56 
350 addClause -223 -43 -54 
351 addClause 24 104 106 
352 addClause -195 42 150 
353 addClause -33 -16 -49 
354 addClause -36 15 222 
355 addClause 177 -96 -236 
356 addClause 72 -79 147 
357 addClause 188 93 -175 
358 addClause -127 -29 -189 
359 addClause 127 237 204 
360 addClause 154 -104 19 
361 addClause -18 173 -160 
362 addClause 4 198 29 
363 addClause 199 28 192 
364 addClause -86 -53 71 
365 addClause -152 197 -211 
366 addClause 74 196 164 
367 addClause -212 -113 -85 
368 addClause -10 161 208 
369 addClause -131 75 -79 
370 addClause 80 70 -37 
371 addClause 180 -229 -175 
372 addClause 99 226 91 
373 addClause -165 76 5 
374 addClause -63 124 157 
375 addClause 131 -101 -134 
376 addClause 185 82 73 
377 addClause 111 5 219 
378 addClause -166 -238 -28 
379 addClause 79 136 -168 
380 addClause 140 -200 72 
381 addClause -60 -37 -169 
382 addClause 8 114 188 
383 addClause -73 -4 -76 
384 addClause -121 -92 -12 
385 addClause -149 3 31 
386 addClause 81 229 -107 
387 addClause -202 -25 -97 
388 addClause 223 186 226 
389 addClause 159 -215 -184 
390 addClause 84 124 -196 
391 addClause 153 -18 50 
392 addClause -79 147 -68 
393 addClause 166 104 214 
394 addClause -76 190 141 
395 addClause 64 231 -35 
396 addClause -211 -62 207 
397 addClause -14 102 -133 
398 addClause 189 -181 130 
399 addClause 122 -138 -129 
400 addClause -78 -89 -26 
401 addClause -19 82 -141 
402 addClause -8 -40 -238 
403 addClause 55 33 -121 
404 addClause 207 -8 5 
405 addClause 148 -37 181 
406 addClause -96 -14 48 
407 addClause 196 -116 217 
408 addClause 180 -122 54 
409 addClause -216 134 110 
410 addClause -130 29 -163 
411 addClause -118 -76 -61 
412 addClause -202 7 20 
413 addClause -191 205 -93 
414 addClause 68 -21 25 
415 addClause -116 -94 -232 
416 addClause 89 10 40 
417 addClause 99 -42 218 
418 addClause 92 -70 -26 
419 addClause 231 -236 172 
420 addClause -69 -209 47 
421 addClause 142 22 136 
422 addClause -17 -181 88 
423 addClause -120 -214 106 
424 addClause -77 154 -19 
425 addClause 165 -138 -154 
426 addClause -164 76 70 
427 addClause -215 131 -18 
428 addClause -23 -1 215 
429 addClause -88 32 14 
430 addClause 65 -143 185 
431 addClause 80 -22 -148 
432 addClause 220 214 168 
433 addClause -68 -110 160 
434 addClause -238 119 -10 
435 addClause 15 113 186 
436 addClause 123 212 120 
437 addClause 122 -91 81 
438 addClause -87 7 99 
439 addClause -30 48 47 
440 addClause 75 -222 149 
441 addClause 205 54 213 
442 addClause 28 212 -160 
443 addClause -29 114 -50 
444 addClause 206 128 -141 
445 addClause 42 -51 -48 
446 addClause 128 125 -26 
447 addClause -81 65 -174 
448 addClause -11 -223 3 
449 addClause 142 -177 -4 
450 addClause 125 -217 -70 
451 addClause 26 210 181 
452 addClause 116 151 49 
453 addClause 174 138 88 
454 addClause 69 -230 63 
455 addClause -146 14 27 
456 addClause 124 22 172 
457 addClause -49 152 32 
458 addClause 54 222 176 
459 addClause -68 220 31 
460 addClause -31 -72 -161 
461 addClause -62 59 3 
462 addClause 142 -94 37 
463 addClause 9 12 8 
464 addClause -74 125 200 
465 addClause 113 112 -58 
466 addClause -37 123 34 
467 addClause -53 -75 -40 
468 addClause 208 22 149 
469 addClause 9 -98 -67 
470 addClause -1 -6 -194 
471 addClause -127 120 9 
472 addClause 223 -231 84 
473 addClause -67 95 191 
474 addClause 21 -68 -11 
475 addClause -102 236 -219 
476 addClause -224 49 213 
477 addClause -126 -8 15 
478 addClause 197 -234 93 
479 addClause 229 -128 -164 
480 addClause -125 196 -159 
481 addClause -108 54 -40 
482 addClause 97 17 -101 
483 addClause 142 31 -208 
484 addClause -199 101 -205 
485 addClause -225 193 -3 
486 addClause 118 -201 -87 
487 addClause 28 -154 17 
488 addClause -161 98 188 
489 addClause -161 -135 137 
490 addClause -54 32 179 
491 addClause 179 -68 -11 
492 addClause 85 52 202 
493 addClause -40 -233 -21 
494 addClause -148 -37 -164 
495 addClause -56 58 -51 
496 addClause -39 212 47 
497 addClause 78 191 -62 
498 addClause 70 100 188 
499 addClause 99 102 202 
500 addClause 184 161 -172 
501 addClause 17 105 -120 
502 addClause 67 30 15 
503 addClause -150 -147 -48 
504 addClause -217 193 -167 
505 addClause -137 -170 -13 
506 addClause -129 -14 31 
507 addClause -59 -199 -130 
508 addClause 31 24 -136 
509 addClause -157 83 -109 
510 addClause -116 -16 -96 
511 addClause 2 -27 83 
512 addClause 214 181 -95 
513 addClause 131 225 41 
514 addClause -105 146 62 
515 addClause -125 -169 -224 
516 addClause -22 -13 54 
517 addClause -150 -35 -77 
518 addClause -11 -73 -232 
519 addClause -66 -32 -75 
520 addClause 160 148 -128 
521 addClause 36 -129 -64 
522 addClause 154 -191 -210 
523 addClause 97 224 78 
524 addClause -82 -58 -121 
525 addClause 147 -3 205 
526 addClause 95 -172 137 
527 addClause 155 -238 -232 
528 addClause -57 186 -213 
529 addClause -26 30 -216 
530 addClause 75 -88 135 
531 addClause -124 -128 103 
532 addClause -100 -197 22 
533 addClause 125 29 -59 
534 addClause 107 -74 167 
535 addClause 17 71 61 
536 addClause -28 99 -201 
537 addClause 30 113 153 
538 addClause 83 -50 39 
539 addClause -121 -232 103 
540 addClause 9 93 73 
541 addClause 39 -237 -95 
542 addClause -66 12 -144 
543 addClause -218 6 -230 
544 addClause -142 119 190 
545 addClause 236 154 -235 
546 addClause 59 -192 211 
547 addClause -27 25 167 
548 addClause -27 98 110 
549 addClause -10 211 224 
550 addClause 174 -123 150 
551 addClause 162 189 209 
552 addClause -195 -119 180 
553 addClause -137 53 186 
554 addClause 169 -113 70 
555 addClause 236 13 -110 
556 addClause 29 -36 -40 
557 addClause 194 -118 -28 
558 addClause 31 129 165 
559 addClause 178 103 70 
560 addClause -48 67 58 
561 addClause 44 -220 150 
562 addClause -104 -129 145 
563 addClause 195 208 213 
564 addClause -231 18 192 
565 addClause -34 105 77 
566 addClause -184 24 231 
567 addClause 51 237 -18 
568 addClause -204 -22 -157 
569 addClause 232 -226 -140 
570 addClause 205 -64 -178 
571 addClause 122 213 216 
572 addClause 19 190 197 
573 addClause 229 75 23 
574 addClause -200 -83 -37 
575 addClause -197 151 73 
576 addClause -149 101 210 
577 addClause 88 -131 17 
578 addClause -133 100 74 
579 addClause 189 139 46 
580 addClause -193 -99 157 
581 addClause 154 -3 -109 
582 addClause -107 182 -72 
583 addClause 198 121 -136 
584 addClause -18 78 66 
585 addClause -189 228 -131 
586 addClause 57 25 192 
587 addClause 108 1 177 
588 addClause 137 -116 -58 
589 addClause -89 -188 172 
590 addClause -19 2 -28 
591 addClause 169 50 94 
592 addClause -208 -35 -4 
593 addClause 26 -18 13 
594 addClause -57 138 -124 
595 addClause 102 -168 208 
596 addClause -161 -49 -114 
597 addClause -74 -33 142 
598 addClause 64 -88 69 
599 addClause 180 -151 -23 
600 addClause -158 -121 207 
601 addClause -223 213 -173 
602 addClause -171 -159 -215 
603 addClause 237 116 -169 
604 addClause 33 -16 64 
605 addClause -121 -177 133 
606 addClause 136 15 -192 
607 addClause -34 143 -164 
608 addClause 29 -181 -193 
609 addClause 55 236 175 
610 addClause -100 192 99 
611 addClause -30 111 61 
612 addClause 183 184 181 
613 addClause -153 -146 -107 
614 addClause 175 -195 57 
615 addClause -173 -13 -227 
616 addClause 140 -238 104 
617 addClause 109 159 198 
618 addClause -36 -213 -98 
619 addClause -232 206 90 
620 addClause -137 3 180 
621 addClause -159 84 98 
622 addClause -180 2 -43 
623 addClause -97 -149 -24 
624 addClause 151 218 -157 
625 addClause 81 -237 -219 
626 addClause -183 163 162 
627 addClause 193 75 201 
628 addClause -203 54 -124 
629 addClause -177 110 -157 
630 addClause 42 24 153 
631 addClause -4 109 -159 
632 addClause -10 145 -127 
633 addClause -206 -141 -126 
634 addClause 234 -185 210 
635 addClause -139 66 -38 
636 addClause 198 95 29 
637 addClause 73 171 -54 
638 addClause -92 124 -35 
639 addClause 12 -153 76 
640 addClause 56 154 -119 
641 addClause -15 38 96 
642 addClause 158 -158 -154 
643 addClause 125 176 232 
644 addClause 194 203 119 
645 addClause -230 -15 -119 
646 addClause 202 -184 -194 
647 addClause 225 -196 110 
648 addClause 177 -75 49 
649 addClause -155 27 129 
650 addClause 123 -139 54 
651 addClause 160 144 -162 
652 addClause -118 49 -72 
653 addClause 77 223 25 
654 addClause 112 -67 141 
655 addClause -106 -58 124 
656 addClause 194 94 69 
657 addClause -112 100 42 
658 addClause -107 -148 -203 
659 addClause 230 13 -164 
660 addClause 7 -56 -183 
661 addClause -24 18 13 
662 addClause -153 18 -162 
663 addClause 7 -162 -90 
664 addClause 59 73 145 
665 addClause 103 -148 112 
666 addClause -62 -196 227 
667 addClause -4 -58 -151 
668 addClause 122 227 5 
669 addClause 205 -17 -202 
670 addClause -180 174 -82 
671 addClause -17 -140 95 
672 addClause -175 -155 -102 
673 addClause 9 -31 -212 
674 addClause 77 120 43 
675 addClause 53 -161 -6 
676 addClause 195 -35 179 
677 addClause -180 156 -172 
678 addClause 112 52 -94 
679 addClause 56 -136 -18 
680 addClause 146 -96 -218 
681 addClause 118 -69 -174 
682 addClause -27 236 86 
683 addClause -39 81 -112 
684 addClause -229 118 -148 
685 addClause 105 -205 193 
686 addClause -75 41 -33 
687 addClause 69 198 -86 
688 addClause -193 -156 -71 
689 addClause 76 -48 156 
690 addClause -19 -97 163 
691 addClause -232 -134 104 
692 addClause -78 -105 43 
693 addClause 45 -9 -165 
694 addClause -123 -182 209 
695 addClause 5 -60 -4 
696 addClause 95 -122 225 
697 addClause 64 -205 -233 
698 addClause -109 -197 210 
699 addClause 78 -208 -107 
700 addClause -78 152 177 
701 addClause -107 151 122 
702 addClause -146 -159 -68 
703 addClause -72 -105 -189 
704 addClause -6 181 -56 
705 addClause 200 -34 -6 
706 addClause 100 40 -181 
707 addClause -38 150 -188 
708 addClause 235 -49 -155 
709 addClause 39 -194 -232 
710 addClause -3 -224 30 
711 addClause -97 -85 145 
712 addClause -189 -206 185 
713 addClause 209 -4 57 
714 addClause -176 90 184 
715 addClause 102 -117 97 
716 addClause 18 149 45 
717 addClause 199 -162 -105 
718 addClause -52 -176 39 
719 addClause -21 -127 -126 
720 assuming -228 109 -140 -101 -209 66 -234 128 -9 183 34 -93 148 194 -56 134 227 -202 21 62 234 -165 -55 
