1 init
2 using solver Backjumping
266 addClause 17 6 8 
267 addClause -123 122 37 
268 addClause -43 18 -106 
269 addClause 101 -1 7 
270 addClause 106 -49 94 
271 addClause -12 -97 34 
272 addClause 106 -84 -39 
273 addClause 4 44 69 
274 addClause -84 105 -10 
275 addClause 25 -7 -18 
276 addClause -4 83 -78 
277 addClause -126 -72 -18 
278 addClause 56 -96 -69 
279 addClause 17 18 -112 
280 addClause -87 67 -21 
281 addClause 15 -126 -106 
282 addClause 116 18 -81 
283 addClause -29 27 -50 
284 addClause -123 116 108 
285 addClause 56 -74 114 
286 addClause 46 60 104 
287 addClause -46 71 88 
288 addClause -89 16 14 
289 addClause 87 63 -60 
290 addClause 26 39 43 
291 addClause 9 76 -52 
292 addClause 103 -5 110 
293 addClause -49 -36 81 
294 addClause -86 91 -78 
295 addClause -120 118 -88 
296 addClause 59 -5 85 
297 addClause 58 -2 23 
298 addClause -97 -20 -37 
299 addClause -77 -25 3 
300 addClause 62 106 82 
301 addClause -123 72 25 
302 addClause -54 4 -73 
303 addClause 29 -123 116 
304 addClause -74 41 -1 
305 addClause 107 96 -19 
306 addClause -31 53 105 
307 addClause 55 -21 -76 
308 addClause 54 119 -46 
309 addClause -65 -93 -30 
310 addClause 32 -72 -84 
311 addClause 71 11 -42 
312 addClause 49 7 -48 
313 addClause -39 111 19 
314 addClause 73 113 -121 
315 addClause 8 -55 46 
316 addClause -70 75 -9 
317 addClause -112 36 -85 
318 addClause -125 125 -21 
319 addClause 52 84 100 
320 addClause 60 -78 -75 
321 addClause -14 -76 59 
322 addClause 31 3 -32 
323 addClause -86 43 -72 
324 addClause 27 89 22 
325 addClause -17 -51 6 
326 addClause -56 52 -54 
327 addClause -106 19 120 
328 addClause 29 115 117 
329 addClause 99 -81 -112 
330 addClause -91 92 36 
331 addClause 115 125 72 
332 addClause 19 46 60 
333 addClause -108 -33 87 
334 addClause 82 -111 91 
335 addClause 27 -64 -75 
336 addClause -20 -17 -106 
337 addClause 69 54 95 
338 addClause -79 25 31 
339 addClause -10 -9 1 
340 addClause -28 -122 65 
341 addClause 90 42 48 
342 addClause 4 -84 -87 
343 addClause -71 -20 123 
344 addClause 46 -41 -32 
345 addClause 34 30 -9 
346 addClause 88 -126 -58 
347 addClause 84 73 -29 
348 addClause -52 21 44 
349 addClause -89 9 -110 
350 addClause 54 122 74 
351 addClause -20 2 -106 
352 addClause -110 71 77 
353 addClause -86 119 104 
354 addClause 46 19 26 
355 addClause -89 81 117 
356 addClause -92 99 -45 
357 addClause -83 99 93 
358 addClause -97 -55 -89 
359 addClause 83 13 -21 
360 addClause -69 61 -60 
361 addClause -25 104 -89 
362 addClause 53 57 -116 
363 addClause 14 34 -50 
364 addClause 95 -31 -23 
365 addClause 8 -8 -112 
366 addClause 20 52 -125 
367 addClause 40 63 -91 
368 addClause -112 -78 113 
369 addClause -33 7 95 
370 addClause 74 -55 21 
371 addClause -19 -59 -99 
372 addClause 32 92 -74 
373 addClause -14 -116 88 
374 addClause -111 -12 7 
375 addClause -46 -61 -112 
376 addClause -9 -22 89 
377 addClause -21 -82 58 
378 addClause -69 -96 -13 
379 addClause 102 33 54 
380 addClause 68 93 117 
381 addClause -104 -17 105 
382 addClause 106 -10 91 
383 assuming 57 20 62 102 -6 -88 -85 16 -100 45 -11 65 63 -120 44 19 10 -46 29 -126 77 -51 -37 -93 
