1 init
2 Random Walk : 0.03913420886839891
93 addClause 55 104 53 
94 addClause 85 49 -56 
95 addClause -39 -25 1 
96 addClause -21 106 -22 
97 addClause 107 97 82 
98 addClause 104 -66 -109 
99 addClause 70 -85 -104 
100 addClause -97 -72 -112 
101 addClause -2 72 -29 
102 addClause 67 5 -27 
103 addClause -81 -103 -53 
104 addClause -6 20 105 
105 addClause 3 -59 -2 
106 addClause 56 7 2 
107 addClause -20 -115 3 
108 addClause 111 15 -8 
109 addClause 1 -25 -31 
110 addClause 24 8 -6 
111 addClause -5 13 -24 
112 addClause 65 -37 -77 
113 addClause -28 -54 -21 
114 addClause -67 -13 -43 
115 addClause 23 -96 102 
116 addClause -77 -7 -15 
117 addClause -2 80 37 
118 addClause 97 -84 65 
119 addClause -80 -76 -100 
120 addClause -43 53 -109 
121 addClause 66 40 -70 
122 addClause 27 38 62 
123 addClause 45 -59 31 
124 addClause -46 87 -64 
125 addClause -51 -24 -110 
126 addClause 57 94 -13 
127 addClause 50 -90 -91 
128 addClause -46 34 -65 
129 addClause 93 -45 113 
130 addClause -86 36 82 
131 addClause 78 95 34 
132 addClause 91 47 20 
133 addClause -78 84 1 
134 addClause 30 51 -9 
135 addClause 77 -100 -77 
136 addClause 51 103 68 
137 addClause -19 57 -70 
138 addClause -53 -6 65 
139 addClause -66 -9 10 
140 addClause 23 103 95 
141 addClause -24 -14 -51 
142 addClause -55 -73 -47 
143 addClause -5 -59 -110 
144 addClause 24 48 97 
145 addClause 54 -93 76 
146 addClause -101 106 -111 
147 addClause 55 -34 -110 
148 addClause 82 106 -85 
149 addClause -37 -112 -28 
150 addClause -47 -97 103 
151 addClause -49 50 51 
152 addClause 107 64 85 
153 addClause 105 111 -9 
154 addClause -38 60 -25 
155 addClause -103 -75 24 
156 addClause -108 113 -10 
157 addClause 85 88 -78 
158 addClause -94 59 -70 
159 addClause 49 38 82 
160 addClause 80 -67 58 
161 addClause 67 -113 -69 
162 addClause -62 52 65 
163 addClause 5 78 35 
164 addClause -37 28 -29 
165 addClause 93 84 -45 
166 addClause -74 -72 85 
167 addClause -18 -19 29 
168 addClause -73 51 27 
169 addClause 65 96 68 
170 addClause 41 -74 105 
171 addClause -39 -25 1 
172 addClause -2 -62 -93 
173 addClause -38 24 -15 
174 addClause -6 -86 -24 
175 addClause -87 -4 -104 
176 addClause 105 -108 57 
177 addClause 53 -57 -91 
178 addClause 23 -99 -56 
179 addClause -70 -12 92 
180 addClause -52 59 -48 
181 addClause -73 68 -60 
182 addClause 46 -97 -115 
183 addClause 106 54 -73 
184 addClause 88 -8 -50 
185 addClause -105 68 -38 
186 addClause 21 57 75 
187 addClause 102 -20 -58 
188 addClause -49 85 -107 
189 addClause 91 76 -66 
190 addClause 109 -58 39 
191 addClause -13 -77 -90 
192 addClause 99 -23 -108 
193 addClause 55 -102 -20 
194 addClause -3 71 -29 
195 addClause -114 -35 -109 
196 addClause -111 -34 -65 
197 addClause -108 -63 88 
198 addClause -60 -51 -35 
199 addClause -54 16 101 
200 addClause 18 -13 -82 
201 addClause -112 -42 83 
202 addClause -16 -47 65 
203 addClause -48 1 111 
204 addClause -28 31 -103 
205 addClause -9 -49 -52 
206 addClause -19 26 105 
207 addClause 103 7 -90 
208 addClause -89 -31 -15 
209 addClause 42 -45 -114 
210 addClause 45 -100 -37 
211 addClause -5 -106 -89 
212 addClause 77 30 -4 
213 addClause -42 50 -86 
214 addClause 73 103 44 
215 addClause 1 -42 -6 
216 addClause -82 31 -7 
217 addClause 47 30 49 
218 addClause 98 -96 -63 
219 addClause -64 -86 105 
220 addClause 18 6 80 
221 addClause 97 20 60 
222 addClause 54 -15 64 
223 addClause 39 -48 45 
224 addClause -62 -37 40 
225 addClause 65 42 -114 
226 addClause -98 -56 114 
227 addClause 110 6 57 
228 addClause -2 -50 9 
229 addClause -87 52 -38 
230 addClause 93 77 8 
231 addClause 10 -42 65 
232 addClause 12 30 -37 
233 addClause -42 -5 5 
234 addClause -62 -21 42 
235 addClause 20 27 -60 
236 addClause -32 42 78 
237 addClause -89 -75 -108 
238 addClause -60 -9 61 
239 addClause -55 92 56 
240 addClause -22 57 -53 
241 addClause 32 -93 85 
242 addClause 30 -105 -46 
243 addClause 104 -6 31 
244 addClause -82 103 -14 
245 addClause 27 87 -66 
246 addClause 65 -18 110 
247 addClause 102 50 -24 
248 addClause -97 32 8 
249 addClause -42 52 -60 
250 addClause -41 -51 -39 
251 addClause -27 53 -32 
252 addClause 51 41 111 
253 addClause -5 44 -80 
254 addClause -43 37 -112 
255 addClause -36 80 -92 
256 addClause 42 -69 73 
257 addClause -81 69 -104 
258 addClause -66 58 11 
259 addClause 104 110 -82 
260 addClause -37 -23 -31 
261 addClause 29 36 6 
262 addClause 52 78 87 
263 addClause 11 52 47 
264 addClause 111 -79 -112 
265 addClause 68 80 -39 
266 addClause -1 86 84 
267 addClause 71 -101 -91 
268 addClause 47 -86 -24 
269 addClause 80 112 83 
270 addClause 47 96 75 
271 addClause 64 32 40 
272 addClause -12 61 -73 
273 addClause -12 40 -61 
274 addClause 105 47 -90 
275 addClause 96 -93 -78 
276 addClause 110 -103 -11 
277 addClause 53 -43 31 
278 addClause -84 -21 63 
279 addClause 109 49 56 
280 addClause -87 -97 -16 
281 addClause -4 -100 21 
282 addClause 32 107 -22 
283 addClause -61 72 -25 
284 addClause 28 -47 -64 
285 addClause 87 -32 30 
286 addClause -29 104 -35 
287 addClause -55 108 69 
288 addClause 60 -80 -35 
289 addClause 68 -105 -14 
290 addClause -114 86 -20 
291 addClause -4 -23 -91 
292 addClause -10 24 -69 
293 addClause -74 75 92 
294 addClause 50 39 65 
295 addClause -76 11 -21 
296 addClause -108 -32 50 
297 addClause -75 -111 52 
298 addClause 97 114 -17 
299 addClause 43 -36 93 
300 addClause 88 -103 -72 
301 addClause 22 94 18 
302 addClause -66 -49 67 
303 addClause 38 50 57 
304 addClause -7 49 -40 
305 addClause -17 35 38 
306 addClause -78 3 104 
307 addClause -60 29 -64 
308 addClause -60 54 98 
309 addClause -82 -16 6 
310 addClause -103 86 -85 
311 addClause 89 85 -54 
312 addClause 97 5 -87 
313 addClause -79 56 37 
314 addClause 102 -93 -3 
315 addClause 92 1 106 
316 addClause 25 -92 -77 
317 addClause 3 96 94 
318 addClause -112 -69 -61 
319 addClause -55 59 -43 
320 addClause 100 46 -114 
321 addClause 86 -26 28 
322 addClause -24 -75 -2 
323 addClause -33 76 -57 
324 addClause -36 14 -43 
325 addClause -60 -33 -89 
326 addClause -91 -36 40 
327 addClause -90 -44 88 
328 addClause -77 -31 60 
329 addClause -76 -63 45 
330 addClause 36 -36 48 
331 addClause 71 -67 52 
332 addClause -16 91 -49 
333 addClause 94 -32 -90 
334 addClause -33 76 -64 
335 addClause 95 9 -84 
336 addClause 18 70 -2 
337 addClause 106 -65 -36 
338 addClause -64 21 62 
339 addClause 93 -102 68 
340 addClause -92 -26 82 
341 addClause -33 81 34 
342 addClause -100 91 -45 
343 addClause 111 24 -42 
344 addClause 27 105 -109 
345 addClause -78 -111 114 
346 addClause -53 -70 -5 
347 addClause 70 -11 5 
348 addClause -48 -10 45 
349 addClause -49 -32 -7 
350 solve
351 newVar 107
352 addClause -96 -108 1 
353 addClause -73 -4 -71 
354 addClause -136 157 -13 
355 addClause 36 -210 -172 
356 addClause -94 194 -174 
357 addClause 146 -166 -202 
358 addClause 30 192 -50 
359 addClause 104 25 -47 
360 addClause 157 127 106 
361 addClause 6 -171 199 
362 addClause -114 214 139 
363 addClause -163 24 -107 
364 addClause 186 160 141 
365 addClause -145 -173 161 
366 addClause -162 -18 219 
367 addClause 11 -130 -39 
368 addClause -59 164 -192 
369 addClause -101 127 -144 
370 addClause 113 48 132 
371 addClause -2 186 53 
372 addClause 199 -142 87 
373 addClause 91 123 -109 
374 addClause -148 -130 -192 
375 addClause 218 -99 159 
376 addClause 158 36 54 
377 addClause 71 152 180 
378 addClause 76 -155 -81 
379 addClause 145 -4 -113 
380 addClause -130 219 197 
381 addClause 124 -113 -178 
382 addClause -208 129 -12 
383 addClause -35 68 -138 
384 addClause -144 -139 80 
385 addClause 198 -63 89 
386 addClause 115 91 -49 
387 addClause -142 -93 -88 
388 addClause -42 135 106 
389 addClause -72 -115 -142 
390 addClause 85 115 26 
391 addClause -129 46 121 
392 addClause -13 -161 -59 
393 addClause 203 -120 -119 
394 addClause -189 -1 -5 
395 addClause -3 -32 -148 
396 addClause -194 182 136 
397 addClause 206 -6 166 
398 addClause 168 188 -15 
399 addClause -83 211 -129 
400 addClause 206 166 -152 
401 addClause -36 -91 -106 
402 addClause -185 203 -69 
403 addClause -145 -128 -57 
404 addClause 15 -106 19 
405 addClause 58 99 -78 
406 addClause 15 17 -50 
407 addClause 36 142 -56 
408 addClause 32 68 -57 
409 addClause -160 5 206 
410 addClause -109 19 106 
411 addClause -90 80 -78 
412 addClause 137 89 -176 
413 addClause -106 -124 -180 
414 addClause -126 -72 177 
415 addClause 164 192 70 
416 addClause -207 -87 34 
417 addClause -4 -137 -59 
418 addClause 90 201 -140 
419 addClause -100 -54 164 
420 addClause 18 -139 -34 
421 addClause 154 170 212 
422 addClause 159 164 -77 
423 addClause -132 -103 -118 
424 addClause 133 1 -161 
425 addClause 103 182 -162 
426 addClause -169 169 172 
427 addClause 193 124 114 
428 addClause 16 35 193 
429 addClause 217 195 31 
430 addClause 221 70 84 
431 addClause 147 160 205 
432 addClause 5 -54 154 
433 addClause 198 -172 63 
434 addClause 30 3 -186 
435 addClause -42 -113 -137 
436 addClause 90 41 66 
437 addClause -110 -195 14 
438 addClause -181 62 -67 
439 addClause 75 -90 104 
440 addClause 52 -80 138 
441 addClause -7 -221 112 
442 addClause 74 -147 40 
443 addClause 23 -52 -27 
444 addClause -30 21 179 
445 addClause -135 124 100 
446 addClause 13 9 -39 
447 addClause -19 -5 -83 
448 addClause 199 164 25 
449 addClause 160 189 -155 
450 addClause 117 18 -173 
451 addClause -41 78 55 
452 addClause -58 140 -153 
453 addClause 188 154 -56 
454 addClause 155 -199 -122 
455 addClause -73 -215 148 
456 addClause 110 -138 133 
457 addClause -92 166 -198 
458 addClause 96 6 66 
459 addClause -68 -50 -102 
460 addClause 98 -216 -78 
461 addClause 60 -179 -63 
462 addClause 40 72 -129 
463 addClause -177 -22 -132 
464 addClause 12 36 -52 
465 addClause -3 -73 -155 
466 addClause 123 12 40 
467 addClause -220 41 205 
468 addClause -109 -100 91 
469 addClause 105 -137 1 
470 addClause -37 134 74 
471 addClause -138 209 -156 
472 addClause 121 45 126 
473 addClause 194 -116 -100 
474 addClause 189 51 121 
475 addClause -53 191 145 
476 addClause 135 95 149 
477 addClause -118 -149 -209 
478 addClause -89 11 -186 
479 addClause 34 -137 -74 
480 addClause 113 -37 188 
481 addClause 212 -154 177 
482 addClause -129 139 220 
483 addClause -153 41 -2 
484 addClause 199 -147 203 
485 addClause -133 -55 113 
486 addClause 203 38 21 
487 addClause 180 -177 -104 
488 addClause 47 -115 72 
489 addClause 215 112 209 
490 addClause 200 -35 -72 
491 addClause -118 -107 -115 
492 addClause 42 202 150 
493 addClause -87 221 47 
494 addClause -67 -14 -206 
495 addClause -72 -139 -174 
496 addClause 217 -181 100 
497 addClause 4 52 -62 
498 addClause -151 183 -82 
499 addClause -211 43 -216 
500 addClause -22 -143 99 
501 addClause 191 -111 -81 
502 addClause -127 112 218 
503 addClause -40 216 146 
504 addClause -47 210 -135 
505 addClause -14 154 -31 
506 addClause 29 -30 -48 
507 addClause 60 -180 -14 
508 addClause 38 -33 171 
509 addClause -169 18 72 
510 addClause -55 -193 2 
511 addClause 46 -162 -138 
512 addClause -76 -171 117 
513 addClause -126 30 185 
514 addClause -124 -101 -198 
515 addClause -197 122 81 
516 addClause -165 122 -107 
517 addClause 86 67 100 
518 addClause 113 49 -199 
519 addClause -156 214 109 
520 addClause 203 -132 2 
521 addClause 136 125 151 
522 addClause -5 -197 111 
523 addClause 76 -160 -45 
524 addClause -70 -29 -134 
525 addClause -78 59 -58 
526 addClause -149 -184 93 
527 addClause -127 187 89 
528 addClause 1 191 -216 
529 addClause 24 19 -76 
530 addClause -216 115 20 
531 addClause 11 -67 30 
532 addClause -73 -19 -43 
533 addClause -126 221 -27 
534 addClause -121 -186 -142 
535 addClause 123 146 -192 
536 addClause -195 -76 -177 
537 addClause 168 -133 -63 
538 addClause 133 106 -214 
539 addClause -220 220 -118 
540 addClause 17 103 182 
541 addClause -55 -140 47 
542 addClause -79 71 76 
543 addClause 212 -113 159 
544 addClause 147 114 71 
545 addClause -191 -155 101 
546 addClause -58 -194 -216 
547 addClause -80 160 152 
548 addClause 40 106 -19 
549 addClause -189 112 -26 
550 addClause 172 -93 -159 
551 addClause 34 31 -181 
552 addClause 32 -184 -110 
553 addClause 139 64 196 
554 addClause -17 -85 -102 
555 addClause -148 91 205 
556 addClause 165 -147 -222 
557 addClause 90 -6 80 
558 addClause -159 -88 -204 
559 addClause -189 21 -45 
560 addClause -59 82 157 
561 addClause -150 197 -35 
562 addClause 180 -123 5 
563 addClause 59 -7 -90 
564 addClause -156 -219 216 
565 addClause -83 30 190 
566 addClause 2 -23 26 
567 addClause 200 -219 4 
568 addClause 214 28 -54 
569 addClause 90 94 -138 
570 addClause -71 91 214 
571 addClause 140 -90 43 
572 addClause -163 161 -53 
573 addClause 108 -146 -183 
574 addClause -87 -197 162 
575 addClause -44 127 -9 
576 addClause -212 -96 63 
577 addClause 20 213 49 
578 addClause 28 -28 117 
579 addClause 165 -174 -172 
580 addClause -204 76 164 
581 addClause 166 54 -77 
582 addClause 28 -102 -12 
583 addClause -188 -182 167 
584 addClause 215 -87 47 
585 addClause 96 100 -169 
586 addClause -99 184 -209 
587 addClause -150 -49 -201 
588 addClause 174 52 -43 
589 addClause -129 -158 -74 
590 addClause -2 -24 -204 
591 addClause -110 -52 -88 
592 addClause 177 -41 -101 
593 addClause -165 -37 -216 
594 addClause 179 -190 25 
595 addClause -203 -150 103 
596 addClause -25 -212 196 
597 addClause -39 -117 83 
598 addClause -67 146 -143 
599 addClause -119 -114 -84 
600 addClause -11 -132 -194 
601 addClause 40 -154 -209 
602 addClause 132 -202 67 
603 addClause 206 -19 -147 
604 addClause -25 -213 76 
605 addClause -166 -81 -53 
606 addClause -137 213 -77 
607 addClause 34 -31 -172 
608 addClause 5 -181 161 
609 addClause 78 -199 48 
610 addClause 90 51 42 
611 addClause 183 -31 41 
612 addClause 168 79 172 
613 addClause -81 65 -206 
614 addClause 205 -38 -7 
615 addClause 35 71 6 
616 addClause -139 -113 161 
617 addClause -6 123 209 
618 addClause 45 49 -160 
619 addClause -140 209 -91 
620 addClause 104 218 80 
621 addClause 45 14 -82 
622 addClause -105 167 -213 
623 addClause 156 140 -62 
624 addClause 56 -163 148 
625 addClause -80 -93 190 
626 addClause 11 183 -14 
627 addClause -47 147 88 
628 addClause 149 178 51 
629 addClause 52 -220 -198 
630 addClause 59 -196 -210 
631 addClause 154 -111 20 
632 addClause -6 -203 22 
633 addClause -97 172 12 
634 addClause 4 -194 55 
635 addClause 158 -219 207 
636 addClause -1 215 156 
637 addClause -218 116 78 
638 addClause -178 -22 -133 
639 addClause -30 -146 209 
640 addClause 43 -141 46 
641 addClause 161 67 -2 
642 addClause 124 -27 27 
643 addClause 107 94 -23 
644 addClause -58 220 127 
645 addClause -98 96 -37 
646 addClause 75 -23 92 
647 addClause -123 129 -187 
648 addClause -171 -215 111 
649 addClause 41 89 163 
650 addClause 138 96 -177 
651 addClause -198 -127 -79 
652 addClause -153 -114 141 
653 addClause -109 72 -104 
654 addClause -189 -102 183 
655 addClause 124 46 -195 
656 addClause 11 -20 115 
657 addClause 43 -80 159 
658 addClause -1 -28 -40 
659 addClause 169 -124 45 
660 addClause 189 -17 133 
661 addClause 168 102 39 
662 addClause -216 -185 -179 
663 addClause 205 -115 -112 
664 addClause -218 93 -199 
665 addClause -110 166 200 
666 addClause 52 123 -61 
667 addClause -170 -139 177 
668 addClause 205 47 125 
669 addClause 44 138 11 
670 addClause -92 69 -170 
671 addClause 81 -216 121 
672 addClause -120 151 194 
673 solve
674 newVar 182
