1 init
2 Data Structure Factory : CardinalityDataStructure
3 Learning Strategy : MiniSATLearning
107 addClause -121 -143 -101 
108 addClause 92 24 -68 
109 addClause 128 -125 18 
110 addClause 92 27 9 
111 addClause -33 130 -49 
112 addClause -20 84 -23 
113 addClause -125 82 -41 
114 addClause 31 65 -133 
115 addClause -67 -74 -12 
116 addClause -2 83 -132 
117 addClause 78 -114 -81 
118 addClause 52 -28 65 
119 addClause -138 52 -128 
120 addClause 60 -146 40 
121 addClause -50 30 130 
122 addClause 128 83 119 
123 addClause 14 -65 -126 
124 addClause -6 -11 132 
125 addClause -100 130 -20 
126 addClause -131 32 -6 
127 addClause 10 144 -60 
128 addClause -100 -141 10 
129 addClause 47 136 42 
130 addClause 60 128 66 
131 addClause -50 -8 -145 
132 addClause 69 -91 112 
133 addClause -44 116 -68 
134 addClause 90 -55 -76 
135 addClause 91 -65 -55 
136 addClause 44 -57 147 
137 addClause -44 -139 69 
138 addClause -52 -35 -147 
139 addClause 22 -25 -116 
140 addClause -130 -148 -52 
141 addClause -57 89 -101 
142 addClause -68 7 138 
143 addClause 54 -32 50 
144 addClause -81 -115 90 
145 addClause -64 32 -106 
146 addClause 125 -79 94 
147 addClause 103 143 93 
148 addClause -76 142 -50 
149 addClause -103 71 -132 
150 addClause 27 42 -91 
151 addClause 43 47 83 
152 addClause -102 145 141 
153 addClause 86 87 6 
154 addClause -107 129 -123 
155 addClause 2 -61 115 
156 addClause 35 4 52 
157 addClause -10 -102 -2 
158 addClause -90 -102 30 
159 addClause -77 47 -92 
160 addClause -107 110 63 
161 addClause 86 -83 -15 
162 addClause 82 12 23 
163 addClause 110 -34 4 
164 addClause 95 -46 103 
165 addClause 149 120 -19 
166 addClause 138 113 12 
167 addClause -70 -132 -6 
168 addClause -127 -16 130 
169 addClause -120 39 137 
170 addClause 75 134 22 
171 addClause -33 14 -21 
172 addClause 21 4 57 
173 addClause -10 -75 67 
174 addClause 64 -80 128 
175 addClause -10 55 13 
176 addClause -115 -30 115 
177 addClause -104 -68 -133 
178 addClause -56 55 -92 
179 addClause 145 -85 5 
180 addClause -108 49 -112 
181 addClause 24 -45 -36 
182 addClause 34 -38 50 
183 addClause 80 81 -112 
184 addClause -113 1 70 
185 addClause 66 45 -127 
186 addClause -95 60 -25 
187 addClause 95 128 123 
188 addClause -130 -133 -112 
189 addClause -147 42 31 
190 addClause 35 -95 -56 
191 addClause 6 5 70 
192 addClause 35 -27 -149 
193 addClause -9 -47 -13 
194 addClause -27 -83 102 
195 addClause 107 36 50 
196 addClause 133 -59 -39 
197 addClause -75 74 42 
198 addClause -115 64 -145 
199 addClause -51 -46 -147 
200 addClause 95 74 27 
201 addClause 81 97 -69 
202 addClause 121 -77 -73 
203 addClause -86 37 41 
204 addClause 146 -115 -150 
205 addClause 106 -19 81 
206 addClause 136 144 -9 
207 addClause -54 -62 -60 
208 addClause -1 18 114 
209 addClause 51 -63 45 
210 addClause 51 72 54 
211 addClause -140 -56 73 
212 addClause -73 -123 64 
213 addClause -31 94 -74 
214 addClause 142 71 94 
215 addClause -100 -65 100 
216 addClause -131 132 114 
217 addClause 19 -59 -76 
218 addClause 112 86 97 
219 addClause -33 -90 -59 
220 addClause 35 -78 -99 
221 addClause 103 63 148 
222 addClause 73 -67 85 
223 addClause 7 -58 79 
224 addClause 44 -91 -37 
225 addClause 54 -21 -54 
226 addClause -12 -116 -99 
227 addClause -114 -5 47 
228 addClause 126 131 27 
229 addClause 81 20 -27 
230 addClause -81 -114 120 
231 addClause 78 106 4 
232 addClause 43 123 -84 
233 addClause 121 -128 135 
234 addClause 1 141 -144 
235 addClause -129 81 -111 
236 addClause -1 -39 -20 
237 addClause 22 -63 35 
238 addClause -71 129 -46 
239 addClause 8 -102 73 
240 addClause 101 110 125 
241 addClause 49 59 149 
242 addClause -7 141 31 
243 addClause 22 -30 -19 
244 addClause 11 -56 -117 
245 addClause 94 -38 -108 
246 addClause 57 78 -47 
247 addClause 15 -54 91 
248 addClause -127 26 69 
249 addClause 8 34 102 
250 addClause -126 111 54 
251 addClause -18 -106 -137 
252 addClause -22 -146 64 
253 addClause -34 -22 -134 
254 addClause 76 43 -103 
255 addClause -64 100 -101 
256 addClause 67 119 61 
257 addClause -43 42 -68 
258 addClause 84 40 -144 
259 addClause -49 110 -123 
260 addClause -85 -12 -41 
261 addClause -73 -96 93 
262 addClause -53 20 123 
263 addClause -7 135 109 
264 addClause 23 46 -147 
265 addClause 113 -42 -62 
266 addClause 58 -37 -45 
267 addClause -9 62 22 
268 addClause 143 -146 8 
269 addClause 122 -12 -5 
270 addClause 101 -23 1 
271 addClause 80 -145 12 
272 addClause 40 -29 -147 
273 addClause -59 117 -114 
274 addClause 104 -42 -57 
275 addClause 134 -78 12 
276 addClause 17 -144 123 
277 addClause 147 -63 132 
278 addClause -32 -20 16 
279 addClause 16 80 -19 
280 addClause -59 140 47 
281 addClause -31 40 -94 
282 addClause 1 -30 59 
283 addClause -126 41 142 
284 addClause 33 -70 -27 
285 addClause 64 -21 28 
286 addClause 144 109 -114 
287 addClause -28 -78 -63 
288 addClause 114 25 29 
289 addClause -6 26 -69 
290 addClause 37 43 -133 
291 addClause 127 3 -29 
292 addClause 36 -34 -85 
293 addClause -124 -150 -69 
294 addClause 135 -145 96 
295 addClause -39 -119 98 
296 addClause 107 -103 -51 
297 addClause 110 -32 34 
298 addClause 140 50 -88 
299 addClause -117 5 112 
300 addClause -39 -74 -123 
301 addClause 59 -66 119 
302 addClause 43 -121 117 
303 addClause 24 -78 -114 
304 addClause 77 -12 75 
305 addClause -5 -89 -99 
306 addClause -37 -67 -46 
307 addClause 111 -55 53 
308 addClause 146 36 22 
309 addClause 125 -36 -105 
310 addClause 6 59 124 
311 addClause 30 -82 -85 
312 addClause -113 -5 -149 
313 addClause -51 58 -137 
314 addClause -77 -66 -131 
315 addClause -75 33 117 
316 addClause 37 28 44 
317 addClause -147 54 -33 
318 addClause 44 -124 -119 
319 addClause -53 102 71 
320 addClause -130 66 109 
321 addClause -15 -135 -76 
322 addClause 111 -99 -138 
323 addClause 113 -99 30 
324 addClause -34 -7 16 
325 addClause 113 81 -136 
326 addClause -115 1 -98 
327 addClause -49 12 28 
328 addClause -138 37 106 
329 addClause 22 -23 147 
330 addClause -140 -89 38 
331 addClause 65 -100 -9 
332 addClause -31 129 -117 
333 addClause -23 24 135 
334 addClause 96 -42 88 
335 addClause -84 -107 139 
336 addClause 34 134 84 
337 addClause -19 -34 8 
338 addClause 137 -134 51 
339 addClause -59 7 -3 
340 addClause -91 -126 -36 
341 addClause -36 56 73 
342 addClause 39 129 -38 
343 addClause -85 37 51 
344 addClause 52 106 44 
345 addClause -5 -109 -7 
346 addClause 13 -61 22 
347 addClause -28 96 4 
348 addClause 124 -13 42 
349 addClause 80 40 16 
350 addClause 63 -129 -100 
351 addClause -79 -6 121 
352 addClause -60 132 -114 
353 addClause -47 147 -3 
354 addClause 78 86 -56 
355 addClause -34 65 123 
356 addClause -41 -133 -135 
357 addClause -78 35 -91 
358 addClause 107 122 -51 
359 addClause 137 64 65 
360 addClause 31 -54 -114 
361 addClause 113 14 -149 
362 addClause -127 -105 -15 
363 addClause 116 77 -74 
364 addClause -143 -92 14 
365 addClause -30 -10 -45 
366 addClause 11 129 -131 
367 addClause 70 -128 32 
368 addClause -85 -48 123 
369 addClause 91 4 -71 
370 addClause -73 66 -78 
371 addClause -105 84 47 
372 addClause -4 84 -14 
373 addClause -123 109 46 
374 addClause -76 -68 -117 
375 addClause -14 1 8 
376 addClause -28 53 -133 
377 addClause -59 148 94 
378 addClause -148 -44 19 
379 addClause -20 -10 -9 
380 addClause -134 107 6 
381 addClause 142 -46 -122 
382 addClause -90 -103 -39 
383 addClause -96 -44 52 
384 addClause -109 125 16 
385 addClause 19 -91 -67 
386 addClause -6 16 -44 
387 addClause 63 96 142 
388 addClause 8 -68 23 
389 addClause 22 -29 126 
390 addClause -93 97 -38 
391 addClause 20 -118 -46 
392 addClause -29 -148 75 
393 addClause 56 -122 -136 
394 addClause 29 -29 22 
395 addClause 128 -125 -33 
396 addClause 39 -128 -58 
397 addClause -111 -121 -54 
398 addClause 77 134 62 
399 addClause 51 -75 -13 
400 addClause -105 130 122 
401 addClause -41 -92 -29 
402 addClause -77 145 105 
403 addClause -95 94 126 
404 addClause -74 7 143 
405 addClause -69 -132 -86 
406 addClause 131 60 -65 
407 addClause -56 -68 -89 
408 addClause -35 130 76 
409 addClause -16 65 79 
410 addClause -96 115 19 
411 addClause 68 -108 104 
412 addClause -131 148 -144 
413 addClause 32 -88 -47 
414 addClause 121 -8 -134 
415 addClause 142 -86 -5 
416 addClause -65 84 95 
417 addClause 110 -134 -4 
418 addClause -59 108 -114 
419 addClause -6 16 -88 
420 addClause 82 -84 77 
421 addClause 57 -49 56 
422 addClause 108 16 96 
423 addClause 86 63 144 
424 addClause 139 32 -81 
425 addClause -115 79 123 
426 addClause -60 136 126 
427 addClause 47 -55 -138 
428 addClause 60 73 13 
429 addClause 106 16 -74 
430 addClause -134 120 31 
431 addClause 14 58 60 
432 addClause -83 -105 -38 
433 addClause -7 89 -36 
434 addClause -15 -135 -39 
435 addClause 25 -1 136 
436 addClause 94 -58 -29 
437 addClause -1 -117 105 
438 addClause 66 28 -45 
439 addClause -148 -135 34 
440 addClause 44 -62 -100 
441 addClause 55 108 -7 
442 addClause -102 95 -31 
443 addClause -111 86 29 
444 addClause -4 -94 -13 
445 addClause 77 -91 36 
446 addClause -19 -56 -25 
447 addClause -32 -24 -55 
448 addClause 16 -106 -145 
449 addClause 49 36 33 
450 addClause 18 137 96 
451 addClause 76 13 -67 
452 addClause -43 59 129 
453 addClause -144 95 67 
454 addClause 84 -23 -113 
455 addClause 93 16 77 
456 addClause 58 -10 -48 
457 addClause 85 30 -1 
458 addClause 58 -60 88 
459 addClause -88 146 -24 
460 solve
461 addClause 161 -237 98 
462 addClause -154 25 -319 
463 addClause -132 -203 183 
464 addClause 45 -44 135 
465 addClause 14 318 133 
466 addClause 95 151 250 
467 addClause 231 64 -27 
468 addClause -297 -105 -142 
469 addClause -111 -253 181 
470 addClause 260 -243 133 
471 addClause 153 -180 35 
472 addClause 84 52 -311 
473 addClause 145 208 -156 
474 addClause -214 89 139 
475 addClause -148 314 -331 
476 addClause 27 74 -269 
477 addClause 80 -80 -231 
478 addClause -228 271 308 
479 addClause -41 -151 54 
480 addClause 276 -87 -123 
481 addClause -113 -38 139 
482 addClause -105 229 323 
483 addClause -204 -154 6 
484 addClause 132 -107 81 
485 addClause -241 -308 34 
486 addClause 32 82 -27 
487 addClause -279 -295 179 
488 addClause 53 304 160 
489 addClause -72 -68 -325 
490 addClause -242 302 273 
491 addClause 290 -28 -272 
492 addClause -147 169 180 
493 addClause 43 -309 74 
494 addClause -132 -99 155 
495 addClause -83 -191 3 
496 addClause 290 -41 -212 
497 addClause -190 -24 -112 
498 addClause 51 45 -107 
499 addClause 198 166 173 
500 addClause 256 -104 116 
501 addClause 191 254 -99 
502 addClause 179 -114 52 
503 addClause -262 328 146 
504 addClause -199 82 -120 
505 addClause -239 -118 103 
506 addClause -68 -175 67 
507 addClause 287 298 -209 
508 addClause 199 267 -194 
509 addClause -118 245 -247 
510 addClause -43 -95 79 
511 addClause -55 -303 171 
512 addClause 295 4 -330 
513 addClause 245 73 88 
514 addClause -49 205 -321 
515 addClause 232 278 -218 
516 addClause -187 -118 68 
517 addClause -278 -313 -321 
518 addClause -129 303 189 
519 addClause 230 269 -217 
520 addClause -260 -322 216 
521 addClause -77 -53 -57 
522 addClause 318 121 -20 
523 addClause 153 255 -264 
524 addClause 159 -75 250 
525 addClause 195 312 161 
526 addClause 144 -128 -156 
527 addClause 53 242 291 
528 addClause 121 -306 -283 
529 addClause -269 107 -113 
530 addClause -101 57 -110 
531 addClause 279 -194 329 
532 addClause 217 -148 -242 
533 addClause 103 -190 73 
534 addClause -78 -41 4 
535 addClause 14 163 -296 
536 addClause -58 -315 3 
537 addClause 86 318 20 
538 addClause 53 -54 194 
539 addClause 44 -42 -191 
540 addClause 80 -27 272 
541 addClause 94 249 -60 
542 addClause -16 -332 -216 
543 addClause -198 6 -212 
544 addClause 96 -278 -167 
545 addClause -296 131 190 
546 addClause -179 186 -305 
547 addClause -314 204 -125 
548 addClause -310 15 -231 
549 addClause 308 -17 44 
550 addClause -35 250 -247 
551 addClause 116 -248 314 
552 addClause 140 311 -127 
553 addClause -127 -165 -98 
554 addClause 161 262 67 
555 addClause -114 -263 -241 
556 addClause -185 81 180 
557 addClause 301 317 121 
558 addClause -266 -243 -315 
559 addClause 97 276 -245 
560 addClause 2 299 -298 
561 addClause -19 -39 39 
562 addClause -105 57 103 
563 addClause -17 -259 -180 
564 addClause -161 84 -20 
565 addClause -167 288 283 
566 addClause -35 -278 -132 
567 addClause -278 331 -3 
568 addClause 149 -158 102 
569 addClause 246 75 -272 
570 addClause 224 -107 113 
571 addClause -269 293 92 
572 addClause -203 -140 128 
573 addClause 112 173 -259 
574 addClause 169 153 -1 
575 addClause 184 107 -201 
576 addClause -23 -187 121 
577 addClause -317 128 -73 
578 addClause 104 191 44 
579 addClause 51 55 259 
580 addClause 119 -202 27 
581 addClause 261 -218 155 
582 addClause 159 36 -312 
583 addClause -2 297 -79 
584 addClause 68 -49 -224 
585 addClause 43 24 -162 
586 addClause 249 -147 -244 
587 addClause -241 -199 -306 
588 addClause 12 314 93 
589 addClause 269 132 -229 
590 addClause 77 -145 -330 
591 addClause 73 263 -257 
592 addClause 279 324 39 
593 addClause -112 15 200 
594 addClause -28 114 -121 
595 addClause 113 -138 -82 
596 addClause -75 -23 227 
597 addClause -264 299 -299 
598 addClause -54 240 -58 
599 addClause -327 303 -251 
600 addClause -206 3 180 
601 addClause 327 163 179 
602 addClause -8 143 254 
603 addClause 325 321 -251 
604 addClause -314 -113 294 
605 addClause -26 -30 -171 
606 addClause 15 192 -213 
607 addClause -185 110 219 
608 addClause 180 68 -178 
609 addClause 277 -174 142 
610 addClause 17 -94 283 
611 addClause 97 192 -1 
612 addClause -221 -111 -180 
613 addClause 201 81 111 
614 addClause 34 -281 -32 
615 addClause -169 322 -167 
616 addClause -55 130 -8 
617 addClause 83 -266 211 
618 addClause -77 250 -215 
619 addClause 183 -124 -135 
620 addClause 99 46 161 
621 addClause 160 57 49 
622 addClause -202 226 41 
623 addClause 55 317 66 
624 addClause -206 -8 116 
625 addClause 9 313 221 
626 addClause -51 -289 -312 
627 addClause -287 52 228 
628 addClause 193 -160 289 
629 addClause -303 72 195 
630 addClause 181 127 -106 
631 addClause -99 -207 195 
632 addClause 26 254 -71 
633 addClause 309 -54 -303 
634 addClause 232 -28 159 
635 addClause -85 -34 -279 
636 addClause -266 -285 -148 
637 addClause 220 59 -136 
638 addClause -289 -274 48 
639 addClause 116 187 -316 
640 addClause -228 -197 223 
641 addClause -4 174 -273 
642 addClause -282 288 328 
643 addClause -20 166 108 
644 addClause 17 -141 153 
645 addClause -123 -141 -291 
646 addClause 225 -184 -141 
647 addClause -35 217 140 
648 addClause -130 67 -274 
649 addClause -322 216 89 
650 addClause -4 -185 -32 
651 addClause -253 -227 -180 
652 addClause 280 264 -276 
653 addClause -95 281 -17 
654 addClause -200 -118 -109 
655 addClause -184 84 120 
656 addClause -15 177 283 
657 addClause 117 51 161 
658 addClause -168 -76 197 
659 addClause -155 -164 -320 
660 addClause -203 132 321 
661 addClause -289 -174 -168 
662 addClause -205 186 -104 
663 addClause 300 38 -308 
664 addClause 7 -275 323 
665 addClause -132 171 -26 
666 addClause -260 -95 55 
667 addClause 20 126 10 
668 addClause 267 10 87 
669 addClause -145 -28 -198 
670 addClause 37 31 90 
671 addClause 225 -50 -18 
672 addClause 165 110 -227 
673 addClause 307 -216 111 
674 addClause 2 -316 184 
675 addClause -289 211 -130 
676 addClause -114 -256 118 
677 addClause -315 232 89 
678 addClause 257 35 166 
679 addClause -188 -288 73 
680 addClause -233 -9 53 
681 addClause -280 316 -124 
682 addClause -178 162 -36 
683 addClause 191 88 -254 
684 addClause -281 -28 -78 
685 addClause 109 -217 -69 
686 addClause -180 43 -32 
687 addClause -255 182 294 
688 addClause 287 228 109 
689 addClause 70 96 258 
690 addClause -8 6 18 
691 addClause -105 -159 -90 
692 addClause -106 -23 215 
693 addClause 134 -131 -271 
694 addClause -65 132 -121 
695 addClause -23 -69 171 
696 addClause -81 -148 -253 
697 addClause -80 -165 -50 
698 addClause 192 -302 -278 
699 addClause 106 -256 -187 
700 addClause 31 146 51 
701 addClause -14 -318 310 
702 addClause -220 199 133 
703 addClause 316 291 326 
704 addClause 3 -240 191 
705 addClause 253 -108 -240 
706 addClause 273 -286 310 
707 addClause -97 -213 297 
708 addClause 166 -164 -169 
709 addClause 163 -228 -282 
710 addClause 45 316 -292 
711 addClause 54 188 18 
712 addClause 169 257 66 
713 addClause 325 124 -15 
714 addClause 271 279 -294 
715 addClause 63 -173 249 
716 addClause 259 -74 239 
717 addClause -17 -105 -209 
718 addClause 209 -199 275 
719 addClause 53 241 -233 
720 addClause -247 -204 48 
721 addClause -127 110 91 
722 addClause -31 8 236 
723 addClause 219 295 -116 
724 addClause -144 -213 206 
725 addClause 115 -18 -118 
726 addClause 190 -125 328 
727 addClause -40 210 -308 
728 addClause 158 136 223 
729 addClause -307 95 110 
730 addClause -80 145 125 
731 addClause 1 6 318 
732 addClause 262 230 28 
733 addClause -294 103 -87 
734 addClause -320 -118 -100 
735 addClause 160 -274 -192 
736 addClause -317 -187 79 
737 addClause 288 246 144 
738 addClause -154 -81 -130 
739 addClause -89 -61 -31 
740 addClause 245 331 193 
741 addClause -19 -108 -191 
742 addClause -174 71 -53 
743 addClause 97 -302 -61 
744 addClause 143 -298 328 
745 addClause -319 -187 138 
746 addClause 41 97 221 
747 addClause 70 23 -101 
748 addClause 26 155 311 
749 addClause 51 21 -184 
750 addClause -224 -128 -159 
751 addClause -200 -105 -64 
752 addClause 34 23 88 
753 addClause 306 127 9 
754 addClause -297 -1 -258 
755 addClause -113 212 181 
756 addClause 150 174 -324 
757 addClause 58 328 -250 
758 addClause -76 -87 31 
759 addClause -11 129 244 
760 addClause -154 109 179 
761 addClause -9 240 17 
762 addClause 128 -236 -29 
763 addClause 23 212 105 
764 addClause 246 -327 -178 
765 addClause 50 161 -186 
766 addClause -178 107 276 
767 addClause 105 -109 127 
768 addClause 136 -285 265 
769 addClause 6 -15 -102 
770 addClause 167 -330 285 
771 addClause 52 -281 49 
772 addClause -258 233 198 
773 addClause 23 219 -163 
774 addClause 323 -216 53 
775 addClause -1 -100 -216 
776 addClause 133 98 268 
777 addClause -97 291 277 
778 addClause -46 20 9 
779 addClause -96 155 -35 
780 addClause 46 61 238 
781 addClause -218 54 33 
782 addClause -184 220 206 
783 addClause -58 -330 244 
784 addClause 230 -194 -296 
785 addClause 324 15 -58 
786 addClause 46 326 204 
787 addClause 325 -135 -251 
788 addClause 102 -73 -260 
789 addClause -99 -17 -166 
790 addClause 196 27 175 
791 addClause 60 -62 286 
792 addClause 125 -249 282 
793 addClause -7 -123 234 
794 addClause -28 -33 112 
795 addClause 78 39 -167 
796 addClause 153 42 -315 
797 addClause 254 -172 219 
798 addClause -86 136 -223 
799 addClause -117 -34 87 
800 addClause -306 -220 274 
801 addClause 28 -85 -294 
802 addClause 319 -284 238 
803 addClause -190 -270 -305 
804 addClause 294 -141 -325 
805 addClause -12 -235 112 
806 addClause -171 -69 95 
807 addClause 46 144 270 
808 addClause -313 -144 -222 
809 addClause -3 177 -83 
810 addClause 292 309 -22 
811 addClause -93 -224 -92 
812 addClause 91 -326 -159 
813 addClause -301 101 135 
814 addClause 187 -208 -2 
815 addClause -101 -223 -97 
816 addClause 145 144 149 
817 addClause 5 204 -232 
818 addClause 97 -119 -205 
819 addClause -231 -99 -305 
820 addClause -262 -135 210 
821 addClause 138 -9 321 
822 addClause -69 278 38 
823 addClause 121 -133 -249 
824 addClause 6 225 -23 
825 addClause -231 144 -281 
826 addClause -168 -251 -24 
827 addClause -294 203 324 
828 addClause -187 162 102 
829 addClause 179 -278 25 
830 addClause -161 299 271 
831 addClause -38 275 116 
832 addClause 329 325 270 
833 addClause -66 -90 -20 
834 addClause -230 284 -27 
835 addClause 93 80 293 
836 addClause 73 -164 189 
837 addClause 112 -121 179 
838 addClause 211 163 221 
839 addClause 233 1 288 
840 addClause -166 -163 -235 
841 addClause -11 -164 198 
842 addClause 253 111 53 
843 addClause -327 253 258 
844 addClause 79 -3 -182 
845 addClause -305 -18 270 
846 addClause 189 34 85 
847 addClause -124 67 -194 
848 addClause 136 -193 -118 
849 addClause -224 256 265 
850 addClause -66 245 -50 
851 addClause 72 -198 289 
852 addClause -57 -193 234 
853 addClause -243 237 -303 
854 addClause -60 236 158 
855 addClause -207 319 -174 
856 addClause 165 -104 275 
857 addClause 177 95 92 
858 addClause -96 90 144 
859 addClause 313 -221 -243 
860 addClause 164 -74 43 
861 addClause -140 -31 -105 
862 addClause -246 -126 -239 
863 addClause 195 -137 331 
864 addClause -298 -63 272 
865 addClause 104 326 -12 
866 addClause 124 227 -114 
867 addClause 96 142 -63 
868 addClause -109 -17 102 
869 addClause -56 131 -155 
870 addClause 82 302 -198 
871 addClause 44 -54 -45 
872 addClause -215 213 9 
873 addClause 61 -159 84 
874 addClause 271 70 -203 
875 addClause 70 267 -116 
876 addClause 116 -302 22 
877 addClause -91 46 -15 
878 addClause -157 100 158 
879 addClause -61 -150 124 
880 addClause -250 96 68 
881 addClause 200 -295 -137 
882 addClause 56 77 -199 
883 addClause -98 -108 317 
884 addClause 216 15 -48 
885 addClause 321 -28 -20 
886 addClause -132 26 -156 
887 addClause -17 -271 220 
888 addClause 127 96 253 
889 addClause 143 108 147 
890 addClause -32 -5 243 
891 addClause 69 76 -121 
892 addClause -262 -301 -47 
893 addClause 158 180 -289 
894 addClause 214 -73 -267 
895 addClause 136 84 -272 
896 addClause 104 53 -44 
897 addClause -226 -159 -50 
898 addClause 81 28 -66 
899 addClause 104 184 -35 
900 addClause -272 82 -76 
901 addClause -73 136 -224 
902 addClause 270 -138 308 
903 addClause 140 241 -174 
904 addClause -224 -181 275 
905 addClause 39 -39 -125 
906 addClause -52 -282 -273 
907 addClause -287 238 -1 
908 addClause 37 322 121 
909 addClause -321 -251 -208 
910 addClause -141 -242 126 
911 addClause -215 -66 -161 
912 addClause 6 238 123 
913 addClause 97 -211 59 
914 addClause 246 264 191 
915 addClause -112 -168 -213 
916 addClause -140 64 74 
917 addClause -8 -266 -138 
918 addClause 260 92 -121 
919 addClause 239 207 327 
920 addClause -228 -142 -51 
921 addClause 11 -15 84 
922 addClause 171 -35 282 
923 addClause 273 231 309 
924 addClause 156 69 -132 
925 addClause -80 238 96 
926 addClause 216 85 -153 
927 addClause -217 206 -164 
928 addClause 261 -209 324 
929 addClause -79 175 -291 
930 addClause -205 56 -16 
931 addClause 1 -330 -37 
932 addClause -143 241 -198 
933 addClause 271 201 114 
934 addClause 273 245 -133 
935 addClause -79 -62 228 
936 addClause -156 -1 48 
937 addClause -293 -120 -221 
938 addClause -307 316 80 
939 addClause 201 -76 12 
940 addClause 234 64 144 
941 addClause -120 278 -215 
942 addClause 147 185 40 
943 addClause 188 71 248 
944 addClause 46 -251 115 
945 addClause -148 119 -125 
946 addClause -237 240 -194 
947 addClause -191 -1 -246 
948 addClause -309 102 -323 
949 addClause -242 164 47 
950 addClause -283 -71 37 
951 addClause 260 58 -199 
952 addClause -87 271 -32 
953 addClause 98 -53 312 
954 addClause -162 131 54 
955 addClause -66 26 255 
956 addClause 93 -175 -93 
957 addClause 24 123 151 
958 addClause 54 107 -35 
959 addClause -47 68 92 
960 addClause -59 238 -85 
961 addClause 242 76 -291 
962 addClause -16 -99 166 
963 addClause 233 -225 -285 
964 addClause 52 -130 -141 
965 addClause -174 177 -86 
966 addClause 143 45 -202 
967 addClause -184 -300 40 
968 addClause -228 -214 -58 
969 addClause 35 181 -204 
970 addClause 61 -73 153 
971 addClause -177 -114 -155 
972 addClause -107 10 215 
973 addClause 210 265 307 
974 addClause -179 223 283 
975 addClause 99 -164 156 
976 addClause 37 24 -14 
977 addClause -4 -304 -244 
978 addClause -144 -164 236 
979 addClause -150 302 -328 
980 addClause -40 146 290 
981 addClause 291 88 -115 
982 addClause -149 102 321 
983 addClause -94 -153 124 
984 addClause -53 188 57 
985 addClause 113 16 -286 
986 addClause 249 178 -187 
987 addClause -206 306 214 
988 addClause 328 184 -36 
989 addClause 273 -237 -208 
990 addClause -32 -154 -66 
991 addClause -64 241 -184 
992 addClause 283 59 58 
993 addClause -163 115 -325 
