1 init
2 Data Structure Factory : ClausalDataStructureWL
3 Order : PureOrder/period=17
286 addClause -10 23 -43 
287 addClause 85 33 -141 
288 addClause 7 -6 139 
289 addClause 111 -102 -35 
290 addClause 87 -62 92 
291 addClause -14 -142 -65 
292 addClause 58 -100 -147 
293 addClause 147 -51 66 
294 addClause -118 47 -38 
295 addClause 48 -122 126 
296 addClause -130 39 126 
297 addClause 56 80 143 
298 addClause -51 121 -135 
299 addClause 104 10 150 
300 addClause 75 35 36 
301 addClause 133 -31 -131 
302 addClause -50 -115 -138 
303 addClause -91 -60 -59 
304 addClause 144 -118 -56 
305 addClause 99 -73 -50 
306 addClause -10 -148 -37 
307 addClause 33 -116 126 
308 addClause 125 -148 153 
309 addClause 4 -64 -60 
310 addClause 85 -85 84 
311 addClause -19 -16 55 
312 addClause 64 116 11 
313 addClause -101 -16 63 
314 addClause 139 123 42 
315 addClause 130 -91 -147 
316 addClause 154 -97 34 
317 addClause -95 97 28 
318 addClause -23 -12 -129 
319 addClause -153 -145 -104 
320 addClause 107 36 30 
321 addClause -57 -148 107 
322 addClause 109 -30 -57 
323 addClause 134 -68 -52 
324 addClause 150 -151 123 
325 addClause -145 27 -139 
326 addClause -89 -4 117 
327 addClause -101 -24 -53 
328 addClause -108 -112 42 
329 addClause 48 -13 84 
330 addClause -155 72 -62 
331 addClause -145 -129 70 
332 addClause 59 128 38 
333 addClause -139 -60 -148 
334 addClause -137 73 9 
335 addClause 142 116 -132 
336 addClause -108 -48 30 
337 addClause -12 16 -138 
338 addClause -22 -88 13 
339 addClause -149 -51 41 
340 addClause -55 -20 86 
341 addClause -153 21 44 
342 addClause 123 -71 -93 
343 addClause 124 56 -49 
344 addClause 131 -147 -149 
345 addClause 12 29 26 
346 addClause 37 64 -7 
347 addClause 113 16 13 
348 addClause -102 16 -114 
349 addClause -144 146 -155 
350 addClause 9 34 -84 
351 addClause 61 39 119 
352 addClause 78 103 7 
353 addClause -29 -64 -114 
354 addClause 1 89 145 
355 addClause -72 55 61 
356 addClause 139 -20 -154 
357 addClause -111 104 -31 
358 addClause -103 96 -75 
359 addClause -74 -121 154 
360 addClause -98 -146 38 
361 addClause 54 -1 95 
362 addClause -134 84 -48 
363 addClause 145 138 52 
364 addClause -84 154 52 
365 addClause -102 6 77 
366 addClause -110 6 116 
367 addClause -149 -119 49 
368 addClause -8 -52 62 
369 addClause 43 1 75 
370 addClause -13 30 -10 
371 addClause -46 -7 -10 
372 addClause -87 76 -108 
373 addClause 111 4 117 
374 addClause 152 -44 -88 
375 addClause -66 -3 -86 
376 addClause 154 40 144 
377 addClause 130 141 128 
378 addClause -57 101 -117 
379 addClause -82 -111 -6 
380 addClause -26 8 -146 
381 addClause -135 -29 -19 
382 addClause -145 -43 62 
383 addClause -142 108 -76 
384 addClause -59 125 -17 
385 addClause -72 -12 129 
386 addClause 117 -98 112 
387 addClause 137 22 -120 
388 addClause 9 -125 22 
389 addClause 45 102 112 
390 addClause -120 126 45 
391 addClause -107 -142 61 
392 addClause 58 -114 -66 
393 addClause 122 107 70 
394 addClause 127 -92 94 
395 addClause -31 92 -7 
396 addClause 38 -114 132 
397 addClause 3 105 19 
398 addClause 104 39 15 
399 addClause 57 -45 -138 
400 addClause -108 -80 -134 
401 addClause 119 -87 74 
402 addClause 8 74 127 
403 addClause 93 -136 -107 
404 addClause -121 -67 -147 
405 addClause 84 -28 -30 
406 addClause -78 -12 -47 
407 addClause 14 10 -110 
408 addClause 139 19 -51 
409 addClause -74 -63 -118 
410 addClause 127 2 -55 
411 addClause 83 -71 -54 
412 addClause 110 -15 -97 
413 addClause -132 -41 69 
414 addClause -56 46 13 
415 addClause -141 -112 -30 
416 addClause 143 57 86 
417 addClause 51 -52 -28 
418 addClause -45 -96 -94 
419 addClause -27 -130 12 
420 addClause -6 43 -143 
421 addClause -56 -70 -60 
422 addClause -135 79 -113 
423 addClause -85 49 -94 
424 addClause -15 -143 -113 
425 addClause 30 -114 -149 
426 addClause 148 -59 37 
427 addClause -78 143 -4 
428 addClause 149 -48 -22 
429 addClause 64 3 -129 
430 addClause 111 121 -137 
431 addClause 97 -39 -93 
432 addClause 110 -134 -28 
433 addClause -69 24 -70 
434 addClause -73 -122 -52 
435 addClause 145 26 95 
436 addClause -94 102 14 
437 addClause 138 32 -68 
438 addClause 85 98 81 
439 addClause -142 -55 -115 
440 addClause 68 -124 -44 
441 addClause -151 27 -137 
442 addClause -65 -132 92 
443 addClause 65 -6 35 
444 addClause 123 -16 -8 
445 addClause 49 -53 102 
446 addClause -88 152 118 
447 addClause -151 17 -33 
448 addClause -119 147 -24 
449 addClause -5 153 -25 
450 addClause 24 -31 -20 
451 addClause 97 -141 25 
452 addClause -77 143 -49 
453 addClause -136 11 138 
454 addClause -94 -151 -100 
455 addClause -51 -110 68 
456 addClause -96 -75 -4 
457 addClause -38 87 12 
458 addClause -11 61 124 
459 addClause -63 -13 -19 
460 addClause -77 78 142 
461 addClause -64 -78 -151 
462 addClause 64 69 -13 
463 addClause 79 138 135 
464 addClause -95 15 -49 
465 addClause -20 27 -88 
466 addClause -89 102 25 
467 addClause 53 -103 -130 
468 addClause 27 126 -84 
469 addClause 78 32 134 
470 addClause -87 93 103 
471 addClause 14 35 84 
472 solve
473 addClause -102 72 -210 
474 addClause -156 205 10 
475 addClause 141 -203 -134 
476 addClause 64 -193 173 
477 addClause -52 -140 101 
478 addClause -176 10 107 
479 addClause -165 -24 -230 
480 addClause 235 -114 -38 
481 addClause -112 -73 187 
482 addClause -102 -105 53 
483 addClause -90 -135 186 
484 addClause -176 -76 60 
485 addClause 239 -199 -187 
486 addClause 169 -96 -120 
487 addClause 209 155 -72 
488 addClause 97 -2 -204 
489 addClause 199 210 -37 
490 addClause 18 31 -163 
491 addClause 90 -19 -77 
492 addClause -207 71 45 
493 addClause 135 -54 -144 
494 addClause 110 116 -103 
495 addClause 106 -178 223 
496 addClause 6 171 -17 
497 addClause 19 157 218 
498 addClause -19 -35 -189 
499 addClause -140 224 96 
500 addClause -29 -131 222 
501 addClause -170 38 66 
502 addClause -99 69 128 
503 addClause -89 182 -231 
504 addClause 167 -14 -59 
505 addClause 195 223 146 
506 addClause 205 -82 209 
507 addClause 173 185 -231 
508 addClause -102 69 -4 
509 addClause -170 223 -185 
510 addClause -198 -129 31 
511 addClause -16 64 -112 
512 addClause 97 91 -83 
513 addClause -92 -181 171 
514 addClause -76 -81 20 
515 addClause -174 58 181 
516 addClause -110 -100 -134 
517 addClause 198 237 -229 
518 addClause -88 -73 -43 
519 addClause -145 179 -98 
520 addClause -18 -142 99 
521 addClause -22 -23 61 
522 addClause 97 -100 -209 
523 addClause 90 -106 -186 
524 addClause 22 -120 44 
525 addClause 126 150 100 
526 addClause -47 -34 -43 
527 addClause -198 217 220 
528 addClause 222 136 -61 
529 addClause -223 -79 -53 
530 addClause 212 -215 -76 
531 addClause -183 192 118 
532 addClause 70 186 167 
533 addClause 80 84 147 
534 addClause 155 221 -123 
535 addClause 144 224 89 
536 addClause -48 -34 109 
537 addClause -14 -147 130 
538 addClause 175 -157 41 
539 addClause 9 108 139 
540 addClause -205 14 164 
541 addClause 233 -109 -191 
542 addClause 116 119 -229 
543 addClause 90 21 -193 
544 addClause -203 90 1 
545 addClause 94 91 153 
546 addClause 53 -44 166 
547 addClause 146 -174 -59 
548 addClause 62 -89 -2 
549 addClause -16 -175 -206 
550 addClause 231 -215 -225 
551 addClause 42 -88 -140 
552 addClause 49 142 -220 
553 addClause -224 233 -47 
554 addClause -81 -98 21 
555 addClause 98 107 29 
556 addClause -2 -234 -48 
557 addClause -60 125 -12 
558 addClause 101 -21 -52 
559 addClause -227 43 -234 
560 addClause 26 -73 186 
561 addClause -210 -72 -236 
562 addClause -158 -162 -15 
563 addClause 195 -77 39 
564 addClause 215 211 24 
565 addClause -160 88 -171 
566 addClause 46 144 59 
567 addClause -205 -164 55 
568 addClause -38 74 -233 
569 addClause 91 -231 -198 
570 addClause 105 -56 171 
571 addClause 134 -176 -188 
572 addClause 1 152 -230 
573 addClause -201 86 -186 
574 addClause -65 104 148 
575 addClause 54 -102 227 
576 addClause 135 -194 133 
577 addClause 149 189 132 
578 addClause -143 -198 86 
579 addClause -220 63 -114 
580 addClause 77 -112 -2 
581 addClause 96 -61 -47 
582 addClause -95 165 196 
583 addClause -116 -4 -216 
584 addClause -168 -64 187 
585 addClause 159 137 -212 
586 addClause -129 121 108 
587 addClause -83 22 115 
588 addClause -210 -59 118 
589 addClause 42 -196 120 
590 addClause -235 170 -209 
591 addClause -81 168 5 
592 addClause 50 -97 22 
593 addClause -160 -143 -156 
594 addClause 217 135 160 
595 addClause -154 -112 33 
596 addClause 197 222 131 
597 addClause -98 3 -206 
598 addClause -107 -20 196 
599 addClause 156 -1 -119 
600 addClause -30 -215 -145 
601 addClause -205 -15 221 
602 addClause 156 -229 -179 
603 addClause -13 100 185 
604 addClause 124 98 -124 
605 addClause 152 -224 188 
606 addClause -173 210 -100 
607 addClause 80 27 -74 
608 addClause -161 -113 85 
609 addClause -27 -175 139 
610 addClause -223 -99 -135 
611 addClause -69 159 -147 
612 addClause -55 -36 -83 
613 addClause -185 72 -174 
614 addClause -227 51 -38 
615 addClause -20 -111 64 
616 addClause 205 -91 182 
617 addClause 53 66 38 
618 addClause -165 102 21 
619 addClause 72 -84 -62 
620 addClause 107 216 79 
621 addClause -23 184 -108 
622 addClause 26 187 -86 
623 addClause -111 239 76 
624 addClause -234 -97 214 
625 addClause 19 -131 164 
626 addClause -171 194 122 
627 addClause -155 206 -208 
628 addClause 11 -156 213 
629 addClause -143 185 -126 
630 addClause -180 7 -27 
631 addClause -219 -2 -78 
632 addClause -15 21 148 
633 addClause -62 73 33 
634 addClause 215 142 140 
635 addClause 31 -157 61 
636 addClause 91 -112 -61 
637 addClause 162 -196 -127 
638 addClause 79 37 -117 
639 addClause -82 31 155 
640 addClause 94 65 -149 
641 addClause 23 180 184 
642 addClause 161 186 -135 
643 addClause -187 1 -121 
644 addClause 24 -210 -104 
645 addClause 209 -66 -43 
646 addClause 215 -171 -122 
647 addClause -109 176 -92 
648 addClause 199 93 45 
649 addClause 153 118 232 
650 addClause 13 233 121 
651 addClause -216 -5 184 
652 addClause 202 52 -20 
653 addClause -185 228 -90 
654 addClause 53 -149 -147 
655 addClause 190 -89 -230 
656 addClause -1 70 136 
657 addClause -1 -204 176 
658 addClause 47 -179 -50 
659 addClause 92 188 15 
660 addClause -191 -170 17 
661 addClause -66 -98 -132 
662 addClause 177 236 92 
663 addClause -68 -108 -67 
664 addClause -27 188 -188 
665 addClause 117 58 52 
666 addClause -233 108 -156 
667 addClause -139 73 -194 
668 addClause -40 -211 -107 
669 addClause -32 -122 -126 
670 addClause 144 77 -1 
671 addClause 60 66 -130 
672 addClause -192 -48 -73 
673 addClause -33 150 140 
674 addClause -194 -15 -148 
675 addClause -62 -89 -171 
676 addClause -205 -164 107 
677 addClause 161 39 173 
678 addClause -9 -153 -211 
679 addClause -171 65 -61 
680 addClause -203 220 117 
681 addClause -60 -34 145 
682 addClause -19 -172 184 
683 addClause 63 -225 6 
684 addClause -219 201 -240 
685 addClause -5 -167 162 
686 addClause 6 209 225 
687 addClause 203 -228 -87 
688 addClause -32 106 -210 
689 addClause 147 -109 3 
690 addClause 84 -8 -202 
691 addClause -202 -148 196 
692 addClause -96 -140 -48 
693 addClause 206 42 -193 
694 addClause 38 -187 45 
695 addClause 94 -170 56 
696 addClause 72 -38 -74 
697 addClause -158 1 -136 
698 addClause -126 -239 -157 
699 addClause 50 7 -238 
700 addClause -27 -204 -2 
701 addClause -230 43 144 
702 addClause 22 51 -122 
703 addClause 159 234 -223 
704 addClause -201 181 145 
705 addClause 208 -14 31 
706 addClause -107 -100 189 
707 addClause -228 27 189 
708 addClause -106 -203 1 
709 addClause -19 -236 -198 
710 addClause 70 -74 198 
711 addClause 155 -94 -195 
712 addClause -40 160 -170 
713 addClause 69 21 -219 
714 addClause -1 98 -154 
715 addClause 213 -156 -165 
716 addClause -137 -127 175 
717 addClause 91 59 -35 
718 addClause 217 180 38 
719 addClause -136 125 112 
720 addClause -232 119 -50 
721 addClause 149 154 77 
722 addClause 132 148 -128 
723 addClause 120 18 239 
724 addClause 175 -230 179 
725 addClause -123 -8 146 
726 addClause 227 -229 -190 
727 addClause -137 -214 -56 
728 solve
729 addClause 249 -192 148 
730 addClause 147 314 -122 
731 addClause 124 -310 -22 
732 addClause -103 -213 -110 
733 addClause 21 218 -275 
734 addClause 117 312 -259 
735 addClause 149 -128 212 
736 addClause -52 230 25 
737 addClause -305 -65 -104 
738 addClause -343 263 236 
739 addClause -187 26 -340 
740 addClause -163 178 -225 
741 addClause -328 19 228 
742 addClause -305 84 231 
743 addClause -139 -60 88 
744 addClause -251 -264 -257 
745 addClause -280 -58 49 
746 addClause 184 -180 -287 
747 addClause 240 -25 -224 
748 addClause 267 -71 278 
749 addClause -240 -302 71 
750 addClause 95 -32 17 
751 addClause -288 326 -49 
752 addClause -337 -69 188 
753 addClause 58 -319 108 
754 addClause -91 185 -224 
755 addClause -327 -212 249 
756 addClause -44 294 -319 
757 addClause 115 66 335 
758 addClause 11 -180 193 
759 addClause -267 94 -250 
760 addClause 124 -268 51 
761 addClause -25 -119 -335 
762 addClause -76 -172 98 
763 addClause 235 -241 -63 
764 addClause -130 -298 -131 
765 addClause -10 -49 77 
766 addClause -134 263 282 
767 addClause 96 247 -100 
768 addClause 243 87 -178 
769 addClause -299 -153 -85 
770 addClause -333 -302 -240 
771 addClause -216 -337 -11 
772 addClause 207 152 -316 
773 addClause -120 -227 -226 
774 addClause -99 -143 -329 
775 addClause -165 208 31 
776 addClause 115 -212 214 
777 addClause -160 148 -323 
778 addClause 166 53 224 
779 addClause -248 267 38 
780 addClause -260 -164 -95 
781 addClause -152 -56 -140 
782 addClause -62 -303 307 
783 addClause -2 -58 -215 
784 addClause -223 -189 130 
785 addClause -25 -6 -61 
786 addClause -24 -153 -323 
787 addClause 41 187 -222 
788 addClause 162 98 -60 
789 addClause -238 320 -208 
790 addClause 59 -15 -296 
791 addClause -232 212 21 
792 addClause 75 290 -185 
793 addClause 251 222 20 
794 addClause 192 -88 -213 
795 addClause 208 186 122 
796 addClause -31 187 -325 
797 addClause 174 298 297 
798 addClause 288 -170 326 
799 addClause -155 259 -318 
800 addClause 186 240 114 
801 addClause 304 -175 -39 
802 addClause -222 18 -138 
803 addClause 255 313 -154 
804 addClause -170 -97 158 
805 addClause 287 157 323 
806 addClause 88 -168 132 
807 addClause 41 -277 -103 
808 addClause -284 -135 7 
809 addClause -242 170 -2 
810 addClause 157 212 -15 
811 addClause -118 91 -275 
812 addClause -182 -271 -190 
813 addClause -197 -313 -342 
814 addClause 43 183 -208 
815 addClause -186 -166 -286 
816 addClause 225 -267 -315 
817 addClause 321 188 281 
818 addClause 246 26 -207 
819 addClause 131 -181 -144 
820 addClause -333 288 -332 
821 addClause 278 -277 94 
822 addClause -260 -108 -45 
823 addClause 124 294 -17 
824 addClause -106 325 -204 
825 addClause 79 176 -31 
826 addClause -150 136 70 
827 addClause -295 -93 -126 
828 addClause -270 -114 38 
829 addClause -310 216 213 
830 addClause 187 57 -96 
831 addClause -65 116 -85 
832 addClause -4 -109 -18 
833 addClause -340 -203 19 
834 addClause 9 181 -132 
835 addClause 260 -325 -57 
836 addClause -96 -4 56 
837 addClause -94 109 -229 
838 addClause -145 70 198 
839 addClause -226 -164 111 
840 addClause 215 220 132 
841 addClause 236 -205 45 
842 addClause 25 -252 125 
843 addClause 111 -129 76 
844 addClause 113 -284 -338 
845 addClause 157 199 -299 
846 addClause 2 127 -196 
847 addClause -264 96 -327 
848 addClause 235 238 306 
849 addClause -41 90 -238 
850 addClause 297 -146 264 
851 addClause -291 112 -325 
852 addClause 317 -60 -211 
853 addClause -256 112 -94 
854 addClause 328 -116 -250 
855 addClause 287 291 -244 
856 addClause 119 -132 -60 
857 addClause 264 70 49 
858 addClause -237 124 -68 
859 addClause -269 -263 180 
860 addClause 245 -11 -223 
861 addClause 230 101 -161 
862 addClause 196 201 -190 
863 addClause 98 72 -192 
864 addClause -334 238 -17 
865 addClause 287 291 -11 
866 addClause 337 -192 -229 
867 addClause 170 -57 47 
868 addClause 31 -162 -140 
869 addClause -143 -191 194 
870 addClause -247 -309 -129 
871 addClause 260 -75 -323 
872 addClause 130 314 -72 
873 addClause 177 87 -51 
874 addClause 120 -154 -292 
875 addClause -306 -221 -167 
876 addClause -222 245 16 
877 addClause -262 78 -243 
878 addClause -42 230 99 
879 addClause 216 151 -17 
880 addClause -95 -191 -156 
881 addClause -148 -1 -228 
882 addClause -328 -192 -331 
883 addClause 342 -319 -146 
884 addClause -27 287 -304 
885 addClause 210 -131 -237 
886 addClause 126 -295 -64 
887 addClause -233 307 -273 
888 addClause -18 85 172 
889 addClause 262 169 -130 
890 addClause -172 233 224 
891 addClause -38 260 -320 
892 addClause 311 268 -255 
893 addClause -44 -270 -280 
894 addClause 231 132 188 
895 addClause -101 245 -249 
896 addClause -168 -241 -10 
897 addClause -279 274 66 
898 addClause -189 -4 66 
899 addClause 279 -333 101 
900 addClause -53 -241 -278 
901 addClause 234 293 -310 
902 addClause 173 143 167 
903 addClause -242 -86 -184 
904 addClause 35 242 332 
905 addClause 71 -207 -272 
906 addClause -149 -235 262 
907 addClause -97 151 203 
908 addClause 122 -211 25 
909 addClause 265 -264 -277 
910 addClause 182 -77 168 
911 addClause 209 328 339 
912 addClause -8 107 -279 
913 addClause -63 -285 145 
914 addClause -261 213 24 
915 addClause 121 -91 -134 
916 addClause -286 -173 159 
917 addClause -284 -294 -201 
918 addClause 95 207 252 
919 addClause 57 109 340 
920 addClause 219 232 -78 
921 addClause -119 96 -97 
922 addClause -49 290 255 
923 addClause 245 -305 229 
924 addClause 286 -82 -133 
925 addClause 159 150 306 
926 addClause 164 201 135 
927 addClause -107 342 -210 
928 addClause 63 -232 -286 
929 addClause 255 -114 -259 
930 addClause 9 -243 -118 
931 addClause -137 64 3 
932 addClause 98 42 -305 
933 addClause -140 -105 -257 
934 addClause -105 81 138 
935 addClause -31 205 165 
936 addClause -107 -121 -162 
937 addClause -86 80 -138 
938 addClause 216 -271 -108 
939 addClause -84 306 -38 
940 addClause 309 -9 -4 
941 addClause -26 287 61 
942 addClause 335 -3 307 
943 addClause -276 166 -138 
944 addClause 224 -309 -273 
945 addClause -87 166 225 
946 addClause -221 79 -262 
947 addClause -320 -6 -24 
948 addClause -213 -313 187 
949 addClause 173 -156 208 
950 addClause 39 234 -256 
951 addClause 240 303 71 
952 addClause -259 180 278 
953 addClause 117 295 -134 
954 addClause -246 -214 -98 
955 addClause -167 -259 267 
956 addClause 5 -300 60 
957 addClause -329 -84 189 
958 addClause -221 -69 11 
959 addClause -50 -218 261 
960 addClause 241 -200 -312 
961 addClause 316 75 173 
962 addClause 280 333 -29 
963 addClause -18 106 190 
964 addClause -250 -88 -261 
965 addClause 94 -64 152 
966 addClause 292 119 -128 
967 addClause 188 289 -153 
968 addClause -235 206 117 
969 addClause 230 203 -256 
970 addClause -77 -180 -323 
971 addClause -280 -311 -260 
972 addClause -5 -61 76 
973 addClause -313 268 -10 
974 addClause 251 248 337 
975 addClause -49 296 -133 
976 addClause 80 73 -41 
977 addClause -157 87 229 
978 addClause -202 316 249 
979 addClause -45 212 289 
980 addClause 236 -27 287 
981 addClause 248 120 -75 
982 addClause -184 22 -279 
983 addClause 13 -27 278 
984 addClause 190 -311 -298 
985 addClause -303 150 -280 
986 addClause 313 -336 -297 
987 addClause -114 -265 -219 
988 addClause 249 -113 143 
989 addClause 110 254 175 
990 addClause 9 34 -2 
