1 init
2 Data Structure Factory : MixedDataStructureSingleWL
3 Order : VarOrderHeap/varDecay=0.11171708176668327
4 Phase Selection Strategy : RandomLiteralSelectionStrategy
5 Learning Strategy : MiniSATLearning
336 addClause 36 -102 4 
337 addClause -8 75 -20 
338 addClause 35 -38 50 
339 addClause 10 102 78 
340 addClause -28 -46 -62 
341 addClause -125 -120 -65 
342 addClause -99 -84 -111 
343 addClause 87 -48 -101 
344 addClause -11 18 -53 
345 addClause 51 16 -69 
346 addClause -112 6 108 
347 addClause -105 -87 24 
348 addClause -72 8 -64 
349 addClause -113 107 -24 
350 addClause -92 -89 18 
351 addClause -51 126 38 
352 addClause 72 121 9 
353 addClause -80 9 -94 
354 addClause -89 52 36 
355 addClause -86 -68 69 
356 addClause 13 -76 -46 
357 addClause 93 -126 -117 
358 addClause 100 23 56 
359 addClause -110 -10 -30 
360 addClause 86 42 110 
361 addClause -123 124 -107 
362 addClause -33 -38 30 
363 addClause 9 87 -7 
364 addClause 30 26 11 
365 addClause -21 -74 73 
366 addClause 92 -4 -74 
367 addClause -1 -38 88 
368 addClause -121 -89 -118 
369 addClause -97 114 92 
370 addClause -52 38 39 
371 addClause -109 72 -43 
372 addClause -27 102 92 
373 addClause -65 33 99 
374 addClause 17 -89 72 
375 addClause -124 10 120 
376 addClause 35 46 93 
377 addClause 99 42 69 
378 addClause 14 111 -9 
379 addClause -41 -103 21 
380 addClause -113 -19 -39 
381 addClause 106 75 -28 
382 addClause 52 94 -26 
383 addClause 71 67 98 
384 addClause 28 -9 -52 
385 addClause -69 -61 1 
386 addClause -6 -27 -12 
387 addClause 34 29 -44 
388 addClause -101 28 -78 
389 addClause 101 57 53 
390 addClause -34 -43 -64 
391 addClause -9 39 -125 
392 addClause 123 -47 58 
393 assuming 35 67 38 -51 -122 -123 -65 -28 93 26 74 89 -114 44 -88 -109 -25 -77 10 -26 109 110 91 87 
