1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : NaturalStaticOrder
199 addClause -91 103 -150 
200 addClause -140 -160 3 
201 addClause -182 144 -116 
202 addClause 41 -59 -23 
203 addClause -54 -175 -135 
204 addClause 71 39 53 
205 addClause -41 -75 -131 
206 addClause -26 64 -130 
207 addClause -171 167 155 
208 addClause 15 55 160 
209 addClause 86 170 -101 
210 addClause 180 147 -185 
211 addClause -83 -2 -94 
212 addClause -169 3 -94 
213 addClause -41 115 -174 
214 addClause -81 -163 86 
215 addClause -104 -164 125 
216 addClause -76 64 62 
217 addClause -1 -14 111 
218 addClause -97 159 -107 
219 addClause 43 37 -39 
220 addClause 175 -154 -103 
221 addClause 168 181 -120 
222 addClause -152 21 -81 
223 addClause -153 83 -18 
224 addClause 52 -9 -184 
225 addClause -26 1 131 
226 addClause 131 -33 -77 
227 addClause 176 114 -99 
228 addClause -20 -52 112 
229 addClause 139 -185 -77 
230 addClause 30 -34 -119 
231 addClause -62 -111 -9 
232 addClause 112 -130 120 
233 addClause 24 -138 -78 
234 addClause 162 -129 92 
235 addClause 140 -37 -13 
236 addClause 37 61 16 
237 addClause -45 -14 -110 
238 addClause -123 84 68 
239 addClause -97 -37 164 
240 addClause -172 49 -126 
241 addClause 73 114 -69 
242 addClause 26 49 -112 
243 addClause 178 -34 -99 
244 addClause -114 -47 98 
245 addClause 33 -110 175 
246 addClause 88 93 80 
247 addClause -62 21 69 
248 addClause -148 175 -109 
249 addClause 112 98 -88 
250 addClause -128 35 165 
251 addClause -65 -152 21 
252 addClause 87 64 184 
253 addClause -47 186 -51 
254 addClause 84 87 44 
255 addClause -59 -41 -174 
256 addClause 183 17 -70 
257 addClause 178 -101 181 
258 addClause -107 -25 -77 
259 addClause 151 -65 -88 
260 addClause -167 -56 -119 
261 addClause -117 21 127 
262 addClause -39 -26 -58 
263 addClause 40 -136 -174 
264 addClause 161 107 24 
265 addClause -3 -60 109 
266 addClause -54 -119 124 
267 addClause -146 -179 -152 
268 addClause 6 67 -16 
269 addClause 101 -1 -57 
270 addClause 31 141 86 
271 addClause 108 44 -87 
272 addClause -164 -65 -97 
273 addClause -119 100 -62 
274 addClause 32 33 171 
275 addClause -138 10 -23 
276 addClause -158 95 37 
277 addClause -97 178 -181 
278 addClause -140 82 77 
279 addClause -130 183 83 
280 addClause -18 148 -136 
281 addClause -106 -17 95 
282 addClause 81 -138 96 
283 addClause 83 93 102 
284 addClause -64 -23 -186 
285 addClause 88 -107 -129 
286 addClause 20 16 104 
287 addClause -54 -156 174 
288 addClause -128 134 140 
289 addClause 112 115 -96 
290 addClause 92 -178 6 
291 addClause -44 -85 37 
292 addClause 74 109 -185 
293 addClause 163 -18 15 
294 addClause -19 -162 -43 
295 addClause 103 -5 165 
296 addClause -99 40 17 
297 addClause -146 -104 -48 
298 addClause 22 127 -1 
299 addClause -129 65 -28 
300 addClause -166 135 185 
301 addClause 37 146 131 
302 addClause 97 -24 59 
303 addClause 156 -177 -83 
304 addClause 16 -13 -165 
305 addClause -21 -59 101 
306 addClause 150 112 -8 
307 addClause -67 -90 -61 
308 addClause 40 122 91 
309 addClause -13 -73 137 
310 addClause 139 20 152 
311 addClause 40 48 -88 
312 addClause -135 86 -184 
313 addClause -187 -90 32 
314 addClause 126 -36 97 
315 addClause -114 -101 186 
316 addClause -7 -166 97 
317 addClause 38 -49 21 
318 addClause 23 -85 -60 
319 addClause 14 -34 -43 
320 addClause 92 -8 105 
321 addClause -183 -59 -29 
322 addClause 139 149 50 
323 addClause 105 94 165 
324 addClause 15 100 122 
325 addClause 132 -43 142 
326 addClause 75 38 -153 
327 addClause -23 -90 -1 
328 addClause 117 -154 138 
329 addClause 133 74 -172 
330 addClause 2 123 -99 
331 addClause 32 -158 182 
332 addClause -57 73 -135 
333 addClause -141 -116 -6 
334 addClause 54 55 176 
335 addClause -136 -158 120 
336 addClause 85 -99 -144 
337 addClause 136 61 -141 
338 addClause -119 -93 28 
339 addClause 100 -38 31 
340 addClause 1 105 143 
341 addClause 105 7 81 
342 addClause -156 121 156 
343 addClause -162 135 102 
344 addClause -76 -183 40 
345 addClause 160 -177 155 
346 addClause -178 -46 -165 
347 addClause -161 -146 -157 
348 addClause -165 166 36 
349 addClause 32 107 6 
350 addClause -168 -78 -118 
351 addClause -97 82 137 
352 addClause -58 177 -27 
353 addClause -164 24 -177 
354 addClause -7 -20 -111 
355 addClause -37 -162 64 
356 addClause 41 114 -141 
357 addClause 94 -90 106 
358 addClause -1 -64 -163 
359 addClause 13 -175 -176 
360 addClause -139 30 96 
361 addClause 174 -99 63 
362 addClause 53 -140 -172 
363 addClause -88 -125 19 
364 addClause -137 49 -113 
365 addClause 75 78 102 
366 addClause -31 -62 -135 
367 addClause 123 150 146 
368 addClause 122 -114 -157 
369 addClause -86 -131 -141 
370 addClause -35 -179 19 
371 addClause -159 -184 -7 
372 addClause -59 95 111 
373 addClause -180 162 -140 
374 addClause -7 2 -141 
375 addClause 76 -31 -93 
376 addClause -10 -83 -46 
377 addClause 93 -51 39 
378 addClause -18 155 184 
379 addClause -109 -49 -164 
380 addClause 99 16 -133 
381 addClause 27 -11 18 
382 addClause 68 120 150 
383 addClause 112 -101 49 
384 addClause -58 92 126 
385 addClause 54 79 125 
386 addClause 120 -89 183 
387 addClause 73 103 -186 
388 addClause 42 -67 -80 
389 addClause -2 90 180 
390 addClause -131 -130 2 
391 addClause -11 60 -13 
392 addClause 40 141 -39 
393 addClause -79 57 70 
394 addClause -92 -160 -112 
395 addClause -6 91 -146 
396 addClause 183 161 -41 
397 addClause 34 147 -76 
398 addClause 14 90 -33 
399 addClause -96 -110 118 
400 addClause 4 -120 -80 
401 addClause -134 181 123 
402 addClause 170 136 178 
403 addClause 42 -98 174 
404 addClause -164 -89 26 
405 addClause -153 -12 -49 
406 addClause -120 -20 -19 
407 addClause 44 -5 -29 
408 addClause 16 -95 -64 
409 addClause 63 -94 -144 
410 addClause -78 -44 -80 
411 addClause 168 -156 72 
412 addClause -155 -112 147 
413 addClause -27 -82 15 
414 addClause 67 14 104 
415 addClause 142 -96 -37 
416 addClause 46 152 95 
417 addClause 158 75 168 
418 addClause 79 44 -93 
419 addClause 27 127 163 
420 addClause 185 -10 -129 
421 addClause 144 -94 26 
422 addClause 10 28 -69 
423 addClause 159 -21 6 
424 addClause 4 -15 183 
425 addClause -82 65 -57 
426 addClause -56 -50 75 
427 addClause 142 5 -11 
428 addClause 64 -35 56 
429 addClause 122 -111 118 
430 addClause -185 -81 15 
431 addClause 84 -10 -25 
432 addClause 20 93 -85 
433 addClause -177 -43 -71 
434 addClause -169 101 -170 
435 addClause 116 153 169 
436 addClause 90 -45 -115 
437 addClause -147 44 62 
438 addClause 15 66 101 
439 addClause -52 19 72 
440 addClause 33 -40 -35 
441 addClause -156 -146 68 
442 addClause -28 -137 -93 
443 addClause -53 -47 -89 
444 addClause 108 43 -123 
445 addClause 57 -59 -126 
446 addClause 55 101 -94 
447 addClause -108 -143 144 
448 addClause -42 -163 20 
449 addClause 73 -82 -144 
450 addClause -178 -133 153 
451 addClause -26 180 -29 
452 addClause 144 45 -178 
453 addClause 131 -140 -25 
454 addClause 58 -30 -177 
455 addClause 137 180 -157 
456 addClause 10 96 21 
457 addClause -71 127 170 
458 addClause 134 -156 -77 
459 addClause 19 -152 -9 
460 addClause -98 95 -4 
461 addClause 80 44 -37 
462 addClause 173 84 -171 
463 addClause 120 -123 -76 
464 addClause -88 3 -166 
465 addClause -128 168 -143 
466 addClause -29 28 151 
467 addClause 113 25 31 
468 addClause 98 -70 -38 
469 addClause 36 137 -55 
470 addClause -21 86 -35 
471 addClause -109 -103 -116 
472 addClause -19 53 -83 
473 addClause -44 -137 131 
474 addClause -78 21 154 
475 addClause -43 85 105 
476 addClause -73 26 -88 
477 addClause 181 -107 -32 
478 addClause 182 -89 -45 
479 addClause -3 -66 88 
480 addClause 175 -6 158 
481 addClause -123 103 -137 
482 addClause 138 -14 27 
483 addClause -107 -103 -127 
484 addClause 28 -35 -20 
485 addClause 106 181 137 
486 addClause -25 -6 143 
487 addClause -109 -20 -145 
488 addClause -70 -42 150 
489 addClause 84 62 42 
490 addClause 131 40 39 
491 addClause 85 37 -130 
492 addClause 72 90 5 
493 addClause 122 -43 100 
494 addClause -13 97 185 
495 addClause -73 -183 89 
496 addClause -177 -132 -110 
497 addClause 76 64 -104 
498 addClause 139 -36 -32 
499 addClause -11 -161 162 
500 addClause 78 -143 -103 
501 addClause -181 157 -129 
502 addClause -13 102 -91 
503 addClause -66 -68 114 
504 addClause 77 -28 -103 
505 addClause 50 158 -111 
506 addClause -99 -170 148 
507 addClause 163 -121 74 
508 addClause 29 -15 122 
509 addClause 24 -167 -187 
510 addClause 6 76 -6 
511 addClause 32 167 116 
512 addClause -115 -11 -185 
513 addClause -108 135 -93 
514 addClause 154 42 160 
515 addClause 164 136 133 
516 addClause -64 -149 -129 
517 addClause -24 162 -67 
518 addClause -151 15 138 
519 addClause -80 100 151 
520 addClause -75 -97 -176 
521 addClause -183 -51 -171 
522 addClause 34 147 33 
523 addClause 70 -101 -52 
524 addClause 151 -42 -140 
525 addClause 147 160 -179 
526 addClause 161 -39 -26 
527 addClause 47 165 -43 
528 addClause 121 -90 -70 
529 addClause 46 125 121 
530 addClause 173 108 110 
531 addClause -105 -118 9 
532 addClause -164 122 130 
533 addClause -184 -9 9 
534 addClause -143 -8 -49 
535 addClause -8 -48 -25 
536 addClause -155 -153 33 
537 addClause 104 -83 159 
538 addClause 129 157 -177 
539 addClause -85 15 -161 
540 addClause 139 -89 -51 
541 addClause -7 -165 38 
542 addClause 74 -45 -114 
543 addClause 90 -5 9 
544 addClause 21 -99 71 
545 addClause -15 -71 -145 
546 addClause 156 -30 89 
547 addClause -128 -35 -169 
548 addClause -161 156 75 
549 addClause 33 -148 131 
550 addClause 171 10 6 
551 addClause 150 -9 59 
552 addClause 42 -167 96 
553 addClause 12 50 -61 
554 addClause 29 67 15 
555 addClause 76 -184 -16 
556 addClause -12 -90 -5 
557 addClause -155 129 5 
558 addClause 94 -51 -90 
559 addClause 116 43 -11 
560 addClause 51 -159 -22 
561 addClause 106 12 108 
562 addClause -185 -5 147 
563 addClause -67 -66 -18 
564 addClause -103 -47 33 
565 addClause 95 61 160 
566 addClause -138 -125 -16 
567 addClause -154 108 -119 
568 addClause 94 21 93 
569 addClause -59 -119 -133 
570 addClause 1 151 -74 
571 solve
572 addClause 136 64 81 
573 addClause 121 -82 242 
574 addClause -275 -95 58 
575 addClause -357 194 271 
576 addClause -76 241 325 
577 addClause -4 -122 -37 
578 addClause 15 -349 -283 
579 addClause 128 73 231 
580 addClause -178 -115 27 
581 addClause -82 282 -352 
582 addClause -180 50 309 
583 addClause -135 -165 -266 
584 addClause -290 4 83 
585 addClause 317 121 -291 
586 addClause 86 -361 -158 
587 addClause -120 129 -133 
588 addClause -362 272 188 
589 addClause 126 -33 213 
590 addClause -354 -358 86 
591 addClause 233 -268 -2 
592 addClause 264 339 2 
593 addClause -265 246 342 
594 addClause -191 298 -218 
595 addClause -225 -276 234 
596 addClause -203 -167 -29 
597 addClause 161 -273 -168 
598 addClause -184 -281 97 
599 addClause -249 174 -149 
600 addClause -94 94 278 
601 addClause -327 -97 -34 
602 addClause -293 -181 179 
603 addClause 344 269 -122 
604 addClause 79 2 59 
605 addClause 365 360 34 
606 addClause 161 -122 355 
607 addClause -21 46 -227 
608 addClause 5 -202 -98 
609 addClause 118 59 -19 
610 addClause 341 -49 314 
611 addClause 141 -107 -7 
612 addClause -288 26 150 
613 addClause -286 -142 164 
614 addClause -124 173 -15 
615 addClause 45 -127 127 
616 addClause -342 -135 -340 
617 addClause -344 212 348 
618 addClause -221 -355 73 
619 addClause -219 30 267 
620 addClause -309 -95 173 
621 addClause -91 134 352 
622 addClause 232 58 299 
623 addClause -309 17 -307 
624 addClause -33 275 -360 
625 addClause -76 125 353 
626 addClause 305 64 -54 
627 addClause -250 144 -40 
628 addClause 8 285 82 
629 addClause -232 361 291 
630 addClause 203 89 -10 
631 addClause 301 314 -211 
632 addClause 250 -369 98 
633 addClause 202 -60 356 
634 addClause 10 -356 252 
635 addClause 220 -245 162 
636 addClause -19 267 -290 
637 addClause 54 249 -105 
638 addClause 261 25 176 
639 addClause 93 -207 340 
640 addClause -347 189 -100 
641 addClause -22 336 -362 
642 addClause -280 -113 -198 
643 addClause 168 202 362 
644 addClause 69 -36 59 
645 addClause -109 252 17 
646 addClause 242 -56 190 
647 addClause -335 -50 -210 
648 addClause -62 -78 262 
649 addClause 226 309 -205 
650 addClause -38 -59 -240 
651 addClause -366 346 -163 
652 addClause 214 -340 -54 
653 addClause 85 -248 -109 
654 addClause -334 -225 283 
655 addClause 148 305 100 
656 addClause -291 -164 2 
657 addClause -114 95 -175 
658 addClause -140 220 163 
659 addClause -329 15 -247 
660 addClause -131 -90 -248 
661 addClause 100 304 76 
662 addClause 47 -295 353 
663 addClause 126 -244 -352 
664 addClause 21 -318 117 
665 addClause -22 -193 310 
666 addClause 14 -241 -261 
667 addClause -163 -182 204 
668 addClause 66 256 91 
669 addClause 56 -22 304 
670 addClause -358 350 -199 
671 addClause 327 321 77 
672 addClause 107 35 76 
673 addClause 178 -266 -285 
674 addClause 240 179 -40 
675 addClause -167 -201 -185 
676 addClause 204 -175 136 
677 addClause 217 -86 170 
678 addClause 93 -72 -357 
679 addClause 290 12 283 
680 addClause -207 -122 20 
681 addClause 90 74 -369 
682 addClause 291 -342 -316 
683 addClause 303 -116 -114 
684 addClause 311 305 -302 
685 addClause 156 -224 -233 
686 addClause 342 -240 -142 
687 addClause 235 133 -324 
688 addClause -285 71 83 
689 addClause -218 349 -138 
690 addClause -100 115 20 
691 addClause -214 -257 -230 
692 addClause -321 147 118 
693 addClause 242 249 -332 
694 addClause -320 -322 43 
695 addClause -38 -341 -148 
696 addClause -213 123 -114 
697 addClause -368 -58 -193 
698 addClause -249 324 -162 
699 addClause -340 -97 -110 
700 addClause 240 -284 -229 
701 addClause -344 -8 -222 
702 addClause 238 188 -301 
703 addClause -328 104 -186 
704 addClause 58 318 231 
705 addClause 241 -35 165 
706 addClause 279 197 310 
707 addClause 3 -87 -38 
708 addClause -285 -29 -270 
709 addClause -100 89 269 
710 addClause -152 201 -318 
711 addClause -354 320 74 
712 addClause 190 -253 -187 
713 addClause -283 48 235 
714 addClause -2 -356 300 
715 addClause 163 -55 269 
716 addClause -353 -116 223 
717 addClause 237 280 14 
718 addClause 64 120 103 
719 addClause 282 336 -18 
720 addClause -355 160 351 
721 addClause -67 -253 -311 
722 addClause 253 307 79 
723 addClause 332 -147 310 
724 addClause -292 95 36 
725 addClause 154 121 -254 
726 addClause -271 65 -362 
727 addClause 145 -306 -163 
728 addClause -307 -189 -359 
729 addClause 334 -285 -89 
730 addClause -192 -220 -88 
731 addClause -225 -337 243 
732 addClause -267 -149 306 
733 addClause 291 321 -105 
734 addClause 201 287 216 
735 addClause 245 283 103 
736 addClause -99 -72 -63 
737 addClause -239 13 57 
738 addClause 335 329 -111 
739 addClause 294 25 -169 
740 addClause -350 233 140 
741 addClause -85 -248 231 
742 addClause -364 -242 -169 
743 addClause -4 61 327 
744 addClause -108 53 134 
745 addClause -137 -217 114 
746 addClause 148 124 -257 
747 addClause 35 359 -95 
748 addClause -228 -7 -264 
749 addClause -138 -174 165 
750 addClause -256 232 -177 
751 addClause 222 336 -232 
752 addClause -208 -189 292 
753 addClause 37 147 -273 
754 addClause 169 202 30 
755 addClause 86 -252 -332 
756 addClause 70 262 -133 
757 addClause 303 352 353 
758 addClause -35 -194 169 
759 addClause 334 64 -78 
760 addClause 5 -108 -137 
761 addClause 306 -202 359 
762 addClause 169 22 -255 
763 addClause -6 -308 -207 
764 addClause 299 -368 -197 
765 addClause -314 -48 -155 
766 addClause 28 69 -194 
767 addClause 65 -122 306 
768 addClause -195 -101 -106 
769 addClause -96 -206 151 
770 addClause 299 80 -203 
771 addClause -11 325 211 
772 addClause -27 -291 -178 
773 addClause 110 130 83 
774 addClause -367 -206 322 
775 addClause 89 43 139 
776 addClause 103 -177 -86 
777 addClause -125 -306 -156 
778 addClause 32 -173 122 
779 addClause -181 -351 -324 
780 addClause 124 -339 31 
781 addClause -12 -24 -13 
782 addClause -265 75 165 
783 addClause 358 23 30 
784 addClause 120 -205 147 
785 addClause 182 41 -10 
786 addClause -222 291 13 
787 addClause 141 361 -316 
788 addClause -63 21 -175 
789 addClause 302 236 -79 
790 addClause 89 229 -21 
791 addClause 368 181 -86 
792 addClause 226 -149 -235 
793 addClause -265 -14 -214 
794 addClause 345 -147 -137 
795 addClause -306 -28 180 
796 addClause -67 -299 239 
797 addClause -32 287 -245 
798 addClause 65 299 287 
799 addClause -205 -28 335 
800 addClause -40 273 -69 
801 addClause 44 -323 -369 
802 addClause 341 235 -274 
803 addClause 288 -248 -305 
804 addClause 333 244 294 
805 addClause -94 -249 89 
806 addClause -158 118 -322 
807 addClause -26 -356 222 
808 addClause 50 -334 66 
809 addClause 64 -109 153 
810 addClause -179 318 45 
811 addClause 361 -76 -184 
812 addClause -306 121 204 
813 addClause 305 307 26 
814 addClause -92 54 169 
815 addClause -224 324 48 
816 addClause -264 -245 -334 
817 addClause -136 266 134 
818 addClause 51 305 -66 
819 addClause -154 -199 64 
820 addClause -109 86 -188 
821 addClause 93 65 -82 
822 addClause 350 -52 157 
823 addClause 231 -153 -62 
824 addClause -110 279 -26 
825 addClause -330 356 -137 
826 addClause -204 -359 -157 
827 addClause -132 -15 -237 
828 addClause 308 -345 -236 
829 addClause 299 -145 -95 
830 addClause -355 164 -98 
831 addClause -146 15 -20 
832 addClause 53 298 -130 
833 addClause 257 261 275 
834 addClause -338 -128 129 
835 addClause -45 343 -368 
836 addClause -334 -83 200 
837 addClause -165 -257 -192 
838 addClause -47 129 -164 
839 addClause 309 -146 -292 
840 addClause -93 -149 -196 
841 addClause 315 195 263 
842 addClause 202 35 131 
843 addClause 314 -188 -70 
844 addClause -52 122 -105 
845 addClause -357 295 -138 
846 addClause 157 -62 146 
847 addClause -100 -252 -180 
848 addClause 217 -236 355 
849 addClause 113 98 -281 
850 addClause 136 -266 -94 
851 addClause 298 -351 164 
852 addClause -332 -246 91 
853 addClause 216 145 357 
854 addClause 341 -24 236 
855 addClause 40 -150 -161 
856 addClause 73 140 59 
857 addClause -251 115 161 
858 addClause -89 172 196 
859 addClause 249 128 151 
860 addClause -213 -317 -78 
861 addClause 157 245 232 
862 addClause 151 -112 -107 
863 addClause -187 -163 101 
864 addClause -156 29 130 
865 addClause 110 160 137 
866 addClause -170 356 -338 
867 addClause 116 -132 139 
868 addClause -262 43 -277 
869 addClause 165 -138 45 
870 addClause 124 266 137 
871 addClause -80 228 -255 
872 addClause -32 215 296 
873 addClause -324 58 -278 
874 addClause 106 302 -149 
875 addClause -217 -290 279 
876 addClause 68 -360 111 
877 addClause -157 -245 -79 
878 addClause -79 307 -213 
879 addClause 38 -261 135 
880 addClause -258 19 -122 
881 addClause -268 215 -299 
882 addClause -28 125 284 
883 addClause 108 51 5 
884 addClause -65 -188 21 
885 addClause -69 258 169 
886 addClause 294 206 216 
887 addClause -322 -49 -172 
888 addClause -96 19 -357 
889 addClause -355 -119 -344 
890 addClause 61 179 121 
891 addClause 90 -329 -282 
892 addClause 364 323 -276 
893 addClause -363 284 -303 
894 addClause -91 256 -353 
895 addClause 200 -140 -222 
896 addClause 166 347 204 
897 addClause 144 218 185 
898 addClause 111 -204 48 
899 addClause 198 24 104 
900 addClause -348 83 155 
901 addClause -202 147 34 
902 addClause -1 -303 -236 
903 addClause -207 -141 -314 
904 addClause 63 -181 -128 
905 addClause -331 -308 -334 
906 addClause 147 -279 332 
907 addClause 15 -34 147 
908 addClause -48 117 -339 
909 addClause 154 330 6 
910 addClause 42 -49 -356 
911 addClause -60 123 -274 
912 addClause 189 254 -47 
913 addClause 326 -261 -144 
914 addClause -77 181 -166 
915 addClause -179 179 -175 
916 addClause 364 106 -75 
917 addClause -347 -351 273 
918 addClause 363 288 -154 
919 addClause 15 -3 -362 
920 addClause 311 -139 190 
921 addClause -187 135 -12 
922 addClause -195 238 -359 
923 addClause 216 -86 114 
924 addClause 340 -278 -190 
925 addClause 64 353 -111 
926 addClause 141 -168 -361 
927 addClause 367 -66 368 
928 addClause -364 -197 23 
929 addClause 227 -332 -81 
930 addClause 286 77 -322 
931 addClause 279 -33 289 
932 addClause 99 -271 -62 
933 addClause -44 180 -12 
934 addClause 334 -50 165 
935 addClause 323 83 314 
936 addClause 355 -137 138 
937 addClause -35 218 345 
938 addClause -340 -231 222 
939 addClause 58 332 -279 
940 addClause 213 98 -240 
941 addClause -246 220 263 
942 addClause -176 -82 -244 
943 addClause 309 -181 -197 
944 addClause -280 -238 336 
945 addClause 337 -204 303 
946 addClause -150 242 95 
947 addClause 34 -11 -174 
948 addClause 109 -121 189 
949 addClause 272 -65 263 
950 addClause -134 42 -105 
951 addClause -364 321 -67 
952 addClause -39 -349 -210 
953 addClause 249 -103 -95 
954 addClause 136 243 -221 
955 addClause 88 47 120 
956 addClause -115 -352 177 
957 addClause 78 -29 7 
958 addClause 321 54 148 
959 addClause -299 10 46 
960 addClause 22 -30 178 
961 addClause 265 -24 -157 
962 addClause 334 -306 134 
963 addClause 50 99 -129 
964 addClause -124 168 106 
965 addClause -7 -80 42 
966 addClause -76 36 -290 
967 addClause -358 225 -162 
968 addClause -172 288 -350 
969 addClause 258 -91 -35 
970 addClause 85 -291 74 
971 addClause -303 -119 305 
972 addClause -149 40 349 
973 addClause 211 -230 -33 
974 addClause -204 -303 73 
975 addClause 220 -150 -357 
976 addClause 45 17 165 
977 addClause 293 -161 283 
978 addClause -97 126 -366 
979 addClause 358 297 -143 
980 addClause -110 190 -10 
981 addClause -149 -176 -150 
982 addClause 218 273 11 
983 addClause -337 -116 210 
984 addClause 117 258 153 
985 addClause 179 -227 77 
986 addClause 275 -283 -335 
987 addClause -258 -303 272 
988 addClause 319 292 -16 
989 addClause -58 -100 218 
990 addClause -239 -116 -291 
