1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
4 Restart Strategy : ArminRestarts
324 addClause 147 -142 106 
325 addClause 193 -126 -122 
326 addClause -128 -100 59 
327 addClause 169 45 -73 
328 addClause 81 53 -80 
329 addClause 102 -136 -55 
330 addClause 2 -150 129 
331 addClause 148 -11 -141 
332 addClause 7 20 118 
333 addClause -201 151 185 
334 addClause 128 169 199 
335 addClause -172 58 -17 
336 addClause 93 -55 116 
337 addClause 58 88 184 
338 addClause -195 -136 -91 
339 addClause 41 -55 157 
340 addClause -60 183 158 
341 addClause 17 -95 120 
342 addClause -187 73 114 
343 addClause 200 -183 -78 
344 addClause -125 -126 -133 
345 addClause -155 -199 100 
346 addClause 78 -136 -126 
347 addClause 44 -10 67 
348 addClause -62 71 99 
349 addClause -146 -40 91 
350 addClause 42 188 -74 
351 addClause 186 80 -197 
352 addClause 127 -178 -69 
353 addClause 42 -12 -28 
354 addClause 138 25 41 
355 addClause -195 80 -92 
356 addClause 130 11 -54 
357 addClause -186 -51 64 
358 addClause -93 89 -133 
359 addClause -28 16 -121 
360 addClause -113 162 -167 
361 addClause -109 -4 -10 
362 addClause 175 -61 -96 
363 addClause 138 -18 -158 
364 addClause 74 3 -46 
365 addClause -153 -135 6 
366 addClause 121 -44 10 
367 addClause 76 139 12 
368 addClause -121 103 -109 
369 addClause -192 115 91 
370 addClause 84 -87 -74 
371 addClause -114 -108 10 
372 addClause -153 101 148 
373 addClause 52 -147 143 
374 addClause -149 -70 -71 
375 addClause 71 -82 134 
376 addClause 123 -194 190 
377 addClause 98 8 -38 
378 addClause 38 165 -12 
379 addClause -45 8 -42 
380 addClause 2 -63 17 
381 addClause 84 64 -201 
382 addClause -123 119 -119 
383 addClause -93 101 191 
384 addClause 62 -62 -151 
385 addClause -122 -66 179 
386 addClause -110 -139 -62 
387 addClause 104 -63 -36 
388 addClause 3 -70 -186 
389 addClause -25 115 -121 
390 addClause 139 34 156 
391 addClause 193 -103 159 
392 addClause 169 -180 -99 
393 addClause -21 191 21 
394 addClause -182 -181 -20 
395 addClause 187 -38 -21 
396 addClause -109 -152 159 
397 addClause 146 -97 -126 
398 addClause -152 96 149 
399 addClause 11 140 159 
400 addClause -191 -138 88 
401 addClause -8 -15 175 
402 addClause 120 -105 10 
403 addClause -13 164 -17 
404 addClause -2 82 -31 
405 addClause -46 111 82 
406 addClause 20 -65 -155 
407 addClause -151 168 -98 
408 addClause 193 -101 31 
409 addClause -196 -59 -199 
410 addClause -114 -196 -107 
411 addClause 50 -170 -96 
412 addClause -35 -60 -44 
413 addClause -128 -37 -109 
414 addClause 70 -130 -168 
415 addClause 199 -36 -51 
416 addClause 34 163 -128 
417 addClause 56 48 67 
418 addClause 125 -136 -167 
419 addClause -142 80 -138 
420 addClause -9 -39 -82 
421 addClause 164 -56 97 
422 addClause -77 22 109 
423 addClause 51 -133 101 
424 addClause -181 167 -170 
425 addClause 60 83 10 
426 addClause -150 -189 61 
427 addClause 190 -167 45 
428 addClause -36 161 -81 
429 addClause -183 150 116 
430 addClause -63 -47 -17 
431 addClause 118 63 148 
432 addClause -35 96 -11 
433 addClause -153 -149 41 
434 addClause 96 -169 -2 
435 addClause -132 133 -63 
436 addClause -75 78 -161 
437 addClause -154 121 -114 
438 addClause -142 162 93 
439 addClause 127 104 197 
440 addClause 49 54 -37 
441 addClause -63 6 -171 
442 addClause 190 -125 165 
443 addClause -141 -75 -47 
444 addClause 144 -115 -144 
445 addClause 105 -10 59 
446 addClause -141 -67 -112 
447 addClause -187 56 -121 
448 addClause 198 157 -114 
449 addClause -121 139 26 
450 addClause -34 83 -111 
451 addClause -78 -86 191 
452 addClause 154 81 50 
453 addClause 51 -120 -198 
454 addClause -174 -30 32 
455 addClause 167 -103 12 
456 addClause -136 -178 -96 
457 addClause 189 -113 -141 
458 addClause -84 189 47 
459 addClause -134 -194 116 
460 addClause 199 41 -95 
461 addClause -156 -25 -79 
462 addClause -50 133 -196 
463 addClause 42 199 189 
464 addClause 85 -115 106 
465 addClause 85 179 -156 
466 addClause -119 -36 98 
467 addClause 114 -64 119 
468 addClause 153 -196 -109 
469 addClause -179 -135 -8 
470 addClause -162 -86 -57 
471 addClause -156 55 -168 
472 addClause -61 71 150 
473 addClause -127 -160 113 
474 addClause -67 32 176 
475 addClause -184 -73 114 
476 addClause 142 100 44 
477 addClause 9 -8 -145 
478 addClause 78 149 -108 
479 addClause -67 109 -117 
480 addClause 99 120 66 
481 addClause -88 -52 144 
482 addClause 2 90 76 
483 addClause 28 39 106 
484 addClause -198 117 -64 
485 addClause 114 -50 71 
486 addClause 42 -151 -37 
487 addClause 9 -56 -142 
488 addClause -187 -131 139 
489 addClause 74 -165 -2 
490 addClause 127 -129 -82 
491 addClause 178 -15 -139 
492 addClause 75 101 145 
493 addClause 159 174 -64 
494 addClause 189 -188 -26 
495 addClause -174 -7 172 
496 addClause -37 174 171 
497 addClause -73 -140 -183 
498 addClause -129 -60 94 
499 addClause -165 -201 -106 
500 addClause -98 41 -120 
501 addClause 32 -55 -97 
502 addClause 100 -113 26 
503 addClause 25 53 159 
504 addClause -74 42 160 
505 addClause -117 -87 -187 
506 addClause 200 137 118 
507 addClause -156 78 70 
508 addClause -113 -12 -140 
509 addClause 90 38 -41 
510 addClause -130 1 20 
511 addClause -107 -80 -17 
512 addClause -19 13 27 
513 addClause -51 -145 51 
514 addClause 49 -3 4 
515 addClause -100 71 -11 
516 addClause -118 167 178 
517 addClause 171 167 -162 
518 addClause 44 81 -143 
519 addClause 191 -55 -186 
520 addClause 28 -25 -33 
521 addClause -13 171 8 
522 addClause -37 145 -131 
523 addClause -2 160 -12 
524 addClause -164 -43 -30 
525 addClause 51 -15 40 
526 addClause -87 15 120 
527 addClause -56 -169 79 
528 addClause -51 -40 -68 
529 addClause 183 108 145 
530 addClause 37 -26 -47 
531 addClause -173 89 -138 
532 addClause -191 47 65 
533 addClause 6 138 117 
534 addClause 78 -46 -162 
535 addClause -67 102 99 
536 addClause -4 29 79 
537 addClause -20 171 -130 
538 addClause -121 174 -117 
539 addClause -140 30 35 
540 addClause 2 149 142 
541 addClause 177 132 -50 
542 addClause -90 45 -65 
543 addClause 85 77 -116 
544 addClause -174 -185 -63 
545 addClause -2 -55 -30 
546 addClause 92 -190 22 
547 addClause 43 195 -22 
548 addClause 183 -75 160 
549 addClause -61 -195 26 
550 addClause -138 71 -94 
551 addClause -137 119 59 
552 addClause 47 112 145 
553 addClause -64 60 -134 
554 addClause -6 38 -8 
555 addClause -155 140 -125 
556 addClause -25 -26 157 
557 addClause 57 104 126 
558 addClause -56 71 45 
559 addClause 70 47 -189 
560 addClause -44 45 76 
561 addClause -19 -40 164 
562 addClause 92 -55 -137 
563 addClause 197 -96 143 
564 addClause 24 171 5 
565 addClause 80 -153 191 
566 addClause 26 154 168 
567 addClause -6 -44 181 
568 addClause 178 -159 -39 
569 addClause -197 -13 -71 
570 addClause 82 -181 -3 
571 addClause 135 -195 -118 
572 addClause -45 198 124 
573 addClause -68 99 78 
574 addClause -197 -29 -74 
575 addClause -29 17 26 
576 addClause 187 -62 -131 
577 addClause 179 -71 -1 
578 addClause -47 177 -67 
579 addClause 154 -170 -190 
580 addClause 62 -148 -202 
581 addClause 139 132 -40 
582 addClause -152 -38 -116 
583 addClause -138 -54 168 
584 addClause 181 154 -114 
585 addClause -36 199 -80 
586 addClause -6 185 122 
587 addClause 86 -165 171 
588 addClause 106 -63 26 
589 addClause 130 -76 28 
590 addClause 83 -84 -119 
591 addClause 173 -34 52 
592 addClause -93 -174 31 
593 addClause -118 92 89 
594 addClause -173 -16 100 
595 addClause 9 177 160 
596 addClause 75 -167 -65 
597 addClause -200 163 -13 
598 addClause 153 -85 -93 
599 addClause 190 -148 -137 
600 addClause -79 -76 49 
601 addClause 51 75 -37 
602 addClause -63 -129 -38 
603 addClause -74 -11 -130 
604 addClause 176 -167 103 
605 addClause -148 -149 67 
606 addClause 119 42 -141 
607 addClause 133 84 192 
608 addClause 1 -61 143 
609 addClause 121 -69 105 
610 addClause -141 6 15 
611 addClause 105 40 133 
612 addClause 107 -183 -127 
613 addClause 28 160 1 
614 addClause 184 35 -132 
615 addClause 22 81 -141 
616 addClause -2 -32 200 
617 solve
618 newVar 156
619 addClause -220 346 1 
620 addClause -9 -77 9 
621 addClause 58 186 -244 
622 addClause -16 154 -174 
623 addClause 152 267 -24 
624 addClause -198 -74 -334 
625 addClause -108 -9 8 
626 addClause -290 -245 305 
627 addClause -297 -5 166 
628 addClause 137 -223 -195 
629 addClause -200 -358 -142 
630 addClause 25 -138 -321 
631 addClause 295 -282 -212 
632 addClause -210 310 -186 
633 addClause 210 -309 134 
634 addClause -293 -135 -16 
635 addClause -116 332 -128 
636 addClause -3 -312 157 
637 addClause -213 183 22 
638 addClause -230 47 330 
639 addClause -28 165 220 
640 addClause 249 344 98 
641 addClause -82 87 260 
642 addClause -296 335 -272 
643 addClause 302 90 -41 
644 addClause 65 259 -240 
645 addClause -196 97 -104 
646 addClause 61 -287 312 
647 addClause 167 -177 -50 
648 addClause 274 -352 -167 
649 addClause 109 -174 335 
650 addClause -232 -113 -79 
651 addClause -149 -28 -158 
652 addClause 35 -110 103 
653 addClause 155 -351 -316 
654 addClause 150 261 -192 
655 addClause 314 -313 280 
656 addClause 301 -50 130 
657 addClause 137 -230 -183 
658 addClause -45 111 30 
659 addClause -266 18 -21 
660 addClause 113 -45 343 
661 addClause -263 123 326 
662 addClause -15 -150 -72 
663 addClause 77 22 23 
664 addClause -212 -1 224 
665 addClause -244 241 111 
666 addClause 43 106 -151 
667 addClause -273 -280 -134 
668 addClause 162 -254 -298 
669 addClause -26 -302 -141 
670 addClause 347 -329 36 
671 addClause 90 5 211 
672 addClause -357 -126 -88 
673 addClause -286 204 349 
674 addClause 325 275 254 
675 addClause 47 -259 -145 
676 addClause 206 201 265 
677 addClause 40 -35 87 
678 addClause -295 -111 -112 
679 addClause 338 -122 -12 
680 addClause -217 -252 61 
681 addClause 299 202 -339 
682 addClause -325 327 184 
683 addClause 154 128 17 
684 addClause -347 29 -243 
685 addClause 307 -89 105 
686 addClause -3 71 -275 
687 addClause 202 199 -192 
688 addClause 37 -171 -302 
689 addClause 78 -164 117 
690 addClause 142 48 129 
691 addClause 120 -48 -124 
692 addClause 271 1 132 
693 addClause 123 147 275 
694 addClause 319 37 -83 
695 addClause 139 -103 -197 
696 addClause -349 21 -284 
697 addClause -268 189 269 
698 addClause -16 161 56 
699 addClause 102 302 333 
700 addClause 59 -233 352 
701 addClause -182 299 -20 
702 addClause -104 149 -281 
703 addClause 220 -159 247 
704 addClause -16 -191 347 
705 addClause -356 -178 -322 
706 addClause 265 232 117 
707 addClause 118 -162 193 
708 addClause -322 -50 229 
709 addClause 212 223 37 
710 addClause 283 -283 163 
711 addClause 96 80 -58 
712 addClause 318 315 45 
713 addClause 233 -294 -209 
714 addClause 249 -3 174 
715 addClause 198 -239 -154 
716 addClause -140 -54 -46 
717 addClause -331 -343 293 
718 addClause 267 68 -68 
719 addClause -159 305 -284 
720 addClause 26 -198 -316 
721 addClause 312 102 88 
722 addClause 202 -255 94 
723 addClause 150 -153 -329 
724 addClause 100 7 32 
725 addClause -177 38 141 
726 addClause 198 329 305 
727 addClause -353 167 315 
728 addClause 313 117 -113 
729 addClause 235 240 -350 
730 addClause 349 301 56 
731 addClause 243 -107 236 
732 addClause 63 -113 98 
733 addClause 246 -119 -358 
734 addClause 192 -170 -258 
735 addClause 163 229 -113 
736 addClause -252 -184 39 
737 addClause -62 314 53 
738 addClause 184 331 -233 
739 addClause -278 -101 -172 
740 addClause -125 95 70 
741 addClause 141 309 -79 
742 addClause 110 49 -309 
743 addClause 185 -45 -309 
744 addClause 317 -56 54 
745 addClause -222 -47 241 
746 addClause 202 -1 -56 
747 addClause 254 -152 -3 
748 addClause 331 -302 196 
749 addClause 42 -137 104 
750 addClause -242 -306 -150 
751 addClause -181 -81 119 
752 addClause -127 -31 119 
753 addClause 50 321 -5 
754 addClause 44 -12 -166 
755 addClause -61 178 105 
756 addClause 322 169 7 
757 addClause -245 97 -264 
758 addClause 97 29 -230 
759 addClause -220 -289 -253 
760 addClause 220 -275 -295 
761 addClause -311 31 -356 
762 addClause 97 -282 -138 
763 addClause -110 -202 54 
764 addClause 349 -157 -358 
765 addClause 309 -273 -44 
766 addClause 337 -283 -253 
767 addClause -264 -30 344 
768 addClause -191 345 -321 
769 addClause -66 289 -317 
770 addClause 25 173 63 
771 addClause 183 1 354 
772 addClause 165 -106 -251 
773 addClause 181 258 -67 
774 addClause -260 -231 60 
775 addClause 245 281 182 
776 addClause 26 116 -21 
777 addClause 100 -344 42 
778 addClause 310 -51 151 
779 addClause 331 -47 -88 
780 addClause -256 -346 154 
781 addClause 133 313 -81 
782 addClause -2 -135 -207 
783 addClause 253 250 -310 
784 addClause 338 -238 -201 
785 addClause 287 337 -251 
786 addClause -63 -90 -191 
787 addClause -77 -176 -356 
788 addClause -301 -180 356 
789 addClause -109 166 -16 
790 addClause -336 -49 308 
791 addClause -211 -123 -126 
792 addClause -22 -206 -24 
793 addClause 330 -270 86 
794 addClause -150 -335 182 
795 addClause 165 -167 -155 
796 addClause 180 -32 101 
797 addClause -338 -291 -63 
798 addClause 265 11 -333 
799 addClause -307 143 -147 
800 addClause -208 -7 -94 
801 addClause 68 -20 148 
802 addClause 135 93 -257 
803 addClause -205 120 101 
804 addClause -212 12 -170 
805 addClause -145 -162 -179 
806 addClause 113 197 194 
807 addClause 169 142 -151 
808 addClause 262 -223 -224 
809 addClause 291 -235 -3 
810 addClause 220 -8 -189 
811 addClause -246 188 -195 
812 addClause 140 132 236 
813 addClause -194 174 -279 
814 addClause 129 -186 328 
815 addClause 143 -203 271 
816 addClause 34 88 -77 
817 addClause 224 330 36 
818 addClause -161 -168 -220 
819 addClause -295 319 251 
820 addClause -173 -32 -181 
821 addClause 351 329 163 
822 addClause 127 159 105 
823 addClause 203 187 288 
824 addClause 308 155 74 
825 addClause 125 45 -16 
826 addClause -124 -198 -330 
827 addClause 312 -197 -121 
828 addClause 257 138 162 
829 addClause -266 -197 -193 
830 addClause -43 94 -312 
831 addClause -125 352 231 
832 addClause -260 -153 34 
833 addClause 119 175 -200 
834 addClause 229 -233 -228 
835 addClause 234 -331 -61 
836 addClause -260 214 -233 
837 addClause 24 -91 238 
838 addClause -58 300 -194 
839 addClause -354 180 292 
840 addClause -185 -60 -142 
841 addClause 154 193 105 
842 addClause -98 127 77 
843 addClause -349 173 -309 
844 addClause -208 40 110 
845 addClause -340 108 254 
846 addClause 306 -318 36 
847 addClause 157 -318 -176 
848 addClause 137 -287 162 
849 addClause -256 -315 164 
850 addClause 336 125 215 
851 addClause -113 -34 -346 
852 addClause 245 -110 -283 
853 addClause -344 80 -349 
854 addClause 128 -304 155 
855 addClause 33 -163 263 
856 addClause -281 226 -105 
857 addClause -189 -163 269 
858 addClause -260 -149 29 
859 addClause 107 261 348 
860 addClause 103 344 -192 
861 addClause -18 73 -326 
862 addClause 74 -22 77 
863 addClause -125 267 -111 
864 addClause -307 339 303 
865 addClause -217 -219 266 
866 addClause 195 111 -156 
867 addClause 295 -55 -145 
868 addClause 348 291 -115 
869 addClause -20 68 338 
870 addClause -326 -290 -209 
871 addClause 55 -111 110 
872 addClause 151 211 -24 
873 addClause 354 216 159 
874 addClause -14 -165 356 
875 addClause 267 -317 290 
876 addClause -336 15 208 
877 addClause -72 -35 198 
878 addClause 249 -156 344 
879 addClause -330 -53 355 
880 addClause -45 -197 85 
881 addClause 32 -266 40 
882 addClause 10 54 3 
883 addClause -313 134 14 
884 addClause 227 18 -193 
885 addClause -271 273 -206 
886 addClause 310 55 -52 
887 addClause -15 191 240 
888 addClause -284 -116 -346 
889 addClause 351 30 346 
890 addClause 120 -118 314 
891 addClause -119 -122 228 
892 addClause -349 -17 160 
893 addClause 306 -33 -34 
894 addClause 79 -166 -292 
895 addClause -68 -91 176 
896 addClause -321 329 230 
897 addClause -64 107 123 
898 addClause 89 240 262 
899 addClause -112 276 153 
900 addClause 73 -132 9 
901 addClause 86 166 -46 
902 addClause 257 280 291 
903 addClause -40 231 -295 
904 addClause 196 136 -273 
905 addClause -19 -214 -90 
906 addClause -283 300 -228 
907 addClause 16 74 -33 
908 addClause 184 -79 -279 
909 addClause 203 -33 -131 
910 addClause 167 -324 265 
911 addClause 219 25 322 
912 addClause 97 -300 -313 
913 addClause 342 -15 -304 
914 addClause -226 151 118 
915 addClause 280 -110 -267 
916 addClause -306 215 -89 
917 addClause -12 62 -89 
918 addClause 278 -101 -80 
919 addClause -89 257 -86 
920 addClause 187 134 -205 
921 addClause 258 -289 207 
922 addClause 145 271 -117 
923 addClause -124 58 -196 
924 addClause 265 26 -257 
925 addClause 177 -355 -189 
926 addClause -76 -219 -162 
927 addClause 327 -310 336 
928 addClause -117 105 -246 
929 addClause 319 293 -278 
930 addClause -281 284 -18 
931 addClause -340 -176 9 
932 addClause 314 -36 57 
933 addClause 124 338 -262 
934 addClause 212 317 132 
935 addClause -1 -49 -241 
936 addClause 221 -147 -138 
937 addClause 13 -326 -61 
938 addClause 119 -195 117 
939 addClause 339 247 -127 
940 addClause -73 1 -237 
941 addClause -85 96 315 
942 addClause 323 163 -241 
943 addClause 211 32 -330 
944 addClause 13 42 80 
945 addClause 140 -155 13 
946 addClause -39 180 126 
947 addClause 262 -206 134 
948 addClause -47 -134 -162 
949 addClause 51 257 313 
950 addClause -301 228 340 
951 addClause 68 26 91 
952 addClause -59 74 326 
953 addClause -82 -291 67 
954 addClause -61 104 -172 
955 addClause 215 -18 -105 
956 addClause -168 230 -257 
957 addClause -228 -124 -251 
958 addClause -110 90 -109 
959 addClause -288 222 173 
960 addClause 215 -213 288 
961 addClause 219 -317 132 
962 addClause 64 -183 -351 
963 addClause 279 167 -128 
964 addClause -196 -20 -286 
965 addClause -272 114 -190 
966 addClause 134 89 278 
967 addClause -343 -163 -295 
968 addClause 311 -29 333 
969 addClause -66 -356 17 
970 addClause 28 40 303 
971 addClause 237 -147 -128 
972 addClause -219 64 -67 
973 addClause 40 -345 256 
974 addClause -315 -112 -147 
975 addClause 87 120 106 
976 addClause -83 299 205 
977 addClause 30 -129 -185 
978 addClause 213 188 290 
979 addClause -304 191 -334 
980 addClause -354 -42 200 
981 addClause 175 49 338 
982 addClause -226 194 -196 
983 addClause -220 -212 253 
984 addClause 149 354 96 
985 addClause -179 -28 31 
986 addClause -62 -277 -205 
987 addClause -34 -183 85 
988 addClause -203 -249 -207 
989 addClause -193 199 348 
990 addClause -308 -194 98 
