1 init
2 Data Structure Factory : ClausalDataStructureWL
3 Order : NaturalStaticOrder
76 addClause 45 -33 -17 
77 addClause -45 5 32 
78 addClause 65 -40 24 
79 addClause 9 17 49 
80 addClause -7 -69 53 
81 addClause -16 29 39 
82 addClause 53 -60 -58 
83 addClause 13 -12 39 
84 addClause -6 -16 46 
85 addClause -44 -59 54 
86 addClause -62 15 63 
87 addClause -40 -38 26 
88 addClause -45 -4 -41 
89 addClause 39 -60 -68 
90 addClause -12 -28 52 
91 addClause 33 -53 13 
92 addClause 33 -22 61 
93 addClause -21 -43 19 
94 addClause 20 25 39 
95 addClause -64 53 -53 
96 addClause 24 57 35 
97 addClause 64 48 52 
98 addClause 45 57 -68 
99 addClause -7 34 50 
100 addClause 65 51 62 
101 addClause -53 -66 6 
102 addClause -69 -22 -49 
103 addClause 7 -19 -16 
104 addClause -48 7 -28 
105 addClause 51 -64 4 
106 addClause 4 65 -15 
107 addClause -15 -65 -8 
108 addClause 11 -57 -38 
109 addClause 15 -33 6 
110 addClause 24 -15 59 
111 addClause 21 36 -66 
112 addClause 39 52 -1 
113 addClause -11 40 11 
114 addClause 59 -7 12 
115 addClause -39 55 6 
116 addClause 53 52 38 
117 addClause -51 6 20 
118 addClause 49 -5 41 
119 addClause -63 -13 5 
120 addClause 6 12 9 
121 addClause -23 -46 69 
122 addClause -60 -35 5 
123 addClause 62 16 59 
124 addClause -65 -33 49 
125 addClause -24 -25 38 
126 addClause -47 -40 56 
127 addClause 43 -42 27 
128 addClause -64 18 52 
129 addClause 8 14 -32 
130 addClause -58 12 -63 
131 addClause -8 -51 30 
132 addClause -64 36 9 
133 addClause -49 17 -59 
134 addClause 8 -5 -60 
135 addClause 59 -44 3 
136 addClause 38 42 -45 
137 addClause 23 37 21 
138 addClause 1 -13 -7 
139 addClause -10 61 -49 
140 addClause -60 -7 8 
141 addClause -37 -67 -32 
142 addClause 27 -34 22 
143 addClause -46 -69 37 
144 addClause 39 35 -27 
145 addClause 45 -56 -8 
146 addClause 38 -56 -8 
147 addClause -4 16 42 
148 addClause 20 4 -37 
149 addClause 57 40 -2 
150 addClause -43 -57 8 
151 addClause -1 52 -25 
152 addClause 10 -51 -43 
153 addClause -2 8 6 
154 addClause -10 8 47 
155 addClause 37 47 -66 
156 addClause 13 5 30 
157 addClause 17 13 22 
158 addClause -39 28 -40 
159 addClause 65 26 37 
160 addClause 27 -28 61 
161 addClause 65 -15 -54 
162 addClause -16 46 -69 
163 addClause 34 4 -39 
164 addClause -58 -43 39 
165 addClause -41 23 -61 
166 addClause -40 -68 8 
167 addClause 39 8 -25 
168 addClause -15 -34 31 
169 addClause -6 -68 4 
170 addClause 40 17 18 
171 addClause -63 33 -10 
172 addClause 18 28 17 
173 addClause 6 48 -9 
174 addClause -14 -50 43 
175 addClause 8 67 -21 
176 addClause -68 34 -14 
177 addClause -30 67 14 
178 addClause -54 29 34 
179 addClause 7 -61 -32 
180 addClause 44 51 35 
181 addClause -22 31 33 
182 addClause -46 -34 3 
183 addClause -68 34 -16 
184 addClause 41 -7 -38 
185 addClause -20 -45 -68 
186 addClause 7 17 -29 
187 addClause 61 -56 -52 
188 addClause 49 -18 50 
189 addClause -17 55 -44 
190 addClause -21 -22 -53 
191 addClause -53 -47 54 
192 addClause -64 -1 -49 
193 addClause -64 -34 39 
194 addClause -34 -35 21 
195 addClause 38 -7 -36 
196 addClause 38 13 -25 
197 addClause -5 43 41 
198 addClause 17 37 -3 
199 addClause -8 -38 -60 
200 addClause 54 -64 -15 
201 addClause -54 -4 24 
202 addClause 29 23 26 
203 addClause -14 38 58 
204 addClause 45 26 60 
205 addClause -48 -62 38 
206 addClause 47 23 18 
207 addClause 29 65 -64 
208 addClause -34 -3 -56 
209 addClause 47 48 17 
210 addClause -9 6 -11 
211 addClause 26 -1 -4 
212 addClause 30 -7 27 
213 addClause -40 -64 12 
214 addClause 3 20 -1 
215 addClause -55 -51 -10 
216 addClause 21 49 17 
217 assuming -60 -31 -49 -22 -7 -27 
218 addClause -35 -26 -55 
219 addClause -14 9 69 
220 addClause 56 -2 -120 
221 addClause -17 -89 10 
222 addClause 30 90 -11 
223 addClause -23 112 77 
224 addClause -1 -12 -44 
225 addClause -74 -82 23 
226 addClause 101 -92 104 
227 addClause 7 50 -58 
228 addClause 14 -3 9 
229 addClause -78 72 25 
230 addClause -86 -30 101 
231 addClause -16 34 37 
232 addClause -71 8 -33 
233 addClause 104 8 -47 
234 addClause 58 7 29 
235 addClause 89 -116 -38 
236 addClause -87 -98 -119 
237 addClause 36 64 116 
238 addClause 95 115 -2 
239 addClause -98 80 -72 
240 addClause -34 -31 -11 
241 addClause 46 -89 88 
242 addClause 19 -94 -5 
243 addClause 24 18 -51 
244 addClause 118 60 -17 
245 addClause 121 93 -59 
246 addClause -17 -6 48 
247 addClause 59 -108 -70 
248 addClause -71 45 -55 
249 addClause -31 11 103 
250 addClause 82 51 19 
251 addClause -66 -7 -28 
252 addClause 95 113 -1 
253 addClause -71 97 -118 
254 addClause -41 101 -9 
255 addClause 5 -58 50 
256 addClause -115 64 61 
257 addClause 43 -38 96 
258 addClause -44 20 -108 
259 addClause -43 87 41 
260 addClause -91 -38 -117 
261 addClause -73 -12 105 
262 addClause 96 120 39 
263 addClause -37 14 91 
264 addClause -6 74 60 
265 addClause -42 -56 -87 
266 addClause -17 -46 42 
267 addClause 82 -89 112 
268 addClause 65 117 -18 
269 addClause -106 -15 -115 
270 addClause -24 -106 -58 
271 addClause -94 50 -34 
272 addClause 107 120 2 
273 addClause -105 38 -85 
274 addClause 3 -64 47 
275 addClause 44 -18 -57 
276 addClause 57 21 -57 
277 addClause -84 -81 30 
278 addClause 108 109 80 
279 addClause -96 -115 -111 
280 addClause 29 -65 -3 
281 addClause -73 116 -1 
282 addClause -63 -56 -86 
283 addClause -17 -87 119 
284 addClause -105 -49 -15 
285 addClause 14 -10 56 
286 addClause -1 -26 -63 
287 addClause -106 -49 82 
288 addClause -70 -63 40 
289 addClause 101 91 -71 
290 addClause 24 -106 -80 
291 addClause -7 -9 -106 
292 addClause 35 -104 18 
293 addClause 121 -34 -45 
294 addClause 23 -27 -71 
295 addClause 74 -46 60 
296 addClause -53 61 -13 
297 addClause -100 -49 -117 
298 addClause -45 118 120 
299 addClause 32 24 -75 
300 addClause -18 96 -60 
301 addClause -15 20 71 
302 addClause 58 -20 54 
303 addClause 35 57 37 
304 addClause 119 25 -105 
305 addClause -76 -23 17 
306 addClause -118 1 -22 
307 addClause 45 62 77 
308 addClause 111 81 -94 
309 addClause 119 -119 81 
310 addClause -35 80 63 
311 addClause -84 25 -54 
312 addClause -1 22 114 
313 addClause -76 -4 -75 
314 addClause -71 -73 -55 
315 addClause 40 29 -80 
316 addClause 21 -89 93 
317 addClause -113 23 -100 
318 addClause -64 24 74 
319 addClause -16 84 60 
320 addClause -91 62 -119 
321 addClause 98 76 66 
322 addClause -122 -27 110 
323 addClause 81 -1 -21 
324 addClause 116 53 -1 
325 addClause 25 -104 83 
326 addClause 97 22 79 
327 addClause 98 -103 40 
328 addClause 41 -48 113 
329 addClause -111 -81 83 
330 addClause 118 -37 -33 
331 addClause -98 46 -28 
332 addClause -68 -55 -25 
333 addClause -82 49 -88 
334 addClause 9 -33 87 
335 addClause -104 91 -83 
336 addClause 107 96 63 
337 addClause -51 30 84 
338 addClause 45 37 -39 
339 addClause -14 -23 20 
340 addClause -18 95 76 
341 addClause -110 -84 -43 
342 addClause 34 -70 -81 
343 addClause 35 98 89 
344 addClause -69 -33 41 
345 addClause 103 -121 26 
346 addClause 83 -84 79 
347 addClause 107 -57 89 
348 addClause 59 45 7 
349 addClause -18 75 -97 
350 addClause -72 22 -85 
351 addClause -29 -115 -70 
352 addClause 68 59 75 
353 addClause -10 -122 -44 
354 addClause 101 77 -22 
355 addClause -103 28 111 
356 addClause -26 70 -74 
357 addClause 32 70 2 
358 addClause 99 -75 38 
359 addClause 79 -109 -89 
360 addClause -26 -81 83 
361 addClause 63 -28 90 
362 addClause 19 -45 21 
363 addClause 84 -49 -44 
364 addClause 38 11 20 
365 addClause -1 17 50 
366 addClause -15 -105 45 
367 addClause -50 96 -46 
368 addClause 87 54 -81 
369 addClause -48 -101 -110 
370 addClause -100 -28 -85 
371 addClause 68 86 113 
372 addClause -122 90 97 
373 addClause 60 -51 32 
374 addClause 106 -7 64 
375 addClause 87 -100 77 
376 addClause -75 -4 91 
377 assuming 63 36 76 88 -16 -24 -4 31 7 -75 -109 -110 
378 addClause -17 177 53 
379 addClause -58 -16 53 
380 addClause 25 -151 141 
381 addClause 89 -196 -73 
382 addClause -102 -105 76 
383 addClause -60 125 149 
384 addClause 55 -94 162 
385 addClause -9 -57 -32 
386 addClause -58 -46 12 
387 addClause 195 34 108 
388 addClause 183 120 -33 
389 addClause -180 -84 -47 
390 addClause 116 8 -80 
391 addClause -22 60 -191 
392 addClause 13 -92 -97 
393 addClause 144 -80 -132 
394 addClause 127 190 -98 
395 addClause -85 40 19 
396 addClause -49 122 185 
397 addClause 180 -45 -170 
398 addClause 151 -137 -118 
399 addClause -10 29 188 
400 addClause 4 -160 -127 
401 addClause -134 -10 115 
402 addClause 93 -12 36 
403 addClause 29 21 162 
404 addClause 8 -74 -158 
405 addClause 123 12 -183 
406 addClause 85 -180 -92 
407 addClause -133 166 -139 
408 addClause 95 -129 3 
409 addClause -120 -80 -181 
410 addClause 81 -80 164 
411 addClause -126 111 186 
412 addClause -157 59 -125 
413 addClause 38 45 -73 
414 addClause -147 -53 128 
415 addClause 16 -99 -167 
416 addClause -120 104 141 
417 addClause 58 26 113 
418 addClause 69 122 -82 
419 addClause -42 48 -70 
420 addClause -104 4 -44 
421 addClause -51 -115 -88 
422 addClause -51 -134 68 
423 addClause 128 119 4 
424 addClause -144 -131 55 
425 addClause -149 -171 111 
426 addClause -107 99 183 
427 addClause -11 31 148 
428 addClause -98 61 -15 
429 addClause 33 -103 85 
430 addClause 16 186 193 
431 addClause -193 13 -87 
432 addClause -109 -147 169 
433 addClause 64 -137 -151 
434 addClause -73 37 36 
435 addClause 14 -176 -87 
436 addClause 100 9 -174 
437 addClause -175 36 37 
438 addClause 99 10 176 
439 addClause -42 -87 -137 
440 addClause 189 -192 -188 
441 addClause 17 -122 -107 
442 addClause 51 -154 26 
443 addClause -187 97 50 
444 addClause -14 143 133 
445 addClause -39 -4 104 
446 addClause 72 6 125 
447 addClause -119 184 -103 
448 addClause -184 -27 -85 
449 addClause -116 -172 -24 
450 addClause -2 129 16 
451 addClause 177 24 52 
452 addClause -49 51 191 
453 addClause 33 -17 -69 
454 addClause 97 20 -109 
455 addClause -163 40 -159 
456 addClause 52 -144 76 
457 addClause -182 136 -134 
458 addClause -69 -76 -46 
459 addClause 112 60 19 
460 addClause -198 -120 -59 
461 addClause -97 -54 -51 
462 addClause -18 172 148 
463 addClause 24 -131 156 
464 addClause 175 -67 -5 
465 addClause 57 148 -152 
466 addClause -149 102 108 
467 addClause 6 -184 -153 
468 addClause 100 -97 -146 
469 addClause -179 -11 110 
470 addClause -95 -117 79 
471 addClause -162 -4 -164 
472 addClause -58 -7 -99 
473 addClause -6 43 98 
474 addClause -126 97 62 
475 addClause -96 -75 1 
476 addClause -47 29 141 
477 addClause -8 197 53 
478 addClause 148 28 24 
479 addClause -159 -26 102 
480 addClause -170 183 187 
481 addClause -180 -103 -71 
482 addClause 74 77 25 
483 addClause -55 10 -189 
484 addClause 158 -96 185 
485 addClause 194 -103 68 
486 addClause 121 -112 -198 
487 addClause 190 26 69 
488 addClause -185 22 39 
489 addClause 197 -130 -105 
490 addClause 117 52 196 
491 addClause 83 90 -125 
492 addClause 18 105 -124 
493 addClause -110 70 84 
494 addClause -47 22 -176 
495 addClause -192 138 116 
496 addClause -68 97 40 
497 addClause -77 -117 -97 
498 addClause 131 -49 21 
499 addClause -198 -121 103 
500 addClause -156 21 177 
501 addClause -86 136 -70 
502 addClause -82 -78 153 
503 addClause 43 72 102 
504 addClause 154 -40 -15 
505 addClause -49 -172 26 
506 addClause 102 14 -74 
507 addClause -93 -18 -164 
508 addClause 36 7 95 
509 addClause -46 -5 -181 
510 addClause -114 -172 196 
511 addClause -192 -198 30 
512 addClause 34 28 179 
513 addClause -105 169 166 
514 addClause -187 186 -7 
515 addClause 164 80 110 
516 addClause -116 -34 68 
517 addClause -115 -144 -99 
518 addClause -78 161 145 
519 addClause 14 194 172 
520 addClause -117 -6 -192 
521 addClause 162 -183 -165 
522 addClause 130 -139 -72 
523 addClause 169 -68 129 
524 addClause -172 -194 27 
525 addClause -42 158 -145 
526 addClause -24 -101 63 
527 addClause -151 -60 13 
528 addClause 117 -47 65 
529 addClause 133 134 1 
530 addClause 76 63 82 
531 addClause -165 87 -184 
532 addClause -125 -161 -189 
533 addClause -113 165 -108 
534 addClause 34 -188 -80 
535 addClause 76 -106 61 
536 addClause -23 -157 150 
537 addClause -69 25 166 
538 addClause -113 -167 161 
539 addClause -10 -1 48 
540 addClause 3 -49 -154 
541 addClause -145 -106 150 
542 addClause -59 -78 117 
543 addClause -121 8 11 
544 addClause 107 -181 125 
545 addClause -68 -37 115 
546 addClause -117 -60 191 
547 addClause -190 -46 -16 
548 addClause 49 62 43 
549 addClause 42 6 103 
550 addClause -44 78 44 
551 addClause 48 27 -122 
552 addClause 131 -25 76 
553 addClause 28 -175 -77 
554 addClause -91 74 178 
555 addClause 188 125 141 
556 addClause -140 -144 -47 
557 addClause 147 131 97 
558 addClause 35 20 -155 
559 addClause 84 66 -36 
560 addClause -55 -87 88 
561 addClause -24 130 9 
562 addClause -81 110 136 
563 addClause -119 -43 178 
564 addClause -62 52 -149 
565 addClause -173 -1 53 
566 addClause -7 140 -94 
567 addClause -94 -27 -43 
568 addClause -174 -167 163 
569 addClause 166 -40 109 
570 addClause 20 150 9 
571 addClause -179 -130 168 
572 addClause 143 -79 175 
573 addClause 55 -34 -110 
574 addClause -109 -159 116 
575 addClause -135 -103 35 
576 addClause -162 28 63 
577 addClause -73 11 -171 
578 addClause -163 -85 -180 
579 addClause -196 -88 18 
580 addClause -22 -172 -81 
581 addClause 25 -29 -87 
582 addClause 67 7 165 
583 addClause -179 -181 133 
584 addClause 12 57 -37 
585 addClause -25 107 79 
586 addClause 50 -62 -38 
587 addClause 41 196 -170 
588 addClause -106 -161 81 
589 addClause -36 -105 -53 
590 addClause -116 119 -39 
591 addClause 17 189 -98 
592 addClause 186 71 123 
593 addClause 41 48 75 
594 addClause -93 -25 -59 
595 addClause 170 -122 187 
596 addClause 109 62 104 
597 addClause -196 -53 -56 
598 addClause 34 -97 21 
599 addClause 138 34 91 
600 addClause -122 -5 -64 
601 addClause -193 -79 161 
602 addClause 141 92 196 
603 addClause 194 -135 -65 
604 addClause -125 -187 -114 
605 addClause -49 187 79 
606 assuming -148 -119 -140 115 23 107 105 130 -184 -121 139 -152 124 2 -53 -154 -73 60 74 
