1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Learning Strategy : ClauseOnlyLearning
291 addClause -81 -43 -102 
292 addClause -113 56 107 
293 addClause 29 -6 71 
294 addClause -87 -40 -36 
295 addClause 131 50 109 
296 addClause -140 63 25 
297 addClause 106 74 100 
298 addClause -46 122 69 
299 addClause 53 -11 -64 
300 addClause -133 -121 64 
301 addClause 99 31 118 
302 addClause 28 -37 -20 
303 addClause -80 12 -64 
304 addClause -95 44 -89 
305 addClause 62 67 52 
306 addClause 30 38 -5 
307 addClause -72 -54 83 
308 addClause -13 -89 93 
309 addClause 81 10 103 
310 addClause 48 84 -141 
311 addClause -124 -94 -80 
312 addClause -17 88 -68 
313 addClause 127 -76 65 
314 addClause -58 15 50 
315 addClause -98 26 27 
316 addClause -102 -20 61 
317 addClause -142 -77 136 
318 addClause 122 95 -45 
319 addClause -71 16 97 
320 addClause 52 -58 46 
321 addClause 29 -132 -48 
322 addClause -26 -70 -33 
323 addClause -19 66 -7 
324 addClause 15 47 -56 
325 addClause 57 98 110 
326 addClause -129 86 79 
327 addClause 10 72 23 
328 addClause -25 -27 86 
329 addClause 117 -100 3 
330 addClause 46 114 27 
331 addClause -12 -47 50 
332 addClause -24 -21 134 
333 addClause 112 41 -6 
334 addClause -64 1 -98 
335 addClause 98 -123 80 
336 addClause -104 -58 -123 
337 addClause -31 -65 57 
338 addClause -49 63 -57 
339 addClause 60 13 109 
340 addClause 133 15 63 
341 addClause 102 47 -83 
342 addClause -9 -29 -10 
343 addClause 82 -36 42 
344 addClause -55 141 65 
345 addClause 111 -62 -50 
346 addClause 28 15 54 
347 addClause 95 -143 -30 
348 addClause 113 63 -134 
349 addClause 14 60 -78 
350 addClause 47 -44 20 
351 addClause 8 -62 -11 
352 addClause -143 42 -111 
353 addClause 41 -108 27 
354 addClause 67 70 -91 
355 addClause -38 -19 -67 
356 addClause -59 24 -66 
357 addClause 67 77 -18 
358 addClause 94 -14 -52 
359 addClause 125 -108 -44 
360 addClause 16 -104 -6 
361 addClause 135 97 -19 
362 addClause 115 -29 136 
363 addClause 57 -143 -100 
364 addClause 119 59 83 
365 addClause 64 -65 -79 
366 addClause -116 -50 -131 
367 addClause 99 8 -132 
368 addClause 139 -90 -39 
369 addClause -91 -41 114 
370 addClause -23 138 -42 
371 addClause -76 -42 -127 
372 addClause -96 -107 78 
373 addClause 129 93 -31 
374 addClause 117 -34 125 
375 addClause -23 -134 -136 
376 addClause -51 118 -127 
377 addClause -142 -108 59 
378 addClause 62 43 -66 
379 addClause -104 48 70 
380 addClause 138 -125 8 
381 addClause 142 106 41 
382 addClause -6 -101 68 
383 addClause 129 -136 -30 
384 addClause 131 104 9 
385 addClause -141 -54 -134 
386 addClause -89 39 -9 
387 addClause 131 141 16 
388 addClause -6 -137 -33 
389 addClause 18 -77 -117 
390 addClause 61 -103 -49 
391 addClause 13 -89 -84 
392 addClause 66 -47 -16 
393 addClause -94 -62 -4 
394 addClause -117 101 -141 
395 addClause 34 106 51 
396 addClause 131 -43 -141 
397 addClause -52 2 131 
398 addClause -59 68 30 
399 addClause 76 -8 32 
400 addClause 25 63 -72 
401 addClause 23 -57 -63 
402 addClause 44 105 138 
403 addClause 94 -105 84 
404 addClause -93 75 -25 
405 addClause 26 129 -58 
406 addClause -105 128 16 
407 addClause -19 -116 61 
408 addClause -122 -10 41 
409 addClause 120 89 -125 
410 addClause -79 61 21 
411 addClause 64 -33 -97 
412 addClause 127 131 -9 
413 addClause 80 -113 116 
414 addClause -128 -87 -39 
415 addClause -71 -91 -79 
416 addClause -57 -6 10 
417 addClause -89 117 97 
418 addClause 34 6 134 
419 addClause -14 -44 34 
420 addClause -106 74 -112 
421 addClause 109 84 16 
422 addClause 4 -104 41 
423 addClause 112 -44 -125 
424 addClause 142 123 64 
425 addClause -36 -143 -109 
426 addClause 83 -126 -119 
427 addClause -82 113 -17 
428 addClause 121 100 49 
429 addClause -112 -49 7 
430 addClause 59 41 113 
431 addClause -102 -119 -75 
432 addClause -46 -19 -40 
433 addClause 126 -139 -118 
434 addClause -9 -134 4 
435 addClause 91 -128 10 
436 addClause -60 26 137 
437 addClause 7 -38 -12 
438 addClause 84 122 -59 
439 addClause -69 -32 72 
440 addClause -1 -73 85 
441 solve
442 addClause -147 -112 140 
443 addClause -198 211 -21 
444 addClause -49 51 124 
445 addClause -188 112 202 
446 addClause -129 -127 -174 
447 addClause -2 28 -227 
448 addClause 174 69 150 
449 addClause -122 47 -31 
450 addClause -224 13 37 
451 addClause 152 -92 170 
452 addClause -149 -222 218 
453 addClause 123 222 -156 
454 addClause -175 184 78 
455 addClause -124 43 97 
456 addClause 58 99 -49 
457 addClause -163 81 -138 
458 addClause 96 -215 -73 
459 addClause -64 132 -107 
460 addClause -111 48 106 
461 addClause -57 -5 166 
462 addClause 115 -213 103 
463 addClause -94 -45 -75 
464 addClause 22 179 -93 
465 addClause -1 138 -191 
466 addClause -183 210 137 
467 addClause -39 174 178 
468 addClause 158 -56 -141 
469 addClause -195 36 62 
470 addClause -52 97 150 
471 addClause 89 154 -112 
472 addClause -107 23 75 
473 addClause 104 -172 8 
474 addClause -63 -152 -54 
475 addClause 65 -33 -153 
476 addClause -94 89 -161 
477 addClause 195 221 -157 
478 addClause 78 4 -223 
479 addClause 215 -77 23 
480 addClause -20 8 -66 
481 addClause 67 17 66 
482 addClause 157 -222 -196 
483 addClause 59 -103 -40 
484 addClause 194 98 111 
485 addClause 41 -45 -215 
486 addClause -185 -12 -157 
487 addClause -39 121 154 
488 addClause 181 -2 -99 
489 addClause -186 179 120 
490 addClause 1 104 159 
491 addClause -111 173 201 
492 addClause 51 187 -203 
493 addClause -36 91 170 
494 addClause 70 32 -187 
495 addClause -112 -76 -57 
496 addClause 58 104 -20 
497 addClause -205 167 -37 
498 addClause 19 -226 -70 
499 addClause 118 109 -14 
500 addClause 208 45 -210 
501 addClause 36 -172 169 
502 addClause 23 -217 161 
503 addClause 60 -3 -154 
504 addClause -196 -24 -25 
505 addClause 98 15 45 
506 addClause 160 -39 -47 
507 addClause -124 -188 -137 
508 addClause 161 -188 -108 
509 addClause -176 220 -101 
510 addClause 109 -214 194 
511 addClause 54 -80 76 
512 addClause 69 -130 64 
513 addClause 160 14 -158 
514 addClause -74 -91 -212 
515 addClause -173 29 167 
516 addClause 82 142 -95 
517 addClause -166 -123 115 
518 addClause 3 186 -218 
519 addClause 164 28 -174 
520 addClause 132 198 -109 
521 addClause -152 142 152 
522 addClause -16 116 -1 
523 addClause -156 28 -64 
524 addClause -80 114 27 
525 addClause 179 -151 -1 
526 addClause 150 -122 -85 
527 addClause -54 84 -39 
528 addClause 121 128 -44 
529 addClause -9 53 16 
530 addClause -135 128 40 
531 addClause 67 45 -181 
532 addClause -213 60 137 
533 addClause 41 -61 -188 
534 addClause -26 -112 -76 
535 addClause -154 172 -17 
536 addClause -193 224 16 
537 addClause 43 82 105 
538 addClause 176 -29 37 
539 addClause -64 -61 -212 
540 addClause 187 -143 5 
541 addClause 165 -70 169 
542 addClause -208 -126 -17 
543 addClause 6 -15 8 
544 addClause -63 45 -188 
545 addClause -63 -7 88 
546 addClause -76 22 -112 
547 addClause 198 -164 -158 
548 addClause -22 -91 78 
549 addClause -20 -33 113 
550 addClause 190 115 54 
551 addClause -173 187 32 
552 addClause -107 5 98 
553 addClause 77 130 -69 
554 addClause 33 128 109 
555 addClause 59 -26 -11 
556 addClause -144 8 -162 
557 addClause -209 180 159 
558 addClause -132 145 -180 
559 addClause -93 -105 -184 
560 addClause 57 5 68 
561 addClause 132 -147 6 
562 addClause 34 -26 175 
563 addClause -200 -81 14 
564 addClause -78 -136 -198 
565 addClause 161 96 224 
566 addClause 87 39 -140 
567 addClause 216 158 -89 
568 addClause -118 -183 5 
569 addClause 18 -220 32 
570 addClause 1 112 -121 
571 addClause 6 -119 -127 
572 addClause -95 -119 45 
573 addClause 181 -63 -25 
574 addClause 170 140 58 
575 addClause 23 34 -153 
576 addClause -101 39 127 
577 addClause 138 -161 -198 
578 addClause -193 -3 -102 
579 addClause 146 57 -61 
580 addClause 39 -123 -113 
581 addClause 204 122 203 
582 addClause 45 104 -55 
583 addClause -145 168 224 
584 addClause 102 -197 65 
585 addClause -206 -89 78 
586 addClause 14 -103 -138 
587 addClause 128 -212 68 
588 addClause 190 85 -55 
589 addClause 178 118 17 
590 addClause 70 -102 -126 
591 addClause 10 42 223 
592 addClause 102 7 -180 
593 addClause -151 -80 -156 
594 addClause -202 181 43 
595 addClause -141 -56 114 
596 addClause 12 189 -38 
597 addClause -88 87 -43 
598 addClause -207 118 30 
599 addClause 217 131 -34 
600 addClause -64 117 108 
601 addClause -156 -77 -214 
602 addClause 111 -121 -214 
603 addClause -160 46 -210 
604 addClause 181 8 -167 
605 addClause -43 -52 -110 
606 addClause 78 -134 10 
607 addClause -120 -218 16 
608 addClause -218 18 -17 
609 addClause 206 -199 -180 
610 addClause -197 -103 -177 
611 addClause 140 -186 30 
612 addClause -113 -48 205 
613 addClause 5 -176 -172 
614 addClause 53 224 -198 
615 addClause 196 190 -182 
616 addClause 127 -45 -104 
617 addClause 114 194 -55 
618 addClause -167 -206 33 
619 addClause 37 156 143 
620 addClause 156 66 -125 
621 addClause -87 69 -83 
622 addClause -128 -75 -91 
623 addClause -9 -203 -15 
624 addClause 202 -33 20 
625 addClause 209 6 -47 
626 addClause -73 -57 -104 
627 addClause -95 109 52 
628 addClause 119 -217 26 
629 addClause 183 -140 -177 
630 addClause 205 -42 -73 
631 addClause -203 222 -14 
632 addClause 1 38 155 
633 addClause -216 79 -83 
634 addClause 18 -1 40 
635 addClause -209 21 -100 
636 addClause -54 -178 43 
637 addClause 194 34 -107 
638 addClause -35 203 200 
639 addClause 45 -138 -135 
640 addClause -98 -30 209 
641 addClause -132 -162 -176 
642 addClause 195 174 -189 
643 addClause 139 95 -143 
644 addClause -193 117 149 
645 addClause 54 158 -176 
646 addClause -132 -48 -202 
647 addClause 93 -35 -179 
648 addClause -97 63 -133 
649 addClause 57 83 -59 
650 addClause 8 -203 -113 
651 addClause -100 202 -1 
652 addClause 165 -167 151 
653 addClause -11 -121 225 
654 addClause -29 -113 86 
655 addClause -68 -201 131 
656 addClause -166 118 49 
657 addClause 164 187 189 
658 addClause 166 212 93 
659 addClause -197 -181 -192 
660 addClause -30 166 -198 
661 addClause -178 -105 105 
662 addClause -5 -15 -163 
663 addClause 180 -58 -169 
664 addClause 210 53 219 
665 addClause -165 17 186 
666 addClause 51 143 104 
667 addClause -212 157 67 
668 addClause -225 -141 137 
669 addClause 166 -187 167 
670 addClause -204 131 -148 
671 addClause -23 71 -59 
672 addClause 18 164 63 
673 addClause -188 62 108 
674 addClause -121 -68 -98 
675 addClause 159 -216 176 
676 addClause 99 -170 32 
677 addClause -135 218 -162 
678 addClause 92 -167 76 
679 addClause 119 -55 111 
680 addClause 16 78 -200 
681 addClause 198 70 -222 
682 addClause 159 -44 129 
683 addClause 17 48 169 
684 addClause -205 -26 129 
685 addClause -71 -15 37 
686 addClause -62 -170 216 
687 addClause 115 -211 -153 
688 addClause -176 -34 111 
689 addClause -73 75 -18 
690 addClause -15 184 52 
691 addClause -146 11 196 
692 addClause -8 140 87 
693 addClause -76 193 128 
694 solve
695 addClause 67 188 39 
696 addClause 12 -227 -81 
697 addClause 252 166 -55 
698 addClause -23 -94 108 
699 addClause -229 -145 90 
700 addClause -209 75 -230 
701 addClause 108 -247 -119 
702 addClause -216 -108 -192 
703 addClause -1 36 247 
704 addClause -120 250 -83 
705 addClause -189 127 -15 
706 addClause 11 -172 -142 
707 addClause 228 235 88 
708 addClause -86 -219 149 
709 addClause -94 -22 -247 
710 addClause 53 132 181 
711 addClause -19 -240 214 
712 addClause 148 -257 41 
713 addClause -209 193 -107 
714 addClause -6 167 -113 
715 addClause 202 -80 186 
716 addClause 238 -195 224 
717 addClause 41 -105 -146 
718 addClause -214 255 93 
719 addClause 19 148 -225 
720 addClause -204 132 223 
721 addClause -59 -182 187 
722 addClause 224 -65 196 
723 addClause -124 -54 58 
724 addClause -5 -8 -147 
725 addClause 90 136 -115 
726 addClause -183 -58 -201 
727 addClause 58 149 118 
728 addClause 235 249 142 
729 addClause -205 59 -5 
730 addClause 216 -183 -88 
731 addClause -164 11 109 
732 addClause -12 -60 256 
733 addClause 60 -107 -74 
734 addClause 203 1 46 
735 addClause -241 -51 -21 
736 addClause -146 -129 26 
737 addClause 200 -66 -43 
738 addClause 29 238 193 
739 addClause -168 -160 134 
740 addClause 16 18 43 
741 addClause 95 -243 -16 
742 addClause -42 -223 -135 
743 addClause 193 -221 -40 
744 addClause 70 198 79 
745 addClause -231 62 -21 
746 addClause -164 -45 78 
747 addClause 111 -148 238 
748 addClause 31 221 -191 
749 addClause 118 122 -42 
750 addClause 256 -89 144 
751 addClause 200 -203 -162 
752 addClause -43 18 208 
753 addClause 43 154 201 
754 addClause -190 225 -221 
755 addClause 116 -193 -12 
756 addClause 227 71 208 
757 addClause 162 27 -129 
758 addClause -41 166 -179 
759 addClause -6 167 225 
760 addClause -203 89 -243 
761 addClause -230 67 -248 
762 addClause 252 162 144 
763 addClause -175 -247 85 
764 addClause -160 229 -12 
765 addClause -160 41 -216 
766 addClause -257 204 77 
767 addClause -136 57 95 
768 addClause -74 -235 -166 
769 addClause 227 -25 101 
770 addClause 185 -72 -205 
771 addClause 59 -167 28 
772 addClause -23 78 -86 
773 addClause -50 -92 36 
774 addClause -128 22 -2 
775 addClause 120 -143 193 
776 addClause -200 -243 -25 
777 addClause -244 172 181 
778 addClause -211 135 -114 
779 addClause 215 -201 -215 
780 addClause -250 -175 -114 
781 addClause 79 3 197 
782 addClause 90 -5 171 
783 addClause 146 -50 255 
784 addClause 74 -28 -182 
785 addClause 94 -205 -202 
786 addClause -27 11 -161 
787 addClause -215 -158 76 
788 solve
789 addClause 60 -248 -324 
790 addClause -334 -55 174 
791 addClause 330 -131 124 
792 addClause -215 168 240 
793 addClause -159 183 -293 
794 addClause 313 308 -85 
795 addClause 162 302 168 
796 addClause 49 271 -41 
797 addClause 70 339 -143 
798 addClause -88 -27 -188 
799 addClause -198 44 -302 
800 addClause 57 306 -323 
801 addClause -36 -297 279 
802 addClause 48 191 56 
803 addClause -226 -338 283 
804 addClause 232 -341 -20 
805 addClause 49 -101 232 
806 addClause 124 -326 -143 
807 addClause -26 -292 115 
808 addClause 161 -66 -275 
809 addClause -136 259 82 
810 addClause -18 -212 -134 
811 addClause -218 -314 -190 
812 addClause -82 244 289 
813 addClause 124 -344 240 
814 addClause -142 -131 70 
815 addClause -264 118 -179 
816 addClause 126 103 -119 
817 addClause -327 240 248 
818 addClause 66 -44 52 
819 addClause -159 41 -274 
820 addClause 162 -173 105 
821 addClause -338 32 284 
822 addClause 161 -33 278 
823 addClause -105 260 -267 
824 addClause 189 -47 -80 
825 addClause 203 -330 217 
826 addClause 124 -5 232 
827 addClause 291 74 -39 
828 addClause 33 -8 124 
829 addClause 108 141 238 
830 addClause -141 -231 -28 
831 addClause -16 -206 -19 
832 addClause 46 -118 -47 
833 addClause 119 114 -29 
834 addClause 205 225 -132 
835 addClause 70 93 25 
836 addClause -52 287 32 
837 addClause -16 -197 335 
838 addClause 210 -66 -55 
839 addClause 332 -291 63 
840 addClause 274 -120 252 
841 addClause -258 -161 172 
842 addClause -21 -227 -152 
843 addClause 98 -342 46 
844 addClause -297 140 -127 
845 addClause 113 -88 259 
846 addClause -323 -197 236 
847 addClause 127 183 287 
848 addClause 253 320 70 
849 addClause -245 -212 -313 
850 addClause -149 242 -122 
851 addClause -315 315 337 
852 addClause -267 -115 -295 
853 addClause -288 290 -168 
854 addClause 337 -280 105 
855 addClause -298 146 -165 
856 addClause -91 -229 67 
857 addClause 308 218 -50 
858 addClause 86 124 273 
859 addClause -119 -279 22 
860 addClause -258 109 -119 
861 addClause -56 -35 102 
862 addClause -127 -314 -85 
863 addClause -121 161 45 
864 addClause 1 81 -134 
865 addClause -296 -197 213 
866 addClause -43 -45 -9 
867 addClause 52 179 -134 
868 addClause 265 334 -65 
869 addClause 156 -165 -177 
870 addClause 112 242 194 
871 addClause -253 299 -282 
872 addClause -36 -238 293 
873 addClause -287 21 204 
874 addClause -139 213 136 
875 addClause 193 -280 -316 
876 addClause 114 -51 -290 
877 addClause 155 243 255 
878 addClause 114 159 78 
879 addClause 341 328 -254 
880 addClause 96 -154 -338 
881 addClause -94 -179 331 
882 addClause -283 47 150 
883 addClause -69 -199 326 
884 addClause -154 -287 75 
885 addClause -338 76 92 
886 addClause -144 174 179 
887 addClause -61 -318 -246 
888 addClause -260 -77 4 
889 addClause -40 -147 278 
890 addClause 163 -333 179 
891 addClause -78 104 -277 
892 addClause -237 -229 59 
893 addClause -313 -337 278 
894 addClause -111 9 -220 
895 addClause -197 309 -276 
896 addClause -65 -107 -139 
897 addClause 156 -17 -262 
898 addClause 51 -287 -26 
899 addClause -30 -196 -214 
900 addClause 90 -171 -42 
901 addClause 50 -120 102 
902 addClause 338 306 -120 
903 addClause 118 304 243 
904 addClause -341 22 98 
905 addClause 157 193 61 
906 addClause 313 65 231 
907 addClause -15 204 320 
908 addClause 22 -281 -74 
909 addClause -266 -112 191 
910 addClause 119 -152 -105 
911 addClause 291 -60 -124 
912 addClause 6 -145 9 
913 addClause 64 -48 -102 
914 addClause 118 -241 64 
915 addClause 47 -136 -254 
916 addClause 107 9 68 
917 addClause 119 164 152 
918 addClause 47 80 -325 
919 addClause -128 -275 -193 
920 addClause -269 -144 100 
921 addClause 77 -290 64 
922 addClause 60 314 -280 
923 addClause 243 -187 142 
924 addClause -275 -36 -171 
925 addClause 254 -152 157 
926 addClause -292 -86 297 
927 addClause 107 -122 340 
928 addClause 49 -34 -99 
929 addClause 155 61 148 
930 addClause -71 197 -259 
931 addClause 164 181 315 
932 addClause -256 304 -34 
933 addClause 30 14 -285 
934 addClause -166 -281 -207 
935 addClause -310 163 332 
936 addClause -303 96 -209 
937 addClause -129 -5 2 
938 addClause -115 -80 205 
939 addClause -15 -34 -125 
940 addClause -336 181 142 
941 addClause 300 307 -18 
942 addClause 45 135 -112 
943 addClause -154 -289 276 
944 addClause -19 99 -260 
945 addClause 31 337 264 
946 addClause -332 126 -144 
947 addClause 235 -237 -93 
948 addClause 229 -287 237 
949 addClause 321 -21 -26 
950 addClause 246 -324 41 
951 addClause -39 320 137 
952 addClause -168 -61 210 
953 addClause 52 34 -40 
954 addClause 98 -175 8 
955 addClause -282 -273 -134 
956 addClause 287 106 29 
957 addClause 342 -71 -93 
958 addClause -227 -277 -228 
959 addClause -146 56 267 
960 addClause -15 144 -327 
961 addClause 89 -261 -222 
962 addClause -316 143 209 
963 addClause 310 -153 -280 
964 addClause -310 -135 235 
965 addClause 152 -108 -271 
966 addClause 7 -277 -255 
967 addClause -251 -63 -69 
968 addClause -145 -309 273 
969 addClause 139 -318 124 
970 addClause 261 -256 177 
971 addClause 324 -85 -256 
972 addClause 201 294 -50 
973 addClause 290 210 -324 
974 addClause -305 341 -100 
975 addClause -196 111 -227 
976 addClause -155 -249 -313 
977 addClause -297 74 -277 
978 addClause -219 -338 -185 
979 addClause 88 -45 -74 
980 addClause 29 303 165 
981 addClause 198 -145 197 
982 addClause 95 19 -343 
983 addClause 152 321 87 
984 addClause -18 57 -144 
985 addClause -96 -100 -169 
986 addClause 226 164 -322 
987 addClause -180 53 50 
