1 init
2 Random Walk : 0.2499364344085635
185 addClause -71 -13 94 
186 addClause 39 161 126 
187 addClause 45 -14 148 
188 addClause 50 121 92 
189 addClause -123 164 -124 
190 addClause -9 69 104 
191 addClause -35 155 -121 
192 addClause -42 167 161 
193 addClause 73 49 -129 
194 addClause -19 15 -139 
195 addClause -21 17 -126 
196 addClause -172 -3 68 
197 addClause 6 -19 -89 
198 addClause 118 -103 59 
199 addClause -8 62 86 
200 addClause -51 124 83 
201 addClause -142 -161 -86 
202 addClause 35 -162 36 
203 addClause 128 -117 -134 
204 addClause 141 -167 52 
205 addClause -45 107 -170 
206 addClause 110 60 125 
207 addClause -54 52 -64 
208 addClause 158 102 -132 
209 addClause 47 -129 -98 
210 addClause 8 78 -84 
211 addClause 91 -34 153 
212 addClause -154 31 48 
213 addClause -116 -11 -168 
214 addClause -143 47 31 
215 addClause 19 -27 -105 
216 addClause 129 -150 124 
217 addClause 81 -160 64 
218 addClause 59 82 -156 
219 addClause 88 38 -69 
220 addClause -69 -138 -2 
221 addClause 136 -82 133 
222 addClause 171 -2 50 
223 addClause 32 -170 28 
224 addClause -67 12 142 
225 addClause -5 -70 -110 
226 addClause -171 -121 35 
227 addClause -93 102 16 
228 addClause -118 92 45 
229 addClause -30 -12 -136 
230 addClause 18 95 26 
231 addClause 13 -148 -65 
232 addClause 78 150 102 
233 addClause -146 -34 -40 
234 addClause -159 75 24 
235 addClause 113 22 -87 
236 addClause 99 50 118 
237 addClause -137 -43 -3 
238 addClause 88 42 -2 
239 addClause 137 86 130 
240 addClause -120 18 36 
241 addClause -103 170 -34 
242 addClause 117 -160 63 
243 addClause -78 92 116 
244 addClause 152 75 -27 
245 addClause 6 67 25 
246 addClause -98 -171 62 
247 addClause 93 114 131 
248 addClause 76 135 133 
249 addClause 1 171 81 
250 addClause 71 126 -46 
251 addClause 71 -123 -172 
252 addClause 102 -65 -137 
253 addClause 7 14 153 
254 addClause 84 -46 78 
255 addClause 117 -154 -72 
256 addClause -102 -71 -47 
257 addClause 77 26 -74 
258 addClause -83 170 140 
259 addClause -146 -101 23 
260 addClause -24 -156 -99 
261 addClause -104 108 -89 
262 addClause -19 -137 -160 
263 addClause 68 111 -150 
264 addClause -116 -40 -61 
265 addClause 96 21 135 
266 addClause -62 -51 102 
267 addClause -92 10 -89 
268 addClause -109 -139 -20 
269 addClause 13 41 -39 
270 addClause 123 -125 -166 
271 addClause 97 111 164 
272 addClause -92 -23 135 
273 addClause -11 -55 -22 
274 addClause -122 -70 -31 
275 addClause -19 20 -145 
276 addClause -13 149 -20 
277 addClause 109 -157 42 
278 addClause 150 -81 125 
279 addClause 46 131 80 
280 addClause -65 -91 62 
281 addClause -30 53 -42 
282 addClause -150 -91 38 
283 addClause -8 134 51 
284 addClause 20 131 -58 
285 addClause 60 -39 101 
286 addClause 107 59 -12 
287 addClause -171 -118 -108 
288 addClause -149 -121 -119 
289 addClause -72 91 -148 
290 addClause -42 79 42 
291 addClause -91 -118 -128 
292 addClause 118 -147 123 
293 addClause -24 -154 -31 
294 addClause 95 -52 118 
295 addClause 12 84 109 
296 addClause 48 -5 76 
297 addClause -16 -26 65 
298 addClause 62 -26 -148 
299 addClause 152 -32 167 
300 addClause -111 -163 -136 
301 addClause 54 87 142 
302 addClause 170 -152 120 
303 addClause -117 91 -25 
304 addClause -16 159 -11 
305 addClause 126 -110 33 
306 addClause 155 -120 18 
307 addClause 163 -124 121 
308 addClause 146 -114 116 
309 addClause -144 88 -130 
310 addClause -169 -91 147 
311 addClause 30 65 88 
312 addClause 147 106 23 
313 addClause 168 -132 17 
314 addClause -1 -111 -90 
315 addClause -12 -134 101 
316 addClause -130 145 57 
317 addClause -60 -94 -138 
318 addClause -133 -18 -88 
319 addClause 66 -28 133 
320 addClause -29 -41 -171 
321 addClause 8 -132 60 
322 addClause 117 90 -103 
323 addClause -105 89 -94 
324 addClause -44 8 -139 
325 addClause -149 -109 -96 
326 addClause 151 59 -81 
327 addClause 24 20 -136 
328 addClause -5 94 17 
329 addClause -66 -77 -94 
330 addClause 144 -58 -82 
331 addClause 63 85 -151 
332 addClause -22 -90 44 
333 addClause -30 67 -156 
334 addClause 137 -135 151 
335 addClause -117 164 -77 
336 addClause 153 -146 -113 
337 addClause 111 -96 -83 
338 addClause -59 -77 11 
339 addClause -7 -160 157 
340 addClause -37 33 -169 
341 addClause -73 125 43 
342 addClause 123 -23 50 
343 addClause -89 -28 162 
344 addClause 101 -163 -52 
345 addClause -151 129 87 
346 addClause 64 21 -132 
347 addClause -48 -169 13 
348 addClause -12 148 -16 
349 addClause -158 -75 57 
350 addClause 20 160 -4 
351 addClause 59 77 -93 
352 addClause 11 -154 -54 
353 addClause -137 -32 -84 
354 addClause 144 71 92 
355 addClause 6 46 111 
356 addClause -34 -113 29 
357 addClause -91 65 -147 
358 addClause 170 34 -23 
359 addClause 144 10 -89 
360 addClause 149 -171 -151 
361 addClause 10 -15 108 
362 addClause 126 88 -108 
363 addClause -164 95 92 
364 addClause -152 9 164 
365 addClause -154 -5 52 
366 addClause -118 -57 153 
367 addClause 33 -81 88 
368 addClause -172 110 -3 
369 addClause -38 -15 -17 
370 addClause -82 -16 88 
371 addClause -42 -142 -40 
372 addClause -169 -145 -127 
373 addClause -84 -94 -11 
374 addClause -153 78 -38 
375 addClause 68 161 -97 
376 addClause 74 -147 124 
377 addClause 128 7 -37 
378 addClause 152 8 -63 
379 addClause 20 120 -14 
380 addClause 155 63 -97 
381 addClause 137 -166 156 
382 addClause 150 35 10 
383 addClause -14 -126 48 
384 addClause -101 -135 -46 
385 addClause 38 -126 -147 
386 addClause -170 155 93 
387 addClause 107 -22 -155 
388 addClause 47 -133 66 
389 addClause -47 -159 26 
390 addClause 33 30 145 
391 addClause -133 42 -107 
392 addClause -4 66 -49 
393 addClause -96 15 141 
394 addClause -113 84 -149 
395 addClause -57 97 -44 
396 addClause -17 9 47 
397 addClause 51 39 15 
398 addClause -1 -114 162 
399 addClause 45 27 100 
400 addClause -6 -172 48 
401 addClause 82 93 78 
402 addClause -149 -145 152 
403 addClause -7 -65 -111 
404 addClause -14 -133 100 
405 addClause 83 -162 -166 
406 addClause -79 44 -109 
407 addClause -90 -38 124 
408 addClause 150 30 -132 
409 addClause 125 151 36 
410 addClause 29 -44 89 
411 addClause -154 -63 -134 
412 addClause 146 26 -88 
413 addClause -100 -126 85 
414 addClause 75 67 -55 
415 addClause -56 68 65 
416 addClause -23 -49 -147 
417 addClause 105 83 -49 
418 addClause -127 -7 69 
419 addClause 68 -144 47 
420 addClause 73 36 -146 
421 addClause -67 8 -12 
422 addClause 146 -22 -131 
423 addClause -100 -21 -73 
424 addClause 47 145 30 
425 addClause 10 86 120 
426 addClause 117 -126 23 
427 addClause 2 -150 145 
428 addClause 42 144 -118 
429 addClause 151 -151 164 
430 addClause 108 24 -53 
431 addClause -47 88 -84 
432 addClause -34 -95 -4 
433 addClause -50 -166 145 
434 addClause 138 60 154 
435 addClause 122 -18 19 
436 addClause 134 151 -110 
437 addClause -69 132 -50 
438 addClause 52 54 126 
439 addClause 85 -32 -79 
440 addClause -140 -125 -161 
441 addClause 68 -62 -136 
442 addClause 105 -76 52 
443 addClause -71 -74 18 
444 addClause 133 -12 96 
445 addClause -96 104 68 
446 addClause -124 151 -123 
447 addClause 122 40 144 
448 addClause -99 32 -26 
449 addClause 21 -15 147 
450 addClause 14 67 -68 
451 addClause -108 -118 -41 
452 addClause 138 43 -141 
453 addClause -62 -24 -70 
454 addClause -46 146 34 
455 addClause -7 104 86 
456 addClause -101 74 -26 
457 addClause 133 119 -117 
458 addClause -55 52 -67 
459 addClause 140 -51 2 
460 addClause 56 -36 -86 
461 addClause -54 157 -51 
462 addClause 108 -67 110 
463 addClause 72 12 169 
464 addClause -67 -42 -164 
465 addClause -14 44 -84 
466 addClause 96 106 113 
467 addClause -46 112 128 
468 addClause 8 -160 2 
469 addClause -149 -120 77 
470 addClause 156 170 -41 
471 addClause -154 -105 -143 
472 addClause -159 -16 63 
473 addClause -55 84 138 
474 addClause 22 77 -113 
475 addClause 113 -127 -59 
476 addClause 49 -39 99 
477 addClause -111 -139 -83 
478 addClause -91 -36 -101 
479 addClause -156 -25 -62 
480 addClause 170 120 56 
481 addClause -137 -30 124 
482 addClause -80 93 -98 
483 addClause 81 7 -143 
484 addClause -130 93 63 
485 addClause -117 34 145 
486 addClause -28 9 139 
487 addClause 21 -164 31 
488 addClause 52 58 -142 
489 addClause -36 5 91 
490 addClause 140 -100 152 
491 addClause 33 -44 -139 
492 addClause 60 98 43 
493 addClause 9 -89 -171 
494 addClause 113 -56 161 
495 addClause 93 -134 -162 
496 addClause 35 32 90 
497 addClause 96 -146 -22 
498 addClause 17 -170 -24 
499 addClause 91 122 158 
500 addClause 2 -135 -139 
501 addClause -107 -155 -133 
502 addClause -60 58 -46 
503 addClause -20 123 -39 
504 addClause 8 -152 -63 
505 addClause -79 56 -82 
506 addClause 51 -77 101 
507 addClause -94 -89 -153 
508 addClause -104 14 69 
509 addClause -19 -112 -124 
510 addClause -22 148 -3 
511 addClause -141 30 18 
512 addClause -19 171 102 
513 addClause 129 -96 38 
514 addClause 156 -118 -154 
515 addClause 70 -86 -39 
516 addClause 169 -107 45 
517 addClause 37 101 -28 
518 addClause -66 -86 163 
519 solve
