1 init
2 Data Structure Factory : MixedDataStructureDanielWL
3 Learning Strategy : NoLearningButHeuristics
218 addClause 81 -33 109 
219 addClause -104 -106 58 
220 addClause -67 -109 -80 
221 addClause -114 -11 10 
222 addClause 32 40 -56 
223 addClause 108 -8 89 
224 addClause -5 42 -114 
225 addClause -77 60 -113 
226 addClause -91 -102 -92 
227 addClause 59 105 44 
228 addClause 68 51 106 
229 addClause 21 17 16 
230 addClause -22 -115 -27 
231 addClause -33 56 98 
232 addClause 32 53 -67 
233 addClause 2 -121 -5 
234 addClause 51 103 -86 
235 addClause 35 11 98 
236 addClause 85 -123 -115 
237 addClause 115 -39 36 
238 addClause 40 3 -12 
239 addClause 82 98 -68 
240 addClause 122 25 101 
241 addClause -105 29 -83 
242 addClause -5 -10 -47 
243 addClause -3 101 -117 
244 addClause 75 34 -34 
245 addClause -122 31 -91 
246 addClause 79 -89 56 
247 addClause -32 -78 -1 
248 addClause 39 -76 96 
249 addClause -10 97 -87 
250 addClause -80 -91 -97 
251 addClause 81 -106 -20 
252 addClause -98 -60 -81 
253 addClause 33 84 -22 
254 addClause 71 -70 84 
255 addClause 34 -33 89 
256 addClause -23 -101 118 
257 addClause 27 -20 75 
258 addClause 82 80 50 
259 addClause -111 -63 -102 
260 addClause -30 79 -104 
261 addClause -12 51 109 
262 addClause 6 -77 -20 
263 addClause -76 73 25 
264 addClause 113 -77 81 
265 addClause 12 9 -49 
266 addClause -85 77 17 
267 addClause -33 49 15 
268 addClause -35 6 -102 
269 addClause 17 104 -108 
270 addClause -30 -73 -93 
271 addClause 45 -41 -54 
272 addClause -44 71 -64 
273 addClause -41 -38 -99 
274 addClause 60 -27 67 
275 addClause 52 -76 -46 
276 addClause 56 -62 -108 
277 addClause -44 -104 39 
278 addClause -109 -110 -119 
279 addClause 14 119 115 
280 addClause 34 21 -28 
281 addClause -114 -4 -43 
282 addClause 34 70 76 
283 addClause -88 -26 26 
284 addClause -62 -77 74 
285 addClause -106 -19 54 
286 addClause 20 -115 2 
287 addClause 64 -65 17 
288 addClause -118 -31 27 
289 addClause -108 73 22 
290 addClause 123 104 -79 
291 addClause -121 51 9 
292 addClause -73 107 27 
293 addClause 81 64 56 
294 addClause 115 68 87 
295 addClause -106 -121 106 
296 addClause -93 -26 -77 
297 addClause 26 21 -94 
298 addClause -65 -116 120 
299 addClause -47 87 -19 
300 addClause 103 -96 100 
301 addClause 120 122 109 
302 addClause -64 -76 -82 
303 addClause -103 28 -23 
304 addClause -120 81 109 
305 addClause 15 75 83 
306 addClause -55 -112 -68 
307 addClause -54 48 -15 
308 addClause 89 104 38 
309 addClause 53 -88 39 
310 addClause 55 79 8 
311 addClause -17 110 -110 
312 addClause 43 -30 88 
313 addClause -2 -97 -121 
314 addClause -95 -65 24 
315 addClause -101 -16 102 
316 addClause 22 41 -108 
317 addClause -59 -80 16 
318 addClause 111 115 -93 
319 addClause -124 91 101 
320 addClause -125 10 -59 
321 addClause -62 35 -73 
322 addClause 112 62 -27 
323 addClause 82 81 -36 
324 addClause -67 2 46 
325 addClause -13 9 -57 
326 addClause -70 36 -116 
327 addClause 12 -16 81 
328 addClause -111 -59 27 
329 addClause -68 -89 121 
330 addClause 111 5 38 
331 addClause -4 51 -69 
332 addClause -12 -36 -104 
333 addClause 86 62 -51 
334 addClause -16 -93 54 
335 addClause 87 54 78 
336 addClause 29 85 -16 
337 addClause -86 -66 36 
338 addClause 39 122 -65 
339 addClause -73 47 -8 
340 addClause -116 32 106 
341 addClause 15 -98 93 
342 addClause 20 -80 81 
343 addClause -1 48 -123 
344 addClause 102 58 91 
345 addClause -40 -6 -13 
346 addClause -42 -102 77 
347 addClause -30 34 -120 
348 addClause -85 19 -119 
349 addClause 70 98 31 
350 addClause -23 59 -106 
351 addClause 45 7 44 
352 addClause -35 70 -52 
353 addClause 71 97 103 
354 addClause -56 -5 -71 
355 addClause -14 -66 -68 
356 addClause -98 -22 25 
357 addClause -45 43 -32 
358 addClause 44 -31 -24 
359 addClause 38 85 70 
360 addClause 18 121 71 
361 addClause -37 -36 66 
362 addClause -94 75 51 
363 addClause -88 43 11 
364 addClause 24 -27 -120 
365 addClause -11 -47 -6 
366 addClause 122 45 75 
367 addClause -73 -58 24 
368 addClause -81 78 -122 
369 addClause -47 50 8 
370 addClause -113 -31 -29 
371 addClause -105 -59 -15 
372 addClause 82 -97 -103 
373 addClause 75 -8 123 
374 addClause -102 77 85 
375 addClause 99 -118 -33 
376 addClause -46 -113 49 
377 addClause 12 -34 17 
378 addClause -59 101 55 
379 addClause 80 -25 -47 
380 addClause -72 -118 -76 
381 addClause 1 8 122 
382 addClause 69 -14 117 
383 addClause 41 -95 83 
384 addClause -91 71 57 
385 addClause -109 -63 -92 
386 addClause -40 -3 -39 
387 solve
388 addClause -154 -137 63 
389 addClause 159 -26 75 
390 addClause 123 228 -113 
391 addClause -111 -118 67 
392 addClause -29 -164 -38 
393 addClause -39 -224 -125 
394 addClause -203 -55 41 
395 addClause -160 17 -33 
396 addClause 210 237 199 
397 addClause -121 -15 -98 
398 addClause -219 218 -234 
399 addClause 97 231 167 
400 addClause -152 106 -107 
401 addClause -198 -234 -237 
402 addClause 145 -215 -154 
403 addClause -31 -161 67 
404 addClause -163 98 113 
405 addClause 180 44 -222 
406 addClause 78 44 -109 
407 addClause 108 -169 -11 
408 addClause -67 125 -162 
409 addClause -5 95 101 
410 addClause -6 -226 -210 
411 addClause 55 243 -46 
412 addClause 236 -168 -137 
413 addClause 232 -153 196 
414 addClause -169 13 -90 
415 addClause 51 98 -240 
416 addClause 1 195 -45 
417 addClause 105 12 -25 
418 addClause 17 -75 -89 
419 addClause 230 35 -122 
420 addClause 237 -202 46 
421 addClause 95 143 -234 
422 addClause -28 174 -139 
423 addClause -109 35 -150 
424 addClause 112 -6 -209 
425 addClause 107 119 -19 
426 addClause 45 -224 -53 
427 addClause 185 109 4 
428 addClause 193 -165 -214 
429 addClause -230 -52 -54 
430 addClause -158 224 53 
431 addClause 160 101 -104 
432 addClause 216 243 108 
433 addClause -64 92 -224 
434 addClause -153 35 -138 
435 addClause 47 -158 -71 
436 addClause 179 1 77 
437 addClause 177 8 30 
438 addClause -193 -161 -9 
439 addClause 3 166 89 
440 addClause -63 32 -242 
441 addClause 179 218 -72 
442 addClause -28 218 -51 
443 addClause -167 5 6 
444 addClause 165 108 -229 
445 addClause 166 22 -180 
446 addClause 163 102 85 
447 addClause 223 -169 -21 
448 addClause 87 77 -8 
449 addClause -47 75 -87 
450 addClause 37 232 147 
451 addClause -213 -67 224 
452 addClause -167 110 140 
453 addClause -134 206 -44 
454 addClause 186 61 57 
455 addClause -95 189 -150 
456 addClause 53 97 93 
457 addClause -92 -76 -233 
458 addClause -115 39 31 
459 addClause 11 209 -84 
460 addClause -145 54 -149 
461 addClause -130 -10 69 
462 addClause -88 -156 -201 
463 addClause -240 119 235 
464 addClause 52 -122 -182 
465 addClause -136 -114 191 
466 addClause 229 159 -114 
467 addClause -35 -93 34 
468 addClause 130 -184 -17 
469 addClause 74 148 29 
470 addClause -224 51 -76 
471 addClause 90 -210 103 
472 addClause -154 -55 26 
473 addClause 73 -194 -50 
474 addClause -46 -44 -16 
475 addClause -42 -231 200 
476 addClause -92 -82 -180 
477 addClause 9 -194 -163 
478 addClause -95 156 148 
479 addClause 151 227 -138 
480 addClause -208 -153 160 
481 addClause -6 29 -87 
482 addClause 155 47 111 
483 addClause 33 5 92 
484 addClause -173 -85 55 
485 addClause -103 -211 216 
486 addClause 82 195 -63 
487 addClause -47 7 -44 
488 addClause 193 36 91 
489 addClause 149 -180 29 
490 addClause -168 -40 -154 
491 addClause -51 -114 -66 
492 addClause 6 93 -22 
493 addClause -4 171 175 
494 addClause 56 137 92 
495 addClause 146 230 49 
496 addClause 72 211 149 
497 addClause 167 -19 -30 
498 addClause 91 -78 109 
499 addClause 229 97 -144 
500 addClause 78 2 4 
501 addClause 16 213 90 
502 addClause 90 20 -202 
503 addClause -231 155 211 
504 addClause 10 -27 -20 
505 addClause 5 -64 142 
506 addClause -242 -158 175 
507 addClause 17 229 190 
508 addClause 32 -84 238 
509 addClause 94 -197 -11 
510 addClause -148 -234 167 
511 addClause 102 203 183 
512 addClause 61 -101 226 
513 addClause -236 -229 88 
514 addClause 54 -142 -196 
515 addClause 108 241 137 
516 addClause 132 -169 41 
517 addClause 219 -230 195 
518 addClause 28 -241 190 
519 addClause 81 -95 242 
520 addClause 241 -76 -13 
521 addClause -92 188 178 
522 addClause 143 58 -167 
523 addClause -68 -188 -11 
524 addClause 198 -77 202 
525 addClause -209 -232 -27 
526 addClause -142 -179 -53 
527 addClause 3 198 101 
528 addClause 175 -80 114 
529 addClause 45 -9 -232 
530 addClause 95 -242 -125 
531 addClause 242 -239 75 
532 addClause 78 84 -34 
533 addClause -86 -30 -158 
534 addClause -10 165 158 
535 addClause -158 154 229 
536 addClause -79 126 -99 
537 addClause -155 -167 -113 
538 addClause -40 230 -172 
539 addClause 51 -198 44 
540 addClause 32 -61 68 
541 addClause -28 54 108 
542 addClause 66 -64 -216 
543 addClause 184 109 81 
544 addClause 67 -153 -67 
545 addClause -184 -224 215 
546 addClause 28 -71 221 
547 addClause 134 -98 76 
548 addClause -159 -201 76 
549 addClause -55 -116 -191 
550 addClause -176 -169 -100 
551 addClause 64 35 -158 
552 addClause -36 -75 -158 
553 addClause -129 191 -55 
554 addClause 71 -52 106 
555 addClause 138 -196 -151 
556 addClause -112 31 170 
557 addClause 77 -233 -138 
558 addClause -184 111 159 
559 addClause -193 54 74 
560 addClause -173 -27 -191 
561 addClause 211 216 -159 
562 addClause 177 -118 66 
563 addClause 218 -34 203 
564 addClause 222 -27 234 
565 addClause -40 -126 -180 
566 addClause -41 -187 -239 
567 addClause 230 -231 -65 
568 addClause -101 180 -66 
569 addClause 193 96 -117 
570 addClause 106 -163 -179 
571 addClause -213 48 196 
572 addClause -9 11 -118 
573 addClause 18 61 -138 
574 addClause -207 5 190 
575 addClause 208 -240 -33 
576 addClause 99 -218 63 
577 addClause -72 -131 -54 
578 addClause -188 -173 223 
579 addClause -216 -160 -185 
580 addClause 124 -138 62 
581 addClause -160 33 93 
582 addClause -82 114 -142 
583 addClause 37 -1 -186 
584 addClause 72 84 182 
585 addClause -231 -2 24 
586 addClause 157 -205 91 
587 addClause 4 -184 121 
588 addClause -238 -86 184 
589 addClause -216 180 -74 
590 addClause 178 15 47 
591 addClause -174 178 231 
592 addClause -48 235 -215 
593 addClause -150 -163 -217 
594 addClause -171 61 -163 
595 addClause -38 223 59 
596 addClause -120 -76 24 
597 addClause 87 243 -160 
598 addClause 77 157 -21 
599 addClause 11 178 38 
600 addClause 171 231 115 
601 addClause -17 81 140 
602 addClause -19 213 42 
603 addClause 178 -54 -169 
604 addClause 110 -107 -236 
605 addClause 15 -186 229 
606 addClause -183 -170 -190 
607 addClause -224 -84 139 
608 addClause -41 -74 13 
609 addClause 96 21 162 
610 addClause -98 186 -233 
611 addClause -224 -114 2 
612 addClause 84 -33 59 
613 addClause -187 226 21 
614 addClause 8 -44 10 
615 addClause 201 -66 185 
616 addClause 166 217 231 
617 addClause -233 231 -88 
618 addClause 21 -108 116 
619 addClause 84 57 230 
620 addClause 100 49 -216 
621 addClause -121 228 165 
622 addClause 48 -106 -196 
623 addClause 9 48 -109 
624 addClause 44 121 -155 
625 addClause 95 101 -87 
626 addClause 17 198 106 
627 addClause 131 -235 -238 
628 addClause -28 -135 111 
629 addClause 173 -91 -109 
630 addClause -200 -206 -172 
631 addClause 182 -204 169 
632 addClause 231 -22 108 
633 addClause 117 127 46 
634 addClause 152 28 197 
635 addClause 113 -227 114 
636 addClause -30 184 223 
637 addClause -182 -203 31 
638 addClause -128 -173 -67 
639 addClause 222 231 -134 
640 addClause -130 -174 -101 
641 addClause -230 -175 180 
642 addClause 78 -171 -141 
643 addClause -238 -193 189 
644 addClause 7 152 -9 
645 addClause -37 144 -133 
646 addClause -210 139 -25 
647 addClause -54 174 -22 
648 addClause 203 145 212 
649 addClause -186 -50 -61 
650 addClause -25 160 -29 
651 addClause 227 -183 16 
652 addClause 14 55 106 
653 addClause -122 52 -110 
654 addClause -44 -48 -198 
655 addClause -180 -46 -19 
656 addClause -159 70 148 
657 addClause 166 -5 -112 
658 addClause -158 -16 36 
659 addClause -148 -82 3 
660 addClause -20 -76 -13 
661 addClause 217 66 -172 
662 addClause -119 -120 179 
663 addClause 220 -72 -169 
664 addClause -179 64 211 
665 addClause 65 -201 243 
666 addClause -171 -4 -193 
667 addClause -52 -70 -228 
668 addClause -57 -133 236 
669 addClause -143 77 69 
670 addClause 9 -161 -171 
671 addClause -30 21 243 
672 addClause -83 -48 -158 
673 addClause -85 116 -16 
674 addClause -88 -58 88 
675 addClause -90 -238 3 
676 addClause -108 7 -241 
677 addClause 118 234 -149 
678 addClause -150 189 154 
679 addClause 233 -177 96 
680 addClause 167 122 -15 
681 addClause 119 106 -211 
682 addClause -67 61 190 
683 addClause -134 -195 -222 
684 addClause -97 -109 -14 
685 addClause 23 -145 99 
686 addClause -151 -189 63 
687 addClause -6 -144 194 
688 addClause 126 1 -242 
689 addClause 108 -159 80 
690 addClause 172 -228 47 
691 addClause -120 164 -73 
692 addClause -232 122 -76 
693 addClause -76 161 -3 
694 addClause -241 -149 -169 
695 addClause -113 -168 110 
696 addClause 230 227 -124 
697 addClause -116 -52 -191 
698 addClause 155 52 79 
699 addClause 19 179 -105 
700 addClause 127 11 -167 
701 addClause -146 -95 -78 
702 addClause 148 194 9 
703 addClause 219 48 131 
704 addClause -36 198 172 
705 addClause -8 -121 -207 
706 addClause 169 -187 232 
707 addClause -63 -57 235 
708 addClause -17 46 141 
709 addClause -95 -72 28 
710 addClause 204 -64 232 
711 addClause -98 -151 20 
712 addClause 128 93 -202 
713 addClause 166 59 101 
714 addClause 28 182 -79 
715 addClause 201 -177 -154 
716 addClause 93 -43 118 
717 addClause -118 -134 1 
718 addClause -235 -44 180 
719 addClause 230 -119 52 
720 addClause 190 241 71 
721 addClause 172 -32 76 
722 addClause -31 33 -102 
723 addClause 36 -98 -187 
724 addClause -175 -123 141 
725 addClause 194 84 -23 
726 addClause -146 -215 -19 
727 addClause 127 181 216 
728 addClause 87 96 -100 
729 addClause 74 -72 -58 
730 addClause 179 161 60 
731 addClause -163 215 -42 
732 addClause -13 -205 228 
733 addClause -31 -88 -4 
734 addClause 56 28 143 
735 addClause 181 -202 89 
736 addClause 11 34 -84 
737 addClause 92 89 -84 
738 addClause -238 -212 -220 
739 addClause -102 86 -149 
740 addClause -178 -240 232 
741 addClause -212 -153 125 
742 addClause -233 -36 173 
743 addClause 134 31 9 
744 addClause -175 -152 168 
745 solve
746 addClause 172 94 181 
747 addClause -68 -15 135 
748 addClause -273 -216 -83 
749 addClause 85 -98 -279 
750 addClause 284 -189 -196 
751 addClause 42 -290 -261 
752 addClause -27 -113 294 
753 addClause 9 166 221 
754 addClause -126 44 -154 
755 addClause 259 162 180 
756 addClause -79 130 221 
757 addClause 256 -273 225 
758 addClause 206 97 -289 
759 addClause -73 284 -111 
760 addClause 16 -87 -216 
761 addClause 172 -244 -78 
762 addClause 152 -59 -6 
763 addClause -157 132 -110 
764 addClause -182 -70 -100 
765 addClause 289 249 -237 
766 addClause 270 -251 27 
767 addClause 201 -144 -170 
768 addClause -201 -179 55 
769 addClause -59 -269 79 
770 addClause 22 122 114 
771 addClause 123 16 -93 
772 addClause -18 -168 -67 
773 addClause 133 -138 -1 
774 addClause 141 -245 -246 
775 addClause -162 -172 -182 
776 addClause -272 70 47 
777 addClause -243 -15 -95 
778 addClause -136 126 16 
779 addClause 132 126 293 
780 addClause -282 -133 111 
781 addClause 22 58 -277 
782 addClause -60 -219 182 
783 addClause -119 13 147 
784 addClause 281 -43 191 
785 addClause 187 -184 -110 
786 addClause 147 -77 -269 
787 addClause 83 -26 -294 
788 addClause 90 37 283 
789 addClause 264 -41 -193 
790 addClause 29 44 -109 
791 addClause 117 -19 245 
792 addClause 166 39 197 
793 addClause 161 164 -242 
794 addClause -185 5 -208 
795 addClause -82 18 -94 
796 addClause -81 -76 65 
797 addClause -71 -72 -281 
798 addClause 63 -13 198 
799 addClause 148 178 -108 
800 addClause 245 13 -263 
801 addClause 145 284 -97 
802 addClause 174 97 138 
803 addClause 162 136 86 
804 addClause 76 183 110 
805 addClause -243 -137 -258 
806 addClause 89 47 -92 
807 addClause 85 38 -295 
808 addClause -112 125 28 
809 addClause -235 -284 49 
810 addClause 258 -29 196 
811 addClause -114 -173 286 
812 addClause -274 -284 -36 
813 addClause -17 27 151 
814 addClause -37 70 -286 
815 addClause 199 275 283 
816 addClause -69 28 146 
817 addClause -92 17 -269 
818 addClause -132 284 -135 
819 addClause 243 -64 -290 
820 addClause -195 -201 287 
821 addClause 183 294 144 
822 addClause 17 -198 182 
823 addClause -220 -138 186 
824 addClause -266 -85 295 
825 addClause 250 49 -140 
826 addClause -86 -185 -54 
827 addClause -279 -228 82 
828 addClause -132 -265 -147 
829 addClause 94 -211 -213 
830 addClause 85 234 -292 
831 addClause 86 -226 149 
832 addClause -292 -239 222 
833 addClause -1 -122 9 
834 addClause 145 209 175 
835 addClause -129 21 103 
836 addClause -19 33 -158 
837 addClause 256 206 -218 
838 addClause 40 -223 278 
839 addClause 26 -173 6 
840 addClause 204 232 -245 
841 addClause 241 -236 -101 
842 addClause 149 31 5 
843 addClause 37 -293 270 
844 addClause -28 -282 6 
845 addClause -108 -159 104 
846 addClause 139 15 -192 
847 addClause 64 -202 -272 
848 addClause 122 109 -162 
849 addClause -86 -183 -51 
850 addClause -45 260 197 
851 addClause 168 212 -243 
852 addClause 2 125 -223 
853 addClause -44 42 -4 
854 addClause -267 -256 -167 
855 addClause 264 142 81 
856 addClause -218 116 164 
857 addClause -153 -188 240 
858 addClause 150 -85 202 
859 addClause 159 61 -44 
860 addClause -199 -110 -197 
861 addClause 214 56 62 
862 addClause -284 256 -6 
863 addClause 142 263 291 
864 addClause 81 -208 247 
865 addClause 73 -226 -41 
866 addClause 121 200 -27 
867 addClause -70 -176 -121 
868 addClause -199 -185 126 
869 addClause -246 9 268 
870 addClause -82 -173 245 
871 addClause 9 -219 25 
872 addClause 142 -7 69 
873 addClause 248 -250 -190 
874 addClause 138 189 -61 
875 addClause -205 -276 117 
876 addClause -153 122 230 
877 addClause -290 146 176 
878 addClause 135 195 -121 
879 addClause -229 28 13 
880 addClause 191 -3 -100 
881 addClause 49 -92 -144 
882 addClause 216 133 200 
883 addClause -42 -20 250 
884 addClause -234 -48 -232 
885 addClause 66 101 -132 
886 addClause 75 -167 -217 
887 addClause -122 -80 259 
888 addClause -244 -205 -284 
889 addClause 42 187 237 
890 addClause 88 180 285 
891 addClause 89 -170 -297 
892 addClause -87 -238 -206 
893 addClause 36 -40 236 
894 addClause 47 254 -87 
895 addClause -16 114 -74 
896 addClause -11 -221 218 
897 addClause 157 -15 291 
898 addClause 203 216 60 
899 addClause -237 -25 -133 
900 addClause -249 11 125 
901 addClause -68 -126 -121 
902 addClause -106 -58 152 
903 addClause -289 160 -191 
904 addClause -27 88 87 
905 solve
