1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : VarOrderHeap/varDecay=0.8189899634280502
4 Phase Selection Strategy : PositiveLiteralSelectionStrategy
5 Learning Strategy : ActiveLearning/percent=0.7660546099657837
193 addClause -31 29 -69 
194 addClause 83 -41 107 
195 addClause 2 -89 -26 
196 addClause 53 -93 -106 
197 addClause -110 31 104 
198 addClause -94 -56 -73 
199 addClause 31 57 -81 
200 addClause 113 86 -110 
201 addClause -106 -62 35 
202 addClause -47 -70 -27 
203 addClause -104 -77 -59 
204 addClause -44 73 -55 
205 addClause 17 -22 114 
206 addClause 39 22 98 
207 addClause 98 72 -12 
208 addClause -67 -70 8 
209 addClause -39 -33 6 
210 addClause 29 -57 95 
211 addClause 107 97 -101 
212 addClause -90 9 -60 
213 addClause 68 77 111 
214 addClause -34 -48 -108 
215 addClause -22 49 56 
216 addClause -36 -13 27 
217 addClause 3 20 66 
218 addClause 5 61 -58 
219 addClause -95 -90 -51 
220 addClause 61 62 -68 
221 addClause -51 -9 65 
222 addClause -93 -98 44 
223 addClause -107 1 90 
224 addClause -16 -9 89 
225 addClause 21 -98 26 
226 addClause 46 26 59 
227 addClause 69 -62 -87 
228 addClause 102 -39 -5 
229 addClause 56 49 -115 
230 addClause -88 59 38 
231 addClause -66 -44 33 
232 addClause -97 93 91 
233 addClause -56 -4 -93 
234 addClause 94 21 14 
235 addClause 3 47 67 
236 addClause -88 -22 -98 
237 addClause 5 71 56 
238 addClause -85 52 -14 
239 addClause -103 -46 2 
240 addClause -113 -45 15 
241 addClause -31 114 14 
242 addClause -100 69 -72 
243 addClause -73 23 -65 
244 addClause 56 -20 28 
245 addClause -112 45 -32 
246 addClause 35 90 81 
247 addClause 54 -5 33 
248 addClause 34 55 -26 
249 addClause -59 76 74 
250 addClause -26 -40 93 
251 addClause 27 -36 -96 
252 addClause 90 56 84 
253 addClause 107 14 -58 
254 addClause -82 87 -23 
255 addClause 10 -50 8 
256 addClause -21 3 -109 
257 addClause 7 51 60 
258 addClause 29 91 -70 
259 addClause -42 60 -40 
260 addClause -109 -42 -81 
261 addClause -111 16 -94 
262 addClause -63 56 25 
263 addClause 89 -16 58 
264 addClause 47 -45 -66 
265 addClause -34 23 -8 
266 addClause 65 -17 -8 
267 addClause -7 42 -58 
268 addClause -88 104 100 
269 addClause 90 70 100 
270 addClause 35 11 28 
271 addClause -79 61 -32 
272 addClause 65 48 109 
273 addClause -40 95 108 
274 addClause -32 -44 58 
275 addClause 31 -88 -12 
276 addClause 82 20 -25 
277 addClause 56 -114 71 
278 addClause -72 109 82 
279 addClause -9 -56 -45 
280 addClause 104 106 100 
281 addClause -26 83 43 
282 addClause 110 73 -78 
283 addClause -79 -63 22 
284 addClause -5 62 50 
285 addClause -70 -50 -3 
286 addClause 47 71 114 
287 addClause 99 18 -13 
288 addClause 3 -31 98 
289 addClause -12 -32 -11 
290 addClause 45 -97 22 
291 addClause 9 57 -13 
292 addClause -18 -84 -110 
293 addClause -27 4 6 
294 addClause 71 -36 70 
295 addClause 97 42 91 
296 addClause -61 -109 111 
297 addClause -34 51 41 
298 addClause 24 -3 34 
299 addClause 112 -70 -41 
300 addClause -30 18 71 
301 addClause 68 -104 96 
302 addClause 3 -28 103 
303 addClause 9 12 -96 
304 addClause -9 21 111 
305 addClause 1 110 101 
306 addClause 96 112 -67 
307 addClause 13 58 -92 
308 addClause 108 -52 -75 
309 addClause 113 -8 21 
310 addClause 109 91 24 
311 addClause 68 34 91 
312 addClause -40 -97 -110 
313 addClause 40 11 -37 
314 addClause -84 86 -43 
315 addClause 2 -72 -12 
316 addClause 33 -95 -111 
317 addClause 34 -51 42 
318 addClause 51 103 -32 
319 addClause 74 -78 -47 
320 addClause 37 86 -50 
321 addClause 45 -50 4 
322 addClause 87 83 114 
323 addClause 40 -75 -91 
324 addClause -63 -70 21 
325 addClause -55 108 -73 
326 addClause -104 101 85 
327 addClause -107 -103 75 
328 addClause 86 17 -52 
329 addClause 38 78 -101 
330 addClause -29 90 -69 
331 addClause -38 -74 -3 
332 addClause -10 -100 45 
333 addClause 24 105 18 
334 addClause 109 21 65 
335 addClause 55 -35 -93 
336 addClause 60 -94 101 
337 addClause -97 91 -53 
338 addClause -63 -8 -28 
339 addClause -43 89 -74 
340 addClause 7 66 -11 
341 addClause -59 -60 -47 
342 addClause 30 66 112 
343 addClause -30 -32 -61 
344 addClause -108 -43 -15 
345 addClause 34 -92 -55 
346 addClause -107 -93 -41 
347 addClause 107 12 84 
348 addClause -29 108 -33 
349 addClause -30 64 -31 
350 addClause 107 -61 -48 
351 addClause 76 -75 107 
352 addClause -54 -84 -71 
353 addClause -105 111 -33 
354 addClause -19 44 40 
355 addClause -33 86 -72 
356 addClause 38 87 -91 
357 solve
358 addClause -67 -47 148 
359 addClause 82 -74 -119 
360 addClause 34 -89 -50 
361 addClause -28 77 159 
362 addClause 40 -46 76 
363 addClause 160 -156 59 
364 addClause -115 -49 148 
365 addClause 136 -14 -65 
366 addClause 22 137 88 
367 addClause -75 -94 -132 
368 addClause -45 33 43 
369 addClause -98 -130 -21 
370 addClause 138 162 47 
371 addClause -25 22 91 
372 addClause -106 103 72 
373 addClause -48 61 116 
374 addClause 11 -157 115 
375 addClause 17 -151 -59 
376 addClause 99 -28 -56 
377 addClause 114 -110 137 
378 addClause 155 -172 30 
379 addClause 84 21 -17 
380 addClause -79 115 -56 
381 addClause -128 -131 158 
382 addClause 75 171 113 
383 addClause -140 83 87 
384 addClause 170 -21 -112 
385 addClause 64 101 60 
386 addClause -144 -95 -48 
387 addClause -56 57 -116 
388 addClause -152 43 -112 
389 addClause 40 21 -164 
390 addClause 103 166 -62 
391 addClause -171 122 -56 
392 addClause 169 142 -158 
393 addClause -91 -36 -40 
394 addClause 131 -171 117 
395 addClause 56 128 46 
396 addClause -138 -45 15 
397 addClause -55 109 136 
398 addClause 142 -28 -73 
399 addClause -137 -12 85 
400 addClause 126 108 -43 
401 addClause 7 85 -105 
402 addClause 165 44 -168 
403 addClause -61 -146 -160 
404 addClause 160 73 37 
405 addClause -75 100 -152 
406 addClause 6 -32 -117 
407 addClause 83 -128 -72 
408 addClause -10 -128 82 
409 addClause -26 11 144 
410 addClause -107 -51 -157 
411 addClause 48 156 32 
412 addClause -3 -13 -131 
413 addClause -22 92 -78 
414 addClause 43 70 -69 
415 addClause 17 117 19 
416 addClause -167 -98 118 
417 addClause 147 96 -143 
418 addClause 23 -143 -97 
419 addClause 115 -54 -107 
420 addClause 111 -12 117 
421 addClause -58 -86 -11 
422 addClause 30 -54 79 
423 addClause -26 -130 -11 
424 addClause 170 14 158 
425 addClause -95 85 94 
426 addClause -116 106 151 
427 addClause 133 -101 -160 
428 addClause 103 10 -22 
429 addClause 164 -19 137 
430 addClause -42 -17 -10 
431 addClause 89 -69 -147 
432 addClause 94 42 -52 
433 addClause 22 13 -165 
434 addClause 57 151 -37 
435 addClause -14 29 101 
436 addClause -7 5 138 
437 addClause -47 30 85 
438 addClause -20 -25 -142 
439 addClause 163 7 -39 
440 addClause 122 91 13 
441 addClause 128 -159 -36 
442 addClause 144 -166 -56 
443 addClause 161 -128 -65 
444 addClause -22 130 154 
445 addClause 149 126 -21 
446 addClause 150 28 153 
447 addClause -58 83 60 
448 addClause -105 -115 -143 
449 addClause 154 -154 95 
450 addClause 98 -134 -40 
451 addClause -12 -51 -154 
452 addClause 11 -132 -47 
453 addClause -44 86 9 
454 addClause 107 61 74 
455 addClause 69 -124 154 
456 addClause -70 -27 131 
457 addClause 25 -151 61 
458 addClause -150 158 79 
459 addClause -66 -130 -115 
460 addClause -9 106 -152 
461 addClause -157 120 -120 
462 addClause -116 68 -170 
463 addClause -125 -69 70 
464 addClause 20 -147 -63 
465 addClause 109 153 -71 
466 addClause -36 -48 -76 
467 addClause 77 31 -31 
468 addClause -116 94 51 
469 addClause 98 -135 -42 
470 addClause -15 11 113 
471 addClause -128 62 -16 
472 addClause 72 84 91 
473 addClause 126 -105 -50 
474 addClause 144 62 -33 
475 addClause -143 77 -150 
476 addClause 154 -31 -107 
477 addClause 93 143 -90 
478 addClause -25 -144 -56 
479 addClause -100 106 -114 
480 addClause 1 -17 -52 
481 addClause 32 -64 92 
482 addClause -145 165 -45 
483 addClause 115 8 33 
484 addClause 26 -79 22 
485 addClause -17 -6 -78 
486 addClause -28 17 -53 
487 addClause 131 43 156 
488 addClause 7 84 -169 
489 addClause -167 -168 108 
490 addClause 51 -115 -60 
491 addClause -128 -117 -110 
492 addClause 127 44 -81 
493 addClause -58 -10 170 
494 addClause 31 153 -13 
495 addClause 31 -16 13 
496 addClause -118 154 -143 
497 addClause 30 15 113 
498 addClause -118 168 -23 
499 addClause 116 42 80 
500 addClause -129 58 -54 
501 addClause -77 -66 -54 
502 addClause -148 154 -108 
503 addClause 130 106 -137 
504 addClause -20 -149 36 
505 addClause 153 -34 -122 
506 addClause 122 -85 114 
507 addClause -153 1 116 
508 addClause 73 128 142 
509 addClause -49 154 -59 
510 addClause 58 10 131 
511 addClause 75 25 -125 
512 addClause 129 63 145 
513 addClause 11 52 -68 
514 addClause 145 84 -62 
515 addClause 134 55 -16 
516 addClause 24 -41 -154 
517 addClause -139 -102 -49 
518 addClause 59 -69 -60 
519 addClause 33 135 -53 
520 addClause 50 -162 -144 
521 addClause -12 -77 52 
522 addClause 6 -90 66 
523 addClause 92 2 -23 
524 addClause 74 10 -159 
525 addClause 134 59 146 
526 addClause -38 30 84 
527 addClause 115 55 -22 
528 addClause -100 171 -88 
529 solve
530 addClause 39 -46 -115 
531 addClause 253 204 160 
532 addClause -230 241 -21 
533 addClause -259 -114 218 
534 addClause 193 -2 -90 
535 addClause -243 -92 -227 
536 addClause -21 -245 -6 
537 addClause -221 164 209 
538 addClause 242 14 -59 
539 addClause -64 109 140 
540 addClause 30 -200 22 
541 addClause 296 227 30 
542 addClause -125 205 25 
543 addClause 223 -134 -186 
544 addClause -57 71 -20 
545 addClause 163 261 -31 
546 addClause 177 52 -80 
547 addClause 26 150 -122 
548 addClause 164 -110 -199 
549 addClause -60 -76 -42 
550 addClause -77 148 199 
551 addClause 65 105 -98 
552 addClause -194 108 250 
553 addClause 84 -103 -124 
554 addClause 223 244 286 
555 addClause -290 297 -239 
556 addClause -166 78 188 
557 addClause -268 141 -105 
558 addClause 12 -59 -53 
559 addClause 174 -99 -40 
560 addClause -31 -229 206 
561 addClause -123 -73 166 
562 addClause -167 -45 167 
563 addClause -243 219 -195 
564 addClause 111 -72 -113 
565 addClause 26 275 -166 
566 addClause 5 -209 -174 
567 addClause -170 -175 87 
568 addClause -40 -49 -174 
569 addClause -90 126 -57 
570 addClause 14 -173 169 
571 addClause 69 -240 139 
572 addClause -274 -279 -197 
573 addClause -265 -226 142 
574 addClause -210 -193 -188 
575 addClause 125 13 -34 
576 addClause -290 281 210 
577 addClause 85 19 275 
578 addClause 257 10 92 
579 addClause 55 -217 67 
580 addClause 15 65 -109 
581 addClause -116 152 -295 
582 addClause -3 -29 -254 
583 addClause 260 -24 -5 
584 addClause -213 -190 -38 
585 addClause -79 -52 -37 
586 addClause 202 -267 249 
587 addClause -264 -192 19 
588 addClause -237 203 10 
589 addClause 194 -266 -21 
590 addClause 39 28 -292 
591 addClause -88 262 254 
592 addClause 2 111 101 
593 addClause -108 158 -35 
594 addClause 166 120 -241 
595 addClause -26 241 163 
596 addClause 33 -264 -157 
597 addClause 88 289 66 
598 addClause 196 -44 -111 
599 addClause 76 295 235 
600 addClause 259 -20 -107 
601 addClause -286 -146 -78 
602 addClause 272 -173 -250 
603 addClause -247 161 -124 
604 addClause -152 275 84 
605 addClause -11 181 78 
606 addClause 103 -139 32 
607 addClause 190 46 135 
608 addClause 100 242 -32 
609 addClause 298 85 -97 
610 addClause -265 -106 -195 
611 addClause -174 -9 -14 
612 addClause -91 -229 -244 
613 addClause 117 232 -32 
614 addClause 15 131 230 
615 addClause 158 5 136 
616 addClause -285 -14 46 
617 addClause 155 11 -21 
618 addClause -76 229 26 
619 addClause 38 -293 -163 
620 addClause -75 -219 148 
621 addClause -77 83 -278 
622 addClause -277 -262 -51 
623 addClause 65 52 -261 
624 addClause -138 -217 137 
625 addClause 108 247 -21 
626 addClause -126 -99 198 
627 addClause -246 84 244 
628 addClause 205 293 298 
629 addClause 161 46 85 
630 addClause -42 174 -136 
631 addClause 11 -267 90 
632 addClause -80 -230 -155 
633 addClause -170 221 -94 
634 addClause -47 -109 114 
635 addClause -31 -273 -115 
636 addClause -47 288 -207 
637 addClause 21 -10 -244 
638 addClause 195 -232 -143 
639 addClause 169 -113 37 
640 addClause -46 196 264 
641 addClause -94 50 294 
642 addClause 215 2 129 
643 addClause 296 28 255 
644 addClause 45 153 -143 
645 addClause -128 -125 -109 
646 addClause -112 -60 24 
647 addClause 256 -83 201 
648 addClause 193 95 158 
649 addClause 266 141 142 
650 addClause 185 -199 164 
651 addClause 134 271 111 
652 addClause 214 -187 -78 
653 addClause -196 -109 -148 
654 addClause -79 57 234 
655 addClause 180 -276 -178 
656 addClause -119 -164 -112 
657 addClause 238 -95 -167 
658 addClause 288 -243 198 
659 addClause 193 -39 -189 
660 addClause 290 -54 268 
661 addClause -207 -107 170 
662 addClause 147 156 -181 
663 addClause -199 -101 83 
664 addClause 63 -3 228 
665 addClause -17 -280 -20 
666 addClause 25 272 32 
667 addClause -176 -30 -224 
668 addClause -186 -213 -202 
669 addClause 51 10 -140 
670 addClause -171 245 210 
671 addClause -217 -23 -110 
672 addClause 79 195 280 
673 addClause -189 215 -25 
674 addClause 123 -59 284 
675 addClause -177 101 -26 
676 addClause 243 -177 297 
677 addClause -131 60 -89 
678 addClause 44 -239 107 
679 addClause -293 3 36 
680 addClause 207 -66 295 
681 addClause -285 64 -238 
682 addClause 130 -147 19 
683 addClause -77 107 -52 
684 addClause -249 -129 -153 
685 addClause -299 182 -196 
686 addClause 60 -130 68 
687 addClause -189 -236 4 
688 addClause 87 22 -272 
689 addClause -248 -94 39 
690 addClause 6 -258 160 
691 addClause 234 220 -102 
692 addClause -296 -50 -169 
693 addClause -24 -92 -189 
694 addClause 256 -66 149 
695 addClause 74 170 229 
696 addClause -271 254 235 
697 addClause -287 133 -259 
698 addClause 294 -158 244 
699 addClause -91 -107 274 
700 addClause 51 -111 90 
701 addClause 31 256 1 
702 addClause 26 -63 287 
703 addClause -262 -44 -207 
704 addClause 169 -162 -187 
705 addClause 154 -183 -50 
706 addClause 16 -259 -34 
707 addClause -170 -70 213 
708 addClause 243 -53 -183 
709 addClause -67 -178 -13 
710 addClause 292 -99 123 
711 addClause 297 -169 -275 
712 addClause 209 -147 121 
713 addClause -196 -213 -290 
714 addClause -148 197 162 
715 addClause 112 149 246 
716 addClause -12 101 10 
717 addClause 76 -101 202 
718 addClause 111 217 -91 
719 addClause 152 -100 75 
720 addClause -75 15 171 
721 addClause 164 -242 59 
722 addClause -201 152 159 
723 addClause -264 -87 193 
724 addClause -283 226 230 
725 addClause -15 -254 258 
726 addClause 137 -124 -251 
727 addClause -249 -53 193 
728 addClause 242 194 139 
729 addClause -177 134 59 
730 addClause 174 177 128 
731 addClause -275 295 169 
732 addClause 63 75 -29 
733 addClause -153 44 271 
734 addClause 76 168 -233 
735 addClause 105 -117 -294 
736 addClause 261 -255 58 
737 addClause 258 -207 -158 
738 addClause 11 87 -71 
739 addClause 160 189 85 
740 addClause 6 -204 9 
741 addClause 212 -275 245 
742 addClause 267 -57 -284 
743 addClause -172 29 108 
744 addClause -66 137 -241 
745 addClause 40 184 -126 
746 addClause 172 -114 -131 
747 addClause 11 213 135 
748 addClause 26 -285 176 
749 addClause 194 255 136 
750 addClause -205 140 104 
751 addClause 218 26 -82 
752 addClause 244 292 -30 
753 addClause 39 150 -77 
754 addClause 81 -233 69 
755 addClause 92 38 -45 
756 addClause -221 264 -177 
757 addClause 254 -248 2 
758 addClause -91 50 297 
759 addClause -27 276 277 
760 addClause -52 201 -47 
761 addClause 82 292 4 
762 addClause -177 292 89 
763 addClause -74 28 232 
764 addClause 132 248 67 
765 addClause -208 118 -298 
766 addClause 267 -120 -134 
767 addClause -93 -54 -75 
768 addClause -104 -190 -173 
769 addClause 40 271 -263 
770 addClause 34 253 235 
771 addClause -201 -127 -264 
772 addClause 158 60 -15 
773 addClause -121 282 -231 
774 addClause -263 -158 -268 
775 addClause 144 231 -65 
776 addClause -246 63 90 
777 addClause 22 146 282 
778 addClause -101 101 268 
779 addClause -57 245 290 
780 addClause -156 21 204 
781 addClause -190 -276 3 
782 addClause 107 -127 -130 
783 addClause -279 97 -61 
784 addClause -199 -125 -197 
785 addClause -292 -141 -266 
786 addClause -194 -200 4 
787 addClause -243 265 -159 
788 addClause 236 48 -199 
789 addClause 122 119 235 
790 addClause 3 -240 -2 
791 addClause 196 -61 -130 
792 addClause 286 92 62 
793 addClause 240 -133 -219 
794 addClause 24 58 129 
795 addClause -190 48 -223 
796 addClause -116 226 -123 
797 addClause 145 110 -155 
798 addClause 200 255 -55 
799 addClause -271 144 162 
800 addClause -175 135 161 
801 addClause -248 -235 -157 
802 addClause -162 50 -292 
803 addClause 242 -21 -15 
804 addClause 146 48 279 
805 addClause 196 -88 -213 
806 addClause -256 176 -101 
807 addClause 31 18 45 
808 addClause -113 117 -130 
809 addClause 56 -197 2 
810 addClause -183 -181 294 
811 addClause 109 105 253 
812 addClause 278 204 -191 
813 addClause -188 -52 -135 
814 addClause -162 261 -243 
815 addClause -213 -62 -297 
816 addClause 140 174 -43 
817 addClause 48 -183 128 
818 addClause 47 146 -245 
819 addClause 69 273 -50 
820 addClause -244 -180 -68 
821 addClause -27 201 43 
822 addClause -70 88 -14 
823 addClause -113 262 -238 
824 addClause -63 -202 -221 
825 addClause 97 -205 -111 
826 addClause 187 52 281 
827 addClause 225 268 240 
828 addClause -23 -175 -155 
829 addClause -52 -229 292 
830 addClause 24 105 -129 
831 addClause 16 125 296 
832 addClause 78 276 41 
833 addClause -112 -56 -290 
834 addClause 2 -254 240 
835 addClause 27 192 287 
836 addClause 183 249 -173 
837 addClause -33 -39 34 
838 addClause 272 -222 225 
839 addClause 231 -41 195 
840 addClause -179 -197 -12 
841 addClause 75 242 2 
842 addClause -253 -255 46 
843 addClause -40 -276 -298 
844 addClause -118 233 -196 
845 addClause 55 -199 74 
846 addClause -291 279 -65 
847 addClause -220 -147 -109 
848 addClause -248 -130 99 
849 addClause -18 93 -64 
850 addClause -267 -164 250 
851 addClause -15 213 295 
852 addClause 298 107 221 
853 addClause -183 275 -190 
854 addClause 296 34 -227 
855 addClause -291 80 -20 
856 addClause 216 291 120 
857 addClause -297 136 -220 
858 addClause -265 -68 -195 
859 addClause 34 -210 143 
860 addClause 211 -74 124 
861 addClause -70 47 40 
862 addClause 166 -87 -137 
863 addClause -212 -167 7 
864 addClause 194 236 -258 
865 addClause -72 296 147 
866 addClause 254 -173 -190 
867 addClause 59 68 -150 
868 addClause -53 142 -104 
869 addClause 277 48 92 
870 addClause 289 -282 -130 
871 addClause -234 220 -159 
872 addClause -112 90 96 
873 addClause -43 30 -26 
874 addClause 177 -294 -93 
875 addClause 250 -51 116 
876 addClause -229 -66 172 
877 addClause 134 119 274 
878 addClause -1 -127 -32 
879 addClause -122 -85 127 
880 addClause 153 275 172 
881 addClause -157 267 -234 
882 addClause 88 -91 235 
883 addClause 86 -214 -10 
884 addClause 32 -206 108 
885 addClause 149 -106 161 
886 addClause 186 -298 133 
887 addClause -217 27 10 
888 addClause 23 -224 -137 
889 addClause 42 -60 181 
890 addClause 256 -221 131 
891 addClause 263 248 -204 
892 addClause 162 195 -130 
893 addClause -55 -154 -222 
894 addClause 160 -185 179 
895 addClause -173 -156 -192 
896 addClause 30 247 104 
897 addClause -283 33 -29 
898 addClause 191 253 32 
899 addClause -188 -114 -78 
900 addClause 128 26 60 
901 addClause -132 39 -187 
902 addClause -220 246 -185 
903 addClause 186 20 -43 
904 addClause -1 -237 -62 
905 addClause 118 -144 241 
906 addClause -285 187 199 
907 addClause 106 -259 207 
908 addClause -264 -106 -267 
909 addClause -248 205 -128 
910 addClause 257 53 -296 
911 solve
