1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Learning Strategy : PercentLengthLearning/maxpercent=6
102 addClause -7 -19 -26 
103 addClause -87 -59 -28 
104 addClause -66 -16 -119 
105 addClause 33 70 -18 
106 addClause 2 73 37 
107 addClause -3 3 64 
108 addClause 94 -74 86 
109 addClause -28 30 75 
110 addClause -68 19 -47 
111 addClause 52 101 11 
112 addClause 36 -28 42 
113 addClause -52 -11 55 
114 addClause 39 -117 -74 
115 addClause -86 119 54 
116 addClause 97 39 -104 
117 addClause -97 86 44 
118 addClause 62 23 95 
119 addClause 39 35 -56 
120 addClause -28 -96 -68 
121 addClause -98 -86 3 
122 addClause -25 -13 73 
123 addClause -80 -41 97 
124 addClause 65 -110 -103 
125 addClause -28 15 -38 
126 addClause -92 -94 65 
127 addClause -104 72 116 
128 addClause -37 47 19 
129 addClause -97 -81 28 
130 addClause -20 -46 -102 
131 addClause 35 -116 60 
132 addClause -99 20 106 
133 addClause -54 -105 93 
134 addClause 50 -2 -69 
135 addClause -23 1 75 
136 addClause -61 -74 -65 
137 addClause -67 97 100 
138 addClause -23 -59 14 
139 addClause -71 9 2 
140 addClause 97 -30 -11 
141 addClause 11 -67 -60 
142 addClause 114 -103 -89 
143 addClause 17 18 98 
144 addClause 51 21 -15 
145 addClause 64 -22 -32 
146 addClause 23 -16 10 
147 addClause -66 -101 38 
148 addClause 74 50 -11 
149 addClause -35 -88 -94 
150 addClause 94 28 34 
151 addClause 11 55 -108 
152 addClause -19 68 -14 
153 addClause -25 -27 -95 
154 addClause 32 -93 1 
155 addClause 46 -40 -101 
156 addClause -94 -69 -95 
157 addClause -26 -120 119 
158 addClause 108 112 65 
159 addClause -107 1 15 
160 addClause -17 44 117 
161 addClause 49 -91 26 
162 addClause -75 -47 62 
163 addClause 40 -15 -104 
164 addClause -103 56 8 
165 addClause 80 -43 -22 
166 addClause 75 19 37 
167 addClause -17 65 -30 
168 addClause -95 -107 -89 
169 addClause 33 -103 -63 
170 addClause 81 32 53 
171 addClause -21 -78 85 
172 addClause -98 3 100 
173 addClause -75 115 81 
174 addClause 52 81 -71 
175 addClause -70 -67 77 
176 addClause -61 15 -1 
177 addClause 44 -55 47 
178 addClause 60 -89 24 
179 addClause -52 -97 -116 
180 addClause -10 43 -103 
181 addClause 67 96 117 
182 addClause -55 -68 -30 
183 addClause -37 119 84 
184 addClause -110 54 -98 
185 addClause -25 25 -52 
186 addClause 116 -97 15 
187 addClause -97 55 -102 
188 addClause -14 95 -11 
189 addClause 106 -61 64 
190 addClause -104 101 -99 
191 addClause 22 -100 45 
192 addClause 114 -68 94 
193 addClause 74 -44 -11 
194 addClause 20 -77 109 
195 addClause -55 35 92 
196 addClause -84 -79 16 
197 addClause 26 109 62 
198 addClause 87 113 -13 
199 addClause -108 81 14 
200 addClause -44 100 86 
201 addClause 1 -111 54 
202 addClause 79 81 -64 
203 addClause -43 70 116 
204 addClause -55 5 -20 
205 addClause -90 -87 -100 
206 addClause -58 -90 -83 
207 addClause 118 -95 -93 
208 addClause 19 -10 16 
209 addClause -64 -92 24 
210 addClause -16 77 -3 
211 addClause -78 -41 -32 
212 addClause -75 -60 -33 
213 addClause -108 -29 -84 
214 addClause -92 -33 118 
215 addClause -80 -117 -3 
216 addClause -34 40 12 
217 addClause 37 -102 -120 
218 addClause 46 -51 79 
219 addClause -5 -66 -71 
220 addClause 97 -5 -21 
221 addClause 79 -47 45 
222 addClause 81 -42 -92 
223 addClause -102 113 77 
224 addClause -117 7 -87 
225 addClause 24 36 -26 
226 addClause 37 68 13 
227 addClause 117 113 -116 
228 addClause 16 -91 -23 
229 addClause 84 79 -91 
230 addClause -28 -99 -20 
231 addClause -38 46 55 
232 addClause 70 -106 30 
233 addClause -83 22 -37 
234 addClause -45 17 -71 
235 addClause -67 99 91 
236 addClause 91 44 -37 
237 addClause 70 83 -6 
238 addClause 86 27 -103 
239 addClause -41 -21 -88 
240 addClause -72 11 -16 
241 addClause -52 -97 -33 
242 addClause -51 1 -31 
243 addClause 104 -20 7 
244 addClause -20 -48 -84 
245 addClause 73 -73 3 
246 addClause -44 30 36 
247 addClause -44 -92 -81 
248 addClause 53 -70 -24 
249 addClause -48 -118 74 
250 addClause -90 12 57 
251 addClause -46 38 33 
252 addClause -105 -34 -111 
253 addClause -91 -46 107 
254 addClause 82 -12 113 
255 addClause -106 42 7 
256 addClause -45 -64 112 
257 addClause -13 116 113 
258 addClause -60 -85 -98 
259 addClause -11 -108 2 
260 addClause -116 -25 -104 
261 addClause 81 90 9 
262 addClause 88 -79 -56 
263 addClause 77 -66 -42 
264 addClause 109 -29 -106 
265 addClause 89 -67 66 
266 addClause 32 2 -57 
267 addClause -119 107 -64 
268 addClause 7 95 -66 
269 addClause 52 -64 112 
270 addClause 70 -13 -14 
271 addClause 22 -70 -80 
272 addClause 5 -69 -64 
273 addClause 23 -1 56 
274 addClause -104 23 -59 
275 addClause 27 -23 -89 
276 addClause -15 -73 -106 
277 addClause -87 108 85 
278 addClause 109 75 -7 
279 addClause -23 28 -54 
280 addClause 94 -48 64 
281 addClause -95 -1 -108 
282 addClause -53 96 -87 
283 addClause -46 97 -56 
284 addClause -40 -93 48 
285 addClause 18 85 -74 
286 addClause -71 -65 -97 
287 addClause 79 -113 -102 
288 addClause -44 -56 11 
289 addClause 58 61 53 
290 addClause -55 52 4 
291 addClause 70 51 -51 
292 addClause 18 -26 105 
293 addClause -4 89 -111 
294 addClause -39 -50 -69 
295 addClause -62 64 99 
296 addClause -74 9 -115 
297 addClause 38 -68 108 
298 addClause -2 -69 3 
299 addClause 117 -22 80 
300 addClause 69 105 -54 
301 addClause -58 -107 104 
302 addClause 100 -7 79 
303 addClause 109 74 -86 
304 addClause -4 -68 -34 
305 addClause -18 -22 30 
306 addClause -33 -68 -70 
307 addClause 56 64 -114 
308 addClause -93 7 14 
309 addClause 91 -17 -19 
310 addClause 2 39 -105 
311 addClause -30 35 53 
312 addClause 41 71 -71 
313 addClause -54 37 8 
314 addClause 76 -16 24 
315 addClause -67 -21 -13 
316 addClause 15 -4 -120 
317 addClause -53 -51 31 
318 addClause -86 -57 -2 
319 addClause 105 -46 29 
320 addClause -119 20 -27 
321 addClause 35 117 33 
322 addClause 105 14 -32 
323 addClause 82 71 26 
324 addClause 17 88 -82 
325 addClause -89 -15 -71 
326 addClause -1 85 -32 
327 addClause 100 56 -108 
328 addClause 102 -5 -52 
329 addClause 46 7 110 
330 addClause 28 -16 34 
331 addClause -55 -28 19 
332 addClause -42 51 -44 
333 addClause 89 -110 23 
334 addClause -23 -77 119 
335 addClause 80 -88 96 
336 addClause -53 14 -42 
337 addClause -97 109 -75 
338 addClause 23 85 65 
339 addClause 20 113 -38 
340 addClause -89 -13 -116 
341 addClause 14 108 -107 
342 addClause 40 -39 -20 
343 addClause -19 -5 112 
344 addClause -31 -83 -58 
345 addClause 36 45 10 
346 addClause 98 -108 97 
347 addClause 91 76 -78 
348 addClause 104 65 -101 
349 addClause -13 -109 64 
350 addClause 10 -64 -111 
351 addClause 74 6 42 
352 addClause -38 77 -11 
353 addClause -102 -8 51 
354 addClause 97 -41 51 
355 addClause -88 32 64 
356 addClause 71 -23 17 
357 addClause -55 -27 39 
358 addClause 101 18 67 
359 addClause -118 -72 -45 
360 addClause 64 -62 107 
361 addClause -76 88 -39 
362 addClause -33 -72 32 
363 addClause 69 47 -70 
364 addClause -49 -119 -38 
365 addClause -64 -22 -37 
366 addClause -4 12 -118 
367 addClause 32 -119 50 
368 addClause 107 68 37 
369 addClause -29 52 -90 
370 solve
