1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Learning Strategy : NoLearningNoHeuristics
82 addClause 86 -97 -95 
83 addClause 37 34 53 
84 addClause -60 7 -29 
85 addClause -23 -59 -12 
86 addClause 51 -31 -92 
87 addClause 10 60 -54 
88 addClause 38 -8 -83 
89 addClause -43 -44 78 
90 addClause -74 -44 -9 
91 addClause -21 -15 -28 
92 addClause -64 82 55 
93 addClause 86 80 9 
94 addClause -38 -49 96 
95 addClause 96 20 12 
96 addClause 9 -15 77 
97 addClause -43 19 -93 
98 addClause -24 -65 -68 
99 addClause 35 -53 44 
100 addClause 56 -58 9 
101 addClause 20 76 -89 
102 addClause 62 15 79 
103 addClause -67 28 87 
104 addClause -9 -45 58 
105 addClause 23 -16 76 
106 addClause 37 81 67 
107 addClause 4 -75 -34 
108 addClause 92 72 84 
109 addClause -87 46 9 
110 addClause -2 64 -46 
111 addClause 91 -25 21 
112 addClause -12 -25 -80 
113 addClause -9 -32 -94 
114 addClause 21 -22 -15 
115 addClause 3 -72 -48 
116 addClause 55 10 -19 
117 addClause -50 -76 -79 
118 addClause -3 77 -45 
119 addClause 85 87 -65 
120 addClause -11 88 3 
121 addClause -9 56 -62 
122 addClause -31 11 -88 
123 addClause -5 -2 -9 
124 addClause -93 38 -36 
125 addClause -3 24 -80 
126 addClause 16 69 12 
127 addClause 26 40 -90 
128 addClause 70 -48 -39 
129 addClause -3 53 -44 
130 addClause 8 29 13 
131 addClause -65 -52 -64 
132 addClause 80 -28 -34 
133 addClause -92 -73 -3 
134 addClause 14 -95 9 
135 addClause -64 -6 8 
136 addClause 75 83 -26 
137 addClause 18 -53 7 
138 addClause -39 56 -54 
139 addClause -55 64 75 
140 addClause -94 10 74 
141 addClause 32 -51 65 
142 addClause 12 -44 16 
143 addClause -82 -32 21 
144 addClause -79 6 55 
145 addClause 55 -64 59 
146 addClause 67 -35 41 
147 addClause 43 -75 -2 
148 addClause 81 95 -12 
149 addClause -30 80 38 
150 addClause -13 -33 51 
151 addClause -17 53 75 
152 addClause 2 -86 -17 
153 addClause -46 30 94 
154 addClause 60 -80 92 
155 addClause 64 -89 -20 
156 addClause 71 -1 36 
157 addClause -37 -28 20 
158 addClause -60 -56 -28 
159 addClause -12 -85 -32 
160 addClause -70 -77 30 
161 addClause -69 87 53 
162 addClause 25 -92 54 
163 addClause -62 -54 61 
164 addClause 81 80 -28 
165 addClause -23 24 21 
166 addClause -29 -11 48 
167 addClause 16 17 -69 
168 addClause 37 14 53 
169 addClause -43 -19 -96 
170 addClause -73 -45 40 
171 addClause 96 -58 -56 
172 addClause -26 24 65 
173 addClause 34 64 22 
174 addClause -33 -54 -92 
175 addClause 53 -43 -55 
176 addClause 76 -70 34 
177 addClause -28 -90 -36 
178 addClause 96 51 64 
179 addClause 37 47 20 
180 addClause 68 -53 -19 
181 addClause 68 -36 -96 
182 addClause -14 -60 76 
183 addClause 58 -32 33 
184 addClause 68 -10 -6 
185 addClause -93 -63 9 
186 addClause 89 -92 -81 
187 addClause -44 -26 -92 
188 addClause -14 -28 -25 
189 addClause -90 35 -28 
190 addClause -18 -94 -27 
191 addClause -10 7 87 
192 addClause -45 71 64 
193 addClause 68 81 87 
194 addClause -48 -9 30 
195 addClause -90 39 -49 
196 addClause 7 44 -89 
197 addClause 80 79 -88 
198 addClause 20 -59 76 
199 addClause 25 -59 -40 
200 addClause 90 12 -50 
201 addClause -14 -15 -69 
202 addClause -57 -74 -1 
203 addClause -64 -83 -29 
204 addClause -63 -80 1 
205 addClause 76 61 1 
206 addClause -64 -57 -66 
207 addClause -8 -38 26 
208 addClause -69 60 -70 
209 addClause 20 -33 74 
210 addClause 69 -47 10 
211 addClause -60 -92 -42 
212 addClause 64 -39 79 
213 addClause -56 -76 54 
214 addClause -31 41 -72 
215 addClause -15 88 -74 
216 addClause -18 -83 -17 
217 addClause 76 -80 42 
218 addClause -58 -17 -8 
219 addClause 77 -85 87 
220 addClause -24 -36 43 
221 addClause -85 -32 38 
222 addClause -68 10 55 
223 addClause -6 90 10 
224 addClause 6 55 -68 
225 addClause -3 -17 1 
226 addClause 84 8 -9 
227 addClause 96 -85 13 
228 addClause -27 37 -35 
229 addClause 70 -79 -3 
230 addClause 61 -12 -24 
231 addClause -41 54 53 
232 addClause 75 -31 11 
233 addClause -6 -50 -93 
234 addClause 47 63 -3 
235 addClause -34 -67 -7 
236 addClause 72 80 -13 
237 addClause -76 50 -27 
238 addClause 58 68 -90 
239 addClause 94 -89 84 
240 addClause 71 -16 28 
241 addClause 73 66 42 
242 addClause -79 -93 49 
243 addClause -17 32 35 
244 addClause -47 82 90 
245 addClause -61 -49 -46 
246 addClause 57 41 -85 
247 addClause 58 11 -73 
248 addClause 66 58 -78 
249 addClause -57 42 -11 
250 addClause -56 -71 71 
251 addClause 35 62 -3 
252 addClause -48 -71 -38 
253 addClause -72 -58 12 
254 addClause -79 38 -10 
255 addClause 95 82 86 
256 addClause -80 56 35 
257 addClause 18 -18 96 
258 addClause -11 21 54 
259 addClause -83 12 23 
260 addClause 51 8 5 
261 addClause 69 88 48 
262 addClause 80 53 -8 
263 addClause 92 55 95 
264 addClause -53 -33 -30 
265 addClause 87 14 -72 
266 addClause -4 -86 -80 
267 addClause -12 -88 -69 
268 addClause 10 -59 32 
269 addClause 43 50 91 
270 addClause -40 48 26 
271 addClause 9 96 -43 
272 addClause 96 84 42 
273 addClause 26 -53 -3 
274 addClause 42 63 52 
275 addClause 54 86 45 
276 addClause 80 -12 87 
277 addClause 56 78 12 
278 addClause -36 -75 93 
279 addClause 66 -27 37 
280 addClause 60 70 -20 
281 addClause 58 -28 55 
282 addClause 65 -83 -5 
283 addClause 46 65 -61 
284 addClause -70 4 -28 
285 addClause 93 -62 9 
286 addClause -58 -67 18 
287 addClause -92 -66 -41 
288 addClause -10 -15 -51 
289 addClause 52 -2 9 
290 addClause -35 87 -4 
291 addClause -97 85 -25 
292 addClause 77 39 45 
293 addClause 83 79 -57 
294 addClause -95 -42 67 
295 addClause 78 -44 7 
296 addClause 36 91 68 
297 addClause -45 -84 -12 
298 addClause 48 91 -36 
299 addClause -35 -21 95 
300 addClause -26 69 14 
301 addClause 28 70 37 
302 addClause 7 -71 70 
303 solve
304 addClause 161 8 -246 
305 addClause 45 100 216 
306 addClause -177 -172 10 
307 addClause 175 -216 208 
308 addClause 196 15 146 
309 addClause 179 216 -143 
310 addClause 226 -46 -42 
311 addClause 83 117 -69 
312 addClause -167 43 204 
313 addClause 222 64 -233 
314 addClause 153 -69 119 
315 addClause 76 -120 -110 
316 addClause -20 -49 178 
317 addClause 4 -252 -228 
318 addClause -212 13 59 
319 addClause 180 -240 17 
320 addClause -174 -64 -253 
321 addClause -212 -178 -21 
322 addClause 12 -148 39 
323 addClause 62 -170 29 
324 addClause 76 92 -118 
325 addClause 9 196 -143 
326 addClause 175 203 -128 
327 addClause 124 -204 156 
328 addClause -131 -49 -148 
329 addClause -237 32 -184 
330 addClause -78 175 -231 
331 addClause -180 -207 -222 
332 addClause 184 122 -57 
333 addClause -85 -220 58 
334 addClause 85 99 61 
335 addClause 100 255 230 
336 addClause 54 248 -151 
337 addClause -134 -218 89 
338 addClause -184 211 152 
339 addClause 114 -134 -253 
340 addClause -80 212 250 
341 addClause 18 -23 165 
342 addClause 40 123 -165 
343 addClause 89 253 188 
344 addClause 21 27 -141 
345 addClause 254 220 228 
346 addClause -231 53 -116 
347 addClause -210 147 218 
348 addClause -243 94 -36 
349 addClause 196 136 -238 
350 addClause 61 -6 -133 
351 addClause 37 -113 -49 
352 addClause -115 136 49 
353 addClause -232 111 -3 
354 addClause -84 1 -132 
355 addClause 143 4 233 
356 addClause -81 -208 59 
357 addClause 148 161 -158 
358 addClause 164 100 244 
359 addClause -92 -173 225 
360 addClause -157 48 27 
361 addClause -238 162 -178 
362 addClause -220 244 227 
363 addClause -92 -143 61 
364 addClause -20 -99 1 
365 addClause 112 -110 101 
366 addClause -194 -111 168 
367 addClause 21 143 219 
368 addClause -207 -107 87 
369 addClause -31 -143 -61 
370 addClause -1 238 242 
371 addClause -96 -149 169 
372 addClause -163 -36 -115 
373 addClause 154 -127 -135 
374 addClause -32 -253 119 
375 addClause -146 210 12 
376 addClause -97 -18 42 
377 addClause 239 169 -32 
378 addClause 104 20 179 
379 addClause -82 41 -171 
380 addClause 162 -151 -200 
381 addClause -218 -212 115 
382 addClause 190 -13 -153 
383 addClause 207 214 205 
384 addClause -82 109 99 
385 addClause 134 23 -150 
386 addClause 202 -93 144 
387 addClause 37 -239 -154 
388 addClause -82 58 61 
389 addClause -213 234 101 
390 addClause 236 -153 45 
391 addClause -164 -121 122 
392 addClause 183 -210 -208 
393 addClause -94 -251 -161 
394 addClause -183 137 237 
395 addClause 246 223 11 
396 addClause -169 -48 80 
397 addClause -41 -34 -182 
398 addClause -203 174 -44 
399 addClause 54 62 -141 
400 addClause 199 81 235 
401 addClause 205 -230 46 
402 addClause 96 200 139 
403 addClause -105 -10 -118 
404 addClause 244 102 192 
405 addClause 12 25 -17 
406 addClause 83 -148 -216 
407 addClause 97 -252 19 
408 addClause -179 -49 -178 
409 addClause 57 -238 137 
410 addClause -139 163 208 
411 addClause -107 -79 -46 
412 addClause 175 239 31 
413 addClause 141 193 -155 
414 addClause 65 158 -116 
415 addClause -203 237 -225 
416 addClause 234 203 -250 
417 addClause 193 108 -54 
418 addClause -147 42 -104 
419 addClause -154 -245 -252 
420 addClause -127 -207 -43 
421 addClause -89 70 229 
422 addClause -158 137 145 
423 addClause 104 223 -120 
424 addClause 204 72 -110 
425 addClause -84 116 192 
426 addClause -210 -113 234 
427 addClause 29 225 100 
428 addClause 24 89 234 
429 addClause 30 180 -108 
430 addClause -191 -198 78 
431 addClause 109 -104 2 
432 addClause 176 212 68 
433 addClause -112 -116 3 
434 addClause 63 -40 43 
435 addClause -102 -55 96 
436 addClause -236 64 -155 
437 addClause 93 -44 112 
438 addClause -34 -66 -32 
439 addClause -87 182 -176 
440 addClause -136 2 209 
441 addClause -101 -217 200 
442 addClause -126 183 74 
443 addClause -10 41 241 
444 addClause 100 -136 -24 
445 addClause 109 -202 142 
446 addClause -233 91 -178 
447 addClause -26 -25 -99 
448 addClause 87 221 170 
449 addClause -149 -153 -90 
450 addClause 63 -118 -39 
451 addClause -60 -7 -133 
452 addClause 121 -68 177 
453 addClause 93 -167 -215 
454 addClause 134 192 -92 
455 addClause 107 -12 -7 
456 addClause -235 -39 246 
457 addClause -174 -139 176 
458 addClause -139 2 53 
459 addClause 89 113 -95 
460 addClause 243 -19 -46 
461 addClause -253 208 163 
462 addClause -226 70 -149 
463 addClause -16 -248 -165 
464 addClause -165 -216 65 
465 addClause 140 -142 206 
466 addClause 31 -198 -48 
467 addClause -45 255 -204 
468 addClause 137 82 76 
469 addClause -238 206 189 
470 addClause 234 -30 154 
471 addClause 135 150 60 
472 addClause 223 -169 1 
473 addClause -122 147 17 
474 addClause -216 -171 -219 
475 addClause 71 40 149 
476 addClause 98 -206 203 
477 addClause -73 -118 16 
478 addClause 194 -166 -74 
479 addClause 58 -179 254 
480 addClause -256 139 -122 
481 addClause 247 254 252 
482 addClause 220 216 58 
483 addClause -60 107 130 
484 addClause 122 -188 245 
485 addClause 186 209 -131 
486 addClause -220 -52 77 
487 addClause -35 217 -25 
488 addClause -43 -132 -124 
489 addClause -54 15 178 
490 addClause 39 -210 -137 
491 addClause 99 218 57 
492 addClause 131 192 -69 
493 addClause 79 -112 44 
494 addClause -184 88 218 
495 addClause 50 -71 -125 
496 addClause 160 -110 -231 
497 addClause -93 41 -50 
498 addClause -175 -69 50 
499 addClause -28 249 -139 
500 addClause -113 -232 -92 
501 addClause 112 85 -188 
502 addClause -199 -222 3 
503 addClause -5 -250 -105 
504 addClause 115 88 -199 
505 addClause -83 -96 -55 
506 addClause 23 -77 -98 
507 addClause -135 157 -28 
508 addClause 138 -35 154 
509 addClause 168 6 -24 
510 addClause 140 97 46 
511 addClause 251 -43 -195 
512 addClause 113 -129 36 
513 addClause 17 -86 141 
514 addClause 172 109 -59 
515 addClause -115 225 174 
516 addClause -15 -28 -163 
517 addClause -85 -83 136 
518 addClause 176 -193 -46 
519 addClause -235 -62 -120 
520 addClause -242 -59 -41 
521 addClause -161 -115 -192 
522 addClause -204 198 38 
523 addClause -237 -48 -77 
524 addClause 26 -75 -243 
525 addClause -87 -66 188 
526 addClause -54 -155 -130 
527 addClause -56 244 36 
528 addClause 169 81 111 
529 addClause 174 35 -95 
530 addClause 23 -183 157 
531 addClause 60 28 221 
532 addClause -218 -40 90 
533 addClause 74 -13 13 
534 addClause -189 -97 194 
535 addClause 96 28 72 
536 addClause 125 -188 3 
537 addClause 234 142 216 
538 addClause 154 -226 128 
539 addClause 84 -2 -199 
540 addClause -224 -217 86 
541 addClause -114 54 -79 
542 addClause 138 174 -25 
543 addClause -244 -27 -228 
544 addClause -31 164 226 
545 addClause -256 108 37 
546 addClause 105 -172 61 
547 addClause 2 186 45 
548 addClause 30 -19 -73 
549 addClause -194 -136 220 
550 addClause 204 91 -4 
551 addClause 186 73 -199 
552 addClause -86 -206 114 
553 addClause 118 -89 196 
554 addClause 22 -185 184 
555 addClause 86 185 195 
556 addClause 224 230 83 
557 addClause -184 253 -240 
558 addClause 190 -102 234 
559 addClause 26 243 -55 
560 addClause -243 -226 233 
561 addClause 159 -229 -252 
562 addClause 2 75 55 
563 addClause 138 -220 -253 
564 addClause 166 -153 155 
565 addClause 95 156 222 
566 addClause 39 53 -118 
567 addClause -245 133 2 
568 addClause -100 -1 -175 
569 addClause 33 -43 214 
570 addClause -129 107 164 
571 addClause 95 -6 -136 
572 addClause -58 -16 63 
573 addClause -197 -194 247 
574 addClause 227 -198 -2 
575 addClause -109 -28 -115 
576 addClause 14 229 111 
577 addClause -208 112 220 
578 addClause 183 -23 -172 
579 addClause 203 -237 91 
580 addClause -125 81 227 
581 addClause 31 102 -197 
582 addClause 203 -152 134 
583 addClause -236 -239 98 
584 addClause 197 -153 11 
585 addClause -180 -145 -24 
586 addClause -58 -148 97 
587 addClause -32 -194 -66 
588 addClause -82 -32 195 
589 addClause 149 -58 250 
590 addClause 188 -12 214 
591 addClause 120 -88 -75 
592 addClause 67 135 173 
593 addClause 85 -45 41 
594 addClause 188 127 -214 
595 addClause -23 128 -240 
596 addClause 111 8 -56 
597 addClause 139 212 -136 
598 addClause 31 111 -247 
599 addClause -5 -87 -83 
600 addClause -175 224 96 
601 addClause -85 -113 35 
602 addClause -113 133 46 
603 addClause -20 -17 123 
604 addClause -253 189 140 
605 addClause 10 72 -159 
606 addClause 72 65 30 
607 addClause 109 -91 -27 
608 addClause 39 -254 -193 
609 addClause -85 17 -199 
610 addClause -170 216 -240 
611 addClause -89 -248 250 
612 addClause -80 157 34 
613 addClause 40 158 -156 
614 addClause 207 -61 -6 
615 addClause -176 -64 -255 
616 addClause 149 -204 98 
617 addClause 216 89 235 
618 addClause 46 -229 87 
619 addClause 59 194 83 
620 addClause -100 -133 255 
621 addClause 168 -172 -21 
622 addClause -247 92 112 
623 addClause 87 35 108 
624 addClause -52 126 -153 
625 addClause 245 174 220 
626 addClause -97 47 -207 
627 addClause 10 218 118 
628 addClause 207 213 -119 
629 addClause -164 -113 80 
630 addClause -108 198 -115 
631 addClause -229 -219 -128 
632 addClause -122 -35 29 
633 addClause -210 -63 -56 
634 addClause 229 123 155 
635 addClause 104 -92 -58 
636 addClause -141 -60 -83 
637 addClause 239 -31 147 
638 addClause -214 -8 -201 
639 addClause -45 -37 20 
640 addClause -180 51 185 
641 addClause -202 -13 -152 
642 addClause 64 -145 128 
643 addClause -16 62 30 
644 addClause -148 -140 125 
645 addClause 67 55 -57 
646 addClause 54 188 -215 
647 addClause -210 -254 106 
648 addClause 3 -163 -45 
649 addClause 22 -111 95 
650 addClause -178 72 182 
651 addClause -203 38 91 
652 addClause 117 29 -255 
653 addClause 14 89 -242 
654 addClause 72 -183 181 
655 addClause 32 -35 -234 
656 addClause -162 -161 -121 
657 addClause -11 42 -53 
658 addClause -64 -183 -144 
659 addClause 173 60 35 
660 addClause -139 235 118 
661 addClause -73 -221 236 
662 addClause 23 -122 -239 
663 addClause 183 -193 -177 
664 addClause 159 -165 -172 
665 addClause 220 -96 43 
666 addClause -51 129 106 
667 addClause 115 -74 -72 
668 addClause -229 -255 -80 
669 addClause 230 84 -155 
670 addClause -41 -25 -132 
671 addClause 179 34 173 
672 addClause -44 -152 -24 
673 addClause -255 -206 187 
674 addClause 129 76 8 
675 addClause 129 -34 -157 
676 addClause 183 -231 -55 
677 addClause 95 251 5 
678 addClause 144 -15 129 
679 addClause -118 254 249 
680 addClause 242 -10 -131 
681 addClause -110 -72 -201 
682 addClause -121 -105 -31 
683 addClause 166 -143 -38 
684 addClause 17 -33 -212 
685 addClause -243 142 130 
686 addClause -92 162 112 
687 addClause 63 -67 -213 
688 addClause 97 -49 140 
689 addClause -130 49 111 
690 addClause 25 180 94 
691 addClause 88 25 202 
692 addClause 61 -155 -52 
693 addClause -184 -172 92 
694 addClause -28 -12 -149 
695 addClause -214 -173 71 
696 addClause -250 23 -174 
697 addClause 20 -226 -99 
698 addClause -90 -127 -77 
699 addClause 16 -56 86 
700 addClause -114 -133 -80 
701 addClause 108 -214 13 
702 addClause -116 -49 185 
703 addClause -161 -127 123 
704 addClause -253 -215 -123 
705 addClause -119 -18 39 
706 addClause 26 -222 -98 
707 addClause 229 -2 117 
708 addClause -24 20 -27 
709 addClause 146 -226 14 
710 addClause -116 -101 16 
711 addClause -39 167 -255 
712 addClause -205 214 -64 
713 addClause 40 -1 105 
714 addClause -202 106 -208 
715 addClause 197 226 -99 
716 addClause -74 -241 198 
717 addClause 231 -124 -42 
718 addClause 25 -95 175 
719 addClause 143 -70 -84 
720 addClause -63 209 43 
721 addClause -34 -154 -173 
722 addClause -77 55 -105 
723 addClause 130 244 -115 
724 addClause 240 63 -13 
725 addClause -84 55 -200 
726 addClause -88 -151 30 
727 addClause -167 86 150 
728 addClause -179 10 226 
729 addClause 240 -68 220 
730 addClause 121 -31 -159 
731 addClause 53 -15 -236 
732 addClause -201 -19 174 
733 addClause 76 220 81 
734 addClause 110 201 133 
735 addClause 186 36 44 
736 addClause -232 231 65 
737 addClause -190 -111 -110 
738 addClause 75 4 16 
739 addClause 120 117 9 
740 addClause 145 36 33 
741 addClause -216 241 19 
742 addClause 217 183 -45 
743 addClause -242 -237 94 
744 addClause 162 -211 -146 
745 addClause 122 40 148 
746 addClause 115 -180 181 
747 addClause -128 194 -165 
748 addClause -16 -125 64 
749 addClause 108 -112 159 
750 addClause 11 -69 -234 
751 addClause -253 -31 28 
752 addClause -84 5 137 
753 addClause 89 161 -158 
754 addClause -78 140 -64 
755 addClause 83 25 -12 
756 addClause 127 223 244 
757 addClause -211 82 228 
758 addClause 33 -147 43 
759 addClause -53 134 -90 
760 addClause 211 -71 -238 
761 addClause 92 111 -145 
762 addClause -9 -192 158 
763 addClause -148 152 -47 
764 addClause 5 165 43 
765 addClause -176 -127 206 
766 addClause 62 69 55 
767 addClause 68 135 46 
768 addClause -159 147 200 
769 addClause -90 -69 25 
770 addClause -69 -36 -182 
771 addClause 167 220 -72 
772 addClause 251 -122 -46 
773 addClause 243 -18 126 
774 addClause 170 -205 -77 
775 addClause 146 -23 -54 
776 addClause -16 35 -209 
777 addClause -172 121 -94 
778 addClause 237 -108 -110 
779 addClause 154 -130 -16 
780 addClause -243 -238 87 
781 solve
