1 init
2 Data Structure Factory : MixedDataStructureDanielWL
3 Learning Strategy : NoLearningButHeuristics
136 addClause 28 -45 -142 
137 addClause 118 49 -30 
138 addClause 25 4 -138 
139 addClause 53 -4 34 
140 addClause -65 -74 90 
141 addClause 20 -18 -116 
142 addClause -30 -145 3 
143 addClause 82 32 73 
144 addClause -112 83 -116 
145 addClause 41 103 71 
146 addClause 8 -127 144 
147 addClause -18 -52 72 
148 addClause -54 -116 -104 
149 addClause 124 13 -58 
150 addClause 45 76 -142 
151 addClause -8 112 68 
152 addClause 144 88 -28 
153 addClause 18 -60 85 
154 addClause -93 -99 -132 
155 addClause -126 81 -75 
156 addClause 120 135 21 
157 addClause -91 61 94 
158 addClause -60 61 -121 
159 addClause -125 -28 -116 
160 addClause 3 -28 -118 
161 addClause -77 -34 -8 
162 addClause -80 85 30 
163 addClause 92 15 -38 
164 addClause 35 64 -100 
165 addClause 59 -120 -135 
166 addClause -46 -9 -124 
167 addClause -121 -35 116 
168 addClause -64 -98 -114 
169 addClause -142 -75 -13 
170 addClause -24 97 -125 
171 addClause -36 133 -141 
172 addClause -128 106 -75 
173 addClause 67 83 -142 
174 addClause -43 -3 60 
175 addClause -50 -120 -81 
176 addClause -6 -5 68 
177 addClause 141 -40 -20 
178 addClause -60 -5 -83 
179 addClause 91 -139 107 
180 addClause -58 31 -96 
181 addClause -138 10 -38 
182 addClause 19 7 114 
183 addClause -23 -12 67 
184 addClause 20 -113 -69 
185 addClause 93 -77 99 
186 addClause -134 -98 -36 
187 addClause 125 -28 -15 
188 addClause 142 24 -65 
189 addClause 108 79 -23 
190 addClause -1 -109 120 
191 addClause 141 136 -57 
192 addClause 52 81 120 
193 addClause -116 -6 -77 
194 addClause 48 -59 102 
195 addClause 37 79 140 
196 addClause -141 -146 43 
197 addClause 50 42 84 
198 addClause -144 -12 40 
199 addClause -127 30 75 
200 addClause -142 -122 143 
201 addClause 13 -120 102 
202 addClause -127 -75 -35 
203 addClause 9 43 75 
204 addClause 5 62 33 
205 addClause 107 -137 22 
206 addClause -125 -46 -95 
207 addClause -30 -126 23 
208 addClause 25 -42 -51 
209 addClause 64 -58 106 
210 addClause 92 125 56 
211 addClause -141 35 108 
212 addClause -21 134 112 
213 addClause 115 -145 96 
214 addClause -71 -51 24 
215 addClause 146 133 -125 
216 addClause 44 -72 -27 
217 addClause 44 38 87 
218 addClause 22 -89 -97 
219 addClause -2 -66 -3 
220 addClause -125 -10 -64 
221 addClause -84 -1 27 
222 addClause 38 -35 -91 
223 addClause -123 -22 71 
224 addClause -47 120 121 
225 addClause 133 68 78 
226 addClause 28 106 -38 
227 addClause -121 -76 21 
228 addClause -86 103 146 
229 addClause 127 -71 126 
230 addClause -63 81 68 
231 addClause -52 33 67 
232 addClause -72 59 -32 
233 addClause 55 39 47 
234 addClause -26 -84 -46 
235 addClause -96 53 135 
236 addClause -43 -40 -5 
237 addClause 83 -132 -80 
238 addClause 110 17 88 
239 addClause 61 -5 -13 
240 addClause 21 -40 -93 
241 addClause -118 -21 -37 
242 addClause -133 -137 -41 
243 addClause -114 94 -58 
244 addClause -50 122 -79 
245 addClause 143 78 -107 
246 addClause 75 -81 64 
247 addClause 100 -50 139 
248 addClause 133 -9 -66 
249 addClause -100 32 -131 
250 addClause -146 -106 -64 
251 addClause -79 -54 142 
252 addClause 132 3 -52 
253 addClause 88 -119 109 
254 addClause -89 -51 49 
255 addClause 15 3 -40 
256 addClause -85 -19 105 
257 addClause 136 -4 81 
258 addClause -83 -13 71 
259 addClause -8 66 -5 
260 addClause 108 4 2 
261 addClause 44 -34 -89 
262 addClause -119 5 -139 
263 addClause -147 135 96 
264 addClause 119 -44 9 
265 addClause 16 131 29 
266 addClause -18 -43 41 
267 addClause -103 34 -26 
268 addClause -65 -26 96 
269 addClause -98 -7 135 
270 addClause -104 -115 51 
271 addClause -54 14 87 
272 addClause -50 75 23 
273 addClause -135 85 -114 
274 addClause -144 -73 -22 
275 addClause 10 12 139 
276 addClause -78 -8 -134 
277 addClause 49 18 3 
278 addClause 105 -131 117 
279 addClause -39 81 -106 
280 addClause -53 -80 120 
281 addClause -116 -49 12 
282 addClause -59 4 93 
283 addClause 108 -68 -76 
284 addClause 54 116 -9 
285 addClause -46 137 -35 
286 addClause 109 7 -32 
287 addClause 129 137 25 
288 addClause -140 147 106 
289 addClause 14 -114 59 
290 addClause 82 -148 -132 
291 addClause 71 110 -3 
292 addClause 124 -67 -7 
293 addClause -64 -9 140 
294 addClause 125 75 93 
295 addClause -37 15 52 
296 addClause -55 -95 -98 
297 addClause -65 -64 -108 
298 addClause -105 129 -116 
299 addClause -35 120 116 
300 addClause 127 -128 -81 
301 addClause -53 -34 -7 
302 addClause -42 117 77 
303 addClause 74 -34 -42 
304 addClause 9 -31 -3 
305 addClause -127 109 14 
306 addClause 14 66 116 
307 addClause 91 27 119 
308 addClause 23 -28 -111 
309 addClause -137 68 21 
310 addClause 23 -133 36 
311 addClause -125 -52 -79 
312 addClause -137 -62 93 
313 addClause 103 -1 -130 
314 addClause -8 60 -35 
315 addClause -26 -31 -86 
316 addClause 59 18 118 
317 addClause -64 15 37 
318 addClause -120 12 145 
319 addClause -51 25 -82 
320 addClause 10 119 68 
321 addClause -81 105 -56 
322 addClause -19 144 66 
323 addClause 95 110 -17 
324 addClause -35 -106 123 
325 addClause 68 -119 -74 
326 addClause -100 2 11 
327 addClause -30 28 98 
328 addClause 55 100 -70 
329 addClause 113 -143 -84 
330 addClause 35 81 -127 
331 addClause 71 -78 37 
332 addClause -143 -60 -82 
333 addClause 93 108 18 
334 addClause 30 82 68 
335 addClause -59 -101 -77 
336 addClause 64 15 146 
337 addClause 14 48 67 
338 addClause 61 -141 31 
339 addClause -91 -139 -38 
340 addClause 92 117 -11 
341 addClause 53 117 130 
342 addClause 86 -104 41 
343 addClause 131 123 -12 
344 addClause 103 -56 -96 
345 addClause -21 136 -40 
346 addClause -84 117 -2 
347 addClause -132 -96 105 
348 addClause -24 -16 -109 
349 addClause -88 -109 -14 
350 addClause 35 132 78 
351 addClause -13 106 62 
352 addClause 66 -38 3 
353 addClause -84 -36 120 
354 addClause -145 136 -111 
355 addClause 134 -39 -58 
356 addClause -139 -38 -86 
357 addClause 86 143 -15 
358 addClause 33 -49 68 
359 addClause -122 115 29 
360 addClause 87 -88 -30 
361 addClause -103 -86 58 
362 addClause -66 -137 -28 
363 addClause 116 -75 -107 
364 addClause 55 -17 -128 
365 addClause 87 -108 -106 
366 addClause -101 -57 -82 
367 addClause 24 32 33 
368 addClause 55 65 130 
369 addClause 109 -93 144 
370 addClause -71 -58 127 
371 addClause -4 110 119 
372 addClause 133 -73 -4 
373 addClause -107 56 -27 
374 addClause -119 -40 94 
375 addClause -91 144 11 
376 addClause -138 -146 117 
377 addClause 35 47 125 
378 addClause -116 116 11 
379 addClause 74 -114 -146 
380 addClause -145 -85 -111 
381 addClause 23 -128 40 
382 addClause 58 18 -109 
383 addClause 142 106 -59 
384 addClause -16 -41 10 
385 addClause 128 -132 -18 
386 addClause -116 -47 -46 
387 addClause 104 -24 13 
388 addClause -26 6 104 
389 addClause 105 46 47 
390 addClause 1 -26 -51 
391 addClause 59 6 -85 
392 addClause -92 82 -126 
393 addClause -60 47 -22 
394 addClause -126 40 -46 
395 addClause 47 77 -39 
396 addClause -130 133 137 
397 addClause -3 -60 -110 
398 addClause 11 -71 -123 
399 addClause -145 -63 -44 
400 addClause 123 -124 104 
401 addClause 89 120 67 
402 addClause -34 39 -63 
403 addClause -20 19 107 
404 addClause -58 -88 -55 
405 addClause -3 145 -126 
406 addClause -131 120 72 
407 addClause 47 33 82 
408 addClause 9 -42 -9 
409 addClause -29 -63 99 
410 addClause -140 -29 -8 
411 addClause 45 70 -76 
412 addClause -91 31 3 
413 addClause 55 82 76 
414 addClause 24 -86 36 
415 addClause -13 75 143 
416 addClause 105 146 142 
417 addClause -16 93 127 
418 addClause -47 -35 -125 
419 addClause -110 -94 -136 
420 addClause -67 -122 -37 
421 addClause 72 -135 6 
422 addClause 16 -134 8 
423 addClause -28 147 -97 
424 addClause 11 -52 38 
425 addClause 30 36 120 
426 addClause 108 105 -34 
427 addClause -43 29 -107 
428 addClause 66 -62 21 
429 addClause -5 -128 -64 
430 addClause 95 -141 -10 
431 addClause 141 91 -15 
432 addClause 8 131 41 
433 addClause 15 -52 30 
434 addClause 32 -134 24 
435 addClause -118 -72 9 
436 addClause 123 -62 -24 
437 addClause 128 -20 -59 
438 addClause 93 -29 91 
439 addClause -117 -128 -139 
440 addClause 67 -2 43 
441 addClause -23 88 -124 
442 addClause 34 -126 96 
443 addClause 141 -72 70 
444 addClause -48 48 -131 
445 addClause 6 -39 -126 
446 addClause -119 124 -34 
447 addClause 35 88 48 
448 addClause 32 3 23 
449 addClause 83 -25 -120 
450 addClause -142 -128 -113 
451 solve
452 addClause -159 81 7 
453 addClause -29 162 -25 
454 addClause 146 -120 117 
455 addClause -61 -149 -14 
456 addClause -147 138 74 
457 addClause 118 149 -11 
458 addClause 134 166 135 
459 addClause -96 123 77 
460 addClause -49 126 91 
461 addClause 91 -169 14 
462 addClause -17 69 -121 
463 addClause 96 88 99 
464 addClause -129 18 7 
465 addClause -49 148 92 
466 addClause 18 -147 -146 
467 addClause 168 -74 -84 
468 addClause 13 32 -109 
469 addClause 151 -133 48 
470 addClause 134 -58 31 
471 addClause 116 75 112 
472 addClause 148 109 -32 
473 addClause -60 103 -138 
474 addClause -140 145 -70 
475 addClause -50 -138 -84 
476 addClause 40 -127 114 
477 addClause -64 -37 -22 
478 addClause -50 -25 -154 
479 addClause 132 44 -134 
480 addClause -111 -33 -103 
481 addClause 63 -22 -1 
482 addClause 149 -90 100 
483 addClause 52 18 59 
484 addClause 94 22 154 
485 addClause 118 -120 -161 
486 addClause 20 -46 -42 
487 addClause 138 -118 155 
488 addClause -45 16 -121 
489 addClause 103 113 74 
490 addClause 2 -97 148 
491 addClause 25 83 63 
492 addClause -25 50 67 
493 addClause 29 59 -168 
494 addClause -79 135 105 
495 addClause 89 -46 -127 
496 addClause -17 -83 25 
497 addClause 148 -79 -146 
498 addClause 141 -130 -69 
499 addClause -58 -153 40 
500 addClause -167 161 75 
501 addClause 78 -23 92 
502 addClause 4 -135 101 
503 addClause -19 167 -136 
504 addClause 39 102 5 
505 addClause -77 116 -81 
506 addClause 18 41 -58 
507 addClause 78 82 -30 
508 addClause -19 86 62 
509 addClause 86 -97 80 
510 addClause 33 -79 -22 
511 addClause 22 108 81 
512 addClause -168 -69 -43 
513 addClause 85 -27 29 
514 addClause 20 88 76 
515 solve
516 addClause -131 -130 152 
517 addClause 240 -82 182 
518 addClause 176 -118 298 
519 addClause 246 -42 224 
520 addClause 183 -110 252 
521 addClause 286 -74 205 
522 addClause -1 243 294 
523 addClause -277 46 -209 
524 addClause 25 232 126 
525 addClause -298 211 242 
526 addClause 186 -231 -306 
527 addClause -67 220 -277 
528 addClause -135 -314 -255 
529 addClause 6 -297 -303 
530 addClause 108 96 -263 
531 addClause -60 -99 -248 
532 addClause 37 -238 -251 
533 addClause -154 118 173 
534 addClause -264 -60 59 
535 addClause 285 120 60 
536 addClause -77 -295 113 
537 addClause 203 -289 287 
538 addClause -87 -117 160 
539 addClause 55 121 105 
540 addClause 285 -23 -293 
541 addClause 53 -192 37 
542 addClause 119 263 -203 
543 addClause -191 220 68 
544 addClause -269 102 187 
545 addClause 258 -80 167 
546 addClause -200 309 10 
547 addClause 28 -74 135 
548 addClause 259 -177 -222 
549 addClause -125 105 209 
550 addClause 68 287 -246 
551 addClause 151 -256 -53 
552 addClause -296 -69 -232 
553 addClause -102 -198 51 
554 addClause -217 104 -229 
555 addClause 98 -1 -119 
556 addClause 303 255 -140 
557 addClause -214 187 -10 
558 addClause -284 -150 270 
559 addClause 197 132 112 
560 addClause -69 -40 21 
561 addClause 136 64 93 
562 addClause 201 -309 312 
563 addClause -117 -64 -79 
564 addClause -68 -234 146 
565 addClause 191 283 -51 
566 addClause 127 281 224 
567 addClause 80 298 230 
568 addClause -162 125 224 
569 addClause -226 -76 -139 
570 addClause -271 58 192 
571 addClause 160 185 -164 
572 addClause 77 -166 -284 
573 addClause -3 -256 6 
574 addClause -251 -20 -81 
575 addClause -143 -47 -300 
576 addClause -123 71 48 
577 addClause -193 107 218 
578 addClause 53 175 141 
579 addClause 36 286 221 
580 addClause 221 -104 -188 
581 addClause 96 -64 -296 
582 addClause 188 72 278 
583 addClause -313 100 -27 
584 addClause -299 -226 -211 
585 addClause -304 239 -151 
586 addClause 73 -296 -35 
587 addClause 187 178 177 
588 addClause 296 174 289 
589 addClause 123 313 -174 
590 addClause -50 -158 -270 
591 addClause -142 -303 151 
592 addClause -236 118 -6 
593 addClause -38 -52 247 
594 addClause 114 62 -6 
595 addClause -52 222 275 
596 addClause -200 -267 -211 
597 addClause 187 14 -281 
598 addClause -291 121 -193 
599 addClause 304 151 -282 
600 addClause -39 13 -60 
601 addClause -147 -107 -98 
602 addClause 13 26 -236 
603 addClause -44 279 -28 
604 addClause -311 119 108 
605 addClause 117 249 104 
606 addClause -258 215 75 
607 addClause 210 -163 -224 
608 addClause 197 -215 169 
609 addClause 178 -12 -106 
610 addClause -206 53 -130 
611 addClause 115 219 -49 
612 addClause 107 -8 -94 
613 addClause 299 267 60 
614 addClause -90 -223 -125 
615 addClause -294 -67 205 
616 addClause 275 117 -163 
617 addClause -149 -222 247 
618 addClause -3 300 70 
619 addClause 63 65 -76 
620 addClause -53 223 -114 
621 addClause 168 143 181 
622 addClause -296 302 4 
623 addClause -184 -277 -128 
624 addClause -134 104 25 
625 addClause -67 300 148 
626 addClause -299 96 -166 
627 addClause 177 -103 -101 
628 addClause 50 280 6 
629 addClause -177 -37 -61 
630 addClause 278 51 304 
631 addClause 220 155 95 
632 addClause -50 87 -17 
633 addClause 160 -76 163 
634 addClause -35 -263 304 
635 addClause -99 214 304 
636 addClause 186 -210 177 
637 addClause -57 94 -213 
638 addClause 72 87 -105 
639 addClause 138 15 116 
640 addClause 115 -242 184 
641 addClause -121 31 195 
642 addClause -38 297 275 
643 addClause -19 -88 -145 
644 addClause 175 -211 -82 
645 addClause 163 81 -272 
646 addClause -203 247 -272 
647 addClause -213 64 29 
648 addClause -306 -66 -189 
649 addClause 77 176 -171 
650 addClause 196 236 -12 
651 addClause 111 -179 -268 
652 addClause 144 -166 87 
653 addClause 123 195 274 
654 addClause 161 -294 -167 
655 addClause -187 -54 -254 
656 addClause 35 -180 256 
657 addClause -103 287 286 
658 addClause 100 239 299 
659 addClause -250 -168 301 
660 addClause -158 282 207 
661 addClause -6 41 -206 
662 addClause -288 55 237 
663 addClause 196 -28 -59 
664 addClause -211 -297 -203 
665 addClause 163 119 -18 
666 addClause 170 -57 -289 
667 addClause 101 265 239 
668 addClause 215 -85 -75 
669 addClause 16 -25 249 
670 addClause 53 1 305 
671 addClause -144 -308 226 
672 addClause 9 -198 -1 
673 addClause 73 -232 110 
674 addClause -287 58 -285 
675 addClause 309 32 191 
676 addClause -200 161 -114 
677 addClause 35 227 101 
678 addClause -227 65 -153 
679 addClause 60 207 222 
680 addClause 252 -297 -307 
681 addClause 86 -239 -194 
682 addClause 96 -288 -300 
683 addClause 291 -296 244 
684 addClause 313 -278 -286 
685 addClause -74 121 -127 
686 addClause 84 -233 187 
687 addClause -37 -205 163 
688 addClause 301 204 -40 
689 addClause -149 82 -56 
690 addClause -121 296 -157 
691 addClause 209 -270 -215 
692 addClause -224 -59 171 
693 addClause -217 110 205 
694 addClause -221 -79 -249 
695 addClause 231 262 -248 
696 addClause -302 -170 219 
697 addClause -239 208 -33 
698 addClause 228 -21 -48 
699 addClause -126 110 -100 
700 addClause -144 -97 -251 
701 addClause -145 -76 -305 
702 addClause -309 176 305 
703 addClause -128 8 99 
704 addClause 66 216 130 
705 addClause 244 234 274 
706 addClause -110 -7 104 
707 addClause -279 -61 19 
708 addClause -136 118 -158 
709 addClause -155 -241 158 
710 addClause -36 94 21 
711 addClause -62 269 -154 
712 addClause 39 221 53 
713 addClause -19 225 -265 
714 addClause 56 149 -166 
715 addClause 115 -210 142 
716 addClause -45 -103 98 
717 addClause 188 201 255 
718 addClause 298 -49 -266 
719 addClause 26 -103 28 
720 addClause -156 -202 84 
721 addClause 44 54 28 
722 addClause -218 -246 244 
723 addClause -105 -298 202 
724 addClause -190 106 -129 
725 addClause -259 36 -277 
726 addClause -248 41 -107 
727 addClause -198 -126 297 
728 addClause -98 -50 -269 
729 addClause -129 -157 -87 
730 addClause 4 -94 257 
731 addClause 172 -188 302 
732 addClause 167 -163 240 
733 addClause 114 247 -256 
734 addClause -16 -175 -253 
735 addClause 33 -112 34 
736 addClause -174 -164 283 
737 addClause -153 -175 141 
738 addClause -199 -150 144 
739 addClause 122 138 -183 
740 addClause -18 27 -279 
741 addClause -181 228 -44 
742 addClause -213 112 -145 
743 addClause 277 85 -49 
744 addClause -301 -111 201 
745 addClause 120 253 -115 
746 addClause -112 -107 194 
747 addClause -122 -25 -238 
748 addClause 306 -300 147 
749 addClause 184 -199 85 
750 addClause -236 -57 291 
751 addClause 301 268 -121 
752 addClause 36 141 206 
753 addClause 94 309 -289 
754 addClause 121 -182 26 
755 addClause 11 41 171 
756 addClause 89 11 153 
757 addClause 217 148 192 
758 addClause -193 -123 205 
759 addClause -90 -206 174 
760 addClause 57 151 115 
761 addClause 291 20 243 
762 addClause -143 -17 -186 
763 addClause -282 36 185 
764 addClause -152 -181 287 
765 addClause 66 -17 309 
766 addClause -194 -70 -58 
767 addClause 124 199 -77 
768 addClause -205 -54 75 
769 addClause 220 -209 64 
770 addClause 177 67 171 
771 addClause 189 -113 -90 
772 addClause -196 -63 97 
773 addClause -80 271 254 
774 addClause 82 307 -302 
775 addClause 288 49 -223 
776 addClause -65 236 -79 
777 addClause 121 99 -108 
778 addClause -58 232 235 
779 addClause 197 -196 266 
780 addClause 199 -103 16 
781 addClause 159 55 301 
782 addClause 130 139 162 
783 addClause 240 -48 174 
784 addClause 79 186 76 
785 addClause -104 -296 -61 
786 addClause -304 -207 227 
787 addClause -162 -195 -23 
788 addClause -16 -198 -269 
789 addClause 292 -4 -162 
790 addClause -32 188 287 
791 addClause -129 -176 116 
792 addClause 161 -121 139 
793 addClause -178 -109 -149 
794 addClause 63 173 -186 
795 addClause 48 98 221 
796 addClause -167 -188 -160 
797 addClause -177 -213 -147 
798 addClause 145 -208 -23 
799 addClause 288 41 -173 
800 addClause -158 55 266 
801 addClause -120 -95 -240 
802 addClause 272 -7 -234 
803 addClause 80 303 254 
804 addClause 295 106 260 
805 addClause -240 262 -304 
806 addClause 137 301 38 
807 addClause -272 243 -53 
808 addClause 299 -189 173 
809 addClause -310 111 289 
810 addClause -172 -148 266 
811 addClause -295 -150 128 
812 addClause -132 110 245 
813 addClause 137 121 56 
814 addClause 199 195 240 
815 addClause 52 205 -312 
816 addClause -169 -218 133 
817 addClause -88 234 253 
818 addClause -211 -197 90 
819 addClause -282 -155 -212 
820 addClause 2 -93 -191 
821 addClause 259 286 35 
822 addClause -179 165 69 
823 addClause 230 206 140 
824 addClause -307 -246 165 
825 addClause 27 77 154 
826 addClause -13 -233 -225 
827 addClause 104 -44 -281 
828 addClause -13 -18 225 
829 addClause -202 189 -30 
830 addClause 294 182 251 
831 addClause 18 -131 199 
832 addClause 287 7 137 
833 addClause 19 -283 -71 
834 addClause 54 -147 208 
835 addClause 212 114 248 
836 addClause 175 91 101 
837 addClause 17 218 -38 
838 addClause 102 161 195 
839 addClause 156 203 149 
840 addClause 36 59 -308 
841 addClause -175 -145 214 
842 addClause -241 252 214 
843 addClause -56 -69 -182 
844 addClause -28 115 -158 
845 addClause -232 -271 -259 
846 addClause 209 52 -210 
847 addClause 164 -59 -75 
848 addClause 229 -155 220 
849 addClause 162 128 -178 
850 addClause -101 20 312 
851 addClause -267 -57 -247 
852 addClause -268 -216 13 
853 addClause 185 -228 -182 
854 addClause 282 -252 63 
855 addClause -305 288 52 
856 addClause -135 155 -185 
857 addClause 5 148 181 
858 addClause -183 -138 -293 
859 addClause -74 -277 -254 
860 addClause 245 56 11 
861 addClause 251 167 172 
862 addClause -174 119 296 
863 addClause 80 264 234 
864 addClause 66 -58 208 
865 addClause 243 -223 71 
866 addClause 126 -223 12 
867 addClause -5 99 -267 
868 addClause 4 -310 175 
869 addClause -257 89 -230 
870 addClause 294 287 208 
871 addClause 248 97 -293 
872 addClause -21 199 -54 
873 addClause 38 -307 -100 
874 addClause -77 304 302 
875 addClause -272 51 65 
876 addClause 38 195 -194 
877 addClause 88 -42 313 
878 addClause -310 -298 227 
879 addClause -64 -196 111 
880 addClause 132 -274 234 
881 addClause -51 188 -7 
882 addClause 128 -166 -56 
883 addClause 134 237 169 
884 addClause 59 -190 51 
885 addClause -129 63 -305 
886 addClause -305 67 -46 
887 addClause 186 -65 21 
888 addClause -213 -142 23 
889 addClause 131 254 147 
890 addClause 75 302 86 
891 addClause -18 96 -16 
892 addClause 208 65 102 
893 addClause -170 -82 -19 
894 addClause -187 -190 296 
895 addClause 279 -69 83 
896 addClause 23 -104 161 
897 addClause 53 300 134 
898 addClause 287 77 -61 
899 addClause 69 79 85 
900 addClause 244 -253 -246 
901 addClause 16 100 169 
902 addClause -98 -55 -183 
903 addClause -34 -68 -106 
904 addClause -107 221 281 
905 addClause 302 49 98 
906 addClause -171 28 229 
907 addClause 106 -37 179 
908 addClause -31 -142 -300 
909 addClause -190 126 283 
910 addClause 24 271 194 
911 addClause -100 -101 293 
912 addClause -173 307 -37 
913 addClause -84 7 -167 
914 addClause 273 243 -35 
915 addClause 145 193 -40 
916 addClause 84 17 -97 
917 addClause -114 -47 -42 
918 addClause -125 4 -284 
919 addClause -150 127 -254 
920 addClause 156 -129 313 
921 addClause -133 140 301 
922 addClause -249 286 17 
923 addClause -75 299 -251 
924 addClause 153 -106 231 
925 addClause 67 -66 130 
926 addClause -298 -47 49 
927 addClause -37 -130 206 
928 addClause -109 -175 193 
929 addClause -206 -235 228 
930 addClause 132 -151 -215 
931 addClause 299 235 297 
932 addClause 104 246 -271 
933 addClause 164 278 -202 
934 addClause -241 199 -47 
935 addClause -36 -144 96 
936 addClause 207 291 77 
937 addClause 259 -217 -283 
938 addClause 151 163 129 
939 addClause 299 -83 210 
940 addClause 41 -274 -40 
941 addClause -151 106 255 
942 addClause 95 -231 -100 
943 addClause -264 -244 -10 
944 addClause -22 -235 -189 
945 addClause 214 -22 233 
946 addClause 212 -216 -131 
947 addClause 60 -277 261 
948 addClause 185 5 253 
949 addClause -181 -226 -7 
950 addClause -100 15 -101 
951 solve
