1 init
2 using solver PHASE
269 addClause -145 -204 171 
270 addClause -151 -25 -92 
271 addClause 171 25 -108 
272 addClause -21 -88 -191 
273 addClause -216 71 -144 
274 addClause -187 -45 -79 
275 addClause -56 -87 -134 
276 addClause 50 -9 -121 
277 addClause 134 -156 14 
278 addClause -18 -165 166 
279 addClause 50 215 -77 
280 addClause -102 56 3 
281 addClause 151 57 27 
282 addClause -191 -103 -202 
283 addClause -115 -132 -159 
284 addClause -17 -72 48 
285 addClause -190 -113 144 
286 addClause 77 -152 33 
287 addClause -25 116 97 
288 addClause 96 -84 190 
289 addClause -171 25 145 
290 addClause -100 -141 66 
291 addClause 151 73 41 
292 addClause -60 88 76 
293 addClause -145 -77 -143 
294 addClause -214 177 46 
295 addClause -198 -8 -168 
296 addClause -14 -109 -130 
297 addClause -29 169 -179 
298 addClause -169 199 -49 
299 addClause -109 212 32 
300 addClause -11 -157 -192 
301 addClause -13 -33 172 
302 addClause -50 -142 201 
303 addClause -187 15 10 
304 addClause 38 136 112 
305 addClause 200 -86 177 
306 addClause 23 60 39 
307 addClause -80 -113 -52 
308 addClause -2 99 -68 
309 addClause 200 -9 20 
310 addClause 145 143 -51 
311 addClause 166 -58 -89 
312 addClause -36 -170 -155 
313 addClause 172 215 126 
314 addClause -210 181 -122 
315 addClause -125 183 -158 
316 addClause -101 205 116 
317 addClause -31 -65 -121 
318 addClause 191 -144 206 
319 addClause -4 116 -35 
320 addClause -100 -158 -101 
321 addClause 138 98 51 
322 addClause -206 12 -87 
323 addClause 85 -185 130 
324 addClause 82 12 127 
325 addClause -78 -33 -91 
326 addClause -122 -161 -46 
327 addClause -93 163 -185 
328 addClause -208 39 -201 
329 addClause 73 -207 104 
330 addClause -126 132 166 
331 addClause 2 -206 -150 
332 addClause 135 -70 202 
333 addClause 67 -87 -49 
334 addClause -53 -130 121 
335 addClause -179 81 50 
336 addClause -56 76 92 
337 addClause 179 -62 149 
338 addClause -40 -16 188 
339 addClause -76 12 -215 
340 addClause -182 88 -180 
341 addClause 111 -198 40 
342 addClause -101 99 -16 
343 addClause 80 33 -128 
344 addClause -129 -215 213 
345 addClause 116 -111 -122 
346 addClause -185 -199 115 
347 addClause 42 45 51 
348 addClause -134 135 130 
349 addClause 105 98 193 
350 addClause 102 -19 -93 
351 addClause -75 -78 43 
352 addClause 152 154 -38 
353 addClause -47 184 205 
354 addClause 166 -177 -27 
355 addClause 170 153 -178 
356 addClause -37 -9 59 
357 addClause 6 165 -179 
358 addClause -191 80 -114 
359 addClause -12 -209 -151 
360 addClause 165 -214 84 
361 addClause 208 58 96 
362 addClause -29 125 -106 
363 addClause -62 146 -3 
364 addClause 7 -126 174 
365 addClause 136 -51 -144 
366 addClause 115 -193 -189 
367 addClause -69 36 -193 
368 addClause 161 147 182 
369 addClause -194 83 107 
370 addClause -30 -143 108 
371 addClause 5 85 180 
372 addClause -157 100 20 
373 addClause -26 87 191 
374 addClause -39 32 -49 
375 addClause -159 -82 -10 
376 addClause -13 -99 -107 
377 addClause 102 177 78 
378 addClause 81 -162 -179 
379 addClause 45 5 186 
380 addClause 72 60 -121 
381 addClause -197 -21 143 
382 addClause -79 -189 160 
383 addClause 202 4 108 
384 addClause -83 133 -152 
385 addClause 8 206 -195 
386 addClause 149 51 15 
387 addClause -124 87 -59 
388 addClause 179 -24 -30 
389 addClause 148 -173 -175 
390 addClause 18 199 -186 
391 addClause 132 -212 -27 
392 addClause 153 -11 -201 
393 addClause -165 188 137 
394 addClause -175 -132 9 
395 addClause 9 -80 -158 
396 addClause -63 34 197 
397 addClause -77 69 -102 
398 addClause -210 128 110 
399 addClause 141 -55 -185 
400 addClause 169 213 -128 
401 addClause 168 -77 -120 
402 addClause 102 68 -84 
403 addClause -37 60 97 
404 addClause -21 -155 -96 
405 addClause -118 31 -34 
406 addClause 82 -173 -132 
407 addClause -202 164 11 
408 addClause 154 66 110 
409 addClause 74 -138 1 
410 addClause -132 -22 -141 
411 addClause -132 20 178 
412 addClause -95 -36 55 
413 addClause -196 -136 -106 
414 addClause -140 120 193 
415 addClause 177 -29 202 
416 addClause -207 -40 37 
417 addClause 31 -109 91 
418 addClause -171 61 -143 
419 addClause -80 -133 -152 
420 addClause 63 -73 -163 
421 addClause 192 -76 -165 
422 addClause 130 8 181 
423 addClause -140 -27 -190 
424 addClause -144 201 -158 
425 addClause -43 -190 -30 
426 addClause 128 16 133 
427 addClause -36 -101 -215 
428 addClause -198 -42 125 
429 addClause -18 -49 89 
430 addClause 24 109 -147 
431 addClause 132 -62 -145 
432 addClause 208 -203 -130 
433 addClause -65 -12 -109 
434 addClause -29 -184 168 
435 addClause 168 123 -68 
436 addClause -14 -212 -214 
437 addClause -79 15 173 
438 addClause -183 117 -187 
439 addClause 75 94 -61 
440 addClause -201 47 -70 
441 addClause -114 -44 -84 
442 addClause 46 -134 -100 
443 addClause -130 27 106 
444 addClause -160 -34 101 
445 addClause -45 -75 -201 
446 addClause -125 -80 181 
447 addClause -77 -43 -97 
448 addClause -126 191 -142 
449 addClause 24 -9 -178 
450 addClause -178 62 61 
451 addClause -120 -204 -34 
452 addClause -137 163 197 
453 addClause -91 155 122 
454 addClause -147 -146 94 
455 addClause -39 -193 -24 
456 addClause 106 139 77 
457 addClause 197 -98 -181 
458 addClause -122 175 98 
459 addClause 198 11 -186 
460 addClause 198 -158 -193 
461 addClause 21 -42 152 
462 addClause 139 194 -180 
463 addClause 204 -20 -125 
464 addClause 66 -83 -70 
465 addClause 94 50 -200 
466 addClause -139 -215 -148 
467 addClause 135 -2 97 
468 addClause -61 -105 95 
469 addClause 70 20 215 
470 addClause -168 98 -156 
471 addClause -132 -185 -118 
472 addClause -74 -206 51 
473 addClause -115 5 156 
474 addClause -59 -150 -60 
475 addClause 204 20 -17 
476 addClause 48 -17 76 
477 addClause -132 -18 207 
478 addClause -183 -107 -122 
479 addClause 108 -138 54 
480 addClause 187 213 12 
481 addClause 113 -58 -160 
482 addClause 121 -45 -81 
483 addClause 25 -192 -92 
484 addClause 184 71 182 
485 addClause 93 -27 202 
486 addClause -112 4 -5 
487 addClause 17 -10 -141 
488 addClause -188 -104 180 
489 addClause 167 -211 -2 
490 addClause 13 -204 108 
491 addClause -76 -212 166 
492 addClause 209 210 201 
493 addClause -190 -201 52 
494 addClause -203 59 -89 
495 addClause -111 130 208 
496 addClause -134 -212 161 
497 addClause 210 137 -125 
498 addClause -87 -156 -45 
499 addClause -139 -47 59 
500 addClause -86 -111 -170 
501 addClause -38 -71 -52 
502 addClause -202 135 -59 
503 addClause 188 29 146 
504 addClause 100 -170 -139 
505 addClause 183 126 -99 
506 addClause 183 -170 -187 
507 addClause 140 -115 189 
508 addClause -135 -40 -159 
509 addClause -34 -182 4 
510 addClause -172 210 8 
511 addClause 160 -101 138 
512 addClause -57 144 -156 
513 addClause -83 127 132 
514 addClause -186 -109 -209 
515 addClause -167 -154 92 
516 addClause 193 75 -170 
517 addClause -18 153 53 
518 addClause -56 -134 -57 
519 addClause -169 -16 -6 
520 addClause -20 114 151 
521 addClause 73 -88 -108 
522 addClause -212 -146 -46 
523 addClause 11 -203 87 
524 addClause 82 39 19 
525 addClause -50 -24 -96 
526 addClause 195 -102 -129 
527 addClause 192 -95 -203 
528 addClause 60 -161 -121 
529 addClause -203 160 -70 
530 addClause -108 -198 -19 
531 addClause 47 -137 67 
532 addClause -122 -184 74 
533 addClause 61 62 177 
534 addClause 60 -167 18 
535 addClause 120 -9 -8 
536 addClause 195 -192 -112 
537 addClause 53 -100 -47 
538 addClause 12 -192 -110 
539 addClause 47 111 83 
540 addClause 73 -91 -144 
541 addClause 18 -141 -49 
542 addClause 121 -76 163 
543 assuming 24 -216 -130 6 101 -150 53 52 165 -4 32 -127 124 -48 -117 33 144 -119 100 38 86 
544 addClause 41 120 154 
545 addClause -120 92 -167 
546 addClause -81 113 22 
547 addClause 114 -10 -71 
548 addClause 101 -105 -213 
549 addClause -113 72 -175 
550 addClause -170 -188 -145 
551 addClause -157 -11 22 
552 addClause 79 -184 172 
553 addClause -121 -130 -196 
554 addClause 200 38 56 
555 addClause 101 41 209 
556 addClause -34 -61 24 
557 addClause 235 25 1 
558 addClause 28 6 -216 
559 addClause 206 -133 -104 
560 addClause -15 -32 54 
561 addClause 96 66 109 
562 addClause 153 222 112 
563 addClause 126 201 -34 
564 addClause -204 -35 -117 
565 addClause 176 69 -215 
566 addClause 150 -125 53 
567 addClause -211 -36 -10 
568 addClause -76 -63 46 
569 addClause -124 106 -106 
570 addClause -123 -17 193 
571 addClause 50 197 98 
572 addClause 36 201 -15 
573 addClause 137 -10 12 
574 addClause 166 153 -102 
575 addClause -218 -133 -158 
576 addClause 158 -91 87 
577 addClause -71 -237 133 
578 addClause 39 154 208 
579 addClause 188 -73 146 
580 addClause 178 -211 -216 
581 addClause -133 -231 201 
582 addClause 173 -25 141 
583 addClause -141 -101 -155 
584 addClause 155 -118 185 
585 addClause -197 -39 -157 
586 addClause 195 -202 132 
587 addClause 129 -130 -86 
588 addClause -140 -57 -229 
589 addClause -47 33 28 
590 addClause -85 2 -132 
591 addClause -224 51 19 
592 addClause -126 -142 -135 
593 addClause -186 9 229 
594 addClause 225 -118 29 
595 addClause 58 -183 -14 
596 addClause -199 41 -218 
597 addClause -73 -162 194 
598 addClause 111 101 189 
599 addClause 208 62 -40 
600 addClause 217 14 -111 
601 assuming -198 74 146 87 -238 164 -57 -19 7 227 195 147 -2 172 215 184 -29 -74 -200 -147 -66 -98 -103 34 5 -82 193 81 -113 191 182 237 126 -41 231 -106 189 28 -51 115 -226 -21 -206 178 -86 74 
