1 init
2 Random Walk : 0.6707706885778746
303 addClause 222 -153 -214 
304 addClause 173 3 139 
305 addClause -224 200 205 
306 addClause -24 107 13 
307 addClause 186 -80 14 
308 addClause 99 101 -33 
309 addClause 150 -145 -16 
310 addClause 177 19 -202 
311 addClause -149 31 178 
312 addClause 135 -122 100 
313 addClause 200 220 28 
314 addClause -8 183 -210 
315 addClause 15 28 103 
316 addClause 41 59 -31 
317 addClause -114 38 -69 
318 addClause 84 -73 182 
319 addClause 30 175 -56 
320 addClause -183 134 155 
321 addClause 193 -137 131 
322 addClause -128 -225 175 
323 addClause 90 -64 96 
324 addClause 204 201 26 
325 addClause -87 -118 14 
326 addClause 189 138 -233 
327 addClause -221 -73 -187 
328 addClause -121 53 -65 
329 addClause -96 96 -224 
330 addClause -162 -177 -123 
331 addClause 116 -126 28 
332 addClause -197 -102 -46 
333 addClause -201 -132 -93 
334 addClause -10 70 -7 
335 addClause -205 144 -10 
336 addClause 71 62 -193 
337 addClause 127 70 12 
338 addClause 10 -64 38 
339 addClause -85 139 -72 
340 addClause -166 -142 -210 
341 addClause 205 -215 168 
342 addClause -145 70 -209 
343 addClause -130 -50 210 
344 addClause 205 -38 -51 
345 addClause 214 91 13 
346 addClause 213 228 -10 
347 addClause 179 -24 132 
348 addClause 227 -103 169 
349 addClause 149 88 -2 
350 addClause -62 -96 -51 
351 addClause -15 -169 136 
352 addClause -33 170 -159 
353 addClause -198 95 56 
354 addClause 36 2 -210 
355 addClause -207 15 -205 
356 addClause 187 -60 43 
357 addClause 11 -207 21 
358 addClause 119 -233 -167 
359 addClause 183 -69 229 
360 addClause -224 -64 -46 
361 addClause -207 -21 81 
362 addClause -100 -30 -199 
363 addClause 88 70 110 
364 addClause 179 -4 136 
365 addClause -168 -227 22 
366 addClause 110 -161 -56 
367 addClause -33 -90 -3 
368 addClause -190 -63 222 
369 addClause 18 230 -24 
370 addClause 231 -186 232 
371 addClause 119 3 -176 
372 addClause 186 9 -77 
373 addClause 155 24 140 
374 addClause 212 126 -28 
375 addClause -140 49 132 
376 addClause 221 72 -81 
377 addClause -30 116 -17 
378 addClause 53 158 -44 
379 addClause 171 87 170 
380 addClause -68 219 -116 
381 addClause 153 46 -16 
382 addClause -133 -87 -30 
383 addClause -200 177 -198 
384 addClause -64 -154 213 
385 addClause 159 91 101 
386 addClause 33 -140 47 
387 addClause 135 228 -223 
388 addClause 61 168 -3 
389 addClause 179 -213 79 
390 addClause -218 25 18 
391 addClause -101 149 177 
392 addClause -160 -113 158 
393 addClause 77 41 -15 
394 addClause -70 187 149 
395 addClause 116 211 -112 
396 addClause 111 164 -69 
397 addClause 64 3 41 
398 addClause 14 53 -228 
399 addClause -225 57 -110 
400 addClause 80 166 -129 
401 addClause 82 -220 -110 
402 addClause 177 -5 -129 
403 addClause 95 138 41 
404 addClause -69 88 -161 
405 addClause 148 142 -33 
406 addClause 32 -135 -66 
407 addClause -102 159 146 
408 addClause -77 123 -73 
409 addClause 152 204 -75 
410 addClause -94 231 -35 
411 addClause -76 28 -6 
412 addClause -1 -23 141 
413 addClause 64 48 114 
414 addClause -203 -166 145 
415 addClause 21 -176 145 
416 addClause -54 25 108 
417 addClause 135 130 13 
418 addClause -150 -137 -30 
419 addClause -137 113 -91 
420 addClause 145 184 228 
421 addClause 29 -196 -123 
422 addClause -195 66 226 
423 addClause -162 -126 -146 
424 addClause -35 -172 -205 
425 addClause 75 116 142 
426 addClause -232 58 -87 
427 addClause 220 59 -189 
428 addClause -164 160 74 
429 addClause 107 -150 -63 
430 addClause -206 -29 -180 
431 addClause 133 83 -175 
432 addClause 42 -77 90 
433 addClause 197 -39 158 
434 addClause 59 134 -50 
435 addClause 3 143 -14 
436 addClause -98 -30 -121 
437 addClause 60 -53 31 
438 addClause 151 -90 99 
439 addClause 220 76 101 
440 addClause 157 179 47 
441 addClause 197 69 -217 
442 addClause 132 149 -218 
443 addClause -15 195 -89 
444 addClause -113 -223 -121 
445 addClause 108 -164 -69 
446 addClause -83 158 -7 
447 addClause -225 175 -107 
448 addClause 74 -74 -55 
449 addClause 45 133 147 
450 addClause -31 -126 -154 
451 addClause 34 -80 184 
452 addClause -115 -116 116 
453 addClause -166 162 -210 
454 addClause -175 67 -10 
455 addClause -13 -4 110 
456 addClause 67 -34 -124 
457 addClause 197 -77 63 
458 addClause -165 11 -215 
459 addClause 222 -167 -28 
460 addClause -226 136 113 
461 addClause 22 -30 185 
462 addClause -209 175 -32 
463 addClause -52 20 -3 
464 addClause -42 60 115 
465 addClause 170 153 -129 
466 addClause -156 -58 137 
467 addClause 59 -84 -219 
468 addClause -116 44 99 
469 addClause -117 -136 -214 
470 addClause 199 -58 170 
471 addClause -180 93 133 
472 addClause 82 -14 -169 
473 addClause -197 -210 -130 
474 addClause 65 140 203 
475 addClause -51 161 198 
476 addClause -217 -164 106 
477 addClause -106 -162 -186 
478 addClause 6 167 214 
479 addClause -200 -208 146 
480 addClause -171 169 -102 
481 addClause 50 202 -167 
482 addClause 132 -16 -4 
483 addClause 145 -84 161 
484 addClause -102 -173 -218 
485 addClause 178 -37 -74 
486 addClause -43 -28 -185 
487 addClause 184 -167 60 
488 addClause 192 228 203 
489 addClause 87 -78 -104 
490 addClause -128 -208 183 
491 addClause -156 196 -53 
492 addClause -155 -161 77 
493 addClause 183 -120 -118 
494 addClause 33 -11 205 
495 addClause -151 186 210 
496 addClause -200 16 137 
497 addClause -193 72 -209 
498 addClause -213 -18 225 
499 addClause 28 -61 152 
500 addClause 232 -38 182 
501 addClause -193 -139 83 
502 addClause -18 -40 -146 
503 addClause -35 -43 -40 
504 addClause -175 95 -169 
505 addClause -224 -200 -109 
506 addClause -76 -59 -43 
507 addClause 34 91 -156 
508 addClause 113 126 -24 
509 addClause 88 139 -202 
510 addClause -110 -62 -61 
511 addClause 128 -47 -182 
512 addClause 39 -185 -176 
513 addClause -182 -116 -18 
514 addClause -33 -154 -151 
515 addClause -146 83 223 
516 addClause 71 -178 24 
517 addClause 43 171 181 
518 addClause 34 191 173 
519 addClause -105 -152 232 
520 addClause 78 219 -212 
521 addClause 32 -163 204 
522 addClause -65 30 34 
523 addClause -225 -9 -27 
524 addClause -40 28 74 
525 addClause -147 58 179 
526 addClause -154 -78 -112 
527 addClause -9 -138 101 
528 addClause 113 -112 -134 
529 addClause 44 -178 -30 
530 addClause 14 -124 75 
531 addClause -117 55 22 
532 addClause -226 -223 109 
533 addClause -210 102 -114 
534 addClause -110 -178 79 
535 addClause 165 -101 73 
536 addClause 38 -139 159 
537 addClause -106 169 122 
538 addClause -203 -208 -95 
539 addClause -118 128 5 
540 addClause 69 108 -42 
541 addClause 189 -91 -180 
542 addClause -48 161 30 
543 addClause -199 -97 -95 
544 addClause -192 -26 -141 
545 addClause 160 142 -101 
546 addClause 198 -75 -72 
547 addClause -66 -67 15 
548 addClause 98 -176 -165 
549 addClause 162 26 83 
550 addClause -208 112 -13 
551 addClause 3 196 147 
552 addClause 101 68 -29 
553 addClause 195 26 154 
554 addClause 1 150 -171 
555 addClause -15 -199 129 
556 addClause -62 -105 -36 
557 addClause 44 65 189 
558 addClause -159 86 -27 
559 addClause -156 30 2 
560 addClause 148 217 56 
561 addClause 95 -165 -207 
562 addClause -100 -87 -173 
563 addClause 180 -59 232 
564 addClause 103 38 -113 
565 addClause 8 139 -229 
566 addClause 130 13 225 
567 addClause 56 -44 -55 
568 addClause 101 -5 36 
569 addClause -23 -35 123 
570 addClause 198 -121 -99 
571 addClause 112 206 232 
572 addClause -11 153 193 
573 addClause 160 -57 -226 
574 addClause -28 48 -45 
575 addClause -2 55 -155 
576 addClause -59 230 -105 
577 addClause 17 -107 120 
578 addClause 84 230 -222 
579 addClause -119 63 -174 
580 addClause -22 96 -129 
581 addClause -118 178 192 
582 addClause 205 -209 -20 
583 addClause -46 146 65 
584 addClause -22 88 137 
585 addClause 59 -230 16 
586 addClause 77 218 -186 
587 addClause 220 -26 130 
588 addClause -21 -149 -37 
589 addClause 6 -84 145 
590 addClause -16 -201 141 
591 addClause 19 -65 -116 
592 addClause -54 -223 218 
593 addClause 33 -132 -115 
594 addClause -73 59 203 
595 addClause 24 176 229 
596 addClause -51 162 -61 
597 addClause 183 4 -91 
598 addClause 228 108 1 
599 addClause -117 -156 222 
600 addClause -89 -212 3 
601 addClause -101 62 -80 
602 addClause -156 31 109 
603 addClause -167 -124 174 
604 addClause -167 -135 -149 
605 addClause 43 18 157 
606 addClause -186 174 -175 
607 addClause 91 35 -150 
608 addClause -3 -63 -187 
609 addClause 146 190 -132 
610 addClause 43 -139 105 
611 addClause -67 -87 -213 
612 addClause 141 -4 218 
613 addClause 60 62 -220 
614 addClause 58 -202 -194 
615 addClause 143 84 1 
616 addClause 37 -150 26 
617 addClause 37 19 197 
618 addClause 207 75 -164 
619 addClause 14 -136 -232 
620 addClause -168 -7 -159 
621 addClause -50 213 80 
622 addClause -196 99 -229 
623 addClause 49 138 212 
624 addClause -70 122 -227 
625 addClause -225 121 -76 
626 addClause 3 -192 -31 
627 addClause 24 -199 202 
628 addClause 98 196 -226 
629 addClause -190 -80 -146 
630 addClause 14 213 59 
631 addClause -120 -14 -25 
632 addClause -165 -190 132 
633 addClause 17 -80 -84 
634 addClause -225 32 135 
635 addClause 129 193 -149 
636 addClause -173 71 18 
637 addClause 35 -213 -73 
638 addClause -92 -107 -79 
639 addClause -177 -72 -18 
640 addClause 213 -3 88 
641 addClause -89 -32 -106 
642 addClause 14 183 124 
643 addClause -150 -180 35 
644 addClause -185 -141 69 
645 addClause 197 135 -113 
646 addClause 57 -111 -208 
647 addClause 149 -164 98 
648 addClause -89 34 -190 
649 addClause -201 -72 -214 
650 addClause 54 -143 -197 
651 addClause -149 -193 -35 
652 addClause -3 -189 94 
653 addClause 71 89 166 
654 addClause 222 93 -151 
655 addClause 76 -171 -138 
656 addClause 95 213 147 
657 addClause 105 198 -1 
658 addClause 99 184 64 
659 addClause -84 226 -188 
660 addClause 29 147 184 
661 addClause -32 73 -156 
662 addClause -42 -48 13 
663 addClause -67 52 -20 
664 addClause 138 -221 103 
665 addClause 102 30 194 
666 addClause 105 -130 -178 
667 addClause -48 -2 -177 
668 addClause 9 -198 -13 
669 addClause 67 -107 -152 
670 addClause 183 -142 -199 
671 addClause -109 171 -170 
672 addClause -190 -207 168 
673 addClause -12 -5 6 
674 addClause 93 201 232 
675 addClause 126 -200 16 
676 addClause -38 177 -45 
677 addClause 45 218 2 
678 addClause -32 -109 195 
679 addClause 55 94 -163 
680 addClause 156 -226 -232 
681 addClause 45 33 8 
682 addClause -149 -107 17 
683 addClause 73 1 115 
684 addClause 99 116 81 
685 addClause -3 160 -117 
686 addClause 90 -41 -55 
687 addClause -129 -72 44 
688 addClause 121 42 -228 
689 addClause -121 17 37 
690 addClause -168 -169 85 
691 addClause 110 135 179 
692 addClause -194 151 174 
693 addClause 172 -124 -56 
694 addClause -140 65 -130 
695 addClause 120 178 2 
696 addClause -143 -21 -75 
697 addClause -66 -82 214 
698 addClause -114 -194 122 
699 addClause 7 -126 -94 
700 addClause -104 127 168 
701 addClause -69 -100 -105 
702 addClause 4 -193 17 
703 solve
704 addClause -322 -272 -84 
705 addClause 56 -266 -114 
706 addClause 190 -107 38 
707 addClause 189 58 312 
708 addClause -319 -303 -309 
709 addClause 191 212 225 
710 addClause 265 119 -236 
711 addClause 165 -300 47 
712 addClause 172 -247 199 
713 addClause -183 186 -113 
714 addClause -189 11 -300 
715 addClause -71 -126 232 
716 addClause 11 -106 -254 
717 addClause -18 6 315 
718 addClause -20 -134 92 
719 addClause 243 -295 17 
720 addClause 82 -203 299 
721 addClause -69 -259 175 
722 addClause -263 246 -274 
723 addClause 292 -76 135 
724 addClause -215 -210 -206 
725 addClause 40 252 319 
726 addClause 76 -90 -84 
727 addClause 243 193 -200 
728 addClause -77 19 67 
729 addClause -145 -64 140 
730 addClause 117 243 209 
731 addClause 145 47 142 
732 addClause -125 235 141 
733 addClause -114 -17 -115 
734 addClause -119 -233 15 
735 addClause 189 88 193 
736 addClause -109 279 -300 
737 addClause 163 -75 -45 
738 addClause -304 109 -192 
739 addClause 213 -258 2 
740 addClause 261 -206 -205 
741 addClause -277 -263 -154 
742 addClause -86 261 -172 
743 addClause 42 -128 22 
744 addClause -310 58 277 
745 addClause 63 203 167 
746 addClause -265 -315 289 
747 addClause -164 -317 -250 
748 addClause -158 -12 -32 
749 addClause 63 61 -282 
750 addClause 108 -195 -286 
751 addClause 233 -117 -120 
752 addClause 90 -231 99 
753 addClause 24 82 -34 
754 addClause -317 -301 -185 
755 addClause 152 316 113 
756 addClause 146 220 145 
757 addClause -236 -138 -149 
758 addClause -253 -41 87 
759 addClause 289 45 -207 
760 addClause -129 158 11 
761 addClause 182 180 -255 
762 addClause -155 159 41 
763 addClause -115 -161 -36 
764 addClause 298 -211 -196 
765 addClause 3 -70 271 
766 addClause 23 -105 124 
767 addClause -39 52 -169 
768 addClause 239 -212 -288 
769 addClause 197 -85 -82 
770 addClause -45 60 -27 
771 addClause 288 211 234 
772 addClause -21 -222 306 
773 addClause 287 296 288 
774 addClause -286 7 -193 
775 addClause -307 -148 -190 
776 addClause 20 -198 -142 
777 addClause -290 -243 -92 
778 addClause -5 305 -253 
779 addClause -233 -71 -306 
780 addClause -177 -180 -165 
781 addClause -33 -244 -67 
782 addClause -271 201 -137 
783 addClause -55 -280 -144 
784 addClause -27 223 239 
785 addClause -254 235 -36 
786 addClause -33 63 160 
787 addClause 302 312 -158 
788 addClause -216 187 -55 
789 addClause 223 270 -173 
790 addClause 203 -28 -49 
791 addClause 21 -257 47 
792 addClause 198 -219 -188 
793 addClause -261 291 -300 
794 addClause 112 -293 -216 
795 addClause -219 22 -168 
796 addClause -204 209 226 
797 addClause 10 110 206 
798 addClause -262 119 -293 
799 addClause 12 32 -72 
800 addClause 80 -27 -207 
801 addClause 73 135 11 
802 addClause -44 -89 309 
803 addClause 159 -195 268 
804 addClause 196 41 -158 
805 addClause -137 203 -289 
806 addClause -176 -145 -13 
807 addClause -139 -5 108 
808 addClause -81 183 87 
809 addClause 273 -204 1 
810 addClause 115 -300 278 
811 addClause 164 -188 275 
812 addClause 22 61 67 
813 addClause -57 -200 -140 
814 addClause 116 -304 -54 
815 addClause 159 -94 -203 
816 addClause 120 41 25 
817 addClause 278 -236 -110 
818 addClause -45 -220 314 
819 addClause -171 256 -168 
820 addClause 180 193 -155 
821 addClause 140 267 1 
822 addClause 143 139 -127 
823 addClause 51 -70 -268 
824 addClause -152 -300 -60 
825 addClause 151 201 -290 
826 addClause 245 232 -282 
827 addClause -89 -152 216 
828 addClause 302 -30 -45 
829 addClause 318 247 -144 
830 addClause 320 -181 -214 
831 addClause -24 -288 -265 
832 addClause -285 -152 83 
833 addClause 137 -188 -315 
834 addClause 62 -303 -173 
835 addClause 46 194 80 
836 addClause -303 -294 45 
837 addClause 316 -142 124 
838 addClause -267 -77 267 
839 addClause 23 -311 -57 
840 addClause -262 -113 -144 
841 addClause 284 168 -117 
842 addClause 315 262 215 
843 addClause 196 223 -187 
844 addClause -277 -9 304 
845 addClause -261 -296 267 
846 addClause -287 -279 -291 
847 addClause -160 47 -246 
848 addClause -65 -96 -207 
849 addClause 273 -315 -321 
850 addClause -149 -122 -88 
851 addClause -25 -296 318 
852 addClause 92 -272 -194 
853 addClause 72 26 98 
854 addClause -272 -181 -187 
855 addClause 94 -178 -43 
856 addClause -40 239 281 
857 addClause -92 118 -173 
858 addClause 272 289 85 
859 addClause 197 84 -200 
860 addClause -271 265 139 
861 addClause 292 -240 19 
862 addClause 30 104 -321 
863 addClause 77 269 -119 
864 addClause -172 -6 -119 
865 addClause 319 -312 300 
866 addClause 214 -1 -260 
867 addClause -55 -181 -309 
868 addClause -140 -282 310 
869 addClause 318 180 -199 
870 addClause -179 154 -9 
871 addClause -171 119 -152 
872 addClause -122 292 109 
873 addClause -17 17 -35 
874 addClause -212 110 -215 
875 addClause 148 -153 -116 
876 addClause -62 263 -118 
877 addClause -42 -23 -66 
878 addClause -49 80 -153 
879 addClause 207 -50 -56 
880 addClause 105 -219 224 
881 addClause -166 -236 117 
882 addClause -105 235 26 
883 addClause 27 -25 126 
884 addClause 84 -69 94 
885 addClause -266 -305 114 
886 addClause 300 -48 -210 
887 addClause 248 177 -22 
888 addClause -14 -40 -116 
889 addClause -34 89 -7 
890 addClause 63 -190 36 
891 addClause -141 50 -101 
892 addClause -96 -101 -297 
893 addClause -3 -320 -116 
894 addClause 265 -215 294 
895 addClause 174 -322 54 
896 addClause -209 -163 -215 
897 addClause 89 -159 -105 
898 addClause -211 -312 84 
899 addClause 99 55 286 
900 addClause 281 -227 120 
901 addClause -167 175 220 
902 addClause 232 278 -201 
903 addClause 36 -29 290 
904 addClause 27 -39 -153 
905 addClause -289 -265 293 
906 addClause -259 -87 50 
907 addClause -104 -107 239 
908 addClause -184 266 241 
909 addClause 74 85 55 
910 addClause -7 79 161 
911 addClause -168 -230 114 
912 addClause -258 -25 234 
913 addClause -73 -156 207 
914 addClause -56 -286 167 
915 addClause -222 126 -52 
916 addClause -76 120 -89 
917 addClause 60 -122 -108 
918 addClause -182 -320 -61 
919 addClause -257 -15 -188 
920 addClause -124 -311 -6 
921 addClause -279 70 200 
922 addClause -218 -161 248 
923 addClause -303 -257 278 
924 addClause 94 202 237 
925 addClause 315 287 -266 
926 addClause -11 -204 -301 
927 addClause 23 -115 166 
928 addClause 191 -31 -283 
929 addClause -31 135 273 
930 addClause 34 238 7 
931 addClause -319 122 252 
932 addClause 197 51 -261 
933 addClause -114 -66 293 
934 addClause 57 -298 -248 
935 addClause 96 147 -193 
936 addClause 176 318 -302 
937 addClause 178 242 -82 
938 addClause 102 -245 -313 
939 addClause 38 -274 -166 
940 addClause 215 -73 -209 
941 addClause -164 -257 -226 
942 addClause -131 175 -219 
943 addClause 292 234 -101 
944 addClause 20 -160 27 
945 addClause 145 275 276 
946 addClause -172 -290 306 
947 addClause -55 -284 -301 
948 addClause -152 -71 -249 
949 addClause -37 -224 -152 
950 addClause 301 255 23 
951 addClause -53 249 95 
952 addClause 31 72 -166 
953 addClause -17 -126 234 
954 addClause -43 212 -71 
955 addClause -22 40 -223 
956 addClause -164 -36 -21 
957 addClause -22 236 -172 
958 addClause -142 63 221 
959 addClause 224 -73 227 
960 addClause -146 -290 -257 
961 addClause 203 44 -285 
962 addClause 130 133 256 
963 addClause -29 -308 300 
964 addClause 151 -249 147 
965 addClause -178 282 245 
966 addClause -46 -264 243 
967 addClause 265 -19 115 
968 addClause -134 150 -294 
969 addClause -171 87 255 
970 addClause -214 151 181 
971 solve
972 addClause -100 -196 -153 
973 addClause -182 -203 -309 
974 addClause -362 -249 -155 
975 addClause 206 35 -374 
976 addClause 344 -232 9 
977 addClause -118 221 57 
978 addClause 334 -250 3 
979 addClause 76 361 75 
980 addClause 45 -222 -286 
981 addClause -96 -279 -100 
982 addClause -277 -225 188 
983 addClause 70 -74 -121 
984 addClause -246 -344 61 
985 addClause -235 -123 -29 
986 addClause -73 -68 -13 
987 addClause 288 224 -127 
988 addClause -252 -216 -43 
989 addClause -75 290 -124 
990 addClause 48 -360 33 
991 addClause 6 -269 277 
992 addClause 316 -137 325 
993 addClause 169 324 30 
994 addClause -255 120 -262 
995 addClause -337 -356 309 
996 addClause 209 77 332 
997 addClause 332 -282 -342 
998 addClause 338 -216 361 
